Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,207.23,208.98,202.58,203.94,1947000
2022-04-06 20:00:00-04:00,202.43,206.86,201.52,204.77,1391900
2022-04-07 20:00:00-04:00,201.94,205.47,198.20,202.25,1421100
2022-04-10 20:00:00-04:00,198.41,202.09,197.65,199.03,1455300
2022-04-11 20:00:00-04:00,203.40,206.23,195.24,196.14,1335900
2022-04-12 20:00:00-04:00,196.00,202.19,195.34,201.74,1158900
2022-04-13 20:00:00-04:00,202.97,203.17,196.22,196.73,1197200
2022-04-17 20:00:00-04:00,195.09,198.70,193.64,196.54,1142200
2022-04-18 20:00:00-04:00,194.35,205.74,194.35,203.80,1764200
2022-04-19 20:00:00-04:00,205.86,207.05,201.72,201.92,1244500
2022-04-20 20:00:00-04:00,204.92,209.00,193.98,195.13,1536900
2022-04-21 20:00:00-04:00,194.57,195.62,187.07,187.31,1686900
2022-04-24 20:00:00-04:00,186.65,191.54,185.55,191.15,1719000
2022-04-25 20:00:00-04:00,189.33,190.00,183.84,185.59,1606000
2022-04-26 20:00:00-04:00,185.59,189.68,180.19,180.47,1917800
2022-04-27 20:00:00-04:00,185.25,198.04,184.95,195.84,2083700
2022-04-28 20:00:00-04:00,193.71,196.60,188.76,189.28,1425800
2022-05-01 20:00:00-04:00,189.23,193.28,186.76,192.90,1741600
2022-05-02 20:00:00-04:00,192.36,194.16,188.89,193.22,1696100
2022-05-03 20:00:00-04:00,193.70,204.10,191.58,203.75,2023700
2022-05-04 20:00:00-04:00,203.78,204.79,195.61,198.39,3483900
2022-05-05 20:00:00-04:00,196.39,197.65,187.11,193.77,2921600
2022-05-08 20:00:00-04:00,189.33,191.91,185.03,186.32,3236800
2022-05-09 20:00:00-04:00,193.30,194.32,181.17,186.41,2757000
2022-05-10 20:00:00-04:00,183.51,191.83,179.75,180.68,2388400
2022-05-11 20:00:00-04:00,177.48,186.64,175.41,185.05,2554300
2022-05-12 20:00:00-04:00,187.12,197.50,186.56,197.07,1731400
2022-05-15 20:00:00-04:00,194.45,196.38,191.66,192.58,1342900
2022-05-16 20:00:00-04:00,197.00,198.99,189.54,195.64,1596100
2022-05-17 20:00:00-04:00,192.09,193.95,186.40,187.98,1286900
2022-05-18 20:00:00-04:00,187.40,196.82,186.28,193.72,1554500
2022-05-19 20:00:00-04:00,196.21,197.97,185.58,191.41,2246100
2022-05-22 20:00:00-04:00,182.95,184.88,173.90,183.51,3781100
2022-05-23 20:00:00-04:00,181.48,182.93,176.43,179.55,2368300
