Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,48.60,48.92,48.28,48.87,1203500
2018-07-02 20:00:00-04:00,48.84,49.26,48.65,48.88,677000
2018-07-04 20:00:00-04:00,48.89,49.13,48.76,49.13,1046500
2018-07-05 20:00:00-04:00,49.14,49.61,49.12,49.51,1171600
2018-07-08 20:00:00-04:00,49.51,49.51,47.70,47.87,1782100
2018-07-09 20:00:00-04:00,47.41,48.54,47.22,48.29,2111000
2018-07-10 20:00:00-04:00,48.34,49.07,48.20,49.00,1423900
2018-07-11 20:00:00-04:00,49.03,49.09,48.52,48.99,1381100
2018-07-12 20:00:00-04:00,48.99,49.06,48.68,49.00,978600
2018-07-15 20:00:00-04:00,49.03,49.16,48.76,48.96,870200
2018-07-16 20:00:00-04:00,49.14,49.15,48.72,48.91,757800
2018-07-17 20:00:00-04:00,48.88,48.91,48.48,48.75,1000500
2018-07-18 20:00:00-04:00,49.00,49.47,48.83,49.26,676400
2018-07-19 20:00:00-04:00,48.96,49.26,48.50,48.96,903100
2018-07-22 20:00:00-04:00,49.02,49.05,48.35,48.64,746600
2018-07-23 20:00:00-04:00,48.39,48.74,47.85,48.69,1331200
2018-07-24 20:00:00-04:00,48.62,49.11,48.44,48.98,1402000
2018-07-25 20:00:00-04:00,49.34,49.73,49.30,49.61,1325400
2018-07-26 20:00:00-04:00,49.61,49.82,49.29,49.44,1251900
2018-07-29 20:00:00-04:00,49.38,49.38,48.91,49.03,787800
2018-07-30 20:00:00-04:00,49.25,49.58,49.00,49.54,1922500
2018-07-31 20:00:00-04:00,49.14,49.39,48.52,48.98,1492000
2018-08-01 20:00:00-04:00,48.98,49.45,48.61,49.31,1631700
2018-08-02 20:00:00-04:00,49.49,50.10,48.75,49.85,1512400
2018-08-05 20:00:00-04:00,50.03,50.18,49.72,49.94,1200500
2018-08-06 20:00:00-04:00,49.83,50.09,49.46,49.96,1162400
2018-08-07 20:00:00-04:00,49.83,50.18,49.75,49.97,899200
2018-08-08 20:00:00-04:00,50.02,50.21,49.79,50.15,941200
2018-08-09 20:00:00-04:00,50.28,50.62,50.05,50.11,935500
2018-08-12 20:00:00-04:00,50.16,50.34,49.97,50.28,1056800
2018-08-13 20:00:00-04:00,50.20,50.63,50.10,50.37,1007300
2018-08-14 20:00:00-04:00,50.52,51.14,50.27,50.78,1080500
2018-08-15 20:00:00-04:00,50.73,51.46,50.53,51.45,2197100
2018-08-16 20:00:00-04:00,51.37,51.85,51.24,51.69,1795900
2018-08-19 20:00:00-04:00,51.87,51.96,51.38,51.54,1106900
2018-08-20 20:00:00-04:00,51.46,51.46,51.01,51.25,1162500
2018-08-21 20:00:00-04:00,51.25,51.33,50.50,50.74,957600
2018-08-22 20:00:00-04:00,50.80,51.14,50.62,50.81,1175200
2018-08-23 20:00:00-04:00,50.80,51.10,50.51,51.08,862700
2018-08-26 20:00:00-04:00,51.14,51.25,50.32,50.58,714000
2018-08-27 20:00:00-04:00,50.47,50.55,50.14,50.46,1504000
2018-08-28 20:00:00-04:00,50.50,50.68,50.34,50.66,1282700
2018-08-29 20:00:00-04:00,50.75,50.98,50.58,50.73,1563000
2018-08-30 20:00:00-04:00,50.81,51.05,50.30,50.47,1020900
2018-09-03 20:00:00-04:00,50.65,51.03,50.61,50.89,1054000
2018-09-04 20:00:00-04:00,50.96,51.88,50.93,51.84,1369000
2018-09-05 20:00:00-04:00,51.95,52.58,51.68,52.38,2303600
2018-09-06 20:00:00-04:00,51.97,52.42,51.83,52.16,2299000
2018-09-09 20:00:00-04:00,52.44,52.77,52.24,52.60,1689200
2018-09-10 20:00:00-04:00,52.75,53.04,52.43,52.53,2620900
2018-09-11 20:00:00-04:00,52.67,52.91,52.38,52.55,2322700
2018-09-12 20:00:00-04:00,52.53,52.83,52.27,52.82,1701500
2018-09-13 20:00:00-04:00,52.50,52.61,51.91,52.58,1918500
2018-09-16 20:00:00-04:00,52.66,52.68,52.20,52.44,1523600
2018-09-17 20:00:00-04:00,52.35,52.53,51.81,52.30,1869700
2018-09-18 20:00:00-04:00,52.26,52.26,50.82,51.37,3758100
2018-09-19 20:00:00-04:00,51.23,51.61,50.75,51.55,1710500
2018-09-20 20:00:00-04:00,51.32,51.92,51.11,51.78,2761200
2018-09-23 20:00:00-04:00,51.66,51.85,51.22,51.25,1403100
2018-09-24 20:00:00-04:00,51.19,51.21,50.44,50.66,1719600
2018-09-25 20:00:00-04:00,50.53,50.74,49.88,49.95,2079600
