Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,56.96,57.62,56.37,56.50,3528000
2022-04-06 20:00:00-04:00,56.26,56.64,55.47,56.36,3506800
2022-04-07 20:00:00-04:00,56.95,58.02,56.66,57.71,3140900
2022-04-10 20:00:00-04:00,57.71,58.77,57.10,57.20,3398200
2022-04-11 20:00:00-04:00,57.43,58.15,56.82,57.08,3518300
2022-04-12 20:00:00-04:00,56.86,57.63,56.49,57.57,3386400
2022-04-13 20:00:00-04:00,57.51,58.43,57.40,57.61,4399900
2022-04-17 20:00:00-04:00,57.32,58.60,57.32,58.41,2088700
2022-04-18 20:00:00-04:00,58.63,59.08,57.76,58.14,5089100
2022-04-19 20:00:00-04:00,58.45,59.56,58.45,58.87,3432500
2022-04-20 20:00:00-04:00,59.46,60.08,57.62,57.70,4244300
2022-04-21 20:00:00-04:00,57.59,57.59,55.15,55.25,4865200
2022-04-24 20:00:00-04:00,54.85,54.85,52.92,54.55,6587500
2022-04-25 20:00:00-04:00,53.78,54.51,52.67,52.70,4261100
2022-04-26 20:00:00-04:00,52.90,54.38,52.52,54.04,4989600
2022-04-27 20:00:00-04:00,54.63,55.26,53.46,54.88,4623700
2022-04-28 20:00:00-04:00,54.61,54.96,53.32,53.48,5789500
2022-05-01 20:00:00-04:00,53.90,54.34,52.71,53.98,4276900
2022-05-02 20:00:00-04:00,54.44,55.11,53.32,54.41,8013100
2022-05-03 20:00:00-04:00,54.92,58.55,54.66,58.45,7814600
2022-05-04 20:00:00-04:00,57.52,58.24,56.16,56.78,6021000
2022-05-05 20:00:00-04:00,56.77,57.15,55.93,56.88,5885500
2022-05-08 20:00:00-04:00,56.32,56.97,54.17,54.49,6605600
2022-05-09 20:00:00-04:00,55.05,56.17,52.67,53.65,6476600
2022-05-10 20:00:00-04:00,53.68,55.55,53.48,53.57,4809500
2022-05-11 20:00:00-04:00,53.39,53.97,52.32,53.39,4914400
2022-05-12 20:00:00-04:00,53.95,54.43,53.21,53.53,6119400
2022-05-15 20:00:00-04:00,53.63,54.09,52.90,53.60,4838900
2022-05-16 20:00:00-04:00,54.75,55.30,54.39,55.10,3910900
2022-05-17 20:00:00-04:00,54.60,54.97,53.09,53.29,5678800
2022-05-18 20:00:00-04:00,52.56,53.79,52.51,52.92,4576300
2022-05-19 20:00:00-04:00,53.14,53.50,49.20,50.84,8977100
2022-05-22 20:00:00-04:00,51.70,52.60,51.26,52.04,7948900
2022-05-23 20:00:00-04:00,51.82,51.93,50.00,51.65,5889400
2022-05-24 20:00:00-04:00,51.48,52.68,51.34,51.80,5805900
2022-05-25 20:00:00-04:00,52.63,53.16,52.21,52.77,6122600
2022-05-26 20:00:00-04:00,52.88,53.93,52.68,53.93,3891100
2022-05-30 20:00:00-04:00,53.61,54.62,53.17,53.64,5639200
2022-05-31 20:00:00-04:00,53.87,54.09,52.18,52.87,6103000
2022-06-01 20:00:00-04:00,52.94,53.20,52.20,53.17,3987500
2022-06-02 20:00:00-04:00,52.80,53.24,52.18,52.37,4809200
2022-06-05 20:00:00-04:00,52.84,54.27,52.47,53.92,4094300
2022-06-06 20:00:00-04:00,53.54,54.58,53.07,54.30,4555900
2022-06-07 20:00:00-04:00,53.90,54.13,52.60,52.78,3908000
2022-06-08 20:00:00-04:00,52.78,52.78,51.07,51.08,6573800
2022-06-09 20:00:00-04:00,49.62,50.02,48.82,48.84,7237800
2022-06-12 20:00:00-04:00,47.95,48.48,46.81,47.19,6091700
2022-06-13 20:00:00-04:00,47.60,48.45,47.17,47.55,5894300
2022-06-14 20:00:00-04:00,48.30,48.66,46.94,47.87,6844700
2022-06-15 20:00:00-04:00,46.79,46.86,45.14,45.96,7600300
2022-06-16 20:00:00-04:00,46.08,47.55,45.98,47.33,10738400
2022-06-20 20:00:00-04:00,48.74,48.86,47.54,47.96,4745100
2022-06-21 20:00:00-04:00,46.99,48.13,46.92,47.26,5491100
2022-06-22 20:00:00-04:00,47.09,47.37,45.42,45.62,6695000
2022-06-23 20:00:00-04:00,46.11,48.67,46.00,48.53,7883300
2022-06-26 20:00:00-04:00,48.40,48.83,47.37,47.75,4527500
2022-06-27 20:00:00-04:00,48.46,49.12,47.61,47.65,3495500
2022-06-28 20:00:00-04:00,47.97,48.06,46.66,46.72,4804700
2022-06-29 20:00:00-04:00,46.00,47.37,45.49,47.03,4068700
2022-06-30 20:00:00-04:00,47.00,47.97,46.67,47.84,3363500
2022-07-04 20:00:00-04:00,46.64,47.03,45.66,47.03,4265900
2022-07-05 20:00:00-04:00,46.62,47.22,46.19,46.89,3714700
2022-07-06 20:00:00-04:00,47.63,48.17,47.53,47.63,4695300
2022-07-07 20:00:00-04:00,47.85,48.18,47.24,47.34,2751900
2022-07-10 20:00:00-04:00,46.91,47.71,46.86,47.32,3566500
2022-07-11 20:00:00-04:00,46.90,47.97,46.90,47.02,3686500
2022-07-12 20:00:00-04:00,46.40,46.94,45.97,46.59,4195400
2022-07-13 20:00:00-04:00,45.15,45.49,44.51,44.53,5263800
2022-07-14 20:00:00-04:00,45.37,46.47,44.84,46.06,4393000
2022-07-17 20:00:00-04:00,46.57,47.26,45.67,45.88,3431000
2022-07-18 20:00:00-04:00,46.67,47.92,46.64,47.59,3350000
2022-07-19 20:00:00-04:00,47.26,47.74,46.92,47.38,3556200
2022-07-20 20:00:00-04:00,47.16,47.50,46.65,47.49,2740500
2022-07-21 20:00:00-04:00,47.59,48.17,46.77,47.21,3051700
2022-07-24 20:00:00-04:00,47.61,48.22,47.26,47.87,3390300
2022-07-25 20:00:00-04:00,47.61,48.20,47.21,47.58,2729300
2022-07-26 20:00:00-04:00,47.93,48.56,47.48,48.30,2676400
2022-07-27 20:00:00-04:00,48.30,48.50,46.16,46.44,8878600
2022-07-28 20:00:00-04:00,46.58,47.78,46.58,47.61,6882500
2022-07-31 20:00:00-04:00,47.14,47.47,46.74,46.94,4589600
2022-08-01 20:00:00-04:00,46.87,47.52,46.57,46.64,4977000
