Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,128.65,129.31,128.00,129.00,1110100
2018-07-02 20:00:00-04:00,129.88,130.49,128.41,128.59,346800
2018-07-04 20:00:00-04:00,129.58,130.10,128.79,129.24,1140600
2018-07-05 20:00:00-04:00,128.97,130.70,128.39,129.95,718800
2018-07-08 20:00:00-04:00,130.80,131.47,130.70,130.99,744100
2018-07-09 20:00:00-04:00,130.96,132.46,130.79,132.46,718500
2018-07-10 20:00:00-04:00,131.42,131.58,129.84,130.59,696300
2018-07-11 20:00:00-04:00,131.03,131.37,130.20,131.01,732000
2018-07-12 20:00:00-04:00,130.71,131.28,130.36,130.52,573100
2018-07-15 20:00:00-04:00,130.21,130.76,128.99,129.05,674600
2018-07-16 20:00:00-04:00,128.91,129.84,128.37,129.59,812800
2018-07-17 20:00:00-04:00,129.42,130.08,129.20,129.37,732100
2018-07-18 20:00:00-04:00,128.67,129.15,127.96,128.09,1429800
2018-07-19 20:00:00-04:00,127.36,128.97,126.94,128.05,2490300
2018-07-22 20:00:00-04:00,128.08,128.31,127.37,127.65,1166500
2018-07-23 20:00:00-04:00,128.96,129.83,128.45,128.83,1932600
2018-07-24 20:00:00-04:00,128.83,130.64,128.20,130.50,1348100
2018-07-25 20:00:00-04:00,131.75,135.18,131.75,134.02,1715200
2018-07-26 20:00:00-04:00,134.04,134.95,133.22,133.77,1252700
2018-07-29 20:00:00-04:00,134.21,135.77,133.53,133.76,1055500
2018-07-30 20:00:00-04:00,133.98,136.96,133.82,136.20,1655200
2018-07-31 20:00:00-04:00,136.00,136.15,133.72,134.43,1266700
2018-08-01 20:00:00-04:00,133.48,133.57,132.17,132.73,907300
2018-08-02 20:00:00-04:00,133.55,134.21,132.44,132.70,903400
2018-08-05 20:00:00-04:00,131.84,134.03,130.26,133.53,1031100
2018-08-06 20:00:00-04:00,133.83,134.52,133.38,133.50,740400
2018-08-07 20:00:00-04:00,133.79,134.25,132.82,133.28,573600
2018-08-08 20:00:00-04:00,133.27,134.19,132.94,133.14,588100
2018-08-09 20:00:00-04:00,132.66,132.69,130.54,130.97,923800
2018-08-12 20:00:00-04:00,134.56,137.08,133.82,134.76,1862400
2018-08-13 20:00:00-04:00,135.14,137.53,135.04,136.33,1617700
2018-08-14 20:00:00-04:00,135.33,136.49,134.22,136.23,1381400
2018-08-15 20:00:00-04:00,136.83,137.23,136.12,136.65,1169200
2018-08-16 20:00:00-04:00,136.30,138.25,136.11,138.22,1290400
2018-08-19 20:00:00-04:00,137.96,139.26,137.96,138.54,1342700
2018-08-20 20:00:00-04:00,139.04,139.14,137.71,137.80,892400
2018-08-21 20:00:00-04:00,137.81,137.81,136.30,136.35,842800
2018-08-22 20:00:00-04:00,136.35,136.60,135.72,136.40,672800
2018-08-23 20:00:00-04:00,136.71,138.12,136.21,137.69,512800
2018-08-26 20:00:00-04:00,138.15,139.19,137.79,138.79,650000
2018-08-27 20:00:00-04:00,138.89,139.47,138.03,138.55,706700
