Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,109.36,110.67,108.50,110.61,1013900
2022-04-06 20:00:00-04:00,110.56,110.56,108.09,109.53,1112800
2022-04-07 20:00:00-04:00,109.72,110.40,108.55,110.30,947800
2022-04-10 20:00:00-04:00,110.70,111.02,108.84,109.22,902200
2022-04-11 20:00:00-04:00,108.83,109.92,107.98,108.94,762300
2022-04-12 20:00:00-04:00,109.23,109.62,107.47,108.66,862100
2022-04-13 20:00:00-04:00,109.55,109.66,108.49,108.52,939200
2022-04-17 20:00:00-04:00,108.71,110.40,107.87,108.39,630000
2022-04-18 20:00:00-04:00,108.86,109.54,108.53,109.31,532400
2022-04-19 20:00:00-04:00,110.11,111.44,109.48,111.19,628200
2022-04-20 20:00:00-04:00,110.86,111.13,109.64,109.81,686200
2022-04-21 20:00:00-04:00,109.66,109.66,107.46,107.58,844100
2022-04-24 20:00:00-04:00,107.55,107.91,105.29,106.67,1052000
2022-04-25 20:00:00-04:00,106.83,107.71,105.97,106.08,874900
2022-04-26 20:00:00-04:00,106.24,107.17,104.60,105.18,797300
2022-04-27 20:00:00-04:00,105.79,106.56,104.95,105.86,819500
2022-04-28 20:00:00-04:00,105.56,105.56,102.42,102.77,2254200
2022-05-01 20:00:00-04:00,103.48,103.91,100.30,101.29,1086400
2022-05-02 20:00:00-04:00,101.72,103.82,101.47,102.06,915500
2022-05-03 20:00:00-04:00,102.65,104.50,102.50,104.50,994200
2022-05-04 20:00:00-04:00,104.49,106.49,103.25,104.26,1006600
2022-05-05 20:00:00-04:00,103.60,104.49,102.73,104.13,1356500
2022-05-08 20:00:00-04:00,103.81,104.00,102.43,102.98,1134400
2022-05-09 20:00:00-04:00,103.09,104.43,101.11,102.51,952600
2022-05-10 20:00:00-04:00,102.97,104.71,101.68,102.07,1064600
2022-05-11 20:00:00-04:00,102.10,102.75,100.66,101.59,1184800
2022-05-12 20:00:00-04:00,101.40,102.88,100.74,102.37,1086200
2022-05-15 20:00:00-04:00,102.94,103.59,102.19,102.56,1234000
2022-05-16 20:00:00-04:00,103.10,103.21,101.22,103.09,1040900
2022-05-17 20:00:00-04:00,103.65,103.65,101.14,101.37,1080400
2022-05-18 20:00:00-04:00,100.75,101.44,99.62,100.93,937800
2022-05-19 20:00:00-04:00,100.80,102.24,100.25,101.85,981400
2022-05-22 20:00:00-04:00,103.00,104.07,101.86,103.65,1294900
2022-05-23 20:00:00-04:00,104.11,106.18,103.54,105.80,937900
2022-05-24 20:00:00-04:00,105.68,106.50,105.25,105.70,1013600
2022-05-25 20:00:00-04:00,106.14,107.11,105.84,106.45,1083900
2022-05-26 20:00:00-04:00,106.24,107.28,105.63,107.27,909200
2022-05-30 20:00:00-04:00,106.22,106.22,104.95,106.06,2254200
2022-05-31 20:00:00-04:00,106.40,106.78,104.60,106.17,993000
2022-06-01 20:00:00-04:00,106.36,107.25,103.60,106.32,725000
2022-06-02 20:00:00-04:00,105.99,106.47,105.37,105.88,652400
2022-06-05 20:00:00-04:00,106.19,107.04,105.87,106.47,715600
2022-06-06 20:00:00-04:00,106.20,107.13,105.72,107.08,714800
2022-06-07 20:00:00-04:00,106.78,106.99,104.92,105.06,630500
2022-06-08 20:00:00-04:00,105.11,105.46,102.95,102.99,554400
2022-06-09 20:00:00-04:00,102.30,102.96,101.67,102.10,646000
2022-06-12 20:00:00-04:00,101.01,101.43,97.13,97.58,856500
2022-06-13 20:00:00-04:00,97.76,98.81,95.21,96.24,906700
2022-06-14 20:00:00-04:00,96.81,98.51,95.95,96.74,982500
2022-06-15 20:00:00-04:00,95.61,95.88,94.52,95.36,990800
2022-06-16 20:00:00-04:00,95.80,96.18,93.05,94.39,2207000
2022-06-20 20:00:00-04:00,94.53,96.64,94.38,96.17,839700
2022-06-21 20:00:00-04:00,95.05,96.99,95.05,96.35,627900
2022-06-22 20:00:00-04:00,96.87,97.84,96.85,97.60,669800
2022-06-23 20:00:00-04:00,98.16,100.00,97.94,99.61,723400
2022-06-26 20:00:00-04:00,99.33,101.19,99.29,100.99,511100
2022-06-27 20:00:00-04:00,101.26,102.28,100.73,100.90,521200
2022-06-28 20:00:00-04:00,101.05,101.52,100.39,101.12,726800
2022-06-29 20:00:00-04:00,100.41,102.75,100.39,102.22,829600
2022-06-30 20:00:00-04:00,102.60,105.23,102.10,105.00,800000
2022-07-04 20:00:00-04:00,104.53,104.74,99.36,100.86,838100
2022-07-05 20:00:00-04:00,101.23,103.60,100.70,103.04,643100
2022-07-06 20:00:00-04:00,103.60,103.72,102.40,102.44,673100
2022-07-07 20:00:00-04:00,102.77,102.89,101.82,102.17,585900
2022-07-10 20:00:00-04:00,101.86,103.01,101.46,102.24,673400
2022-07-11 20:00:00-04:00,101.46,102.69,101.32,101.99,519200
2022-07-12 20:00:00-04:00,101.19,102.13,100.58,101.29,565300
2022-07-13 20:00:00-04:00,99.77,101.52,99.77,101.14,748200
2022-07-14 20:00:00-04:00,102.29,102.39,100.75,102.04,1145500
2022-07-17 20:00:00-04:00,102.25,102.58,101.59,102.04,927700
2022-07-18 20:00:00-04:00,102.61,103.55,102.36,103.47,1029600
2022-07-19 20:00:00-04:00,103.55,103.98,101.67,101.85,1193500
2022-07-20 20:00:00-04:00,101.58,103.12,101.45,102.69,706400
2022-07-21 20:00:00-04:00,103.16,103.81,102.54,103.36,588700
2022-07-24 20:00:00-04:00,103.50,104.80,103.27,104.65,830500
2022-07-25 20:00:00-04:00,104.86,106.17,104.69,106.00,680700
2022-07-26 20:00:00-04:00,105.73,106.54,105.15,106.22,979300
2022-07-27 20:00:00-04:00,106.92,109.56,106.17,109.36,853800
2022-07-28 20:00:00-04:00,109.60,111.17,109.32,110.69,1185800
2022-07-31 20:00:00-04:00,110.32,110.74,109.39,110.49,1085900
2022-08-01 20:00:00-04:00,110.45,111.05,109.40,109.51,920400
2022-08-02 20:00:00-04:00,108.98,109.03,106.61,108.77,947600
2022-08-03 20:00:00-04:00,107.82,108.71,105.34,105.62,1105300
2022-08-04 20:00:00-04:00,105.27,105.43,103.10,103.85,1106000
2022-08-07 20:00:00-04:00,104.31,105.04,103.60,104.50,1474400
2022-08-08 20:00:00-04:00,105.26,105.59,104.58,105.12,988700
2022-08-09 20:00:00-04:00,105.40,105.81,104.19,104.38,2173300
2022-08-10 20:00:00-04:00,104.16,105.65,104.04,105.11,2238700
2022-08-11 20:00:00-04:00,105.69,106.68,105.23,106.64,1578100
2022-08-14 20:00:00-04:00,106.63,107.40,105.97,107.04,1789500
2022-08-15 20:00:00-04:00,107.12,107.48,106.31,107.22,759300
2022-08-16 20:00:00-04:00,107.09,107.82,106.27,107.29,966200
2022-08-17 20:00:00-04:00,107.52,107.88,107.12,107.67,604900
2022-08-18 20:00:00-04:00,107.68,108.60,107.33,108.23,812000
2022-08-21 20:00:00-04:00,107.96,107.96,106.41,106.53,604400
2022-08-22 20:00:00-04:00,106.65,106.86,105.77,106.59,836100
2022-08-23 20:00:00-04:00,106.98,107.21,106.26,107.05,631600
2022-08-24 20:00:00-04:00,107.25,107.94,106.85,107.84,519400
2022-08-25 20:00:00-04:00,107.87,108.05,106.27,106.38,801600
2022-08-28 20:00:00-04:00,106.16,107.43,105.64,106.72,656400
2022-08-29 20:00:00-04:00,106.99,106.99,104.62,104.95,626200
2022-08-30 20:00:00-04:00,105.24,105.34,103.95,103.98,938200
2022-08-31 20:00:00-04:00,104.05,105.59,103.54,105.27,715900
2022-09-01 20:00:00-04:00,105.63,106.84,104.75,105.06,883400
2022-09-05 20:00:00-04:00,105.17,106.55,104.46,104.75,564400
2022-09-06 20:00:00-04:00,105.21,107.96,105.21,107.89,671500
2022-09-07 20:00:00-04:00,107.66,108.25,106.94,108.18,914400
2022-09-08 20:00:00-04:00,108.63,108.90,107.67,108.30,654600
