Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,57.93,58.04,57.39,58.03,1526500
2018-07-02 20:00:00-04:00,58.47,58.62,57.64,57.82,864400
2018-07-04 20:00:00-04:00,58.04,58.43,57.50,58.34,2247500
2018-07-05 20:00:00-04:00,58.46,58.91,58.20,58.81,2269700
2018-07-08 20:00:00-04:00,58.94,59.78,58.94,59.59,1508600
2018-07-09 20:00:00-04:00,59.82,60.17,59.54,60.11,1924400
2018-07-10 20:00:00-04:00,59.09,59.74,59.09,59.34,1780500
2018-07-11 20:00:00-04:00,59.79,60.21,59.75,59.90,1748100
2018-07-12 20:00:00-04:00,59.97,60.26,59.67,59.83,963700
2018-07-15 20:00:00-04:00,59.69,59.69,59.13,59.21,929300
2018-07-16 20:00:00-04:00,59.02,59.72,58.67,59.51,1469800
2018-07-17 20:00:00-04:00,59.50,59.69,59.24,59.47,1202300
2018-07-18 20:00:00-04:00,60.05,61.03,59.85,60.56,1726700
2018-07-19 20:00:00-04:00,60.26,60.73,60.12,60.28,1619900
2018-07-22 20:00:00-04:00,60.14,60.42,59.82,60.16,1417500
2018-07-23 20:00:00-04:00,60.36,61.69,60.13,61.17,2454400
2018-07-24 20:00:00-04:00,61.50,62.35,61.21,62.27,2925800
2018-07-25 20:00:00-04:00,62.31,63.09,62.14,63.02,2583500
2018-07-26 20:00:00-04:00,62.92,63.03,61.70,62.07,2638900
2018-07-29 20:00:00-04:00,62.19,62.37,60.90,61.01,1601200
2018-07-30 20:00:00-04:00,61.30,62.96,60.93,62.35,2539200
2018-07-31 20:00:00-04:00,62.16,62.47,61.01,61.34,2679200
2018-08-01 20:00:00-04:00,61.13,61.73,60.89,61.64,2263200
2018-08-02 20:00:00-04:00,61.84,62.11,61.33,62.05,1857300
2018-08-05 20:00:00-04:00,62.02,62.93,61.68,62.79,2873100
2018-08-06 20:00:00-04:00,63.09,64.14,62.90,63.87,2829000
2018-08-07 20:00:00-04:00,63.95,64.34,63.57,63.61,1681900
2018-08-08 20:00:00-04:00,63.71,63.84,62.88,62.96,1727800
2018-08-09 20:00:00-04:00,63.08,63.13,62.24,62.55,2165900
2018-08-12 20:00:00-04:00,62.72,63.24,62.00,62.25,2983100
2018-08-13 20:00:00-04:00,62.36,63.50,62.36,63.02,3110100
2018-08-14 20:00:00-04:00,62.25,62.68,60.63,61.11,5033400
2018-08-15 20:00:00-04:00,61.40,62.00,61.18,61.84,3149500
2018-08-16 20:00:00-04:00,61.82,61.82,60.68,61.04,2449200
2018-08-19 20:00:00-04:00,60.96,61.47,60.85,60.86,1619900
2018-08-20 20:00:00-04:00,61.12,61.74,61.01,61.30,2982800
2018-08-21 20:00:00-04:00,61.12,62.19,60.94,61.98,2565600
2018-08-22 20:00:00-04:00,62.02,62.30,61.86,62.02,2287700
2018-08-23 20:00:00-04:00,62.06,62.55,61.92,62.29,1904200
2018-08-26 20:00:00-04:00,62.62,62.64,62.18,62.38,1158800
2018-08-27 20:00:00-04:00,62.69,63.54,62.64,62.96,2284300
2018-08-28 20:00:00-04:00,62.96,63.52,62.69,63.26,1852100
2018-08-29 20:00:00-04:00,63.25,63.87,63.12,63.50,2246300
2018-08-30 20:00:00-04:00,63.38,63.77,63.30,63.76,1582400
2018-09-03 20:00:00-04:00,63.57,63.78,63.11,63.51,1728000
2018-09-04 20:00:00-04:00,63.52,63.63,63.03,63.21,1859600
2018-09-05 20:00:00-04:00,63.25,63.77,63.09,63.59,1031500
2018-09-06 20:00:00-04:00,63.39,64.04,63.28,63.63,1585500
2018-09-09 20:00:00-04:00,64.03,64.58,63.93,64.13,2065700
2018-09-10 20:00:00-04:00,63.91,64.25,63.71,63.84,1676700
2018-09-11 20:00:00-04:00,63.82,64.21,63.49,64.11,1125400
2018-09-12 20:00:00-04:00,64.29,65.76,64.19,65.45,2495000
2018-09-13 20:00:00-04:00,65.40,65.53,64.72,65.00,1461100
2018-09-16 20:00:00-04:00,65.74,65.76,65.14,65.22,1816600
2018-09-17 20:00:00-04:00,65.23,65.39,64.58,65.07,1780400
2018-09-18 20:00:00-04:00,65.18,65.74,65.03,65.67,1183400
2018-09-19 20:00:00-04:00,65.83,67.18,65.80,67.15,2865600
2018-09-20 20:00:00-04:00,67.43,67.46,66.61,66.76,3119700
2018-09-23 20:00:00-04:00,66.73,66.73,65.80,66.04,2333600
2018-09-24 20:00:00-04:00,66.24,66.87,66.00,66.44,2090200
2018-09-25 20:00:00-04:00,66.62,67.02,66.13,66.40,1830300
2018-09-26 20:00:00-04:00,66.63,66.89,66.18,66.84,1581700
2018-09-27 20:00:00-04:00,66.74,67.03,66.52,66.59,2248100
2018-09-30 20:00:00-04:00,66.87,67.72,66.84,67.42,2837500
2018-10-01 20:00:00-04:00,67.40,67.86,67.15,67.81,2617500
2018-10-02 20:00:00-04:00,67.81,68.47,67.74,68.23,3203100
2018-10-03 20:00:00-04:00,68.04,68.24,66.68,66.85,2961800
2018-10-04 20:00:00-04:00,66.86,67.34,65.70,66.51,2376800
2018-10-07 20:00:00-04:00,66.19,66.27,65.25,65.75,2179400
2018-10-08 20:00:00-04:00,65.60,65.87,65.00,65.67,2179200
2018-10-09 20:00:00-04:00,65.67,65.67,63.02,63.07,3055700
2018-10-10 20:00:00-04:00,63.05,63.36,61.13,61.39,3624200
2018-10-11 20:00:00-04:00,62.53,63.41,61.78,62.67,3669500
2018-10-14 20:00:00-04:00,62.36,62.77,61.83,62.09,1602800
2018-10-15 20:00:00-04:00,62.68,63.93,62.43,63.82,1868300
2018-10-16 20:00:00-04:00,63.55,63.82,62.73,63.57,1991200
2018-10-17 20:00:00-04:00,63.50,63.57,61.74,62.20,2327300
2018-10-18 20:00:00-04:00,62.26,62.67,60.77,60.99,2418300
2018-10-21 20:00:00-04:00,61.20,61.34,60.11,60.81,2227900
2018-10-22 20:00:00-04:00,59.43,59.72,58.07,59.35,4219800
2018-10-23 20:00:00-04:00,59.53,60.32,57.72,57.83,3481200
2018-10-24 20:00:00-04:00,58.17,59.50,57.78,59.23,3318300
2018-10-25 20:00:00-04:00,58.49,59.71,57.83,59.35,3119900
2018-10-28 20:00:00-04:00,60.22,60.71,57.83,58.73,2919900
2018-10-29 20:00:00-04:00,58.99,60.28,58.35,60.21,3076700
2018-10-30 20:00:00-04:00,60.88,62.42,60.73,61.29,3820700
2018-10-31 20:00:00-04:00,61.56,61.82,61.10,61.70,1882400
2018-11-01 20:00:00-04:00,62.25,63.02,61.91,62.37,2272100
2018-11-04 19:00:00-05:00,62.47,62.81,61.71,62.35,2348700
2018-11-05 19:00:00-05:00,62.48,62.84,62.13,62.42,2287300
2018-11-06 19:00:00-05:00,62.92,64.69,62.70,64.58,2700600
2018-11-07 19:00:00-05:00,64.32,64.67,63.75,64.13,2444600
2018-11-08 19:00:00-05:00,63.95,64.10,63.10,63.64,2573500
2018-11-11 19:00:00-05:00,62.59,62.68,60.97,61.02,3000000
2018-11-12 19:00:00-05:00,61.11,61.94,60.49,60.87,2216500
2018-11-13 19:00:00-05:00,61.15,61.34,59.87,60.05,4852600
2018-11-14 19:00:00-05:00,59.90,61.45,59.17,61.23,3846100
2018-11-15 19:00:00-05:00,60.91,62.06,60.91,61.48,2963300
2018-11-18 19:00:00-05:00,61.18,61.46,59.03,59.23,3392100
2018-11-19 19:00:00-05:00,62.68,64.74,61.43,63.88,5033400
2018-11-20 19:00:00-05:00,64.01,64.97,63.57,64.07,3557600
2018-11-22 19:00:00-05:00,63.42,64.91,63.42,64.53,1374300
2018-11-25 19:00:00-05:00,65.22,65.56,64.70,65.51,2406300
2018-11-26 19:00:00-05:00,65.15,65.77,64.99,65.62,2533600
2018-11-27 19:00:00-05:00,66.05,67.63,65.68,67.62,2661300
2018-11-28 19:00:00-05:00,67.39,68.29,67.39,67.71,2625800
2018-11-29 19:00:00-05:00,67.77,68.73,67.49,68.45,2279500
2018-12-02 19:00:00-05:00,69.37,70.76,69.24,70.64,4265200
2018-12-03 19:00:00-05:00,70.67,71.06,68.71,68.98,4263800
2018-12-05 19:00:00-05:00,67.36,68.05,66.13,68.03,3505900
2018-12-06 19:00:00-05:00,67.84,68.20,65.89,66.46,2184500
2018-12-09 19:00:00-05:00,66.63,66.90,64.87,66.78,2347200
2018-12-10 19:00:00-05:00,67.89,68.53,66.89,67.22,2926000
2018-12-11 19:00:00-05:00,68.28,69.10,67.74,67.88,2842900
2018-12-12 19:00:00-05:00,68.25,68.76,67.08,67.30,2200600
2018-12-13 19:00:00-05:00,66.62,66.80,65.40,65.62,1982700
2018-12-16 19:00:00-05:00,65.38,65.87,63.76,64.19,2241700
2018-12-17 19:00:00-05:00,64.76,65.31,63.75,64.32,2112000
2018-12-18 19:00:00-05:00,64.59,65.36,62.26,63.22,2845500
2018-12-19 19:00:00-05:00,62.75,62.87,61.11,61.67,3547800
2018-12-20 19:00:00-05:00,61.70,62.66,59.81,59.88,4683100
2018-12-23 19:00:00-05:00,59.54,60.20,58.86,59.29,1668500
2018-12-25 19:00:00-05:00,59.54,62.04,59.37,62.00,1701800
2018-12-26 19:00:00-05:00,61.02,62.91,60.55,62.89,1655000
2018-12-27 19:00:00-05:00,63.52,63.66,62.32,62.56,1927700
