Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,54.62,54.67,54.18,54.37,1032300
2018-07-02 20:00:00-04:00,54.38,54.38,53.08,53.33,1912800
2018-07-04 20:00:00-04:00,53.41,54.49,53.12,54.43,2264200
2018-07-05 20:00:00-04:00,54.54,55.06,54.25,54.73,1191600
2018-07-08 20:00:00-04:00,54.94,55.09,54.44,54.47,1030100
2018-07-09 20:00:00-04:00,54.55,55.27,54.55,55.05,1227000
2018-07-10 20:00:00-04:00,55.09,55.60,54.59,54.71,1198600
2018-07-11 20:00:00-04:00,54.84,55.04,53.90,54.00,1154900
2018-07-12 20:00:00-04:00,54.11,54.18,53.40,53.70,1181300
2018-07-15 20:00:00-04:00,53.72,53.88,52.83,53.06,1119000
2018-07-16 20:00:00-04:00,53.30,53.94,53.16,53.91,1029400
2018-07-17 20:00:00-04:00,53.78,54.07,53.53,53.65,650400
2018-07-18 20:00:00-04:00,53.74,54.10,53.25,53.31,736500
2018-07-19 20:00:00-04:00,53.20,53.41,52.87,53.35,807300
2018-07-22 20:00:00-04:00,53.26,53.57,53.00,53.06,1097300
2018-07-23 20:00:00-04:00,53.13,53.88,53.08,53.17,1822100
2018-07-24 20:00:00-04:00,53.16,53.65,52.80,53.40,1193600
2018-07-25 20:00:00-04:00,53.29,54.16,53.21,53.71,890100
2018-07-26 20:00:00-04:00,53.77,53.83,53.22,53.34,600600
2018-07-29 20:00:00-04:00,53.31,53.61,53.20,53.46,833300
2018-07-30 20:00:00-04:00,54.17,54.51,53.85,54.22,1368900
2018-07-31 20:00:00-04:00,53.37,53.53,51.71,51.76,3672500
2018-08-01 20:00:00-04:00,51.96,52.09,51.11,52.04,2019700
2018-08-02 20:00:00-04:00,51.96,52.23,51.75,51.83,864000
2018-08-05 20:00:00-04:00,51.82,52.14,51.76,51.94,640300
2018-08-06 20:00:00-04:00,51.84,52.95,51.84,52.32,1370300
2018-08-07 20:00:00-04:00,52.36,52.47,51.53,51.60,1000400
2018-08-08 20:00:00-04:00,51.53,51.69,50.91,51.13,1092900
2018-08-09 20:00:00-04:00,50.96,51.10,49.43,49.71,1809800
2018-08-12 20:00:00-04:00,49.56,49.61,48.15,48.33,3092500
2018-08-13 20:00:00-04:00,48.55,48.72,48.16,48.58,1355800
