Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,87.86,87.92,86.17,87.26,10557550
2022-04-06 20:00:00-04:00,86.71,87.35,85.26,86.90,7489075
2022-04-07 20:00:00-04:00,86.52,87.49,85.07,85.11,7541550
2022-04-10 20:00:00-04:00,84.42,86.76,84.22,85.18,6315125
2022-04-11 20:00:00-04:00,86.27,87.66,85.32,85.66,6959050
2022-04-12 20:00:00-04:00,86.08,89.23,86.02,88.75,8212375
2022-04-13 20:00:00-04:00,89.41,90.61,86.91,87.46,10055250
2022-04-17 20:00:00-04:00,86.78,87.41,85.33,86.36,8236075
2022-04-18 20:00:00-04:00,86.58,88.47,86.58,87.93,8491300
2022-04-19 20:00:00-04:00,88.74,89.69,88.10,88.42,6638500
2022-04-20 20:00:00-04:00,90.94,91.80,87.34,87.93,9746000
2022-04-21 20:00:00-04:00,87.41,88.90,86.77,86.93,7544650
2022-04-24 20:00:00-04:00,86.07,89.00,85.86,88.19,10508175
2022-04-25 20:00:00-04:00,87.64,88.09,84.77,84.81,11089150
2022-04-26 20:00:00-04:00,85.91,89.53,85.76,88.70,11596850
2022-04-27 20:00:00-04:00,89.76,92.80,88.71,91.01,12127425
2022-04-28 20:00:00-04:00,90.02,90.91,86.63,86.79,11829125
2022-05-01 20:00:00-04:00,86.66,87.35,83.09,86.11,14877775
2022-05-02 20:00:00-04:00,86.53,86.60,80.96,82.69,15508000
2022-05-03 20:00:00-04:00,81.99,82.84,78.42,82.59,19497550
2022-05-04 20:00:00-04:00,90.31,90.63,84.69,85.28,19497550
2022-05-05 20:00:00-04:00,84.23,88.15,81.78,86.16,17251750
2022-05-08 20:00:00-04:00,82.67,84.16,79.35,79.46,16795600
2022-05-09 20:00:00-04:00,82.45,82.45,79.07,80.30,12288100
2022-05-10 20:00:00-04:00,81.03,83.88,78.99,81.37,11544275
2022-05-11 20:00:00-04:00,80.55,83.04,78.61,80.62,10911350
2022-05-12 20:00:00-04:00,82.63,83.44,81.37,82.53,7550050
2022-05-15 20:00:00-04:00,81.91,82.25,79.85,80.34,7236650
