Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,26.31,26.53,25.80,26.40,3634600
2018-07-02 20:00:00-04:00,26.93,27.12,26.60,26.68,2004600
2018-07-04 20:00:00-04:00,26.71,26.89,26.59,26.65,2406100
2018-07-05 20:00:00-04:00,26.58,27.18,26.42,26.98,2491800
2018-07-08 20:00:00-04:00,27.16,27.86,27.10,27.60,2481900
2018-07-09 20:00:00-04:00,27.65,27.90,27.17,27.46,2315600
2018-07-10 20:00:00-04:00,27.13,27.30,26.19,26.38,3758100
2018-07-11 20:00:00-04:00,26.44,26.61,26.02,26.26,4180800
2018-07-12 20:00:00-04:00,26.19,26.52,25.98,26.15,2337600
2018-07-15 20:00:00-04:00,25.84,26.04,25.71,25.91,1387700
2018-07-16 20:00:00-04:00,25.80,26.28,25.64,26.16,3691500
2018-07-17 20:00:00-04:00,25.77,26.22,25.49,26.08,4141700
2018-07-18 20:00:00-04:00,25.84,26.08,25.43,25.47,5255800
2018-07-19 20:00:00-04:00,25.08,26.20,24.69,25.64,8592000
2018-07-22 20:00:00-04:00,25.52,26.25,25.11,26.04,5229800
2018-07-23 20:00:00-04:00,26.44,26.79,26.31,26.44,5201900
2018-07-24 20:00:00-04:00,26.52,26.81,26.11,26.66,4976700
2018-07-25 20:00:00-04:00,26.66,27.27,26.36,27.26,3515400
2018-07-26 20:00:00-04:00,27.11,28.08,27.11,27.83,3865000
2018-07-29 20:00:00-04:00,28.30,28.35,27.75,27.80,3035100
2018-07-30 20:00:00-04:00,27.45,27.97,27.45,27.71,3416200
2018-07-31 20:00:00-04:00,27.44,27.51,27.04,27.46,2943700
2018-08-01 20:00:00-04:00,27.12,27.38,26.95,27.20,2175300
2018-08-02 20:00:00-04:00,27.15,27.39,26.72,27.15,4126300
2018-08-05 20:00:00-04:00,27.17,28.04,27.11,27.97,4814300
2018-08-06 20:00:00-04:00,28.25,28.49,28.05,28.19,2661200
2018-08-07 20:00:00-04:00,28.06,28.18,27.87,28.09,2312500
2018-08-08 20:00:00-04:00,27.94,28.13,27.56,27.78,3040200
2018-08-09 20:00:00-04:00,27.74,28.08,27.54,27.85,2381200
2018-08-12 20:00:00-04:00,27.79,27.94,27.27,27.48,4305700
2018-08-13 20:00:00-04:00,27.57,27.81,27.10,27.33,4357300
2018-08-14 20:00:00-04:00,26.99,27.05,25.61,25.62,4941400
2018-08-15 20:00:00-04:00,25.83,25.95,25.30,25.44,3431300
2018-08-16 20:00:00-04:00,25.47,25.53,24.82,24.98,4408900
2018-08-19 20:00:00-04:00,25.40,25.84,25.24,25.78,3837100
2018-08-20 20:00:00-04:00,26.24,26.24,25.97,26.01,2823800
2018-08-21 20:00:00-04:00,26.28,26.33,25.92,26.20,2482500
2018-08-22 20:00:00-04:00,26.08,26.13,25.83,26.03,2958500
2018-08-23 20:00:00-04:00,26.31,26.52,26.12,26.41,1727700
2018-08-26 20:00:00-04:00,26.34,27.18,26.34,26.81,1756900
2018-08-27 20:00:00-04:00,26.86,27.36,26.78,26.91,3089700
2018-08-28 20:00:00-04:00,26.94,27.53,26.88,27.39,2639500
2018-08-29 20:00:00-04:00,27.32,27.51,27.22,27.37,1767500
2018-08-30 20:00:00-04:00,27.32,27.32,26.36,26.56,2893000
2018-09-03 20:00:00-04:00,26.57,26.77,25.96,26.08,2243900
2018-09-04 20:00:00-04:00,25.84,25.84,25.26,25.51,2178100
