Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,107.29,107.29,102.17,103.14,4792200
2022-04-06 20:00:00-04:00,101.18,102.13,98.27,100.87,6040300
2022-04-07 20:00:00-04:00,100.84,103.19,100.09,100.29,2695300
2022-04-10 20:00:00-04:00,98.71,99.55,97.13,98.39,3749000
2022-04-11 20:00:00-04:00,100.33,102.92,98.03,98.94,2945300
2022-04-12 20:00:00-04:00,99.25,101.66,98.94,101.57,2950700
2022-04-13 20:00:00-04:00,101.98,102.48,98.48,98.55,2624600
2022-04-17 20:00:00-04:00,98.39,98.87,96.43,97.69,2353300
2022-04-18 20:00:00-04:00,97.95,102.91,97.66,102.48,3306300
2022-04-19 20:00:00-04:00,103.53,106.64,102.83,105.01,5236400
2022-04-20 20:00:00-04:00,110.00,110.61,97.86,98.24,8310100
2022-04-21 20:00:00-04:00,98.57,99.82,96.42,96.47,7339300
2022-04-24 20:00:00-04:00,95.51,98.37,92.31,98.15,4666800
2022-04-25 20:00:00-04:00,97.57,98.06,93.48,93.58,3926800
2022-04-26 20:00:00-04:00,93.92,95.90,92.65,93.74,3068100
2022-04-27 20:00:00-04:00,95.07,95.87,90.96,94.46,4198200
2022-04-28 20:00:00-04:00,94.12,96.16,89.55,89.69,5109700
2022-05-01 20:00:00-04:00,89.69,94.07,89.51,93.43,7478800
2022-05-02 20:00:00-04:00,92.76,95.97,92.42,95.03,3995300
2022-05-03 20:00:00-04:00,95.40,98.84,92.94,98.55,4283300
2022-05-04 20:00:00-04:00,97.28,98.19,91.28,92.68,6325800
2022-05-05 20:00:00-04:00,91.97,92.57,87.94,89.62,5945600
2022-05-08 20:00:00-04:00,87.73,90.47,84.95,85.36,8106800
2022-05-09 20:00:00-04:00,89.41,90.21,85.19,87.44,5417000
2022-05-10 20:00:00-04:00,85.82,89.80,83.91,85.39,5529000
2022-05-11 20:00:00-04:00,84.13,87.90,82.64,87.79,6275800
2022-05-12 20:00:00-04:00,89.71,95.78,89.66,95.21,6445800
2022-05-15 20:00:00-04:00,94.25,94.91,92.15,92.45,3841600
2022-05-16 20:00:00-04:00,95.41,95.95,93.67,95.13,3401100
2022-05-17 20:00:00-04:00,93.28,94.63,91.11,91.43,4142100
2022-05-18 20:00:00-04:00,89.89,92.94,89.55,92.35,4129500
2022-05-19 20:00:00-04:00,93.93,96.06,91.65,94.99,4775700
2022-05-22 20:00:00-04:00,95.90,96.01,93.30,95.77,4463300
2022-05-23 20:00:00-04:00,93.26,95.53,91.24,95.28,6344600
2022-05-24 20:00:00-04:00,93.58,99.19,93.07,98.06,4701900
2022-05-25 20:00:00-04:00,98.80,104.86,98.20,104.46,6722100
2022-05-26 20:00:00-04:00,105.72,107.19,104.68,106.88,6322600
2022-05-30 20:00:00-04:00,105.75,106.23,102.61,104.01,7242100
2022-05-31 20:00:00-04:00,104.17,105.34,101.51,102.51,2768800
2022-06-01 20:00:00-04:00,102.85,108.15,102.05,107.48,4375300
2022-06-02 20:00:00-04:00,105.80,108.77,105.31,107.16,2845800
2022-06-05 20:00:00-04:00,104.21,105.81,102.35,104.91,4956300
2022-06-06 20:00:00-04:00,104.33,106.16,103.55,105.82,3156600
2022-06-07 20:00:00-04:00,104.69,104.91,102.14,102.79,3623800
2022-06-08 20:00:00-04:00,102.58,102.58,100.19,100.53,4258900
2022-06-09 20:00:00-04:00,97.47,97.99,93.13,95.04,5445000
2022-06-12 20:00:00-04:00,90.23,90.75,85.63,86.11,8145200
2022-06-13 20:00:00-04:00,86.54,88.39,83.47,84.26,7031700
2022-06-14 20:00:00-04:00,85.61,87.55,83.72,85.48,8672900
2022-06-15 20:00:00-04:00,82.45,82.54,77.17,79.19,9253200
2022-06-16 20:00:00-04:00,79.82,81.73,78.64,79.69,8031900
2022-06-20 20:00:00-04:00,81.68,82.74,80.47,80.56,7361400
2022-06-21 20:00:00-04:00,78.88,81.95,78.63,80.59,5238300
2022-06-22 20:00:00-04:00,81.54,84.22,80.06,82.43,5501700
2022-06-23 20:00:00-04:00,83.90,87.36,83.90,87.31,5545500
2022-06-26 20:00:00-04:00,88.02,88.92,85.93,86.42,3918900
2022-06-27 20:00:00-04:00,87.49,88.72,82.71,83.75,4101100
2022-06-28 20:00:00-04:00,83.52,83.85,79.90,80.42,4089100
2022-06-29 20:00:00-04:00,78.59,81.27,76.80,80.56,4637600
2022-06-30 20:00:00-04:00,79.86,82.19,79.40,81.97,2687300
2022-07-04 20:00:00-04:00,80.07,83.48,78.73,83.03,3761000
2022-07-05 20:00:00-04:00,83.17,85.38,81.51,82.98,3368400
2022-07-06 20:00:00-04:00,84.33,86.49,84.22,85.97,2761000
2022-07-07 20:00:00-04:00,85.44,86.42,83.66,84.90,2411700
2022-07-10 20:00:00-04:00,84.04,84.41,82.65,84.07,3233000
2022-07-11 20:00:00-04:00,83.56,85.30,82.52,83.02,2423100
2022-07-12 20:00:00-04:00,80.68,82.19,77.83,80.71,3657700
