Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,200.20,202.07,198.74,201.21,2783300
2022-04-06 20:00:00-04:00,200.51,201.30,198.74,200.92,2253600
2022-04-07 20:00:00-04:00,200.82,202.77,199.18,201.97,2450200
2022-04-10 20:00:00-04:00,201.97,203.58,200.78,201.06,2494700
2022-04-11 20:00:00-04:00,200.50,204.25,200.07,201.67,2508200
2022-04-12 20:00:00-04:00,201.88,204.44,201.39,203.13,1898900
2022-04-13 20:00:00-04:00,204.65,213.32,203.44,212.01,5337900
2022-04-17 20:00:00-04:00,212.18,218.12,212.18,213.97,3644000
2022-04-18 20:00:00-04:00,214.28,216.78,211.78,216.05,2689400
2022-04-19 20:00:00-04:00,217.35,219.97,216.45,218.77,2907700
2022-04-20 20:00:00-04:00,220.78,221.40,215.58,216.44,3571400
2022-04-21 20:00:00-04:00,213.57,214.87,201.61,202.26,5053700
2022-04-24 20:00:00-04:00,201.33,202.91,195.97,202.63,4145500
2022-04-25 20:00:00-04:00,202.10,204.04,195.76,196.65,4176700
2022-04-26 20:00:00-04:00,197.41,201.56,193.84,200.07,3358300
2022-04-27 20:00:00-04:00,193.97,199.14,188.89,198.65,6092800
2022-04-28 20:00:00-04:00,198.89,203.11,196.52,196.87,3404000
2022-05-01 20:00:00-04:00,196.37,198.96,194.18,198.30,2639500
2022-05-02 20:00:00-04:00,198.15,201.38,197.11,199.75,2121100
2022-05-03 20:00:00-04:00,201.00,208.80,199.95,208.14,3023700
2022-05-04 20:00:00-04:00,207.96,208.67,199.89,201.91,3005600
2022-05-05 20:00:00-04:00,202.92,202.92,196.70,200.72,2268400
2022-05-08 20:00:00-04:00,198.27,198.29,192.11,192.90,2929900
2022-05-09 20:00:00-04:00,194.72,195.92,188.32,189.81,3040400
2022-05-10 20:00:00-04:00,192.22,196.10,190.38,191.89,2552400
2022-05-11 20:00:00-04:00,190.39,192.01,186.36,189.85,3282000
2022-05-12 20:00:00-04:00,191.83,193.06,189.75,191.07,2323800
2022-05-15 20:00:00-04:00,191.71,195.63,190.46,193.74,2540800
2022-05-16 20:00:00-04:00,198.99,199.89,195.56,199.26,2275900
2022-05-17 20:00:00-04:00,199.96,203.76,194.05,194.44,4723300
2022-05-18 20:00:00-04:00,192.50,195.70,188.62,193.34,2887700
2022-05-19 20:00:00-04:00,193.05,193.22,181.45,184.98,5404500
2022-05-22 20:00:00-04:00,186.95,192.15,186.23,190.90,3246600
2022-05-23 20:00:00-04:00,188.90,192.35,188.22,192.30,2467800
2022-05-24 20:00:00-04:00,191.69,196.45,191.53,195.72,3080200
2022-05-25 20:00:00-04:00,197.82,199.77,196.74,199.17,2016000
2022-05-26 20:00:00-04:00,201.04,203.50,200.26,203.05,2020400
2022-05-30 20:00:00-04:00,200.85,203.93,199.63,201.84,3773500
2022-05-31 20:00:00-04:00,204.28,204.78,200.39,203.45,2314000
2022-06-01 20:00:00-04:00,205.34,206.51,203.15,205.72,1784100
2022-06-02 20:00:00-04:00,204.08,209.55,204.08,208.43,2222500
2022-06-05 20:00:00-04:00,208.43,210.17,207.82,209.11,1565400
2022-06-06 20:00:00-04:00,207.59,212.52,207.26,212.36,1799000
2022-06-07 20:00:00-04:00,210.67,217.27,210.04,214.88,4171300
2022-06-08 20:00:00-04:00,212.67,213.40,209.11,209.15,3045700
2022-06-09 20:00:00-04:00,205.25,205.93,201.05,201.21,2604100
2022-06-12 20:00:00-04:00,195.98,196.25,191.60,193.45,3559400
2022-06-13 20:00:00-04:00,194.56,196.12,191.95,193.27,2359000
2022-06-14 20:00:00-04:00,194.01,195.11,189.95,192.63,2343100
2022-06-15 20:00:00-04:00,188.02,188.19,180.71,182.15,4789900
2022-06-16 20:00:00-04:00,182.98,184.90,178.48,180.14,6662600
