Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,110.86,111.53,110.58,111.02,1195100
2018-07-02 20:00:00-04:00,111.24,112.56,111.24,111.70,1171200
2018-07-04 20:00:00-04:00,112.20,112.54,111.25,112.28,1642500
2018-07-05 20:00:00-04:00,112.21,113.94,111.88,113.11,1393300
2018-07-08 20:00:00-04:00,112.72,115.69,112.72,115.64,1882400
2018-07-09 20:00:00-04:00,116.26,117.02,115.88,116.89,2781900
2018-07-10 20:00:00-04:00,116.55,116.96,115.33,115.43,2476800
2018-07-11 20:00:00-04:00,115.78,116.10,115.17,116.02,1707600
2018-07-12 20:00:00-04:00,115.72,116.00,115.14,115.69,1134200
2018-07-15 20:00:00-04:00,115.71,116.89,115.71,116.77,1388400
2018-07-16 20:00:00-04:00,117.10,117.27,116.28,116.77,1332200
2018-07-17 20:00:00-04:00,116.89,118.28,116.57,118.19,1439100
2018-07-18 20:00:00-04:00,117.32,118.19,116.34,116.54,2104100
2018-07-19 20:00:00-04:00,116.21,116.81,115.73,116.64,1371700
2018-07-22 20:00:00-04:00,116.58,117.30,116.18,117.26,1703400
2018-07-23 20:00:00-04:00,117.22,118.46,117.05,117.81,1506200
2018-07-24 20:00:00-04:00,115.57,118.85,115.57,118.74,2341200
2018-07-25 20:00:00-04:00,119.37,120.73,118.86,120.17,2133600
2018-07-26 20:00:00-04:00,120.29,121.55,120.23,120.72,1817600
2018-07-29 20:00:00-04:00,120.53,122.60,120.49,122.44,2249100
2018-07-30 20:00:00-04:00,122.60,122.78,121.37,122.32,2368700
2018-07-31 20:00:00-04:00,122.28,122.92,121.13,121.21,1325200
2018-08-01 20:00:00-04:00,120.63,121.00,119.68,120.50,1213500
2018-08-02 20:00:00-04:00,120.49,121.54,119.67,121.53,1115100
2018-08-05 20:00:00-04:00,121.55,121.84,121.03,121.43,893100
2018-08-06 20:00:00-04:00,121.54,122.01,120.73,121.39,1081600
2018-08-07 20:00:00-04:00,121.29,121.38,120.35,120.36,1052300
2018-08-08 20:00:00-04:00,120.31,120.59,119.97,120.01,1142600
2018-08-09 20:00:00-04:00,119.29,119.42,118.50,118.97,1527100
2018-08-12 20:00:00-04:00,118.85,119.02,117.94,118.17,1363700
2018-08-13 20:00:00-04:00,116.28,117.16,116.00,116.54,2080500
2018-08-14 20:00:00-04:00,116.11,116.70,115.40,116.16,2140800
2018-08-15 20:00:00-04:00,116.54,118.33,116.54,117.68,1371700
2018-08-16 20:00:00-04:00,117.33,117.93,116.93,117.35,1124700
2018-08-19 20:00:00-04:00,117.65,118.33,117.36,118.06,954200
2018-08-20 20:00:00-04:00,117.97,118.62,117.71,118.22,1327800
2018-08-21 20:00:00-04:00,117.82,118.33,116.31,116.56,1265300
2018-08-22 20:00:00-04:00,116.67,116.92,116.37,116.73,929300
2018-08-23 20:00:00-04:00,116.82,118.39,116.82,118.30,1174000
2018-08-26 20:00:00-04:00,118.62,119.87,118.46,119.51,973000
2018-08-27 20:00:00-04:00,119.58,120.16,119.26,119.38,1039200
