Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,156.86,161.69,156.62,160.82,2160700
2022-04-06 20:00:00-04:00,160.09,161.57,159.17,159.96,2119200
2022-04-07 20:00:00-04:00,159.94,161.82,159.14,161.18,1258200
2022-04-10 20:00:00-04:00,161.07,162.57,159.08,159.59,1562200
2022-04-11 20:00:00-04:00,158.57,159.38,157.05,157.98,1240800
2022-04-12 20:00:00-04:00,157.89,158.11,155.87,157.47,1097500
2022-04-13 20:00:00-04:00,157.74,157.94,156.53,156.84,1099700
2022-04-17 20:00:00-04:00,156.66,157.12,154.60,155.43,1120100
2022-04-18 20:00:00-04:00,156.10,158.39,155.73,157.80,1361800
2022-04-19 20:00:00-04:00,158.00,161.65,157.54,161.11,1440700
2022-04-20 20:00:00-04:00,162.07,162.77,159.86,159.86,1308400
2022-04-21 20:00:00-04:00,160.16,160.16,157.58,158.02,1840700
2022-04-24 20:00:00-04:00,158.63,158.72,155.06,156.99,1381300
2022-04-25 20:00:00-04:00,157.05,158.22,153.11,153.53,1915500
2022-04-26 20:00:00-04:00,153.68,155.99,152.54,153.63,1443200
2022-04-27 20:00:00-04:00,153.82,156.53,151.82,156.34,1603400
2022-04-28 20:00:00-04:00,155.74,155.74,150.47,150.76,1827700
2022-05-01 20:00:00-04:00,151.77,152.00,144.55,147.18,1612600
2022-05-02 20:00:00-04:00,148.16,151.19,147.29,149.53,1347900
2022-05-03 20:00:00-04:00,149.79,150.79,147.43,150.13,1936200
2022-05-04 20:00:00-04:00,149.63,150.56,146.42,147.81,1393400
2022-05-05 20:00:00-04:00,146.67,148.77,145.79,148.63,1876900
2022-05-08 20:00:00-04:00,147.63,147.71,142.23,142.75,1934600
2022-05-09 20:00:00-04:00,143.95,144.67,137.60,138.61,1747000
2022-05-10 20:00:00-04:00,139.07,141.13,138.72,138.94,1593200
2022-05-11 20:00:00-04:00,139.02,140.54,137.79,140.04,1439800
2022-05-12 20:00:00-04:00,141.48,143.70,140.07,143.66,1855000
2022-05-15 20:00:00-04:00,143.36,144.62,142.53,143.01,1690600
2022-05-16 20:00:00-04:00,144.15,144.31,141.11,143.91,1675600
2022-05-17 20:00:00-04:00,144.04,144.50,142.24,142.82,1634200
2022-05-18 20:00:00-04:00,142.12,146.13,141.76,145.20,1751300
2022-05-19 20:00:00-04:00,146.43,148.91,145.15,148.31,1501800
2022-05-22 20:00:00-04:00,149.72,151.14,148.25,150.76,1384500
2022-05-23 20:00:00-04:00,150.67,156.41,149.83,155.96,1447400
2022-05-24 20:00:00-04:00,153.88,155.87,152.25,154.80,1606100
2022-05-25 20:00:00-04:00,155.47,156.13,151.73,152.64,1106600
2022-05-26 20:00:00-04:00,153.55,157.87,152.43,157.41,1326000
2022-05-30 20:00:00-04:00,154.97,155.95,153.10,154.37,2354900
2022-05-31 20:00:00-04:00,154.70,154.70,151.94,153.10,1056000
2022-06-01 20:00:00-04:00,150.02,152.42,143.36,152.38,2695500
2022-06-02 20:00:00-04:00,151.15,151.88,148.77,148.99,1775700
2022-06-05 20:00:00-04:00,150.02,151.48,148.79,150.41,1295600
2022-06-06 20:00:00-04:00,149.69,151.44,147.12,151.37,2158500
2022-06-07 20:00:00-04:00,149.58,152.81,149.52,150.14,1274900
2022-06-08 20:00:00-04:00,149.36,151.26,146.00,146.21,1381400
2022-06-09 20:00:00-04:00,144.14,144.57,140.43,140.53,1879100
2022-06-12 20:00:00-04:00,137.69,139.76,134.51,135.15,1733800
2022-06-13 20:00:00-04:00,135.09,135.59,129.09,129.69,3224600
2022-06-14 20:00:00-04:00,131.69,133.94,129.59,131.60,2949700
2022-06-15 20:00:00-04:00,128.59,129.89,126.22,127.28,2080700
2022-06-16 20:00:00-04:00,128.70,130.57,127.40,128.24,3134600
2022-06-20 20:00:00-04:00,128.94,133.68,128.93,133.01,2265300
2022-06-21 20:00:00-04:00,132.49,140.84,132.23,138.03,2495800
2022-06-22 20:00:00-04:00,138.66,141.65,138.31,140.91,1608100
2022-06-23 20:00:00-04:00,141.91,144.27,139.08,143.71,2245100
2022-06-26 20:00:00-04:00,143.33,144.85,142.03,142.45,1412700
2022-06-27 20:00:00-04:00,142.90,143.02,137.86,138.45,1976600
2022-06-28 20:00:00-04:00,136.05,138.13,133.95,137.40,1988000
2022-06-29 20:00:00-04:00,138.61,139.91,137.37,138.28,2245900
2022-06-30 20:00:00-04:00,137.75,141.94,137.41,141.55,1505700
2022-07-04 20:00:00-04:00,140.77,140.97,137.27,140.87,1525500
2022-07-05 20:00:00-04:00,141.90,143.49,140.88,141.06,1288100
2022-07-06 20:00:00-04:00,141.19,142.62,139.85,140.96,1176700
2022-07-07 20:00:00-04:00,140.23,141.74,139.41,140.76,1027300
2022-07-10 20:00:00-04:00,140.38,141.70,138.36,141.47,1720000
2022-07-11 20:00:00-04:00,140.61,142.44,139.62,140.38,1410800
2022-07-12 20:00:00-04:00,138.69,141.68,138.35,140.36,1023500
2022-07-13 20:00:00-04:00,138.23,140.80,138.06,140.45,1269600
2022-07-14 20:00:00-04:00,142.03,143.81,141.30,142.40,1558700
2022-07-17 20:00:00-04:00,142.55,142.70,139.29,139.72,1702200
2022-07-18 20:00:00-04:00,140.69,142.58,139.70,142.51,1580000
2022-07-19 20:00:00-04:00,142.09,143.43,139.94,140.05,1820300
2022-07-20 20:00:00-04:00,140.93,143.50,138.49,142.08,1563800
2022-07-21 20:00:00-04:00,142.75,143.76,140.34,141.96,1050800
2022-07-24 20:00:00-04:00,141.57,141.80,139.54,140.84,1116300
2022-07-25 20:00:00-04:00,140.73,143.63,140.51,143.40,1254700
2022-07-26 20:00:00-04:00,143.17,143.78,141.11,142.52,1081000
