Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,166.23,168.31,165.15,167.38,868200
2022-04-06 20:00:00-04:00,166.83,169.18,166.00,168.27,736200
2022-04-07 20:00:00-04:00,168.36,168.45,165.98,166.59,646500
2022-04-10 20:00:00-04:00,166.01,166.72,163.09,163.42,576900
2022-04-11 20:00:00-04:00,164.41,166.83,161.94,162.89,734300
2022-04-12 20:00:00-04:00,162.59,163.45,161.35,162.24,789000
2022-04-13 20:00:00-04:00,165.23,167.73,163.82,164.14,1028600
2022-04-17 20:00:00-04:00,163.90,165.83,162.15,162.92,828100
2022-04-18 20:00:00-04:00,163.36,166.26,163.36,165.06,2277100
2022-04-19 20:00:00-04:00,167.06,171.76,166.64,169.86,962600
2022-04-20 20:00:00-04:00,170.77,171.78,166.83,167.40,514800
2022-04-21 20:00:00-04:00,166.45,166.45,160.63,160.88,806600
2022-04-24 20:00:00-04:00,160.50,162.16,156.93,161.94,810500
2022-04-25 20:00:00-04:00,160.87,161.28,154.70,154.84,1100000
2022-04-26 20:00:00-04:00,154.72,157.07,153.41,154.23,1273900
2022-04-27 20:00:00-04:00,155.70,160.36,155.15,160.03,1220600
2022-04-28 20:00:00-04:00,159.12,160.74,154.35,154.85,862400
2022-05-01 20:00:00-04:00,154.70,156.12,151.75,155.75,1215700
2022-05-02 20:00:00-04:00,156.40,160.02,155.50,159.12,1316500
2022-05-03 20:00:00-04:00,160.37,168.51,160.37,168.07,1625100
2022-05-04 20:00:00-04:00,166.21,167.61,160.02,162.47,1190500
2022-05-05 20:00:00-04:00,161.56,163.19,158.45,161.91,792400
2022-05-08 20:00:00-04:00,159.21,160.94,155.69,156.39,742600
2022-05-09 20:00:00-04:00,159.67,161.05,155.89,158.05,773400
2022-05-10 20:00:00-04:00,158.47,161.74,155.67,156.05,847000
2022-05-11 20:00:00-04:00,154.92,159.34,154.92,158.28,862300
2022-05-12 20:00:00-04:00,159.32,162.01,158.89,160.70,746200
2022-05-15 20:00:00-04:00,159.77,161.96,158.07,160.53,724600
2022-05-16 20:00:00-04:00,163.03,164.46,161.91,163.84,473900
2022-05-17 20:00:00-04:00,162.51,163.38,154.50,155.37,685800
2022-05-18 20:00:00-04:00,154.22,155.83,150.80,153.68,949400
2022-05-19 20:00:00-04:00,154.88,155.08,147.46,152.02,749700
2022-05-22 20:00:00-04:00,153.59,154.82,150.86,153.02,847400
2022-05-23 20:00:00-04:00,152.15,152.71,148.61,151.17,953400
2022-05-24 20:00:00-04:00,150.14,154.57,149.66,153.50,1361900
2022-05-25 20:00:00-04:00,155.23,159.18,154.17,158.51,777300
2022-05-26 20:00:00-04:00,160.24,162.87,160.19,162.87,506800
2022-05-30 20:00:00-04:00,162.03,163.53,159.93,161.69,2237300
2022-05-31 20:00:00-04:00,162.23,163.84,160.56,162.98,793800
2022-06-01 20:00:00-04:00,163.51,167.82,162.33,167.66,572400
