Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,69.56,71.25,69.56,71.19,1605100
2018-07-02 20:00:00-04:00,71.30,72.06,70.50,70.67,1009700
2018-07-04 20:00:00-04:00,70.98,71.08,69.64,70.18,1633700
2018-07-05 20:00:00-04:00,70.03,70.49,69.60,70.23,1346500
2018-07-08 20:00:00-04:00,70.47,71.55,70.30,71.39,1350400
2018-07-09 20:00:00-04:00,71.40,71.78,71.03,71.41,722000
2018-07-10 20:00:00-04:00,71.94,72.27,71.00,71.38,947500
2018-07-11 20:00:00-04:00,71.54,71.63,70.97,71.37,858700
2018-07-12 20:00:00-04:00,72.09,72.36,71.34,72.12,1007700
2018-07-15 20:00:00-04:00,72.51,73.84,71.72,72.59,1692700
2018-07-16 20:00:00-04:00,72.42,73.23,72.42,72.92,1266100
2018-07-17 20:00:00-04:00,73.00,74.17,72.63,73.87,786700
2018-07-18 20:00:00-04:00,73.55,74.98,73.31,74.49,1552000
2018-07-19 20:00:00-04:00,74.42,75.31,74.10,75.10,894000
2018-07-22 20:00:00-04:00,75.10,75.79,74.07,74.54,1231900
2018-07-23 20:00:00-04:00,74.83,75.18,73.94,74.82,1236700
2018-07-24 20:00:00-04:00,74.99,76.40,74.72,76.29,1052000
2018-07-25 20:00:00-04:00,76.24,76.73,74.82,76.37,1454500
2018-07-26 20:00:00-04:00,76.33,76.90,75.48,76.04,1016900
2018-07-29 20:00:00-04:00,75.92,76.91,74.83,75.23,1515500
2018-07-30 20:00:00-04:00,75.57,77.02,75.47,76.69,1991400
2018-07-31 20:00:00-04:00,77.99,79.74,76.81,79.31,2109700
2018-08-01 20:00:00-04:00,79.38,79.87,78.70,79.35,1306500
2018-08-02 20:00:00-04:00,79.35,80.04,78.11,79.65,1021900
2018-08-05 20:00:00-04:00,79.73,80.15,79.54,80.01,783700
2018-08-06 20:00:00-04:00,79.82,80.15,79.08,80.09,1022500
2018-08-07 20:00:00-04:00,79.93,80.46,78.97,79.88,790400
2018-08-08 20:00:00-04:00,78.64,79.97,78.61,78.78,1055100
2018-08-09 20:00:00-04:00,78.49,79.18,78.16,78.91,925300
2018-08-12 20:00:00-04:00,79.12,79.12,77.96,78.11,773100
2018-08-13 20:00:00-04:00,78.29,78.63,77.96,78.14,920100
2018-08-14 20:00:00-04:00,77.55,78.75,77.44,78.63,873000
2018-08-15 20:00:00-04:00,78.94,80.16,78.93,80.16,708600
2018-08-16 20:00:00-04:00,80.18,81.06,76.97,80.77,1009000
2018-08-19 20:00:00-04:00,80.66,81.41,80.58,80.96,800300
2018-08-20 20:00:00-04:00,80.66,81.33,80.58,80.83,790400
2018-08-21 20:00:00-04:00,80.84,82.15,80.84,80.88,681300
2018-08-22 20:00:00-04:00,80.87,81.30,80.05,80.16,569100
2018-08-23 20:00:00-04:00,80.35,80.52,80.06,80.24,484200
2018-08-26 20:00:00-04:00,80.43,81.05,80.26,80.50,820000
2018-08-27 20:00:00-04:00,80.61,80.87,79.88,80.09,560500
2018-08-28 20:00:00-04:00,80.05,80.26,79.52,79.88,592900
2018-08-29 20:00:00-04:00,78.94,79.93,78.80,79.47,689900
2018-08-30 20:00:00-04:00,79.57,80.13,79.22,79.89,939500
2018-09-03 20:00:00-04:00,79.71,80.87,79.52,79.90,826500
2018-09-04 20:00:00-04:00,79.38,80.67,79.38,80.30,1158000
2018-09-05 20:00:00-04:00,80.51,81.88,80.51,81.21,1258000
2018-09-06 20:00:00-04:00,80.99,81.64,80.09,80.57,638200
2018-09-09 20:00:00-04:00,81.07,83.72,80.31,83.70,1609100
2018-09-10 20:00:00-04:00,83.55,84.55,83.10,83.26,1238500
2018-09-11 20:00:00-04:00,83.09,83.41,81.95,82.80,592100
2018-09-12 20:00:00-04:00,83.25,83.49,82.11,82.32,844000
2018-09-13 20:00:00-04:00,82.42,84.00,82.42,83.62,988300
2018-09-16 20:00:00-04:00,83.72,83.73,80.17,80.80,1187800
2018-09-17 20:00:00-04:00,80.91,81.47,80.19,81.20,700200
2018-09-18 20:00:00-04:00,81.16,81.91,80.82,80.92,546400
2018-09-19 20:00:00-04:00,81.20,82.29,80.31,80.51,697100
2018-09-20 20:00:00-04:00,80.90,81.64,80.28,81.52,1313300
2018-09-23 20:00:00-04:00,81.27,81.93,80.30,80.51,720700
2018-09-24 20:00:00-04:00,80.49,80.72,79.79,80.36,765000
2018-09-25 20:00:00-04:00,80.69,81.78,80.46,81.23,880300
2018-09-26 20:00:00-04:00,81.33,81.86,80.94,81.37,745500
2018-09-27 20:00:00-04:00,81.18,81.91,81.12,81.81,937500
2018-09-30 20:00:00-04:00,82.43,82.67,81.41,81.74,847900
2018-10-01 20:00:00-04:00,81.83,81.97,80.90,81.08,867100
2018-10-02 20:00:00-04:00,81.33,82.38,80.89,81.82,954800
2018-10-03 20:00:00-04:00,81.73,82.39,81.22,81.49,824600
2018-10-04 20:00:00-04:00,81.28,81.99,80.51,81.27,934300
2018-10-07 20:00:00-04:00,81.39,81.98,80.72,81.68,663300
2018-10-08 20:00:00-04:00,81.66,82.01,80.33,80.41,961600
2018-10-09 20:00:00-04:00,80.20,80.20,77.31,77.32,1900900
2018-10-10 20:00:00-04:00,77.28,77.85,75.83,76.12,1401500
2018-10-11 20:00:00-04:00,77.58,77.77,75.18,76.60,1136200
2018-10-14 20:00:00-04:00,76.95,77.97,76.06,77.71,1105800
2018-10-15 20:00:00-04:00,78.53,79.06,78.12,78.70,1127100
2018-10-16 20:00:00-04:00,78.57,78.80,76.72,78.27,979200
2018-10-17 20:00:00-04:00,78.52,78.79,77.39,77.98,1210500
2018-10-18 20:00:00-04:00,77.88,78.43,75.55,75.91,1920800
2018-10-21 20:00:00-04:00,75.79,76.85,75.18,76.56,1004400
2018-10-22 20:00:00-04:00,75.19,75.64,73.17,73.86,1393000
2018-10-23 20:00:00-04:00,73.48,74.22,71.93,72.09,1129800
2018-10-24 20:00:00-04:00,72.57,73.61,72.32,73.03,1029000
2018-10-25 20:00:00-04:00,72.39,73.05,70.82,72.01,1323800
2018-10-28 20:00:00-04:00,72.84,73.87,71.75,72.74,1051800
2018-10-29 20:00:00-04:00,73.02,74.25,72.47,73.76,1628900
2018-10-30 20:00:00-04:00,74.20,77.47,72.96,74.38,3527000
2018-10-31 20:00:00-04:00,74.39,76.21,73.61,75.94,1509900
2018-11-01 20:00:00-04:00,76.41,77.16,73.68,74.11,1506000
2018-11-04 19:00:00-05:00,74.34,74.73,73.10,73.63,1226100
2018-11-05 19:00:00-05:00,73.76,74.68,73.61,74.22,1264300
2018-11-06 19:00:00-05:00,74.77,76.00,73.63,75.92,671800
2018-11-07 19:00:00-05:00,75.84,76.40,75.08,76.34,889900
2018-11-08 19:00:00-05:00,76.15,76.50,74.84,74.87,1177400
2018-11-11 19:00:00-05:00,74.73,75.52,73.50,73.65,1221300
2018-11-12 19:00:00-05:00,73.98,74.42,73.24,73.68,1076100
2018-11-13 19:00:00-05:00,74.08,75.75,73.75,75.19,1249300
2018-11-14 19:00:00-05:00,74.88,76.70,74.17,76.25,1202600
2018-11-15 19:00:00-05:00,75.98,76.45,75.24,75.86,1017300
