Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,556.79,568.00,553.41,561.26,1172200
2022-04-06 20:00:00-04:00,560.65,561.26,542.82,552.48,1118200
2022-04-07 20:00:00-04:00,551.96,559.34,543.20,557.60,1187100
2022-04-10 20:00:00-04:00,560.38,572.08,557.03,559.91,1175900
2022-04-11 20:00:00-04:00,564.99,570.02,548.55,549.12,1819800
2022-04-12 20:00:00-04:00,549.96,563.51,547.06,562.40,1097700
2022-04-13 20:00:00-04:00,564.54,567.07,553.12,555.32,1023500
2022-04-17 20:00:00-04:00,552.75,556.92,533.25,533.48,1442600
2022-04-18 20:00:00-04:00,535.62,560.84,535.62,557.75,1208800
2022-04-19 20:00:00-04:00,555.69,555.69,535.17,535.96,1540300
2022-04-20 20:00:00-04:00,537.42,541.75,517.81,519.03,1577800
2022-04-21 20:00:00-04:00,517.72,518.57,505.15,511.37,1742200
2022-04-24 20:00:00-04:00,513.46,517.66,496.76,506.97,1381300
2022-04-25 20:00:00-04:00,503.08,503.08,486.35,486.95,1352900
2022-04-26 20:00:00-04:00,485.50,492.25,479.45,482.01,1497700
2022-04-27 20:00:00-04:00,481.19,481.69,449.59,461.49,3207100
2022-04-28 20:00:00-04:00,449.89,457.70,415.01,428.49,3943500
2022-05-01 20:00:00-04:00,431.49,435.93,419.83,432.54,1686000
2022-05-02 20:00:00-04:00,424.15,431.24,410.33,425.62,2136000
2022-05-03 20:00:00-04:00,426.51,450.78,422.44,448.34,1977800
2022-05-04 20:00:00-04:00,444.79,462.93,444.79,456.20,2223300
2022-05-05 20:00:00-04:00,454.21,471.29,452.39,459.77,2560800
2022-05-08 20:00:00-04:00,456.23,478.03,455.98,463.67,2426200
2022-05-09 20:00:00-04:00,472.94,481.79,462.20,468.23,1979400
2022-05-10 20:00:00-04:00,465.94,476.65,447.35,448.35,1679400
2022-05-11 20:00:00-04:00,449.33,466.77,443.18,465.26,1649600
2022-05-12 20:00:00-04:00,459.46,475.87,458.69,471.39,1456800
2022-05-15 20:00:00-04:00,469.37,472.58,456.00,463.34,1153600
2022-05-16 20:00:00-04:00,468.99,474.14,457.50,472.13,1183100
2022-05-17 20:00:00-04:00,469.98,480.83,463.32,469.50,1574400
2022-05-18 20:00:00-04:00,469.15,479.40,465.88,474.57,1136500
2022-05-19 20:00:00-04:00,480.32,485.70,468.79,479.03,1290800
2022-05-22 20:00:00-04:00,482.65,484.00,468.86,473.67,895300
2022-05-23 20:00:00-04:00,471.64,479.60,468.01,479.02,940300
2022-05-24 20:00:00-04:00,482.14,489.98,476.85,487.61,877600
2022-05-25 20:00:00-04:00,489.12,508.86,489.12,502.84,1145300
2022-05-26 20:00:00-04:00,503.19,515.66,503.19,509.94,1063300
2022-05-30 20:00:00-04:00,507.86,513.28,501.16,506.93,1265300
2022-05-31 20:00:00-04:00,508.33,514.21,492.04,495.38,1087400
2022-06-01 20:00:00-04:00,496.68,499.10,490.84,498.22,889800
2022-06-02 20:00:00-04:00,496.79,496.79,489.50,491.07,1104200
2022-06-05 20:00:00-04:00,493.16,498.06,483.69,484.72,1206500
2022-06-06 20:00:00-04:00,480.08,484.50,470.17,482.55,1266300
2022-06-07 20:00:00-04:00,485.64,493.11,481.32,487.95,881000
2022-06-08 20:00:00-04:00,489.51,492.64,482.04,482.26,976000
2022-06-09 20:00:00-04:00,474.35,481.02,470.01,474.19,927700
2022-06-12 20:00:00-04:00,467.23,468.98,452.23,454.47,1429700
2022-06-13 20:00:00-04:00,456.92,463.12,447.94,451.97,1101800
2022-06-14 20:00:00-04:00,457.65,460.23,429.91,449.00,2834100
2022-06-15 20:00:00-04:00,439.98,440.79,407.75,415.35,2880100
2022-06-16 20:00:00-04:00,415.02,443.32,415.02,441.96,3563000
2022-06-20 20:00:00-04:00,444.02,447.93,435.72,437.47,1727100
2022-06-21 20:00:00-04:00,435.52,453.30,434.04,448.24,1237000
2022-06-22 20:00:00-04:00,446.16,456.58,446.16,455.13,822300
2022-06-23 20:00:00-04:00,454.77,465.22,454.32,463.12,1093900
2022-06-26 20:00:00-04:00,463.12,467.77,458.70,464.36,710800
2022-06-27 20:00:00-04:00,468.41,474.50,456.48,457.03,819600
2022-06-28 20:00:00-04:00,454.53,464.67,454.09,463.84,819000
2022-06-29 20:00:00-04:00,461.86,471.57,457.44,468.53,1215500
2022-06-30 20:00:00-04:00,465.45,483.20,463.72,480.92,887800
2022-07-04 20:00:00-04:00,473.53,481.75,467.39,481.22,713300
2022-07-05 20:00:00-04:00,480.08,484.31,468.36,471.64,1014300
2022-07-06 20:00:00-04:00,471.00,473.27,457.85,465.40,1213600
2022-07-07 20:00:00-04:00,465.80,469.19,460.35,463.55,859800
2022-07-10 20:00:00-04:00,462.47,462.55,450.68,453.39,953100
2022-07-11 20:00:00-04:00,455.99,476.45,453.63,468.10,1207100
2022-07-12 20:00:00-04:00,457.95,470.68,457.95,465.64,708700
2022-07-13 20:00:00-04:00,460.65,469.58,456.93,468.75,1705000
2022-07-14 20:00:00-04:00,474.58,480.42,473.11,476.60,859900
2022-07-17 20:00:00-04:00,475.09,482.90,472.97,474.01,902800
2022-07-18 20:00:00-04:00,479.27,485.02,472.70,482.95,771500
2022-07-19 20:00:00-04:00,486.33,486.94,478.96,483.20,560300
2022-07-20 20:00:00-04:00,480.55,496.37,469.72,492.74,1820700
2022-07-21 20:00:00-04:00,491.76,493.28,480.55,485.70,1204800
2022-07-24 20:00:00-04:00,489.77,489.94,472.34,478.98,811100
