Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,105.22,105.95,104.29,104.70,1087200
2018-07-02 20:00:00-04:00,104.91,105.24,103.33,104.16,888900
2018-07-04 20:00:00-04:00,104.31,105.87,104.26,105.85,1295100
2018-07-05 20:00:00-04:00,106.15,106.88,105.67,106.20,1078200
2018-07-08 20:00:00-04:00,105.86,106.05,103.20,103.43,1736000
2018-07-09 20:00:00-04:00,103.62,104.12,102.58,103.88,1681900
2018-07-10 20:00:00-04:00,104.17,104.91,103.84,104.51,1412900
2018-07-11 20:00:00-04:00,104.65,105.32,104.28,104.64,967200
2018-07-12 20:00:00-04:00,105.08,106.03,104.95,105.44,936300
2018-07-15 20:00:00-04:00,105.55,105.55,104.57,105.23,1095100
2018-07-16 20:00:00-04:00,105.29,106.26,105.10,105.88,525600
2018-07-17 20:00:00-04:00,102.89,103.64,101.11,101.57,2907000
2018-07-18 20:00:00-04:00,100.17,102.50,99.85,102.21,1368100
2018-07-19 20:00:00-04:00,102.29,104.04,102.13,103.35,1633500
2018-07-22 20:00:00-04:00,103.34,103.66,101.86,102.48,1016300
2018-07-23 20:00:00-04:00,101.98,102.52,100.58,101.65,1721200
2018-07-24 20:00:00-04:00,101.81,103.01,101.42,102.18,1239700
2018-07-25 20:00:00-04:00,102.46,104.35,102.46,103.32,1282900
2018-07-26 20:00:00-04:00,102.73,104.96,101.94,104.07,1518500
2018-07-29 20:00:00-04:00,103.52,106.30,103.29,105.56,1837700
2018-07-30 20:00:00-04:00,105.89,107.19,105.24,106.75,2324000
2018-07-31 20:00:00-04:00,106.47,106.47,104.78,105.96,1592800
2018-08-01 20:00:00-04:00,108.59,113.47,108.59,112.50,3829400
2018-08-02 20:00:00-04:00,112.46,114.43,111.36,113.00,1787200
2018-08-05 20:00:00-04:00,113.02,113.44,112.01,113.35,998500
2018-08-06 20:00:00-04:00,112.91,112.91,110.53,111.74,1731400
2018-08-07 20:00:00-04:00,111.63,112.12,110.75,111.25,793000
2018-08-08 20:00:00-04:00,111.38,111.42,110.56,110.73,646500
2018-08-09 20:00:00-04:00,110.64,111.57,110.24,110.73,500500
2018-08-12 20:00:00-04:00,111.30,111.75,109.98,111.53,648400
2018-08-13 20:00:00-04:00,111.59,112.58,111.22,112.02,594800
2018-08-14 20:00:00-04:00,112.57,114.88,112.21,114.49,1522700
2018-08-15 20:00:00-04:00,114.73,116.12,114.15,115.92,773500
2018-08-16 20:00:00-04:00,116.01,116.63,115.50,116.52,793100
2018-08-19 20:00:00-04:00,116.67,117.39,116.52,117.07,855900
2018-08-20 20:00:00-04:00,116.74,116.87,114.38,115.74,1303200
2018-08-21 20:00:00-04:00,115.86,115.86,114.17,114.64,715300
2018-08-22 20:00:00-04:00,114.34,115.44,113.66,115.21,728600
2018-08-23 20:00:00-04:00,115.02,115.44,114.09,115.05,726700
2018-08-26 20:00:00-04:00,115.57,115.57,113.74,114.26,681800
2018-08-27 20:00:00-04:00,114.52,115.40,114.08,114.30,696400
2018-08-28 20:00:00-04:00,114.29,115.01,114.08,114.34,668600
2018-08-29 20:00:00-04:00,114.34,115.32,113.98,114.52,452600
2018-08-30 20:00:00-04:00,114.40,115.23,113.45,114.50,1157500
2018-09-03 20:00:00-04:00,114.50,116.71,114.25,115.40,861900
2018-09-04 20:00:00-04:00,114.69,117.40,114.27,117.25,1095600
2018-09-05 20:00:00-04:00,116.56,118.73,115.92,118.25,1020300
2018-09-06 20:00:00-04:00,117.80,119.27,117.31,119.05,1003600
2018-09-09 20:00:00-04:00,119.26,120.35,118.80,118.91,772200
2018-09-10 20:00:00-04:00,119.19,119.26,118.37,118.59,929600
2018-09-11 20:00:00-04:00,118.65,119.45,118.22,119.13,558500
2018-09-12 20:00:00-04:00,119.45,119.45,117.69,119.42,708600
2018-09-13 20:00:00-04:00,119.42,119.62,118.05,119.56,631500
2018-09-16 20:00:00-04:00,119.52,120.43,118.74,119.99,829200
2018-09-17 20:00:00-04:00,120.45,120.76,118.80,119.93,774200
2018-09-18 20:00:00-04:00,120.00,120.23,118.81,118.99,642000
2018-09-19 20:00:00-04:00,118.88,120.41,118.72,119.95,1028800
2018-09-20 20:00:00-04:00,120.31,121.14,120.14,120.42,1166000
2018-09-23 20:00:00-04:00,120.34,120.35,118.25,118.43,669400
2018-09-24 20:00:00-04:00,120.12,120.12,117.95,118.18,746500
2018-09-25 20:00:00-04:00,118.51,119.88,117.94,118.76,867900
2018-09-26 20:00:00-04:00,118.76,119.03,117.78,117.90,634300
2018-09-27 20:00:00-04:00,117.82,118.81,117.82,118.79,754100
2018-09-30 20:00:00-04:00,118.85,119.04,118.27,118.81,499400
2018-10-01 20:00:00-04:00,118.72,120.75,118.72,120.25,769300
2018-10-02 20:00:00-04:00,120.19,120.33,116.14,116.26,1438600
2018-10-03 20:00:00-04:00,115.35,116.20,113.85,115.77,1131200
2018-10-04 20:00:00-04:00,116.07,118.47,116.07,118.13,1563800
2018-10-07 20:00:00-04:00,117.65,119.03,117.31,118.37,791900
2018-10-08 20:00:00-04:00,118.43,119.64,118.17,118.70,672600
2018-10-09 20:00:00-04:00,116.07,118.45,114.98,116.53,1465900
2018-10-10 20:00:00-04:00,116.53,117.29,111.78,112.29,1332200
2018-10-11 20:00:00-04:00,113.34,115.05,112.15,114.39,1065700
2018-10-14 20:00:00-04:00,114.66,117.27,114.41,115.79,990200
2018-10-15 20:00:00-04:00,116.48,117.94,116.00,117.43,604400
2018-10-16 20:00:00-04:00,117.21,118.53,116.29,118.02,1122900
2018-10-17 20:00:00-04:00,117.99,119.37,117.14,117.68,823700
2018-10-18 20:00:00-04:00,119.29,122.03,119.29,120.50,1410100
2018-10-21 20:00:00-04:00,120.61,120.78,118.02,119.14,977400
2018-10-22 20:00:00-04:00,118.61,119.19,117.80,118.57,1005200
2018-10-23 20:00:00-04:00,118.93,122.60,118.72,120.80,1073800
2018-10-24 20:00:00-04:00,120.74,121.42,119.27,119.72,1024200
2018-10-25 20:00:00-04:00,118.52,119.40,116.06,116.74,1062100
2018-10-28 20:00:00-04:00,117.29,119.43,117.23,118.28,1114500
2018-10-29 20:00:00-04:00,118.98,121.58,118.40,121.47,1334600
2018-10-30 20:00:00-04:00,115.07,120.62,114.47,118.00,3038300
2018-10-31 20:00:00-04:00,117.82,122.43,117.59,122.20,1909800
2018-11-01 20:00:00-04:00,122.16,123.10,121.52,122.57,1198400
2018-11-04 19:00:00-05:00,122.62,125.03,122.21,124.76,1387400
2018-11-05 19:00:00-05:00,124.75,125.79,124.21,125.67,1423500
2018-11-06 19:00:00-05:00,125.96,126.20,123.88,126.12,1171400
2018-11-07 19:00:00-05:00,126.02,126.28,124.64,125.38,791700
