Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,121.10,121.86,119.66,120.23,3611400
2022-04-06 20:00:00-04:00,120.93,123.45,117.95,120.26,4729800
2022-04-07 20:00:00-04:00,121.28,123.35,120.60,122.53,2597200
2022-04-10 20:00:00-04:00,122.71,124.57,121.77,122.04,1858000
2022-04-11 20:00:00-04:00,121.74,125.55,121.48,122.97,2026100
2022-04-12 20:00:00-04:00,121.34,123.66,121.19,123.33,1704100
2022-04-13 20:00:00-04:00,123.44,125.04,122.92,123.31,2289100
2022-04-17 20:00:00-04:00,122.97,129.39,122.76,128.32,2731300
2022-04-18 20:00:00-04:00,128.42,132.38,128.42,131.68,3119200
2022-04-19 20:00:00-04:00,132.74,134.14,131.17,131.92,2035700
2022-04-20 20:00:00-04:00,133.11,134.60,129.85,130.18,1925300
2022-04-21 20:00:00-04:00,129.47,129.73,125.61,125.81,2458600
2022-04-24 20:00:00-04:00,124.54,127.27,122.06,126.90,2573800
2022-04-25 20:00:00-04:00,124.27,126.75,122.89,122.97,2764100
2022-04-26 20:00:00-04:00,112.51,117.70,111.49,115.64,5465100
2022-04-27 20:00:00-04:00,116.96,121.37,116.37,120.32,3265200
2022-04-28 20:00:00-04:00,119.83,121.83,115.65,115.89,2806300
2022-05-01 20:00:00-04:00,116.75,117.97,115.08,117.77,2266200
2022-05-02 20:00:00-04:00,118.58,121.17,117.43,119.64,2096000
2022-05-03 20:00:00-04:00,119.71,125.04,119.24,124.90,2266500
2022-05-04 20:00:00-04:00,122.76,124.07,119.99,121.20,2605000
2022-05-05 20:00:00-04:00,120.76,121.17,116.89,118.14,2434200
2022-05-08 20:00:00-04:00,116.04,117.61,113.75,114.59,2852100
2022-05-09 20:00:00-04:00,115.20,116.24,109.26,112.56,2981800
2022-05-10 20:00:00-04:00,112.77,115.87,111.04,111.22,2785600
2022-05-11 20:00:00-04:00,107.88,109.63,103.77,106.16,3952000
2022-05-12 20:00:00-04:00,108.14,110.66,107.76,108.88,3067700
2022-05-15 20:00:00-04:00,108.29,109.22,105.34,106.55,2427400
2022-05-16 20:00:00-04:00,110.14,113.10,109.30,112.57,2943500
2022-05-17 20:00:00-04:00,110.43,111.11,106.61,106.94,2942400
2022-05-18 20:00:00-04:00,105.14,107.47,104.92,105.95,2508800
2022-05-19 20:00:00-04:00,107.61,108.25,103.11,106.30,2586600
