Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,172.83,174.33,165.01,166.84,4675300
2022-04-06 20:00:00-04:00,166.71,169.42,160.68,166.19,3093600
2022-04-07 20:00:00-04:00,165.21,166.00,160.13,160.94,2951000
2022-04-10 20:00:00-04:00,156.57,157.56,151.73,153.87,4305800
2022-04-11 20:00:00-04:00,158.07,162.44,149.41,149.85,4654400
2022-04-12 20:00:00-04:00,149.03,156.16,147.80,154.79,3740500
2022-04-13 20:00:00-04:00,153.54,154.00,146.82,147.29,4082200
2022-04-17 20:00:00-04:00,145.45,149.50,140.53,145.16,4668700
2022-04-18 20:00:00-04:00,146.02,152.10,144.45,151.27,2916000
2022-04-19 20:00:00-04:00,154.93,154.96,144.85,147.13,3486000
2022-04-20 20:00:00-04:00,151.97,153.44,135.31,137.32,6252900
2022-04-21 20:00:00-04:00,137.29,141.20,131.25,131.52,5162200
2022-04-24 20:00:00-04:00,130.01,137.35,129.29,135.14,4066500
2022-04-25 20:00:00-04:00,135.31,136.77,126.52,127.15,3717600
2022-04-26 20:00:00-04:00,125.28,130.71,121.98,122.55,4658500
2022-04-27 20:00:00-04:00,123.69,126.39,113.32,122.69,8070900
2022-04-28 20:00:00-04:00,121.10,129.09,112.14,112.71,5760900
2022-05-01 20:00:00-04:00,113.07,122.29,111.80,121.34,6229400
2022-05-02 20:00:00-04:00,120.23,129.40,119.97,123.56,5053200
2022-05-03 20:00:00-04:00,124.00,132.81,116.20,130.15,6492800
2022-05-04 20:00:00-04:00,125.00,125.64,112.05,114.25,7324400
2022-05-05 20:00:00-04:00,112.50,112.50,100.25,103.74,9026500
2022-05-08 20:00:00-04:00,96.00,96.43,81.78,83.51,16845400
2022-05-09 20:00:00-04:00,87.00,89.38,70.19,72.99,31780000
2022-05-10 20:00:00-04:00,54.85,61.28,50.15,53.72,34907700
2022-05-11 20:00:00-04:00,48.54,60.30,40.83,58.50,34907700
2022-05-12 20:00:00-04:00,69.26,74.25,65.50,67.87,34907700
2022-05-15 20:00:00-04:00,68.06,68.08,60.51,61.70,18685900
2022-05-16 20:00:00-04:00,66.20,70.50,63.11,70.00,15868000
2022-05-17 20:00:00-04:00,67.69,71.81,61.94,63.03,17422700
2022-05-18 20:00:00-04:00,65.00,70.99,63.61,67.42,15410100
2022-05-19 20:00:00-04:00,69.37,70.74,62.05,66.15,15166300
2022-05-22 20:00:00-04:00,65.54,68.65,62.35,66.10,12055700
2022-05-23 20:00:00-04:00,64.56,64.56,59.12,61.36,10714900
2022-05-24 20:00:00-04:00,61.07,68.50,60.99,67.17,11062000
2022-05-25 20:00:00-04:00,63.97,71.17,62.30,69.87,12000200
2022-05-26 20:00:00-04:00,69.84,77.18,69.84,75.32,14112800
2022-05-30 20:00:00-04:00,80.00,83.32,75.60,78.10,22623200
2022-05-31 20:00:00-04:00,77.50,77.80,67.80,68.63,14608500
2022-06-01 20:00:00-04:00,67.80,74.48,67.28,73.82,8607200
2022-06-02 20:00:00-04:00,69.39,70.50,65.61,66.69,10213600
2022-06-05 20:00:00-04:00,70.76,74.11,68.43,70.67,9352400
2022-06-06 20:00:00-04:00,67.31,69.97,64.36,69.57,8485100
2022-06-07 20:00:00-04:00,69.23,72.98,68.30,69.20,6276600
2022-06-08 20:00:00-04:00,69.08,69.38,63.12,63.76,9349300
2022-06-09 20:00:00-04:00,60.00,61.63,57.77,58.71,10982600
2022-06-12 20:00:00-04:00,46.18,54.30,46.00,52.01,28961400
2022-06-13 20:00:00-04:00,52.50,53.29,48.81,51.58,17430300
2022-06-14 20:00:00-04:00,50.94,56.66,50.45,55.01,16340100
2022-06-15 20:00:00-04:00,52.58,54.43,50.08,51.05,13157700
2022-06-16 20:00:00-04:00,50.12,52.80,49.28,51.22,11771000
2022-06-20 20:00:00-04:00,54.20,60.75,54.10,57.49,16916200
2022-06-21 20:00:00-04:00,53.87,56.75,51.57,51.91,18947700
2022-06-22 20:00:00-04:00,53.60,59.62,51.83,58.88,15840700
2022-06-23 20:00:00-04:00,60.00,64.09,59.33,62.71,24381400
2022-06-26 20:00:00-04:00,59.56,60.45,55.02,55.96,15201600
2022-06-27 20:00:00-04:00,56.26,57.25,50.33,51.18,10253500
2022-06-28 20:00:00-04:00,50.50,51.46,48.59,49.75,9776200
2022-06-29 20:00:00-04:00,48.20,48.40,44.15,47.02,12934400
2022-06-30 20:00:00-04:00,47.99,50.16,47.52,49.04,8556500
2022-07-04 20:00:00-04:00,48.13,55.82,45.95,55.41,13087900
2022-07-05 20:00:00-04:00,54.17,56.27,51.40,51.71,11881900
2022-07-06 20:00:00-04:00,52.14,57.65,52.14,57.46,12318500
2022-07-07 20:00:00-04:00,55.61,63.70,54.51,60.29,17950500
2022-07-10 20:00:00-04:00,57.54,58.43,53.30,53.88,10705800
2022-07-11 20:00:00-04:00,53.70,56.11,52.62,54.24,8466200
2022-07-12 20:00:00-04:00,51.68,54.73,50.40,53.10,9439900
2022-07-13 20:00:00-04:00,52.34,54.71,50.34,53.42,9682100
2022-07-14 20:00:00-04:00,54.35,56.55,51.93,53.79,10714300
2022-07-17 20:00:00-04:00,56.71,63.38,56.69,58.67,21226200
2022-07-18 20:00:00-04:00,60.86,65.98,57.78,65.83,19210600
2022-07-19 20:00:00-04:00,67.08,79.00,67.05,75.27,34032000
2022-07-20 20:00:00-04:00,71.00,76.62,70.28,73.98,17301200
2022-07-21 20:00:00-04:00,76.20,76.57,69.09,70.82,12013300
2022-07-24 20:00:00-04:00,68.93,69.98,66.30,67.07,8797600
2022-07-25 20:00:00-04:00,61.69,62.89,52.63,52.93,26875800
2022-07-26 20:00:00-04:00,54.87,60.61,53.12,58.83,18230200
2022-07-27 20:00:00-04:00,58.24,62.95,55.59,62.25,13674800
2022-07-28 20:00:00-04:00,60.14,64.23,59.77,62.96,9113800
2022-07-31 20:00:00-04:00,61.19,63.62,59.42,62.70,7361300
2022-08-01 20:00:00-04:00,60.91,69.59,60.80,67.23,12142100
2022-08-02 20:00:00-04:00,69.05,82.25,67.61,80.81,24784200
2022-08-03 20:00:00-04:00,106.10,116.30,86.79,88.90,34907700
2022-08-04 20:00:00-04:00,86.58,98.87,86.52,93.05,24865700
2022-08-07 20:00:00-04:00,97.84,103.55,93.81,98.02,18878700
2022-08-08 20:00:00-04:00,93.89,93.89,85.60,87.68,17411400
2022-08-09 20:00:00-04:00,89.98,95.00,88.00,94.14,23818200
2022-08-10 20:00:00-04:00,97.25,98.70,82.31,84.00,23247300
2022-08-11 20:00:00-04:00,85.23,92.48,83.29,90.49,13755200
2022-08-14 20:00:00-04:00,89.11,93.68,88.59,91.97,11001900
2022-08-15 20:00:00-04:00,90.55,95.50,84.24,90.39,17034400
2022-08-16 20:00:00-04:00,87.51,88.64,84.77,85.44,10697900
2022-08-17 20:00:00-04:00,86.33,86.36,81.42,83.47,7923300
2022-08-18 20:00:00-04:00,76.00,78.25,74.01,74.06,13727900
2022-08-21 20:00:00-04:00,70.91,74.94,70.29,71.47,9082400
2022-08-22 20:00:00-04:00,71.95,76.41,70.60,71.18,9598300
2022-08-23 20:00:00-04:00,71.88,74.32,70.71,71.48,6675500
2022-08-24 20:00:00-04:00,71.84,72.45,68.52,71.37,8563500
2022-08-25 20:00:00-04:00,71.71,71.80,65.34,66.74,9797300
2022-08-28 20:00:00-04:00,65.51,69.40,65.46,66.34,7944100
2022-08-29 20:00:00-04:00,67.97,69.45,64.63,67.03,8293500
2022-08-30 20:00:00-04:00,68.70,70.38,66.66,66.80,6707900
2022-08-31 20:00:00-04:00,65.55,65.99,61.91,65.53,8046600
2022-09-01 20:00:00-04:00,67.71,68.14,63.82,65.26,6392800
2022-09-05 20:00:00-04:00,65.56,66.88,62.60,62.78,7478100
2022-09-06 20:00:00-04:00,62.00,68.77,61.83,68.25,8408400
2022-09-07 20:00:00-04:00,66.36,73.33,65.50,73.08,9241500
2022-09-08 20:00:00-04:00,78.20,81.04,75.15,80.87,15357100
2022-09-11 20:00:00-04:00,82.60,84.58,80.60,82.55,12554900
2022-09-12 20:00:00-04:00,75.34,78.09,74.35,75.25,11235300
2022-09-13 20:00:00-04:00,75.30,79.20,74.11,78.70,10840700
2022-09-14 20:00:00-04:00,77.63,82.00,76.63,77.23,10950100
2022-09-15 20:00:00-04:00,75.15,76.37,73.60,74.00,17089000
2022-09-18 20:00:00-04:00,71.88,72.54,67.00,69.93,13135300
2022-09-19 20:00:00-04:00,68.09,69.80,66.17,67.94,7974500
2022-09-20 20:00:00-04:00,68.90,72.24,67.43,67.64,12344600
2022-09-21 20:00:00-04:00,67.40,68.98,62.31,62.94,11156900
2022-09-22 20:00:00-04:00,61.56,63.15,59.43,61.88,10932900
2022-09-25 20:00:00-04:00,62.98,66.33,62.18,62.28,9562600
2022-09-26 20:00:00-04:00,65.29,67.55,61.88,63.05,11860500
2022-09-27 20:00:00-04:00,62.80,67.74,62.76,67.31,8482700
2022-09-28 20:00:00-04:00,64.62,65.03,60.26,61.94,11492100
2022-09-29 20:00:00-04:00,61.25,67.59,61.07,64.49,10210300
2022-10-02 20:00:00-04:00,64.95,67.86,61.92,65.95,10949200
2022-10-03 20:00:00-04:00,69.09,74.63,69.08,74.50,11881400
2022-10-04 20:00:00-04:00,71.80,73.48,69.28,72.97,9222700
2022-10-05 20:00:00-04:00,73.07,76.28,71.34,73.91,11103700
2022-10-06 20:00:00-04:00,70.85,71.10,65.50,67.00,11427900
2022-10-09 20:00:00-04:00,67.58,69.26,65.43,67.04,7714000
2022-10-10 20:00:00-04:00,67.61,72.69,65.03,70.16,17705600
2022-10-11 20:00:00-04:00,69.74,71.85,67.82,69.95,8998900
2022-10-12 20:00:00-04:00,63.66,69.63,61.06,69.26,18342000
2022-10-13 20:00:00-04:00,71.85,73.79,63.38,63.59,13711600
2022-10-16 20:00:00-04:00,66.48,70.95,66.34,69.17,11263300
2022-10-17 20:00:00-04:00,72.90,73.90,65.30,66.21,13874700
2022-10-18 20:00:00-04:00,64.82,66.89,62.55,63.19,8601100
2022-10-19 20:00:00-04:00,63.14,67.43,62.70,63.59,8938700
2022-10-20 20:00:00-04:00,63.40,66.63,61.70,66.38,9156400
2022-10-23 20:00:00-04:00,67.40,68.15,63.68,66.39,8111700
2022-10-24 20:00:00-04:00,67.01,75.40,66.96,75.05,14446900
2022-10-25 20:00:00-04:00,75.28,78.29,73.10,73.81,14102500
2022-10-26 20:00:00-04:00,74.51,75.65,71.51,72.47,5967600
2022-10-27 20:00:00-04:00,72.00,73.72,69.35,72.07,7372100
2022-10-30 20:00:00-04:00,72.37,74.65,66.15,66.25,10648400
2022-10-31 20:00:00-04:00,69.00,69.71,63.13,63.29,8238200
2022-11-01 20:00:00-04:00,63.40,66.21,60.55,60.71,12700900
2022-11-02 20:00:00-04:00,59.40,61.88,55.75,55.80,14238800
2022-11-03 20:00:00-04:00,60.40,63.43,56.40,58.82,18901400
,60.00,60.99,54.22,56.97,13659100
,54.50,58.45,47.69,50.83,34907700
,47.09,49.69,44.62,45.98,34907700
,51.04,53.93,49.02,50.92,30695400
,47.50,58.29,46.25,57.46,30584500
,55.70,55.74,52.60,53.22,16150900
,55.00,58.00,54.60,55.53,14805300
,52.83,54.03,48.00,48.83,24054700
,46.67,49.97,45.18,48.79,17974700
,48.80,49.00,44.31,45.26,20287300
,43.60,44.64,40.61,41.23,22382000
,42.35,44.40,41.61,43.39,20783100
,43.85,46.17,42.21,45.57,14665800
,44.76,45.24,43.70,44.28,6451500
,43.30,44.90,42.02,42.51,10497900
,42.91,44.65,42.70,43.11,9090600
,43.71,45.88,41.51,45.73,15562700
,45.82,47.19,44.44,45.27,11579400
,43.97,47.70,43.73,47.67,10372100
,47.98,49.85,45.63,46.00,11228300
,45.60,46.65,41.73,42.41,12156100
,41.88,43.20,40.55,41.26,10824500
,41.56,43.90,40.30,42.81,9361800
,41.60,42.32,40.15,40.24,10030200
,39.98,42.65,39.65,42.60,9962600
,46.01,46.33,38.50,38.69,20558300
,39.41,41.90,38.82,40.19,16117600
,38.95,39.60,37.44,37.98,12013400
,37.40,38.01,34.71,36.60,18247400
,35.97,36.68,34.51,35.17,11168300
,34.75,36.86,34.35,34.97,9833200
,35.31,36.10,34.80,35.15,6998600
,34.93,35.35,32.95,34.59,10335700
,34.77,35.98,33.67,35.49,8222700
,34.50,34.56,32.44,32.65,10940800
,32.58,33.48,31.83,32.53,7839700
,33.46,35.33,33.37,34.78,7675500
,33.96,35.87,33.63,35.39,8397900
,36.49,36.93,33.37,33.60,8514300
,34.59,38.50,34.54,37.70,17737400
,34.71,35.26,32.75,33.53,16934500
,33.67,33.75,31.55,33.26,15527800
,35.19,39.38,34.72,38.27,18904100
,37.76,43.29,37.74,43.23,24496700
,41.96,43.84,40.63,43.79,16152700
,45.15,47.65,41.67,47.55,20514700
,46.24,50.63,45.38,49.98,22437800
,53.31,54.98,50.70,54.14,23521200
,54.22,57.33,50.00,50.21,24905700
,49.21,51.00,47.92,49.42,14073300
,50.38,55.19,48.80,55.16,15433900
,55.00,56.69,53.21,55.96,17736400
,54.20,56.47,53.34,53.56,12413900
,51.50,53.41,49.60,52.76,13343600
,56.06,56.10,51.97,53.02,12614900
,52.94,62.29,52.41,61.37,24431000
,60.01,61.86,55.67,56.16,14553900
,57.70,60.44,55.91,58.48,14751600
,59.08,66.22,56.65,65.70,18840800
,68.46,85.54,68.31,81.46,34907700
,73.72,87.63,73.02,74.63,34907700
,73.18,75.98,70.52,74.59,17998400
,73.43,73.48,67.30,71.42,19819700
,70.83,73.97,68.30,69.44,11626500
,68.49,68.93,59.00,59.63,23920200
,58.26,61.74,55.97,57.09,17359900
,55.52,57.09,53.66,56.40,14435900
,56.33,61.08,55.03,59.03,23945800
,60.21,69.46,59.46,69.34,25552900
,65.90,73.30,63.91,65.59,31704800
,64.94,67.90,61.51,65.20,23252200
,63.32,66.87,61.85,62.07,19845700
,62.50,67.48,57.35,61.18,32937500
,63.96,64.65,59.89,62.36,16698500
,60.88,61.59,56.80,58.44,14546200
,59.94,60.97,58.17,58.96,13043000
,59.68,67.50,59.42,64.83,24843900
,65.30,66.79,63.09,64.67,15827100
,61.07,63.90,57.50,63.70,18091700
,61.64,65.56,61.38,64.51,17579000
,64.60,69.82,62.64,62.77,19826100
,62.80,64.66,60.59,61.89,15821500
,61.20,65.46,60.35,63.01,15427800
,62.39,64.12,57.21,58.09,20996600
,56.39,56.41,51.57,53.44,25743800
2023-03-12 20:00:00-04:00,54.71,61.10,50.77,59.17,31431900
2023-03-13 20:00:00-04:00,65.45,66.21,61.10,62.65,25167800
2023-03-14 20:00:00-04:00,61.90,66.29,61.18,64.47,20825700
2023-03-15 20:00:00-04:00,64.40,68.62,63.12,67.78,15474500
2023-03-16 20:00:00-04:00,70.52,76.80,69.10,74.98,31006200
2023-03-19 20:00:00-04:00,76.76,77.06,72.87,75.14,19026400
2023-03-20 20:00:00-04:00,76.24,85.05,75.77,83.99,22991900
