Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,187.26,187.61,185.13,186.87,1876100
2018-07-02 20:00:00-04:00,187.35,188.59,185.89,186.09,842100
2018-07-04 20:00:00-04:00,187.06,188.04,186.47,187.90,1436700
2018-07-05 20:00:00-04:00,186.11,189.03,185.67,188.33,1523200
2018-07-08 20:00:00-04:00,189.14,190.28,188.67,189.52,1738300
2018-07-09 20:00:00-04:00,189.56,191.10,189.42,190.20,1687800
2018-07-10 20:00:00-04:00,189.76,190.27,188.65,189.53,1472800
2018-07-11 20:00:00-04:00,190.96,192.42,190.67,192.29,2222000
2018-07-12 20:00:00-04:00,192.27,194.64,192.01,194.55,1951200
2018-07-15 20:00:00-04:00,194.64,195.08,192.18,193.03,2078200
2018-07-16 20:00:00-04:00,192.32,194.21,192.27,193.17,2064800
2018-07-17 20:00:00-04:00,193.47,193.96,191.91,193.14,1869500
2018-07-18 20:00:00-04:00,192.68,196.04,192.30,195.45,2790800
2018-07-19 20:00:00-04:00,194.95,196.71,194.28,196.48,1793900
2018-07-22 20:00:00-04:00,197.55,198.07,196.04,196.62,1394300
2018-07-23 20:00:00-04:00,197.13,198.27,195.49,196.38,1453900
2018-07-24 20:00:00-04:00,195.51,198.40,195.30,198.29,1560200
2018-07-25 20:00:00-04:00,199.46,201.81,198.40,199.20,1820000
2018-07-26 20:00:00-04:00,199.73,199.91,196.55,197.34,1596800
2018-07-29 20:00:00-04:00,196.80,197.77,196.41,196.86,1292700
2018-07-30 20:00:00-04:00,197.38,197.72,196.16,196.50,1888500
2018-07-31 20:00:00-04:00,196.45,196.85,194.29,195.08,1841300
2018-08-01 20:00:00-04:00,193.18,198.92,193.18,198.67,1904800
2018-08-02 20:00:00-04:00,198.56,200.01,198.56,199.48,1195700
2018-08-05 20:00:00-04:00,198.94,200.60,198.57,200.10,1285500
2018-08-06 20:00:00-04:00,200.57,202.58,200.34,201.13,1428100
2018-08-07 20:00:00-04:00,200.23,202.04,199.67,201.77,2010700
2018-08-08 20:00:00-04:00,199.11,199.77,194.88,196.08,3637100
2018-08-09 20:00:00-04:00,195.99,199.20,195.64,197.94,2830800
2018-08-12 20:00:00-04:00,198.58,199.08,196.81,197.26,1518900
2018-08-13 20:00:00-04:00,197.67,199.96,197.53,199.46,1450600
2018-08-14 20:00:00-04:00,198.31,199.55,196.55,199.16,1844100
2018-08-15 20:00:00-04:00,200.76,201.49,199.58,200.53,1657700
2018-08-16 20:00:00-04:00,199.75,202.94,199.59,202.76,1980900
2018-08-19 20:00:00-04:00,203.05,205.04,203.02,204.26,1783700
2018-08-20 20:00:00-04:00,206.19,206.73,204.58,205.33,2066700
2018-08-21 20:00:00-04:00,205.28,206.85,205.19,205.93,1267900
2018-08-22 20:00:00-04:00,205.75,206.96,205.36,206.20,1337900
2018-08-23 20:00:00-04:00,206.64,208.49,206.28,207.79,1453200
2018-08-26 20:00:00-04:00,209.11,209.21,204.94,206.67,1904100
2018-08-27 20:00:00-04:00,207.49,208.29,206.50,206.88,1882100
2018-08-28 20:00:00-04:00,208.25,208.44,205.50,206.81,1793600
2018-08-29 20:00:00-04:00,206.81,208.20,206.65,207.90,1272000
2018-08-30 20:00:00-04:00,207.35,210.33,207.35,209.98,1881300
2018-09-03 20:00:00-04:00,209.98,211.58,209.98,211.37,1858400
2018-09-04 20:00:00-04:00,211.27,212.71,210.04,212.21,2126000
2018-09-05 20:00:00-04:00,212.08,213.25,211.71,213.17,1853200
2018-09-06 20:00:00-04:00,213.74,218.82,213.64,217.48,2722400
2018-09-09 20:00:00-04:00,218.87,219.59,218.07,219.03,2817300
2018-09-10 20:00:00-04:00,219.70,220.81,219.02,219.96,2185700
2018-09-11 20:00:00-04:00,220.67,220.77,218.17,218.36,1912000
2018-09-12 20:00:00-04:00,218.42,219.76,217.11,217.31,2078200
2018-09-13 20:00:00-04:00,215.26,215.26,211.18,212.00,3875300
2018-09-16 20:00:00-04:00,210.81,211.29,208.52,208.96,2884600
2018-09-17 20:00:00-04:00,208.94,212.08,208.69,211.07,2000200
2018-09-18 20:00:00-04:00,211.32,211.43,209.34,210.62,1581400
2018-09-19 20:00:00-04:00,211.30,211.66,209.25,210.69,1910100
2018-09-20 20:00:00-04:00,211.09,212.42,210.77,211.44,3717800
2018-09-23 20:00:00-04:00,210.93,211.52,209.77,210.16,1530400
2018-09-24 20:00:00-04:00,210.79,211.35,209.62,209.80,1889700
2018-09-25 20:00:00-04:00,210.37,212.25,210.26,210.59,2008500
2018-09-26 20:00:00-04:00,210.49,212.26,209.26,210.76,1421400
2018-09-27 20:00:00-04:00,210.63,212.08,210.57,211.55,1602800
2018-09-30 20:00:00-04:00,212.39,213.04,211.15,211.34,1673100
2018-10-01 20:00:00-04:00,210.85,213.97,210.64,212.88,1647600
2018-10-02 20:00:00-04:00,213.12,213.74,209.62,210.04,2322300
2018-10-03 20:00:00-04:00,210.09,210.76,207.75,208.67,2862800
2018-10-04 20:00:00-04:00,202.65,204.51,196.16,197.09,5090025
2018-10-07 20:00:00-04:00,197.56,202.20,197.48,201.69,3863500
