Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,14.14,14.22,13.93,14.21,10092000
2018-07-02 20:00:00-04:00,14.36,14.45,14.21,14.34,5948000
2018-07-04 20:00:00-04:00,14.35,14.45,14.03,14.29,10150400
2018-07-05 20:00:00-04:00,14.32,14.56,14.26,14.50,6790000
2018-07-08 20:00:00-04:00,14.53,14.70,14.52,14.69,6445600
2018-07-09 20:00:00-04:00,14.76,14.88,14.59,14.68,5277600
2018-07-10 20:00:00-04:00,14.28,14.65,14.23,14.58,7959200
2018-07-11 20:00:00-04:00,14.69,14.79,14.63,14.72,7613600
2018-07-12 20:00:00-04:00,14.76,14.88,14.69,14.83,4359600
2018-07-15 20:00:00-04:00,14.83,14.91,14.58,14.61,8791200
2018-07-16 20:00:00-04:00,14.52,14.82,14.46,14.79,6276400
2018-07-17 20:00:00-04:00,14.79,14.85,14.62,14.83,6228800
2018-07-18 20:00:00-04:00,14.76,14.86,14.74,14.78,3416800
2018-07-19 20:00:00-04:00,14.75,14.84,14.74,14.74,3691200
2018-07-22 20:00:00-04:00,14.75,14.76,14.52,14.56,6892000
2018-07-23 20:00:00-04:00,14.66,14.68,14.27,14.34,9037200
2018-07-24 20:00:00-04:00,14.35,14.60,14.19,14.58,5334000
2018-07-25 20:00:00-04:00,14.49,14.68,14.43,14.53,4775200
2018-07-26 20:00:00-04:00,14.56,14.61,14.17,14.23,3266400
2018-07-29 20:00:00-04:00,14.22,14.23,13.97,14.05,4180000
2018-07-30 20:00:00-04:00,14.10,14.40,14.08,14.35,6454000
2018-07-31 20:00:00-04:00,13.99,14.45,13.97,14.39,4035200
2018-08-01 20:00:00-04:00,14.40,14.49,14.34,14.45,4765600
2018-08-02 20:00:00-04:00,14.43,14.46,14.18,14.36,3017200
2018-08-05 20:00:00-04:00,14.39,14.65,14.34,14.63,3952400
2018-08-06 20:00:00-04:00,14.63,14.84,14.62,14.79,4019600
2018-08-07 20:00:00-04:00,14.77,14.92,14.76,14.84,2920000
2018-08-08 20:00:00-04:00,14.85,15.08,14.85,15.00,2638400
2018-08-09 20:00:00-04:00,14.93,15.18,14.91,15.06,3008000
2018-08-12 20:00:00-04:00,15.09,15.15,14.81,14.82,5316000
2018-08-13 20:00:00-04:00,14.85,14.96,14.77,14.88,4586000
2018-08-14 20:00:00-04:00,14.80,15.03,14.70,15.02,4162800
2018-08-15 20:00:00-04:00,15.07,15.23,15.01,15.20,3540400
2018-08-16 20:00:00-04:00,15.21,15.27,15.05,15.24,3110800
2018-08-19 20:00:00-04:00,15.28,15.56,15.25,15.42,4304800
2018-08-20 20:00:00-04:00,15.50,15.69,15.43,15.62,4456000
2018-08-21 20:00:00-04:00,15.60,15.81,15.56,15.75,2748400
2018-08-22 20:00:00-04:00,15.73,15.82,15.69,15.75,2944800
2018-08-23 20:00:00-04:00,15.79,15.88,15.60,15.68,4590000
2018-08-26 20:00:00-04:00,15.76,16.03,15.72,15.95,3980400
2018-08-27 20:00:00-04:00,15.95,16.15,15.95,16.02,4404000
2018-08-28 20:00:00-04:00,16.07,16.19,16.00,16.03,6822400
2018-08-29 20:00:00-04:00,16.03,16.19,16.01,16.10,4443600
2018-08-30 20:00:00-04:00,16.07,16.14,16.03,16.08,5044400
2018-09-03 20:00:00-04:00,16.18,16.26,16.09,16.23,6737200
2018-09-04 20:00:00-04:00,16.19,16.20,15.94,16.17,6072800
2018-09-05 20:00:00-04:00,16.17,16.38,16.12,16.27,5186800
2018-09-06 20:00:00-04:00,16.29,16.44,16.26,16.38,4392400
2018-09-09 20:00:00-04:00,16.48,16.59,16.45,16.48,4150000
2018-09-10 20:00:00-04:00,16.45,16.62,16.43,16.61,6970800
2018-09-11 20:00:00-04:00,16.61,16.67,16.37,16.56,5550000
2018-09-12 20:00:00-04:00,16.60,16.77,16.48,16.51,3322800
2018-09-13 20:00:00-04:00,16.57,16.69,16.16,16.21,6606800
2018-09-16 20:00:00-04:00,16.24,16.30,15.89,15.93,6452000
2018-09-17 20:00:00-04:00,15.92,16.07,15.92,16.04,9362800
2018-09-18 20:00:00-04:00,13.63,14.23,12.52,13.90,15782800
2018-09-19 20:00:00-04:00,14.11,14.55,13.93,14.03,15782800
2018-09-20 20:00:00-04:00,13.65,13.98,13.09,13.15,15782800
2018-09-23 20:00:00-04:00,13.06,13.20,12.74,12.85,15782800
2018-09-24 20:00:00-04:00,12.92,12.96,12.72,12.88,15782800
2018-09-25 20:00:00-04:00,12.92,12.98,12.66,12.91,12024400
2018-09-26 20:00:00-04:00,12.95,12.99,12.74,12.78,8338000
2018-09-27 20:00:00-04:00,12.82,12.92,12.80,12.88,9780800
