Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,28.27,28.40,28.16,28.39,598500
2018-07-02 20:00:00-04:00,28.53,28.63,28.46,28.53,435700
2018-07-04 20:00:00-04:00,28.93,28.96,28.73,28.94,436000
2018-07-05 20:00:00-04:00,28.83,29.03,28.78,28.95,553500
2018-07-08 20:00:00-04:00,29.14,29.18,29.01,29.13,1434300
2018-07-09 20:00:00-04:00,28.95,29.12,28.94,29.03,975600
2018-07-10 20:00:00-04:00,28.65,28.89,28.44,28.51,1065700
2018-07-11 20:00:00-04:00,28.80,28.87,28.70,28.81,1104600
2018-07-12 20:00:00-04:00,28.69,28.83,28.58,28.66,1024600
2018-07-15 20:00:00-04:00,29.05,29.08,28.77,28.86,842000
2018-07-16 20:00:00-04:00,28.57,28.68,28.49,28.57,943200
2018-07-17 20:00:00-04:00,28.83,28.93,28.59,28.88,389500
2018-07-18 20:00:00-04:00,28.42,28.58,28.31,28.52,435100
2018-07-19 20:00:00-04:00,28.05,28.43,28.05,28.30,637800
2018-07-22 20:00:00-04:00,28.11,28.31,28.11,28.22,359800
2018-07-23 20:00:00-04:00,28.51,28.57,28.29,28.39,687500
2018-07-24 20:00:00-04:00,28.28,28.45,27.98,28.41,566900
2018-07-25 20:00:00-04:00,28.70,28.70,28.33,28.36,541100
2018-07-26 20:00:00-04:00,28.03,28.11,27.86,27.98,615900
2018-07-29 20:00:00-04:00,28.10,28.12,27.94,27.94,380400
2018-07-30 20:00:00-04:00,28.11,28.13,27.67,27.69,644600
2018-07-31 20:00:00-04:00,27.06,27.11,26.73,26.84,637600
2018-08-01 20:00:00-04:00,26.49,26.61,26.39,26.59,769500
2018-08-02 20:00:00-04:00,26.81,26.86,26.71,26.81,344900
2018-08-05 20:00:00-04:00,26.69,26.85,26.64,26.73,299600
2018-08-06 20:00:00-04:00,26.98,27.07,26.84,26.87,332100
2018-08-07 20:00:00-04:00,27.01,27.11,26.95,27.04,350000
2018-08-08 20:00:00-04:00,26.23,26.50,26.23,26.34,394400
2018-08-09 20:00:00-04:00,25.86,26.09,25.82,25.93,477300
2018-08-12 20:00:00-04:00,26.03,26.06,25.87,25.89,417700
2018-08-13 20:00:00-04:00,25.86,26.00,25.80,25.93,423400
2018-08-14 20:00:00-04:00,25.51,25.65,25.34,25.58,362600
2018-08-15 20:00:00-04:00,25.81,26.12,25.80,25.91,603200
2018-08-16 20:00:00-04:00,26.09,26.31,26.01,26.26,519100
2018-08-19 20:00:00-04:00,26.49,26.52,26.37,26.43,539300
2018-08-20 20:00:00-04:00,26.67,26.82,26.63,26.78,436900
2018-08-21 20:00:00-04:00,27.18,27.22,26.83,26.95,747600
2018-08-22 20:00:00-04:00,26.81,26.94,26.60,26.62,507800
2018-08-23 20:00:00-04:00,27.06,27.38,27.05,27.22,803000
2018-08-26 20:00:00-04:00,27.46,27.63,27.36,27.61,618500
2018-08-27 20:00:00-04:00,27.28,27.34,26.93,26.94,520900
2018-08-28 20:00:00-04:00,27.51,27.65,27.25,27.57,646500
2018-08-29 20:00:00-04:00,27.31,27.40,27.16,27.21,450700
2018-08-30 20:00:00-04:00,26.92,27.01,26.64,26.75,644600
2018-09-03 20:00:00-04:00,26.50,26.67,26.39,26.67,653600
