Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,48.67,48.73,47.91,48.38,19644100
2022-04-06 20:00:00-04:00,48.44,48.81,47.82,48.62,15739000
2022-04-07 20:00:00-04:00,48.80,48.87,48.06,48.30,18148200
2022-04-10 20:00:00-04:00,47.98,48.01,46.98,47.06,20992100
2022-04-11 20:00:00-04:00,46.01,47.12,45.81,46.12,25254200
2022-04-12 20:00:00-04:00,46.13,46.60,45.75,46.41,17004600
2022-04-13 20:00:00-04:00,46.35,46.61,45.49,45.54,18024800
2022-04-17 20:00:00-04:00,45.28,45.88,45.21,45.48,13990700
2022-04-18 20:00:00-04:00,45.39,46.22,45.31,46.12,15490900
2022-04-19 20:00:00-04:00,46.47,47.76,46.41,47.18,19526200
2022-04-20 20:00:00-04:00,47.47,47.90,46.93,46.97,17147300
2022-04-21 20:00:00-04:00,47.09,47.13,45.64,45.71,17693000
2022-04-24 20:00:00-04:00,45.79,46.26,44.98,46.22,18677000
2022-04-25 20:00:00-04:00,46.17,46.22,45.27,45.30,19238300
2022-04-26 20:00:00-04:00,45.31,45.48,43.83,43.88,33668600
2022-04-27 20:00:00-04:00,44.08,45.19,43.79,45.06,20170700
2022-04-28 20:00:00-04:00,44.95,45.07,43.49,43.59,20281400
2022-05-01 20:00:00-04:00,43.91,44.42,43.54,44.37,22499200
2022-05-02 20:00:00-04:00,44.29,44.82,44.08,44.42,15828200
2022-05-03 20:00:00-04:00,44.52,45.97,44.20,45.90,23942300
2022-05-04 20:00:00-04:00,45.52,45.57,43.75,44.15,24846500
2022-05-05 20:00:00-04:00,43.74,44.35,43.47,43.90,21743900
2022-05-08 20:00:00-04:00,43.61,43.98,43.31,43.57,22421200
2022-05-09 20:00:00-04:00,44.24,44.71,43.74,44.10,21741100
2022-05-10 20:00:00-04:00,43.69,44.18,43.23,43.29,23872100
2022-05-11 20:00:00-04:00,43.28,43.41,42.24,42.97,25951000
2022-05-12 20:00:00-04:00,43.35,44.17,43.19,44.10,18954500
2022-05-15 20:00:00-04:00,44.19,44.19,43.50,43.61,20254500
2022-05-16 20:00:00-04:00,44.21,45.14,44.06,45.03,18780600
2022-05-17 20:00:00-04:00,44.91,44.91,42.90,43.04,40672700
2022-05-18 20:00:00-04:00,38.32,39.09,36.50,37.13,41509300
2022-05-19 20:00:00-04:00,37.25,38.27,36.95,38.21,41509300
2022-05-22 20:00:00-04:00,38.57,39.00,38.21,38.58,27366600
2022-05-23 20:00:00-04:00,38.62,39.21,37.82,38.95,30053900
2022-05-24 20:00:00-04:00,38.93,39.53,38.44,39.16,25504600
2022-05-25 20:00:00-04:00,39.20,40.52,39.20,40.04,28294700
2022-05-26 20:00:00-04:00,40.15,40.62,40.00,40.60,23882100
2022-05-30 20:00:00-04:00,40.29,40.59,39.81,40.09,41509300
2022-05-31 20:00:00-04:00,40.54,40.76,39.84,40.25,20666000
2022-06-01 20:00:00-04:00,40.21,40.76,39.96,40.75,20546800
2022-06-02 20:00:00-04:00,40.54,40.70,40.15,40.27,17947000
2022-06-05 20:00:00-04:00,40.58,41.02,40.16,40.34,12641900
2022-06-06 20:00:00-04:00,39.89,40.62,39.80,40.55,14667200
2022-06-07 20:00:00-04:00,40.45,40.61,39.94,39.97,16263800
2022-06-08 20:00:00-04:00,39.89,40.29,39.37,39.39,18417700
2022-06-09 20:00:00-04:00,38.98,39.15,38.52,38.70,20262400
2022-06-12 20:00:00-04:00,38.32,39.01,38.17,38.48,29050800
2022-06-13 20:00:00-04:00,38.83,38.89,37.88,38.19,22499100
2022-06-14 20:00:00-04:00,38.60,39.54,38.36,38.98,22525100
2022-06-15 20:00:00-04:00,38.10,38.63,38.10,38.55,27049000
2022-06-16 20:00:00-04:00,38.59,39.16,38.48,38.61,41509300
2022-06-20 20:00:00-04:00,38.99,39.41,38.89,39.28,23277900
2022-06-21 20:00:00-04:00,38.68,39.26,38.42,38.77,19942300
2022-06-22 20:00:00-04:00,38.63,38.68,38.02,38.20,33801700
2022-06-23 20:00:00-04:00,38.66,39.35,38.48,39.25,30543800
2022-06-26 20:00:00-04:00,39.41,39.41,38.83,38.95,22755300
2022-06-27 20:00:00-04:00,39.08,39.57,38.26,38.32,20091300
2022-06-28 20:00:00-04:00,38.39,38.50,37.99,38.16,13450800
2022-06-29 20:00:00-04:00,37.71,38.39,37.55,37.95,24947900
2022-06-30 20:00:00-04:00,37.84,38.00,36.99,37.91,24338500
2022-07-04 20:00:00-04:00,37.28,37.69,36.65,37.68,24442600
2022-07-05 20:00:00-04:00,37.82,38.55,37.72,38.33,17250400
2022-07-06 20:00:00-04:00,38.50,38.93,38.42,38.81,22316700
2022-07-07 20:00:00-04:00,38.64,39.16,38.56,38.96,11817000
2022-07-10 20:00:00-04:00,38.92,39.22,38.67,38.84,15245200
2022-07-11 20:00:00-04:00,39.13,39.36,38.31,38.48,17385300
2022-07-12 20:00:00-04:00,37.58,38.66,37.53,38.34,16854200
2022-07-13 20:00:00-04:00,37.52,38.13,37.13,38.01,17336200
2022-07-14 20:00:00-04:00,38.16,38.73,38.16,38.67,19897800
2022-07-17 20:00:00-04:00,38.88,38.90,38.08,38.25,16743800
2022-07-18 20:00:00-04:00,38.45,39.59,38.30,39.54,22861400
2022-07-19 20:00:00-04:00,39.58,39.80,39.20,39.63,15599200
2022-07-20 20:00:00-04:00,39.77,40.13,39.57,40.03,15364600
2022-07-21 20:00:00-04:00,40.21,40.33,39.73,39.92,14854600
2022-07-24 20:00:00-04:00,40.10,40.10,39.61,39.81,12954700
2022-07-25 20:00:00-04:00,39.84,39.99,39.28,39.36,19513000
2022-07-26 20:00:00-04:00,39.68,40.22,39.36,40.08,22349000
2022-07-27 20:00:00-04:00,40.30,41.19,40.15,40.96,17576200
2022-07-28 20:00:00-04:00,40.51,40.85,40.25,40.74,23701700
2022-07-31 20:00:00-04:00,40.46,40.79,40.19,40.66,14153400
2022-08-01 20:00:00-04:00,40.87,41.04,40.32,40.33,15005400
2022-08-02 20:00:00-04:00,40.32,41.14,40.22,41.04,14943800
2022-08-03 20:00:00-04:00,41.21,41.24,40.42,40.75,15249300
2022-08-04 20:00:00-04:00,40.33,40.47,39.99,40.42,19533900
2022-08-07 20:00:00-04:00,40.85,40.87,40.28,40.42,15465600
2022-08-08 20:00:00-04:00,40.54,40.57,40.16,40.33,12826200
2022-08-09 20:00:00-04:00,41.04,41.36,40.79,41.32,18935400
2022-08-10 20:00:00-04:00,41.40,41.69,41.10,41.21,15849000
2022-08-11 20:00:00-04:00,41.39,41.85,41.28,41.85,16967600
2022-08-14 20:00:00-04:00,41.65,41.86,41.33,41.83,15456100
2022-08-15 20:00:00-04:00,41.82,42.21,41.70,42.00,21153700
2022-08-16 20:00:00-04:00,41.63,42.29,41.51,41.90,27975600
2022-08-17 20:00:00-04:00,44.72,44.90,44.10,44.33,39999900
2022-08-18 20:00:00-04:00,44.01,44.41,43.59,43.73,23130400
2022-08-21 20:00:00-04:00,43.52,43.55,42.67,42.84,20534100
2022-08-22 20:00:00-04:00,42.73,43.14,42.55,42.57,13764600
2022-08-23 20:00:00-04:00,42.28,42.57,42.09,42.27,14946500
2022-08-24 20:00:00-04:00,42.43,42.59,42.06,42.44,23039300
2022-08-25 20:00:00-04:00,42.27,42.44,41.20,41.21,20309800
