Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,41.04,41.63,40.67,41.57,4032000
2018-07-02 20:00:00-04:00,41.13,41.84,40.82,40.85,1859000
2018-07-04 20:00:00-04:00,41.03,41.41,39.71,41.35,2673000
2018-07-05 20:00:00-04:00,41.34,42.31,41.34,42.24,1609000
2018-07-08 20:00:00-04:00,42.26,42.93,41.92,42.89,1816000
2018-07-09 20:00:00-04:00,42.90,42.99,41.92,41.95,2075000
2018-07-10 20:00:00-04:00,41.75,42.19,41.75,42.04,2441000
2018-07-11 20:00:00-04:00,42.28,42.66,42.12,42.62,1188000
2018-07-12 20:00:00-04:00,42.62,42.79,42.28,42.45,938000
2018-07-15 20:00:00-04:00,42.40,42.91,42.31,42.78,1629000
2018-07-16 20:00:00-04:00,42.64,42.76,42.16,42.63,1519000
2018-07-17 20:00:00-04:00,42.61,43.45,42.35,42.47,1366000
2018-07-18 20:00:00-04:00,42.34,42.58,42.27,42.33,1604000
2018-07-19 20:00:00-04:00,42.51,42.70,42.46,42.50,1135000
2018-07-22 20:00:00-04:00,42.44,43.10,42.28,43.08,1655000
2018-07-23 20:00:00-04:00,43.23,43.23,41.80,42.41,2450000
2018-07-24 20:00:00-04:00,42.87,44.70,42.01,43.77,4942000
2018-07-25 20:00:00-04:00,43.66,43.99,42.57,43.20,1618000
2018-07-26 20:00:00-04:00,43.20,43.62,41.84,42.18,2172000
2018-07-29 20:00:00-04:00,42.26,42.60,40.97,41.46,2133000
2018-07-30 20:00:00-04:00,41.68,42.18,41.18,41.58,2581000
2018-07-31 20:00:00-04:00,41.59,43.04,41.46,41.86,2708000
2018-08-01 20:00:00-04:00,41.62,42.73,41.60,42.65,1226000
2018-08-02 20:00:00-04:00,42.70,42.86,41.77,42.30,1005000
2018-08-05 20:00:00-04:00,42.30,42.74,41.87,42.22,1371000
2018-08-06 20:00:00-04:00,42.18,42.30,41.64,42.00,2458000
2018-08-07 20:00:00-04:00,42.01,42.46,39.82,42.16,1557000
2018-08-08 20:00:00-04:00,42.24,43.01,42.00,42.28,1152000
2018-08-09 20:00:00-04:00,42.07,43.11,41.93,42.86,1318000
2018-08-12 20:00:00-04:00,42.88,43.57,42.81,42.86,1467000
2018-08-13 20:00:00-04:00,42.87,43.43,42.71,43.10,894000
2018-08-14 20:00:00-04:00,42.93,43.58,42.80,42.88,943000
2018-08-15 20:00:00-04:00,43.27,43.27,42.81,42.97,769000
2018-08-16 20:00:00-04:00,42.98,43.17,42.84,43.04,684000
2018-08-19 20:00:00-04:00,43.03,43.31,42.62,43.23,932000
2018-08-20 20:00:00-04:00,43.25,43.44,42.72,42.99,1800000
2018-08-21 20:00:00-04:00,42.90,43.14,42.71,43.08,1040000
2018-08-22 20:00:00-04:00,43.08,43.56,42.91,43.45,1688000
2018-08-23 20:00:00-04:00,43.58,43.94,43.38,43.45,930000
2018-08-26 20:00:00-04:00,43.62,44.19,43.51,43.88,751000
2018-08-27 20:00:00-04:00,43.99,44.46,43.69,43.84,743000
2018-08-28 20:00:00-04:00,43.92,44.47,43.92,44.21,713000
2018-08-29 20:00:00-04:00,44.17,44.30,43.82,44.10,1102000
2018-08-30 20:00:00-04:00,44.10,44.42,44.07,44.22,1699000
2018-09-03 20:00:00-04:00,44.19,44.83,43.91,44.67,1330000
2018-09-04 20:00:00-04:00,44.70,44.71,43.35,44.25,1772000
2018-09-05 20:00:00-04:00,44.23,44.33,43.68,43.72,1858000
2018-09-06 20:00:00-04:00,43.46,43.89,43.20,43.41,1195000
2018-09-09 20:00:00-04:00,43.59,43.80,43.18,43.60,1288000
2018-09-10 20:00:00-04:00,43.55,44.48,43.34,44.38,2481000
2018-09-11 20:00:00-04:00,44.35,44.35,43.25,43.49,1558000
2018-09-12 20:00:00-04:00,43.70,43.92,43.45,43.85,739000
2018-09-13 20:00:00-04:00,43.94,43.94,43.48,43.50,2311000
2018-09-16 20:00:00-04:00,43.50,43.50,42.25,42.35,1750000
2018-09-17 20:00:00-04:00,42.13,42.85,42.13,42.50,1823000
2018-09-18 20:00:00-04:00,42.58,42.58,41.45,41.52,2052000
2018-09-19 20:00:00-04:00,41.74,42.32,41.34,42.01,1785000
2018-09-20 20:00:00-04:00,42.03,42.55,41.83,41.97,2688000
2018-09-23 20:00:00-04:00,41.78,42.06,41.48,41.75,2169000
2018-09-24 20:00:00-04:00,41.62,42.48,41.57,41.85,2622000
2018-09-25 20:00:00-04:00,41.76,42.49,41.54,41.97,2304000
2018-09-26 20:00:00-04:00,42.01,42.30,41.65,41.77,1097000
2018-09-27 20:00:00-04:00,41.78,42.25,41.47,42.08,1594000
2018-09-30 20:00:00-04:00,42.32,42.50,41.43,41.44,1540000
