Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,42.42,43.49,42.18,43.44,1804800
2018-07-02 20:00:00-04:00,43.51,43.70,43.04,43.07,969200
2018-07-04 20:00:00-04:00,43.25,43.66,43.10,43.61,1633600
2018-07-05 20:00:00-04:00,43.59,44.18,43.45,44.04,1105600
2018-07-08 20:00:00-04:00,44.19,44.43,44.09,44.42,2306000
2018-07-09 20:00:00-04:00,44.45,44.74,44.30,44.50,1682000
2018-07-10 20:00:00-04:00,44.22,44.74,44.19,44.57,1910000
2018-07-11 20:00:00-04:00,44.80,44.94,44.46,44.91,1426000
2018-07-12 20:00:00-04:00,45.04,45.19,44.89,45.06,1280000
2018-07-15 20:00:00-04:00,45.08,45.13,44.25,44.32,2048400
2018-07-16 20:00:00-04:00,44.59,44.80,44.35,44.73,1998400
2018-07-17 20:00:00-04:00,44.64,44.89,44.25,44.33,2157600
2018-07-18 20:00:00-04:00,44.34,44.65,44.09,44.59,2693200
2018-07-19 20:00:00-04:00,45.24,47.03,44.91,46.87,5031200
2018-07-22 20:00:00-04:00,46.91,47.89,46.84,47.23,4162000
2018-07-23 20:00:00-04:00,47.10,47.89,47.10,47.66,3312400
2018-07-24 20:00:00-04:00,47.58,48.21,47.46,48.18,2458400
2018-07-25 20:00:00-04:00,48.34,48.44,47.76,48.07,2083200
2018-07-26 20:00:00-04:00,48.11,48.17,46.84,47.21,2052400
2018-07-29 20:00:00-04:00,47.18,47.20,46.36,46.68,2602400
2018-07-30 20:00:00-04:00,46.94,47.19,46.68,47.08,3031200
2018-07-31 20:00:00-04:00,46.97,47.57,46.97,47.42,2485600
2018-08-01 20:00:00-04:00,47.29,48.00,47.23,47.93,2140800
2018-08-02 20:00:00-04:00,47.91,48.04,47.23,47.64,1530400
2018-08-05 20:00:00-04:00,47.69,48.58,47.67,48.39,1740000
2018-08-06 20:00:00-04:00,48.56,48.87,48.47,48.63,1442800
2018-08-07 20:00:00-04:00,48.63,48.82,48.45,48.53,1668400
2018-08-08 20:00:00-04:00,48.65,48.95,48.59,48.67,1868800
2018-08-09 20:00:00-04:00,48.17,48.77,48.16,48.58,1477200
2018-08-12 20:00:00-04:00,48.61,48.79,48.15,48.28,1098400
2018-08-13 20:00:00-04:00,48.28,48.71,48.00,48.42,2202400
2018-08-14 20:00:00-04:00,48.24,48.73,48.05,48.68,1935600
2018-08-15 20:00:00-04:00,48.86,49.05,48.65,48.80,1275600
2018-08-16 20:00:00-04:00,48.97,49.06,48.72,48.99,1696400
2018-08-19 20:00:00-04:00,49.18,49.26,48.88,49.01,1870800
2018-08-20 20:00:00-04:00,49.07,49.23,48.78,48.80,1956400
2018-08-21 20:00:00-04:00,48.71,49.20,48.58,48.91,1142000
2018-08-22 20:00:00-04:00,48.80,49.00,48.61,48.90,992800
2018-08-23 20:00:00-04:00,48.97,49.20,48.70,48.96,913600
2018-08-26 20:00:00-04:00,49.13,49.26,48.74,48.82,1439200
2018-08-27 20:00:00-04:00,48.97,49.16,48.84,49.06,1018400
2018-08-28 20:00:00-04:00,49.17,49.44,48.90,49.33,1180800
2018-08-29 20:00:00-04:00,49.20,49.33,48.89,49.11,834000
2018-08-30 20:00:00-04:00,49.02,49.21,48.94,49.13,1562400
2018-09-03 20:00:00-04:00,49.09,49.77,49.09,49.63,1639200
2018-09-04 20:00:00-04:00,49.38,49.93,49.14,49.42,2059600
2018-09-05 20:00:00-04:00,49.41,49.88,49.33,49.82,1107600
2018-09-06 20:00:00-04:00,49.66,50.04,49.37,49.79,1157200
2018-09-09 20:00:00-04:00,49.82,49.82,49.29,49.37,1575200
2018-09-10 20:00:00-04:00,49.20,49.93,48.92,49.55,1329600
2018-09-11 20:00:00-04:00,49.09,49.59,48.80,49.02,1884000
2018-09-12 20:00:00-04:00,49.33,49.36,49.03,49.13,1796000
2018-09-13 20:00:00-04:00,49.12,49.52,48.97,49.38,1250800
2018-09-16 20:00:00-04:00,49.39,49.39,48.75,48.92,1684400
2018-09-17 20:00:00-04:00,49.08,49.61,48.99,49.47,2271200
2018-09-18 20:00:00-04:00,49.44,49.47,48.32,48.54,1767600
2018-09-19 20:00:00-04:00,48.70,48.87,48.31,48.74,1674000
2018-09-20 20:00:00-04:00,48.88,49.26,48.62,48.74,3394800
2018-09-23 20:00:00-04:00,48.81,48.91,48.37,48.61,1885200
2018-09-24 20:00:00-04:00,48.84,49.19,48.65,49.03,3288000
2018-09-25 20:00:00-04:00,47.47,48.12,46.07,46.32,5031200
2018-09-26 20:00:00-04:00,46.37,46.51,45.32,45.49,4696000
2018-09-27 20:00:00-04:00,45.28,45.64,44.92,45.54,4429600
2018-09-30 20:00:00-04:00,45.82,45.97,45.36,45.59,4650000
2018-10-01 20:00:00-04:00,45.38,45.67,45.03,45.09,4170800
2018-10-02 20:00:00-04:00,45.28,45.45,44.96,45.14,4172400
2018-10-03 20:00:00-04:00,45.10,45.34,44.73,44.87,3514400
2018-10-04 20:00:00-04:00,44.96,45.42,44.67,45.10,3424000
2018-10-07 20:00:00-04:00,45.06,45.24,44.32,44.77,1626000
2018-10-08 20:00:00-04:00,44.81,45.25,44.71,44.97,2677600
2018-10-09 20:00:00-04:00,44.98,44.98,43.02,43.09,3434400
2018-10-10 20:00:00-04:00,43.03,43.58,42.24,42.37,4842400
2018-10-11 20:00:00-04:00,42.75,43.29,42.49,43.05,3260400
2018-10-14 20:00:00-04:00,43.00,43.00,42.36,42.45,2196400
2018-10-15 20:00:00-04:00,42.64,43.87,42.60,43.73,2174000
2018-10-16 20:00:00-04:00,43.91,43.91,42.69,42.87,2872800
2018-10-17 20:00:00-04:00,42.89,43.05,41.37,41.66,3169200
2018-10-18 20:00:00-04:00,41.86,41.92,40.94,41.13,2569200
2018-10-21 20:00:00-04:00,41.19,41.47,40.70,41.13,2277200
2018-10-22 20:00:00-04:00,40.52,40.75,39.31,40.22,4284400
2018-10-23 20:00:00-04:00,40.20,40.57,38.69,38.77,3633600
2018-10-24 20:00:00-04:00,39.14,40.17,38.81,39.99,3349600
2018-10-25 20:00:00-04:00,39.20,40.05,38.73,39.48,2546400
2018-10-28 20:00:00-04:00,39.94,40.34,38.91,39.58,3026400
2018-10-29 20:00:00-04:00,39.86,41.07,39.86,40.96,4873600
2018-10-30 20:00:00-04:00,41.21,42.34,41.21,41.87,4223600
2018-10-31 20:00:00-04:00,41.99,42.05,41.09,41.62,3191200
2018-11-01 20:00:00-04:00,41.90,42.30,41.00,41.36,2067200
2018-11-04 19:00:00-05:00,41.45,41.65,40.58,40.91,2636000
