Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,80.43,81.73,80.02,81.29,2239700
2022-04-06 20:00:00-04:00,81.13,82.76,80.86,82.14,1956000
2022-04-07 20:00:00-04:00,81.95,83.55,81.50,83.21,2406800
2022-04-10 20:00:00-04:00,82.88,83.47,81.48,81.58,1882000
2022-04-11 20:00:00-04:00,82.31,82.94,80.31,80.53,2295900
2022-04-12 20:00:00-04:00,80.30,81.19,79.57,80.50,3249200
2022-04-13 20:00:00-04:00,80.51,80.80,79.12,79.27,2616000
2022-04-17 20:00:00-04:00,79.09,79.90,78.64,79.14,1570900
2022-04-18 20:00:00-04:00,78.88,80.40,78.88,80.20,1790100
2022-04-19 20:00:00-04:00,80.95,81.63,80.47,80.64,2638300
2022-04-20 20:00:00-04:00,81.21,83.05,80.57,80.84,2291600
2022-04-21 20:00:00-04:00,80.73,80.77,77.57,77.79,3160400
2022-04-24 20:00:00-04:00,77.79,79.06,77.19,79.00,3720600
2022-04-25 20:00:00-04:00,78.40,78.72,76.67,76.95,3345400
2022-04-26 20:00:00-04:00,76.94,78.99,76.94,77.49,3258600
2022-04-27 20:00:00-04:00,78.29,78.98,77.43,78.54,3233600
2022-04-28 20:00:00-04:00,78.36,78.57,75.65,75.67,4299600
2022-05-01 20:00:00-04:00,75.72,76.57,74.33,75.46,4755200
2022-05-02 20:00:00-04:00,75.76,76.62,75.57,76.28,3675400
2022-05-03 20:00:00-04:00,76.56,78.96,75.04,78.91,4087400
2022-05-04 20:00:00-04:00,73.66,74.90,67.81,68.84,5034000
2022-05-05 20:00:00-04:00,68.31,70.78,67.91,70.64,3904700
2022-05-08 20:00:00-04:00,69.93,72.48,69.46,71.34,4522700
2022-05-09 20:00:00-04:00,72.25,72.60,69.14,69.63,3435000
2022-05-10 20:00:00-04:00,69.76,69.85,67.45,67.70,3219700
2022-05-11 20:00:00-04:00,67.18,69.09,67.12,68.79,3465200
2022-05-12 20:00:00-04:00,69.12,69.90,68.26,68.64,3455000
2022-05-15 20:00:00-04:00,68.72,68.83,67.71,67.89,4430000
2022-05-16 20:00:00-04:00,69.02,70.43,68.89,70.26,3055600
2022-05-17 20:00:00-04:00,69.42,69.84,65.60,65.69,4770100
2022-05-18 20:00:00-04:00,65.83,67.19,65.20,66.03,3236600
2022-05-19 20:00:00-04:00,66.76,67.10,65.12,66.51,2932600
2022-05-22 20:00:00-04:00,67.16,67.72,66.39,67.46,2533000
2022-05-23 20:00:00-04:00,65.91,67.57,65.91,67.04,2867900
2022-05-24 20:00:00-04:00,66.51,67.69,66.23,67.32,2899000
2022-05-25 20:00:00-04:00,67.73,68.82,67.73,68.30,2654500
2022-05-26 20:00:00-04:00,68.76,70.18,68.76,70.17,2524500
2022-05-30 20:00:00-04:00,69.72,70.52,69.08,70.14,4678300
2022-05-31 20:00:00-04:00,70.46,70.80,69.52,69.66,2332500
2022-06-01 20:00:00-04:00,69.70,70.41,68.88,70.39,2535000
2022-06-02 20:00:00-04:00,69.37,69.92,68.73,69.07,2289800
2022-06-05 20:00:00-04:00,69.72,69.99,69.03,69.37,2051000
2022-06-06 20:00:00-04:00,68.74,69.75,68.53,69.57,2237400
2022-06-07 20:00:00-04:00,69.22,69.66,68.31,68.65,1654600
2022-06-08 20:00:00-04:00,68.44,68.74,66.42,66.45,2299700
2022-06-09 20:00:00-04:00,65.32,66.27,64.73,65.65,3390200
2022-06-12 20:00:00-04:00,64.22,65.56,63.34,63.75,4411300
2022-06-13 20:00:00-04:00,64.25,64.25,63.05,63.73,2372700
2022-06-14 20:00:00-04:00,64.36,65.23,63.35,64.31,2524600
2022-06-15 20:00:00-04:00,63.01,63.15,61.26,61.78,3612800
2022-06-16 20:00:00-04:00,62.20,62.92,61.44,62.44,5343600
2022-06-20 20:00:00-04:00,63.81,64.20,63.08,63.62,3415300
2022-06-21 20:00:00-04:00,62.89,63.91,62.61,63.36,3065600
2022-06-22 20:00:00-04:00,63.73,64.08,62.76,63.27,3215500
2022-06-23 20:00:00-04:00,63.99,66.03,63.85,65.97,3280400
2022-06-26 20:00:00-04:00,66.36,66.36,65.19,65.65,2530200
2022-06-27 20:00:00-04:00,65.70,66.14,63.87,63.96,2856900
2022-06-28 20:00:00-04:00,64.17,64.58,63.63,64.30,2026200
2022-06-29 20:00:00-04:00,63.45,64.15,62.96,63.37,2668300
2022-06-30 20:00:00-04:00,63.32,64.07,62.65,63.88,2006500
2022-07-04 20:00:00-04:00,63.33,63.64,62.06,63.59,3076400
2022-07-05 20:00:00-04:00,64.28,64.58,63.55,63.87,2668900
2022-07-06 20:00:00-04:00,64.07,64.23,62.62,63.46,3838300
2022-07-07 20:00:00-04:00,63.48,63.54,62.42,62.93,3234500
2022-07-10 20:00:00-04:00,62.38,62.40,61.17,61.69,3477800
2022-07-11 20:00:00-04:00,61.91,62.42,60.81,61.18,3475700
2022-07-12 20:00:00-04:00,60.36,61.36,59.92,61.07,3628300
2022-07-13 20:00:00-04:00,60.11,60.74,59.40,60.53,3173000
2022-07-14 20:00:00-04:00,61.46,61.89,60.77,61.84,7912900
2022-07-17 20:00:00-04:00,62.18,62.56,60.90,61.13,2998100
2022-07-18 20:00:00-04:00,62.07,63.39,61.69,63.31,3281900
2022-07-19 20:00:00-04:00,63.45,64.06,63.04,63.96,2701700
2022-07-20 20:00:00-04:00,64.03,64.80,63.79,64.77,2226900
2022-07-21 20:00:00-04:00,64.84,65.34,64.52,64.88,3616700
2022-07-24 20:00:00-04:00,64.99,65.10,63.64,64.06,2584400
2022-07-25 20:00:00-04:00,63.71,64.40,63.46,63.92,2825100
2022-07-26 20:00:00-04:00,64.24,66.24,64.05,66.01,4437100
2022-07-27 20:00:00-04:00,61.07,63.70,61.07,62.75,5442700
2022-07-28 20:00:00-04:00,63.11,63.86,62.67,63.81,6000000
2022-07-31 20:00:00-04:00,63.63,64.61,63.40,63.50,4960700
2022-08-01 20:00:00-04:00,63.50,63.96,62.31,63.45,3480700
2022-08-02 20:00:00-04:00,63.95,64.88,63.62,64.54,3044800
2022-08-03 20:00:00-04:00,64.55,64.90,63.92,64.55,3468000
2022-08-04 20:00:00-04:00,63.73,64.58,63.27,64.53,2002600
2022-08-07 20:00:00-04:00,64.88,65.41,64.25,64.62,2189100
2022-08-08 20:00:00-04:00,64.42,64.56,63.83,63.96,1990400
2022-08-09 20:00:00-04:00,65.04,65.44,64.56,64.83,2825800
2022-08-10 20:00:00-04:00,65.13,65.27,64.29,64.53,2986100
2022-08-11 20:00:00-04:00,64.97,65.70,64.80,65.52,3390100
2022-08-14 20:00:00-04:00,65.24,65.93,65.17,65.45,2116800
2022-08-15 20:00:00-04:00,65.52,66.12,65.07,65.67,2845100
2022-08-16 20:00:00-04:00,65.20,65.55,64.56,64.70,2570900
2022-08-17 20:00:00-04:00,64.70,65.34,64.43,65.17,1799000
2022-08-18 20:00:00-04:00,64.86,65.01,64.29,64.67,2139400
2022-08-21 20:00:00-04:00,63.64,64.21,62.70,63.08,1905300
2022-08-22 20:00:00-04:00,62.96,63.13,62.22,62.24,1603600
2022-08-23 20:00:00-04:00,62.21,62.41,61.75,62.20,2384800
2022-08-24 20:00:00-04:00,62.42,63.20,62.30,63.19,1799000
2022-08-25 20:00:00-04:00,63.26,63.30,60.88,60.99,2350900
2022-08-28 20:00:00-04:00,60.64,61.23,60.48,60.58,2583800
2022-08-29 20:00:00-04:00,60.71,60.95,59.97,60.53,3472800
2022-08-30 20:00:00-04:00,60.95,61.34,59.53,59.55,3029800
2022-08-31 20:00:00-04:00,59.21,59.84,58.64,59.80,2149900
2022-09-01 20:00:00-04:00,60.31,60.42,58.49,58.76,1819200
2022-09-05 20:00:00-04:00,58.90,59.03,58.06,58.65,2767900
2022-09-06 20:00:00-04:00,58.89,60.29,58.74,60.02,2290300
2022-09-07 20:00:00-04:00,59.53,60.67,59.33,60.66,2567900
2022-09-08 20:00:00-04:00,61.01,61.93,60.83,61.76,2261200
2022-09-11 20:00:00-04:00,62.32,62.77,62.20,62.52,1968700
2022-09-12 20:00:00-04:00,60.73,61.35,59.00,59.23,3832200
2022-09-13 20:00:00-04:00,59.32,59.32,58.18,58.48,3301500
2022-09-14 20:00:00-04:00,58.29,59.61,58.19,58.48,3196600
2022-09-15 20:00:00-04:00,58.00,59.05,57.35,58.64,6272100
2022-09-18 20:00:00-04:00,58.22,59.83,58.15,59.59,3635500
2022-09-19 20:00:00-04:00,59.13,59.30,58.07,58.41,2193600
2022-09-20 20:00:00-04:00,58.79,59.21,56.62,56.64,4066700
