Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,117.01,117.11,107.03,113.73,4791000
2022-04-06 20:00:00-04:00,111.76,116.15,106.10,111.23,4097300
2022-04-07 20:00:00-04:00,110.12,113.94,106.13,107.31,3233800
2022-04-10 20:00:00-04:00,105.00,114.24,102.56,106.01,3666800
2022-04-11 20:00:00-04:00,106.64,111.68,98.50,100.78,4698000
2022-04-12 20:00:00-04:00,99.73,107.17,97.05,105.09,3266200
2022-04-13 20:00:00-04:00,105.64,105.86,98.12,101.53,3128100
2022-04-17 20:00:00-04:00,99.82,100.40,93.99,96.55,3223100
2022-04-18 20:00:00-04:00,95.76,103.42,94.85,101.77,2855900
2022-04-19 20:00:00-04:00,100.84,101.79,92.15,92.50,10103200
2022-04-20 20:00:00-04:00,86.01,95.00,79.28,83.14,17302000
2022-04-21 20:00:00-04:00,88.41,91.40,82.25,83.75,18516500
2022-04-24 20:00:00-04:00,80.99,82.57,75.34,81.21,13634900
2022-04-25 20:00:00-04:00,81.19,81.96,70.18,70.49,11545100
2022-04-26 20:00:00-04:00,71.72,79.00,63.36,65.74,21794500
2022-04-27 20:00:00-04:00,66.53,68.36,58.23,64.37,16401900
2022-04-28 20:00:00-04:00,65.00,68.96,57.40,57.96,10951300
2022-05-01 20:00:00-04:00,57.42,60.94,55.28,60.47,8982900
2022-05-02 20:00:00-04:00,58.01,59.68,54.90,57.33,9700900
2022-05-03 20:00:00-04:00,54.64,59.85,52.37,59.65,10408300
2022-05-04 20:00:00-04:00,56.80,56.99,47.45,48.92,11436900
2022-05-05 20:00:00-04:00,48.02,48.15,40.76,46.48,13184800
2022-05-08 20:00:00-04:00,46.35,46.90,38.42,38.77,14869300
2022-05-09 20:00:00-04:00,41.28,42.02,35.08,36.68,15723800
2022-05-10 20:00:00-04:00,35.73,38.64,29.13,30.00,22941800
2022-05-11 20:00:00-04:00,29.41,45.30,28.35,37.40,34928600
2022-05-12 20:00:00-04:00,40.21,45.45,36.71,38.31,25571000
2022-05-15 20:00:00-04:00,42.48,46.35,37.90,38.40,27920200
2022-05-16 20:00:00-04:00,39.77,41.74,37.17,41.60,13131900
2022-05-17 20:00:00-04:00,40.19,40.26,34.52,35.05,10480900
2022-05-18 20:00:00-04:00,35.06,36.38,31.80,32.88,13666500
2022-05-19 20:00:00-04:00,33.59,33.69,30.45,33.57,10341200
2022-05-22 20:00:00-04:00,32.81,33.21,28.75,30.24,11191100
2022-05-23 20:00:00-04:00,29.63,29.76,25.69,26.65,11874000
2022-05-24 20:00:00-04:00,26.50,31.60,26.44,30.96,18978700
2022-05-25 20:00:00-04:00,30.38,32.99,29.71,31.09,8942000
2022-05-26 20:00:00-04:00,31.99,34.40,31.70,33.85,8703900
2022-05-30 20:00:00-04:00,33.36,34.29,28.81,29.44,9861400
2022-05-31 20:00:00-04:00,29.46,30.05,26.31,26.49,10270700
