Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,140.36,142.22,139.93,140.34,9269000
2022-04-06 20:00:00-04:00,140.59,142.80,139.16,142.29,8018400
2022-04-07 20:00:00-04:00,142.25,145.70,142.22,144.70,10801200
2022-04-10 20:00:00-04:00,143.54,143.72,140.43,140.98,10206100
2022-04-11 20:00:00-04:00,143.88,147.04,143.19,143.92,9528400
2022-04-12 20:00:00-04:00,145.55,146.53,143.31,146.18,7330700
2022-04-13 20:00:00-04:00,145.35,147.27,145.24,146.12,9421100
2022-04-17 20:00:00-04:00,147.32,148.63,146.35,148.07,7639000
2022-04-18 20:00:00-04:00,147.38,147.90,145.64,146.32,6970200
2022-04-19 20:00:00-04:00,146.14,147.81,146.00,146.92,7495000
2022-04-20 20:00:00-04:00,146.24,146.84,139.51,140.15,14594800
2022-04-21 20:00:00-04:00,139.98,140.90,136.98,137.06,12160100
2022-04-24 20:00:00-04:00,132.61,134.85,128.89,134.11,15449800
2022-04-25 20:00:00-04:00,135.24,136.56,133.17,133.29,9810600
2022-04-26 20:00:00-04:00,133.76,134.47,131.58,133.04,10396600
2022-04-27 20:00:00-04:00,134.07,138.80,131.93,137.77,9366400
2022-04-28 20:00:00-04:00,137.34,138.32,133.09,133.41,14713200
2022-05-01 20:00:00-04:00,133.10,136.25,132.12,136.03,11559000
2022-05-02 20:00:00-04:00,135.88,139.17,135.62,138.37,8827200
2022-05-03 20:00:00-04:00,140.48,142.96,139.20,142.71,9183200
2022-05-04 20:00:00-04:00,144.13,144.34,138.50,141.58,9807600
2022-05-05 20:00:00-04:00,143.29,145.59,140.86,145.35,10418100
2022-05-08 20:00:00-04:00,142.85,142.85,134.95,135.61,14110700
2022-05-09 20:00:00-04:00,138.13,139.81,134.43,136.91,11636000
2022-05-10 20:00:00-04:00,139.29,142.60,138.38,138.94,9105500
2022-05-11 20:00:00-04:00,138.99,140.38,135.28,140.26,8936400
2022-05-12 20:00:00-04:00,141.78,143.73,140.40,142.95,9229900
2022-05-15 20:00:00-04:00,143.91,148.99,143.79,147.32,13296300
2022-05-16 20:00:00-04:00,148.88,149.57,146.98,148.19,12827600
2022-05-17 20:00:00-04:00,149.49,149.50,142.34,144.29,13107500
2022-05-18 20:00:00-04:00,141.34,145.64,139.80,143.26,10958700
2022-05-19 20:00:00-04:00,144.99,146.85,140.88,144.08,9615000
2022-05-22 20:00:00-04:00,145.46,148.49,145.19,147.43,10216400
2022-05-23 20:00:00-04:00,146.54,149.03,145.79,148.22,9782700
2022-05-24 20:00:00-04:00,148.65,151.10,148.50,150.60,10174500
2022-05-25 20:00:00-04:00,151.52,152.76,150.25,151.61,11213900
2022-05-26 20:00:00-04:00,151.55,153.12,150.84,153.06,10512300
2022-05-30 20:00:00-04:00,154.50,155.36,148.93,149.95,19771500
2022-05-31 20:00:00-04:00,151.73,152.93,150.19,151.38,8824100
2022-06-01 20:00:00-04:00,150.02,151.54,149.47,151.10,7441900
2022-06-02 20:00:00-04:00,151.10,153.04,151.10,152.48,8435300
2022-06-05 20:00:00-04:00,152.73,152.82,150.68,151.82,6734200
2022-06-06 20:00:00-04:00,152.37,155.10,151.89,154.71,9668300
2022-06-07 20:00:00-04:00,155.35,156.60,154.75,155.51,8715200
2022-06-08 20:00:00-04:00,154.56,155.09,152.30,152.41,9764600
2022-06-09 20:00:00-04:00,151.42,153.31,149.09,150.59,9529700
2022-06-12 20:00:00-04:00,147.33,147.67,140.85,143.66,14614900
2022-06-13 20:00:00-04:00,145.41,147.92,142.38,143.85,10269300
2022-06-14 20:00:00-04:00,143.19,144.11,139.03,141.02,11565300
2022-06-15 20:00:00-04:00,137.32,137.83,132.00,133.49,18125900
2022-06-16 20:00:00-04:00,132.97,133.48,125.17,127.39,19771500
2022-06-20 20:00:00-04:00,130.54,133.95,130.02,132.72,13772000
2022-06-21 20:00:00-04:00,127.12,129.47,125.63,126.95,13735800
2022-06-22 20:00:00-04:00,127.74,128.12,120.32,122.28,15713700
2022-06-23 20:00:00-04:00,124.66,126.28,122.43,124.29,11108300
2022-06-26 20:00:00-04:00,125.23,127.77,125.00,126.70,9242400
2022-06-27 20:00:00-04:00,129.54,130.66,127.16,128.73,9183300
2022-06-28 20:00:00-04:00,130.18,130.59,125.42,126.19,9082900
2022-06-29 20:00:00-04:00,124.10,127.00,123.12,124.30,10685000
2022-06-30 20:00:00-04:00,125.86,126.17,122.32,125.79,7684600
2022-07-04 20:00:00-04:00,123.33,124.09,119.69,122.48,11513100
2022-07-05 20:00:00-04:00,121.62,122.99,117.45,120.87,12421200
2022-07-06 20:00:00-04:00,123.72,124.75,122.84,123.22,12741800
2022-07-07 20:00:00-04:00,124.39,124.88,121.13,122.57,7915500
2022-07-10 20:00:00-04:00,121.84,122.64,120.14,121.49,7056800
2022-07-11 20:00:00-04:00,118.91,119.87,117.84,119.27,8653900
2022-07-12 20:00:00-04:00,118.14,120.82,117.74,118.47,9414600
2022-07-13 20:00:00-04:00,115.31,116.90,113.79,116.71,10150200
2022-07-14 20:00:00-04:00,119.30,119.30,117.13,118.18,7051900
2022-07-17 20:00:00-04:00,120.68,122.03,119.41,119.84,7943900
2022-07-18 20:00:00-04:00,119.93,124.50,119.70,124.15,9152100
2022-07-19 20:00:00-04:00,124.06,126.43,123.05,125.79,7856600
2022-07-20 20:00:00-04:00,122.87,124.89,121.48,124.83,6724200
2022-07-21 20:00:00-04:00,124.97,125.60,123.13,123.79,5889500
2022-07-24 20:00:00-04:00,125.09,127.59,123.78,127.48,6210900
2022-07-25 20:00:00-04:00,128.35,129.37,125.80,126.48,6112800
2022-07-26 20:00:00-04:00,127.36,128.95,125.91,128.15,6223000
2022-07-27 20:00:00-04:00,129.37,130.04,127.09,129.12,6574300
2022-07-28 20:00:00-04:00,134.40,141.37,133.85,140.61,17143700
2022-07-31 20:00:00-04:00,138.38,138.96,136.64,137.80,8017800
2022-08-01 20:00:00-04:00,138.13,138.63,135.91,136.63,5928300
2022-08-02 20:00:00-04:00,136.77,137.33,132.52,133.38,8751400
2022-08-03 20:00:00-04:00,133.35,133.45,129.41,129.76,10640000
2022-08-04 20:00:00-04:00,128.47,133.08,127.94,131.91,7170200
2022-08-07 20:00:00-04:00,131.86,133.06,131.49,131.71,5966900
2022-08-08 20:00:00-04:00,133.88,135.48,132.73,133.43,5842200
2022-08-09 20:00:00-04:00,133.93,134.34,131.30,133.78,6145800
2022-08-10 20:00:00-04:00,135.74,138.36,135.32,137.04,7888600
2022-08-11 20:00:00-04:00,135.86,137.29,134.91,137.24,7244700
2022-08-14 20:00:00-04:00,133.23,135.47,131.73,134.63,8975200
2022-08-15 20:00:00-04:00,135.14,135.58,133.78,134.28,7218400
2022-08-16 20:00:00-04:00,134.47,136.80,133.51,135.39,6741100
2022-08-17 20:00:00-04:00,136.15,138.32,136.09,137.77,6477500
2022-08-18 20:00:00-04:00,137.28,138.39,136.55,136.61,6834200
2022-08-21 20:00:00-04:00,135.75,136.66,133.78,135.93,9147000
2022-08-22 20:00:00-04:00,137.84,140.64,137.50,140.34,10354800
2022-08-23 20:00:00-04:00,140.05,141.52,139.20,141.38,9468100
2022-08-24 20:00:00-04:00,142.01,142.86,140.88,142.62,8050700
2022-08-25 20:00:00-04:00,142.24,143.93,140.75,141.57,7765800
2022-08-28 20:00:00-04:00,141.99,144.53,141.77,142.63,8462600
2022-08-29 20:00:00-04:00,140.63,140.83,137.54,139.15,8814300
2022-08-30 20:00:00-04:00,136.54,139.84,135.28,136.93,13582700
2022-08-31 20:00:00-04:00,135.57,135.91,132.75,134.75,8244400
2022-09-01 20:00:00-04:00,137.09,137.86,135.77,136.75,7526600
2022-09-05 20:00:00-04:00,138.52,138.61,134.90,136.12,8550000
2022-09-06 20:00:00-04:00,133.47,134.99,132.22,134.38,9442100
2022-09-07 20:00:00-04:00,134.79,135.48,132.88,135.11,9232500
2022-09-08 20:00:00-04:00,137.24,139.18,136.48,138.59,8261100
2022-09-11 20:00:00-04:00,141.05,142.54,139.70,140.78,8920800
2022-09-12 20:00:00-04:00,139.84,140.92,137.52,138.10,10308300
2022-09-13 20:00:00-04:00,139.43,141.71,138.92,141.45,11160800
2022-09-14 20:00:00-04:00,139.20,140.09,138.25,139.15,9665000
2022-09-15 20:00:00-04:00,139.07,139.60,134.81,135.54,19771500
2022-09-18 20:00:00-04:00,132.49,135.97,132.38,135.93,6813800
2022-09-19 20:00:00-04:00,135.18,135.89,133.71,135.39,8955200
2022-09-20 20:00:00-04:00,137.15,137.56,134.24,134.29,6877000
2022-09-21 20:00:00-04:00,136.54,137.13,134.06,134.19,6981100
2022-09-22 20:00:00-04:00,129.74,130.11,124.46,125.42,13919700
2022-09-25 20:00:00-04:00,124.38,125.66,122.06,122.12,9444000
