Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,88.54,88.74,87.57,88.05,1654200
2018-07-02 20:00:00-04:00,88.16,88.83,87.79,88.08,769400
2018-07-04 20:00:00-04:00,88.45,88.49,87.79,88.10,1572900
2018-07-05 20:00:00-04:00,88.22,88.77,87.74,88.56,1418100
2018-07-08 20:00:00-04:00,88.73,89.35,88.24,88.61,1488900
2018-07-09 20:00:00-04:00,88.75,90.24,88.67,90.06,1590800
2018-07-10 20:00:00-04:00,90.01,90.64,88.70,89.17,1485900
2018-07-11 20:00:00-04:00,89.84,89.91,88.22,88.75,1462600
2018-07-12 20:00:00-04:00,88.85,90.41,88.81,89.61,2267300
2018-07-15 20:00:00-04:00,89.81,90.42,88.79,89.27,1546100
2018-07-16 20:00:00-04:00,88.86,90.09,88.79,89.52,1843100
2018-07-17 20:00:00-04:00,89.61,90.10,88.50,89.24,2203300
2018-07-18 20:00:00-04:00,89.25,89.99,88.94,89.34,3781700
2018-07-19 20:00:00-04:00,88.93,88.98,87.45,88.41,2596000
2018-07-22 20:00:00-04:00,88.60,89.04,88.31,88.91,1769000
2018-07-23 20:00:00-04:00,88.67,89.11,88.35,88.79,1844200
2018-07-24 20:00:00-04:00,88.78,89.03,88.21,88.93,1794200
2018-07-25 20:00:00-04:00,89.08,90.29,89.08,89.30,1639300
2018-07-26 20:00:00-04:00,89.42,89.55,87.46,87.74,1211100
2018-07-29 20:00:00-04:00,87.71,88.51,87.64,88.38,1287300
2018-07-30 20:00:00-04:00,88.76,88.76,88.07,88.39,1133500
2018-07-31 20:00:00-04:00,88.39,88.52,86.79,87.04,1401300
2018-08-01 20:00:00-04:00,87.13,88.63,87.11,88.51,1238100
2018-08-02 20:00:00-04:00,88.63,89.29,88.01,88.46,1221700
2018-08-05 20:00:00-04:00,88.42,89.16,88.15,88.86,919200
2018-08-06 20:00:00-04:00,89.52,91.15,89.11,90.88,1583100
2018-08-07 20:00:00-04:00,90.76,91.82,90.62,91.66,1486900
2018-08-08 20:00:00-04:00,91.85,92.92,91.13,92.74,1546900
2018-08-09 20:00:00-04:00,92.11,93.03,91.78,92.15,968400
2018-08-12 20:00:00-04:00,92.60,93.56,92.14,92.28,1176800
2018-08-13 20:00:00-04:00,92.66,94.81,92.45,94.65,1737300
2018-08-14 20:00:00-04:00,93.92,94.06,93.00,93.77,1568400
2018-08-15 20:00:00-04:00,95.45,95.46,93.96,94.45,2513100
2018-08-16 20:00:00-04:00,94.82,96.01,94.46,95.80,1566300
2018-08-19 20:00:00-04:00,96.13,97.40,96.09,96.84,1777000
2018-08-20 20:00:00-04:00,96.89,97.41,96.39,96.90,1714000
2018-08-21 20:00:00-04:00,97.79,98.21,96.30,96.60,2579900
2018-08-22 20:00:00-04:00,96.53,97.43,96.53,97.33,1751100
2018-08-23 20:00:00-04:00,96.93,97.47,96.38,97.27,1526200
2018-08-26 20:00:00-04:00,98.14,98.21,96.40,96.53,1997900
2018-08-27 20:00:00-04:00,96.58,96.71,95.04,96.22,3047500
2018-08-28 20:00:00-04:00,96.12,96.81,94.58,96.09,3266500
2018-08-29 20:00:00-04:00,93.96,97.26,93.61,95.15,5703900
2018-08-30 20:00:00-04:00,95.32,97.23,95.05,97.02,3292200
2018-09-03 20:00:00-04:00,97.25,99.20,97.14,98.90,2676200
2018-09-04 20:00:00-04:00,99.04,100.29,98.52,100.02,2697900
2018-09-05 20:00:00-04:00,100.26,100.75,99.60,100.07,1875600
2018-09-06 20:00:00-04:00,100.20,101.14,99.58,99.80,2346000
2018-09-09 20:00:00-04:00,100.31,100.92,99.77,100.37,2242700
2018-09-10 20:00:00-04:00,100.43,101.39,99.88,100.10,2634300
2018-09-11 20:00:00-04:00,100.11,100.59,99.52,99.69,2474200
2018-09-12 20:00:00-04:00,99.75,100.02,98.43,98.64,1876000
2018-09-13 20:00:00-04:00,98.63,98.90,97.58,98.08,2041500
2018-09-16 20:00:00-04:00,97.89,98.15,96.58,96.58,2589200
2018-09-17 20:00:00-04:00,96.81,98.86,96.59,98.30,1864500
2018-09-18 20:00:00-04:00,98.25,99.36,97.96,98.46,2796800
2018-09-19 20:00:00-04:00,98.60,98.93,98.03,98.66,1878400
2018-09-20 20:00:00-04:00,99.23,99.84,97.31,97.49,5293800
2018-09-23 20:00:00-04:00,97.24,98.30,96.31,96.62,2271500
2018-09-24 20:00:00-04:00,97.72,97.78,96.42,97.55,1743500
2018-09-25 20:00:00-04:00,97.94,99.03,97.61,98.63,1697900
2018-09-26 20:00:00-04:00,98.66,99.33,98.08,98.31,1678100
2018-09-27 20:00:00-04:00,98.29,98.74,97.99,98.43,2341800
2018-09-30 20:00:00-04:00,98.66,99.05,98.02,98.63,1761800
2018-10-01 20:00:00-04:00,98.27,98.57,96.77,96.78,2320500
2018-10-02 20:00:00-04:00,95.72,95.97,92.93,94.49,4090900
2018-10-03 20:00:00-04:00,94.75,94.95,93.66,94.07,2925500
2018-10-04 20:00:00-04:00,94.18,95.26,93.58,93.70,1900300
2018-10-07 20:00:00-04:00,93.35,95.42,93.35,95.14,1262400
2018-10-08 20:00:00-04:00,95.42,96.75,94.77,94.91,2584100
2018-10-09 20:00:00-04:00,95.37,96.56,94.91,95.35,2581600
2018-10-10 20:00:00-04:00,95.64,96.69,92.01,92.08,2611400
2018-10-11 20:00:00-04:00,93.26,94.96,92.99,94.60,2228800
2018-10-14 20:00:00-04:00,95.05,97.04,94.70,96.08,2324700
2018-10-15 20:00:00-04:00,96.48,100.30,95.59,100.19,3853100
2018-10-16 20:00:00-04:00,99.96,100.15,98.43,99.13,4281100
