Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,155.00,156.53,154.00,156.06,2046900
2022-04-06 20:00:00-04:00,156.00,159.29,155.79,158.61,2624800
2022-04-07 20:00:00-04:00,158.51,163.90,158.02,162.92,2315400
2022-04-10 20:00:00-04:00,162.97,166.14,162.75,165.49,2172000
2022-04-11 20:00:00-04:00,166.47,169.07,166.19,167.18,1862700
2022-04-12 20:00:00-04:00,167.50,171.53,166.78,171.07,3755200
2022-04-13 20:00:00-04:00,170.97,174.30,170.61,173.05,2298800
2022-04-17 20:00:00-04:00,172.72,174.35,171.65,172.03,2195200
2022-04-18 20:00:00-04:00,171.68,173.62,170.40,171.87,2016700
2022-04-19 20:00:00-04:00,172.26,177.15,172.26,174.08,2727200
2022-04-20 20:00:00-04:00,175.12,177.19,172.65,173.06,2683100
2022-04-21 20:00:00-04:00,172.16,172.70,167.12,167.49,2078600
2022-04-24 20:00:00-04:00,166.39,169.90,164.48,169.85,1627000
2022-04-25 20:00:00-04:00,168.64,170.15,167.85,168.24,2021000
2022-04-26 20:00:00-04:00,168.71,169.91,165.91,166.09,1951100
2022-04-27 20:00:00-04:00,166.90,167.60,164.68,167.11,1351000
2022-04-28 20:00:00-04:00,165.89,166.94,162.05,162.45,1583600
2022-05-01 20:00:00-04:00,163.00,164.28,160.15,163.38,1443100
2022-05-02 20:00:00-04:00,163.77,166.81,163.10,164.90,1277800
2022-05-03 20:00:00-04:00,165.67,166.78,161.92,165.81,2003800
2022-05-04 20:00:00-04:00,165.67,165.67,159.84,161.44,1705300
2022-05-05 20:00:00-04:00,160.98,164.89,157.87,164.39,1936100
2022-05-08 20:00:00-04:00,163.29,164.66,161.29,161.53,2041000
2022-05-09 20:00:00-04:00,163.13,164.85,157.40,157.89,2821700
2022-05-10 20:00:00-04:00,157.72,161.64,155.11,156.07,2833500
2022-05-11 20:00:00-04:00,157.13,162.23,156.78,159.19,2838400
2022-05-12 20:00:00-04:00,159.78,161.16,159.19,159.40,1838400
2022-05-15 20:00:00-04:00,160.24,162.54,158.72,161.45,1840500
2022-05-16 20:00:00-04:00,158.68,159.47,155.05,156.35,2975800
2022-05-17 20:00:00-04:00,144.77,144.77,128.02,133.80,8176600
2022-05-18 20:00:00-04:00,132.51,138.56,125.74,135.57,5238400
2022-05-19 20:00:00-04:00,135.43,136.19,124.76,127.88,4929500
2022-05-22 20:00:00-04:00,128.50,130.61,126.91,129.99,2612300
2022-05-23 20:00:00-04:00,128.20,130.72,126.27,130.20,2464100
2022-05-24 20:00:00-04:00,129.80,135.32,129.22,133.59,3848000
2022-05-25 20:00:00-04:00,159.81,163.70,155.64,162.80,8176600
2022-05-26 20:00:00-04:00,161.80,166.35,159.04,165.00,4345900
2022-05-30 20:00:00-04:00,165.25,165.70,159.38,160.33,4263000
2022-05-31 20:00:00-04:00,160.41,162.55,159.00,161.01,2010500
2022-06-01 20:00:00-04:00,161.30,161.67,158.35,159.10,1969600
2022-06-02 20:00:00-04:00,158.13,162.00,158.13,159.88,1422300
2022-06-05 20:00:00-04:00,161.00,161.58,158.38,161.45,1198400
2022-06-06 20:00:00-04:00,158.11,162.51,156.11,161.94,1952300
2022-06-07 20:00:00-04:00,161.11,163.36,160.09,161.26,943600
2022-06-08 20:00:00-04:00,160.74,162.98,159.76,159.85,1607600
2022-06-09 20:00:00-04:00,157.76,158.76,155.62,156.00,1448100
2022-06-12 20:00:00-04:00,153.18,156.93,151.65,155.01,2704500
2022-06-13 20:00:00-04:00,156.23,159.52,154.70,156.02,1754500
2022-06-14 20:00:00-04:00,155.53,157.03,152.68,154.54,1639700
2022-06-15 20:00:00-04:00,152.40,153.25,150.13,151.17,2672500
2022-06-16 20:00:00-04:00,151.04,152.97,147.77,150.09,4162800
2022-06-20 20:00:00-04:00,152.26,156.49,150.00,156.38,2775800
2022-06-21 20:00:00-04:00,154.19,155.99,154.19,155.03,2022800
2022-06-22 20:00:00-04:00,156.17,156.20,152.23,155.51,2298500
2022-06-23 20:00:00-04:00,156.29,157.92,154.45,157.21,3454600
2022-06-26 20:00:00-04:00,157.39,159.58,156.08,157.13,1640700
2022-06-27 20:00:00-04:00,156.90,160.24,152.75,153.57,1647800
2022-06-28 20:00:00-04:00,154.42,156.59,153.20,156.25,1623300
2022-06-29 20:00:00-04:00,154.63,157.07,152.54,155.85,1915500
2022-06-30 20:00:00-04:00,154.00,156.50,152.30,156.27,1572400
2022-07-04 20:00:00-04:00,157.09,165.07,156.71,164.84,3334900
2022-07-05 20:00:00-04:00,164.30,166.91,163.59,165.79,1544600
2022-07-06 20:00:00-04:00,165.84,170.19,165.38,168.79,1774900
2022-07-07 20:00:00-04:00,169.48,169.76,166.39,167.36,1369000
2022-07-10 20:00:00-04:00,166.54,167.56,164.58,166.17,1482700
2022-07-11 20:00:00-04:00,165.57,168.43,163.13,164.13,1368600
2022-07-12 20:00:00-04:00,163.82,167.07,162.37,165.94,1749400
2022-07-13 20:00:00-04:00,163.83,169.25,163.83,168.76,2488200
2022-07-14 20:00:00-04:00,170.30,171.70,167.19,167.96,2145900
2022-07-17 20:00:00-04:00,168.56,171.24,168.31,169.50,1718700
2022-07-18 20:00:00-04:00,170.00,171.03,168.12,170.21,1580900
2022-07-19 20:00:00-04:00,170.59,173.68,169.88,173.32,2277200
2022-07-20 20:00:00-04:00,172.80,174.00,164.80,171.68,3263200
2022-07-21 20:00:00-04:00,172.45,175.68,170.49,172.01,1798700
2022-07-24 20:00:00-04:00,171.31,171.35,167.40,168.42,1927200
2022-07-25 20:00:00-04:00,162.68,164.65,157.11,157.82,3233700
2022-07-26 20:00:00-04:00,157.86,162.00,155.15,161.13,2252100
2022-07-27 20:00:00-04:00,160.27,164.93,159.01,163.34,2503100
2022-07-28 20:00:00-04:00,162.16,165.46,162.16,165.36,2242100
2022-07-31 20:00:00-04:00,166.53,170.80,165.71,166.69,1718500
2022-08-01 20:00:00-04:00,166.99,166.99,164.20,164.75,892000
2022-08-02 20:00:00-04:00,166.21,167.63,163.58,165.09,1097500
2022-08-03 20:00:00-04:00,165.35,165.48,161.89,162.16,995800
2022-08-04 20:00:00-04:00,161.78,165.24,161.00,164.97,1102900
2022-08-07 20:00:00-04:00,165.90,169.68,165.81,166.29,1580300
2022-08-08 20:00:00-04:00,166.49,169.03,165.56,168.95,1288500
2022-08-09 20:00:00-04:00,170.14,171.39,165.73,165.97,1713100
2022-08-10 20:00:00-04:00,167.31,168.72,164.52,165.37,1581000
2022-08-11 20:00:00-04:00,165.23,166.79,164.00,166.76,967800
2022-08-14 20:00:00-04:00,165.34,167.43,163.57,165.93,1688900
2022-08-15 20:00:00-04:00,167.66,169.16,166.34,168.22,2068200
2022-08-16 20:00:00-04:00,167.15,169.79,166.20,168.18,1475100
2022-08-17 20:00:00-04:00,168.13,168.90,166.15,168.05,1157700
2022-08-18 20:00:00-04:00,166.51,168.74,166.37,167.68,1688900
2022-08-21 20:00:00-04:00,168.15,168.49,166.74,167.42,2140800
2022-08-22 20:00:00-04:00,167.00,168.77,165.33,166.11,2696500
2022-08-23 20:00:00-04:00,166.62,166.96,163.78,165.98,2764700
2022-08-24 20:00:00-04:00,149.03,153.17,144.31,149.01,8176600
2022-08-25 20:00:00-04:00,149.21,149.48,137.85,138.70,7136600
2022-08-28 20:00:00-04:00,136.06,141.05,134.74,137.40,4639500
2022-08-29 20:00:00-04:00,137.20,139.72,135.13,137.98,3784700
2022-08-30 20:00:00-04:00,137.14,137.83,135.42,135.68,3032900
2022-08-31 20:00:00-04:00,134.86,137.85,134.33,137.38,2823600
2022-09-01 20:00:00-04:00,137.38,138.35,135.10,136.58,2890900
2022-09-05 20:00:00-04:00,138.40,138.70,135.35,138.31,3465500
2022-09-06 20:00:00-04:00,138.46,144.00,138.46,143.12,2565800
2022-09-07 20:00:00-04:00,142.27,144.22,140.64,141.56,2436700
2022-09-08 20:00:00-04:00,142.84,144.86,142.01,144.45,2038200
2022-09-11 20:00:00-04:00,144.23,146.17,144.22,145.75,2423800
2022-09-12 20:00:00-04:00,142.18,144.20,137.77,138.50,2798300
2022-09-13 20:00:00-04:00,138.93,139.44,136.69,138.01,3386900
2022-09-14 20:00:00-04:00,138.32,139.89,136.52,137.94,1833200
2022-09-15 20:00:00-04:00,138.03,142.30,137.72,141.92,5630000
2022-09-18 20:00:00-04:00,141.43,144.72,141.25,142.91,2631400
2022-09-19 20:00:00-04:00,142.30,143.42,140.65,142.62,2373000
2022-09-20 20:00:00-04:00,143.39,145.18,141.32,141.87,2431300
2022-09-21 20:00:00-04:00,141.95,142.08,138.42,139.33,1822900
2022-09-22 20:00:00-04:00,138.40,142.02,138.26,141.29,2318500
2022-09-25 20:00:00-04:00,141.95,143.37,138.18,138.23,3354500
2022-09-26 20:00:00-04:00,139.30,140.35,135.73,136.04,2726200
2022-09-27 20:00:00-04:00,136.94,138.89,135.75,137.97,1641800
2022-09-28 20:00:00-04:00,136.21,137.04,134.57,136.84,2232300
2022-09-29 20:00:00-04:00,137.07,137.80,134.30,136.10,2790300
2022-10-02 20:00:00-04:00,137.51,142.53,136.38,141.65,2259700
2022-10-03 20:00:00-04:00,142.47,143.91,140.69,142.15,2525500
2022-10-04 20:00:00-04:00,141.81,143.46,140.35,142.76,1240400
2022-10-05 20:00:00-04:00,143.12,144.52,141.42,142.13,1631300
2022-10-06 20:00:00-04:00,142.10,142.87,139.98,141.95,3123800
