Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,71.66,72.99,70.98,72.81,4223600
2022-04-06 20:00:00-04:00,72.74,72.81,71.96,72.66,2472500
2022-04-07 20:00:00-04:00,73.05,73.34,72.37,73.25,2368800
2022-04-10 20:00:00-04:00,73.17,73.58,72.33,72.54,2921400
2022-04-11 20:00:00-04:00,72.15,73.05,71.79,72.43,2843000
2022-04-12 20:00:00-04:00,72.63,72.83,71.74,72.27,2562900
2022-04-13 20:00:00-04:00,72.72,73.05,72.39,72.44,3310100
2022-04-17 20:00:00-04:00,72.95,72.98,71.51,71.97,2758500
2022-04-18 20:00:00-04:00,72.29,72.42,71.53,72.08,2644900
2022-04-19 20:00:00-04:00,72.62,72.89,71.91,72.10,2893400
2022-04-20 20:00:00-04:00,72.08,72.65,71.65,71.74,3583700
2022-04-21 20:00:00-04:00,71.74,71.79,70.29,70.36,2641100
2022-04-24 20:00:00-04:00,70.63,70.80,68.88,70.09,3843100
2022-04-25 20:00:00-04:00,69.79,70.53,69.23,69.27,2854800
2022-04-26 20:00:00-04:00,69.26,69.92,68.60,69.11,2763100
2022-04-27 20:00:00-04:00,69.32,69.82,68.86,69.52,2944500
2022-04-28 20:00:00-04:00,69.36,69.36,67.61,67.67,4137200
2022-05-01 20:00:00-04:00,67.95,68.44,66.51,67.18,3109000
2022-05-02 20:00:00-04:00,67.59,68.38,66.91,67.33,3123900
2022-05-03 20:00:00-04:00,67.26,68.59,66.98,68.39,3719100
2022-05-04 20:00:00-04:00,68.18,69.36,67.61,68.83,4926400
2022-05-05 20:00:00-04:00,68.36,69.82,67.97,69.64,4843700
2022-05-08 20:00:00-04:00,69.25,70.19,68.26,69.43,4319600
2022-05-09 20:00:00-04:00,69.56,70.50,67.19,67.93,5273200
2022-05-10 20:00:00-04:00,67.82,69.85,67.56,68.81,4543400
2022-05-11 20:00:00-04:00,68.79,69.39,67.70,68.71,4057500
2022-05-12 20:00:00-04:00,69.17,69.41,68.05,69.30,2626500
2022-05-15 20:00:00-04:00,69.29,69.73,68.77,69.37,2810400
2022-05-16 20:00:00-04:00,69.42,69.86,68.11,69.83,3492100
2022-05-17 20:00:00-04:00,69.83,69.94,68.30,68.51,3928000
2022-05-18 20:00:00-04:00,68.21,68.32,67.01,68.14,4932300
2022-05-19 20:00:00-04:00,68.13,68.55,67.33,68.41,3471200
2022-05-22 20:00:00-04:00,69.21,69.45,68.16,68.85,2821500
2022-05-23 20:00:00-04:00,68.98,70.48,68.33,70.39,4772300
2022-05-24 20:00:00-04:00,70.39,70.54,69.57,70.17,4603600
