Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,31.76,32.45,31.55,32.44,6144200
2018-07-02 20:00:00-04:00,32.63,32.91,32.38,32.41,3704000
2018-07-04 20:00:00-04:00,32.55,32.82,32.29,32.75,4653800
2018-07-05 20:00:00-04:00,32.91,33.21,32.51,33.07,4188500
2018-07-08 20:00:00-04:00,33.21,33.55,33.13,33.53,4660700
2018-07-09 20:00:00-04:00,32.80,33.17,32.72,32.76,11250700
2018-07-10 20:00:00-04:00,32.67,33.11,32.53,32.71,8442000
2018-07-11 20:00:00-04:00,33.14,33.42,32.91,33.21,9711500
2018-07-12 20:00:00-04:00,33.21,33.32,32.84,33.27,7785700
2018-07-15 20:00:00-04:00,33.31,33.67,33.16,33.37,11576800
2018-07-16 20:00:00-04:00,33.11,33.75,33.01,33.44,9931200
2018-07-17 20:00:00-04:00,33.42,33.91,33.28,33.57,15840300
2018-07-18 20:00:00-04:00,31.11,31.53,30.01,30.17,21209075
2018-07-19 20:00:00-04:00,30.45,30.88,30.18,30.25,20035000
2018-07-22 20:00:00-04:00,30.13,30.21,29.62,29.89,15380500
2018-07-23 20:00:00-04:00,30.09,30.13,29.58,29.65,10916700
2018-07-24 20:00:00-04:00,29.56,30.11,29.53,29.98,12141500
2018-07-25 20:00:00-04:00,29.91,30.64,29.86,30.45,9728300
2018-07-26 20:00:00-04:00,30.63,30.82,29.86,29.91,10161300
2018-07-29 20:00:00-04:00,29.83,30.04,29.55,29.78,10093700
2018-07-30 20:00:00-04:00,29.87,30.04,29.48,29.59,9976100
2018-07-31 20:00:00-04:00,29.50,29.59,29.06,29.27,8981800
2018-08-01 20:00:00-04:00,29.19,29.54,29.07,29.38,7235700
2018-08-02 20:00:00-04:00,29.52,29.83,29.34,29.77,7154100
2018-08-05 20:00:00-04:00,29.77,30.24,29.69,30.07,8119000
2018-08-06 20:00:00-04:00,30.17,30.26,29.83,29.88,5722300
2018-08-07 20:00:00-04:00,29.88,30.03,29.75,29.93,5504300
2018-08-08 20:00:00-04:00,29.95,30.26,29.86,30.21,8115900
2018-08-09 20:00:00-04:00,29.68,30.48,29.57,30.15,13198500
2018-08-12 20:00:00-04:00,30.17,30.47,29.96,29.97,7984400
2018-08-13 20:00:00-04:00,29.99,30.72,29.94,30.43,9201000
2018-08-14 20:00:00-04:00,30.12,30.16,29.72,29.95,12381500
2018-08-15 20:00:00-04:00,30.13,30.22,29.76,29.87,8534500
2018-08-16 20:00:00-04:00,29.92,30.30,29.79,30.08,6982400
2018-08-19 20:00:00-04:00,30.25,30.38,30.01,30.09,7843900
2018-08-20 20:00:00-04:00,30.13,30.84,30.10,30.54,9788800
2018-08-21 20:00:00-04:00,30.44,30.77,30.21,30.69,7463100
2018-08-22 20:00:00-04:00,30.76,30.86,30.29,30.43,7989400
2018-08-23 20:00:00-04:00,30.57,30.85,30.48,30.54,5412500
2018-08-26 20:00:00-04:00,30.62,30.77,30.53,30.59,7464800
2018-08-27 20:00:00-04:00,30.73,30.77,30.48,30.73,5877600
2018-08-28 20:00:00-04:00,30.76,31.22,30.74,30.90,5934400
2018-08-29 20:00:00-04:00,30.82,30.95,30.62,30.78,4985500
2018-08-30 20:00:00-04:00,30.71,31.01,30.57,30.61,7944100
2018-09-03 20:00:00-04:00,30.43,30.88,30.39,30.78,6743300
2018-09-04 20:00:00-04:00,30.64,30.68,30.07,30.19,8820700
2018-09-05 20:00:00-04:00,30.15,30.36,29.44,29.77,9240100
2018-09-06 20:00:00-04:00,29.54,30.09,29.31,30.07,6445200
2018-09-09 20:00:00-04:00,30.20,30.25,29.71,29.82,7787600
2018-09-10 20:00:00-04:00,29.91,30.26,29.70,30.17,4970600
2018-09-11 20:00:00-04:00,30.06,30.45,29.85,30.30,6035900
2018-09-12 20:00:00-04:00,30.45,30.83,30.34,30.46,6716800
2018-09-13 20:00:00-04:00,30.52,30.56,30.04,30.16,5376400
2018-09-16 20:00:00-04:00,30.10,30.42,30.09,30.25,6722700
2018-09-17 20:00:00-04:00,30.26,30.55,30.15,30.18,8724500
2018-09-18 20:00:00-04:00,30.08,30.40,30.08,30.27,13455600
2018-09-19 20:00:00-04:00,30.32,30.35,29.92,30.29,15877000
2018-09-20 20:00:00-04:00,30.36,30.48,30.03,30.11,21209075
2018-09-23 20:00:00-04:00,29.92,30.03,29.75,29.83,8746500
2018-09-24 20:00:00-04:00,29.69,29.83,28.84,28.98,20479000
2018-09-25 20:00:00-04:00,28.93,30.16,28.93,29.70,14007000
2018-09-26 20:00:00-04:00,29.69,29.84,29.32,29.49,7374800
2018-09-27 20:00:00-04:00,29.38,29.49,28.95,29.21,8467200
