Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,223.27,223.38,215.30,216.45,1098600
2022-04-06 20:00:00-04:00,215.69,219.48,212.23,217.80,973100
2022-04-07 20:00:00-04:00,216.39,218.70,214.05,216.55,622100
2022-04-10 20:00:00-04:00,214.36,216.66,211.54,211.81,730000
2022-04-11 20:00:00-04:00,212.87,215.23,209.65,210.77,907100
2022-04-12 20:00:00-04:00,209.33,210.22,205.86,208.64,1351300
2022-04-13 20:00:00-04:00,210.13,212.92,209.81,209.98,1267000
2022-04-17 20:00:00-04:00,209.40,211.98,205.26,206.61,1059700
2022-04-18 20:00:00-04:00,205.55,212.29,204.93,211.97,1765500
2022-04-19 20:00:00-04:00,213.69,216.16,212.39,214.86,1334500
2022-04-20 20:00:00-04:00,199.99,208.25,196.94,196.95,2852500
2022-04-21 20:00:00-04:00,196.15,202.80,195.46,197.58,2387000
2022-04-24 20:00:00-04:00,196.86,207.53,195.81,207.09,1718300
2022-04-25 20:00:00-04:00,205.90,205.90,200.73,201.42,1459600
2022-04-26 20:00:00-04:00,201.32,204.25,193.73,194.49,1312300
2022-04-27 20:00:00-04:00,196.79,202.04,193.84,200.23,1630700
2022-04-28 20:00:00-04:00,198.21,202.09,196.59,197.50,2171800
2022-05-01 20:00:00-04:00,197.03,201.17,196.31,199.42,1526900
2022-05-02 20:00:00-04:00,198.78,199.58,196.23,198.98,1568600
2022-05-03 20:00:00-04:00,198.95,207.03,197.35,206.33,1015300
2022-05-04 20:00:00-04:00,204.94,206.47,199.41,202.07,1353400
2022-05-05 20:00:00-04:00,200.83,202.85,197.35,199.04,1035600
2022-05-08 20:00:00-04:00,198.94,200.40,193.09,193.73,1568800
2022-05-09 20:00:00-04:00,195.96,196.76,188.61,194.48,1060600
2022-05-10 20:00:00-04:00,192.43,193.50,185.55,185.90,929800
2022-05-11 20:00:00-04:00,183.84,187.37,183.32,186.96,1312600
2022-05-12 20:00:00-04:00,189.21,192.84,188.65,192.33,897900
2022-05-15 20:00:00-04:00,190.99,191.91,188.15,190.20,555700
2022-05-16 20:00:00-04:00,193.34,193.34,188.92,191.49,756000
2022-05-17 20:00:00-04:00,189.25,189.60,181.60,182.52,1146600
2022-05-18 20:00:00-04:00,180.92,189.14,180.27,185.51,1031900
2022-05-19 20:00:00-04:00,186.52,189.22,182.95,188.86,768200
2022-05-22 20:00:00-04:00,190.64,191.90,184.93,191.16,765100
2022-05-23 20:00:00-04:00,190.38,190.85,183.58,186.23,718100
2022-05-24 20:00:00-04:00,185.71,191.99,184.31,190.21,1333300
2022-05-25 20:00:00-04:00,191.62,197.74,190.59,196.64,823900
2022-05-26 20:00:00-04:00,199.28,202.47,198.93,200.59,895000
2022-05-30 20:00:00-04:00,197.57,198.54,195.15,196.98,1240400
2022-05-31 20:00:00-04:00,195.44,198.63,192.78,193.09,1088100
2022-06-01 20:00:00-04:00,194.05,198.64,193.53,198.02,525300
2022-06-02 20:00:00-04:00,195.01,195.60,193.76,195.02,613700
2022-06-05 20:00:00-04:00,196.84,196.84,193.28,193.96,332700
2022-06-06 20:00:00-04:00,191.77,195.49,191.77,195.00,437200
2022-06-07 20:00:00-04:00,193.72,193.72,190.07,190.76,633600
2022-06-08 20:00:00-04:00,190.23,190.34,186.21,186.66,890600
2022-06-09 20:00:00-04:00,183.70,183.70,178.22,178.28,770700
2022-06-12 20:00:00-04:00,175.66,176.28,171.34,174.63,912800
2022-06-13 20:00:00-04:00,174.39,175.05,167.17,167.27,1001300
2022-06-14 20:00:00-04:00,169.82,175.40,168.98,173.41,672000
2022-06-15 20:00:00-04:00,168.83,169.80,164.57,165.64,1093700
2022-06-16 20:00:00-04:00,165.63,169.61,165.52,168.34,1500800
2022-06-20 20:00:00-04:00,170.96,173.04,170.06,170.47,1040900
2022-06-21 20:00:00-04:00,169.77,176.24,168.00,175.77,1072000
2022-06-22 20:00:00-04:00,177.53,178.12,174.33,177.30,876600
2022-06-23 20:00:00-04:00,179.14,181.38,178.61,179.72,808300
2022-06-26 20:00:00-04:00,179.98,181.67,178.29,179.83,513500
2022-06-27 20:00:00-04:00,179.65,181.50,173.89,174.51,660700
2022-06-28 20:00:00-04:00,174.97,176.05,171.80,175.19,601800
2022-06-29 20:00:00-04:00,173.30,178.70,171.51,177.73,1605800
