Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,56.88,57.77,56.78,57.66,2514800
2018-07-02 20:00:00-04:00,58.24,58.50,56.95,57.10,1839500
2018-07-04 20:00:00-04:00,57.50,57.59,57.00,57.44,2559100
2018-07-05 20:00:00-04:00,57.48,57.76,56.98,57.53,2298700
2018-07-08 20:00:00-04:00,57.77,58.96,57.69,58.82,2234600
2018-07-09 20:00:00-04:00,58.82,59.20,58.58,58.95,2671800
2018-07-10 20:00:00-04:00,58.37,58.42,57.14,57.35,3253900
2018-07-11 20:00:00-04:00,58.40,58.42,57.66,58.32,2226000
2018-07-12 20:00:00-04:00,58.30,58.83,58.16,58.61,1552600
2018-07-15 20:00:00-04:00,58.67,58.80,57.44,57.55,2727500
2018-07-16 20:00:00-04:00,57.44,57.83,56.98,57.69,2646500
2018-07-17 20:00:00-04:00,57.74,58.17,57.25,57.87,2902200
2018-07-18 20:00:00-04:00,57.59,58.39,57.49,57.96,2490500
2018-07-19 20:00:00-04:00,57.52,58.03,57.44,57.53,2232900
2018-07-22 20:00:00-04:00,57.46,57.49,56.31,56.37,2832100
2018-07-23 20:00:00-04:00,56.81,57.51,56.76,57.19,3076300
2018-07-24 20:00:00-04:00,57.13,58.36,57.05,58.29,2767300
2018-07-25 20:00:00-04:00,58.45,59.54,58.45,59.17,2755500
2018-07-26 20:00:00-04:00,59.34,59.50,58.90,59.17,1752700
2018-07-29 20:00:00-04:00,59.35,59.77,58.49,58.57,1812000
2018-07-30 20:00:00-04:00,58.82,60.19,58.72,60.02,3021500
2018-07-31 20:00:00-04:00,59.77,59.82,58.62,59.21,2611100
2018-08-01 20:00:00-04:00,58.82,59.23,58.30,59.19,2852200
2018-08-02 20:00:00-04:00,59.35,59.80,59.24,59.35,3682600
2018-08-05 20:00:00-04:00,59.21,59.61,59.09,59.47,2640300
2018-08-06 20:00:00-04:00,60.87,62.28,59.88,62.00,4945400
2018-08-07 20:00:00-04:00,61.92,62.49,61.46,61.48,3590200
2018-08-08 20:00:00-04:00,61.69,61.82,61.37,61.49,2071000
2018-08-09 20:00:00-04:00,61.31,61.84,61.04,61.33,3101100
2018-08-12 20:00:00-04:00,61.45,61.71,60.91,60.99,2882500
2018-08-13 20:00:00-04:00,61.28,62.14,61.16,61.65,2933800
2018-08-14 20:00:00-04:00,61.22,61.22,60.13,61.08,2851400
2018-08-15 20:00:00-04:00,61.30,62.08,61.09,61.82,2056400
2018-08-16 20:00:00-04:00,61.90,62.75,61.50,62.57,2862500
2018-08-19 20:00:00-04:00,62.80,63.26,62.71,63.14,2697900
2018-08-20 20:00:00-04:00,63.47,64.18,63.21,64.03,2526100
