Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,123.71,124.93,123.20,124.29,476300
2018-07-02 20:00:00-04:00,125.09,125.09,122.29,122.45,235300
2018-07-04 20:00:00-04:00,122.97,123.96,121.82,123.81,783400
2018-07-05 20:00:00-04:00,123.99,128.80,123.54,128.26,489300
2018-07-08 20:00:00-04:00,128.81,131.00,128.55,130.48,909600
2018-07-09 20:00:00-04:00,130.50,131.95,129.19,129.35,618400
2018-07-10 20:00:00-04:00,128.50,130.93,128.27,129.75,496800
2018-07-11 20:00:00-04:00,130.92,133.74,130.53,133.50,614100
2018-07-12 20:00:00-04:00,133.38,134.78,132.53,133.56,451400
2018-07-15 20:00:00-04:00,133.56,133.91,131.86,132.26,257600
2018-07-16 20:00:00-04:00,131.56,133.92,131.00,133.78,313100
2018-07-17 20:00:00-04:00,133.79,133.79,131.98,133.27,426800
2018-07-18 20:00:00-04:00,133.31,134.87,132.92,134.48,282500
2018-07-19 20:00:00-04:00,134.48,134.48,133.22,133.75,284200
2018-07-22 20:00:00-04:00,133.50,136.64,132.00,136.44,596200
2018-07-23 20:00:00-04:00,137.06,137.73,131.60,131.96,607900
2018-07-24 20:00:00-04:00,131.74,133.85,130.75,133.63,405100
2018-07-25 20:00:00-04:00,132.71,134.89,132.33,133.93,281600
2018-07-26 20:00:00-04:00,134.01,134.13,128.82,130.57,511600
2018-07-29 20:00:00-04:00,131.04,131.21,127.68,129.29,385200
2018-07-30 20:00:00-04:00,129.31,131.77,127.92,130.21,448000
2018-07-31 20:00:00-04:00,130.38,131.98,129.98,131.53,408900
2018-08-01 20:00:00-04:00,123.00,131.92,115.95,128.11,1597800
2018-08-02 20:00:00-04:00,127.96,127.96,123.62,125.14,565500
2018-08-05 20:00:00-04:00,125.30,128.24,124.46,127.97,459800
2018-08-06 20:00:00-04:00,128.75,132.47,128.66,131.22,847100
2018-08-07 20:00:00-04:00,128.75,131.59,128.75,131.05,709200
2018-08-08 20:00:00-04:00,131.40,133.29,129.89,130.15,436600
2018-08-09 20:00:00-04:00,128.83,130.97,128.34,130.27,300400
2018-08-12 20:00:00-04:00,130.47,131.05,128.21,128.30,315400
2018-08-13 20:00:00-04:00,128.15,132.03,127.87,131.91,459400
2018-08-14 20:00:00-04:00,131.33,132.65,131.21,132.16,663700
2018-08-15 20:00:00-04:00,132.99,133.75,131.45,132.77,596500
