Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,168.84,173.61,167.86,171.94,101700
2022-04-06 20:00:00-04:00,172.30,175.65,172.22,174.38,62300
2022-04-07 20:00:00-04:00,175.04,177.02,172.72,174.27,106200
2022-04-10 20:00:00-04:00,173.04,175.92,172.68,174.04,87000
2022-04-11 20:00:00-04:00,175.48,175.51,173.22,173.56,93900
2022-04-12 20:00:00-04:00,173.20,175.69,172.82,175.20,59700
2022-04-13 20:00:00-04:00,175.77,177.59,174.77,175.26,54800
2022-04-17 20:00:00-04:00,174.38,174.84,167.30,167.68,133500
2022-04-18 20:00:00-04:00,168.54,170.31,166.38,167.99,68900
2022-04-19 20:00:00-04:00,169.32,169.32,167.28,167.93,44800
2022-04-20 20:00:00-04:00,168.40,170.95,166.61,166.92,57400
2022-04-21 20:00:00-04:00,166.18,166.20,162.48,162.85,71200
2022-04-24 20:00:00-04:00,162.92,163.85,160.02,163.12,45700
2022-04-25 20:00:00-04:00,163.26,163.26,156.15,156.73,87000
2022-04-26 20:00:00-04:00,156.10,160.36,156.10,157.64,101900
2022-04-27 20:00:00-04:00,157.95,160.99,156.14,158.25,64100
2022-04-28 20:00:00-04:00,155.85,157.26,149.92,150.42,140700
2022-05-01 20:00:00-04:00,150.62,155.11,148.71,154.97,68600
2022-05-02 20:00:00-04:00,155.94,157.48,154.74,156.49,82000
2022-05-03 20:00:00-04:00,157.60,163.05,157.00,162.90,84000
2022-05-04 20:00:00-04:00,161.25,161.35,156.97,159.55,70700
2022-05-05 20:00:00-04:00,159.92,160.99,157.67,159.71,92800
2022-05-08 20:00:00-04:00,158.03,159.58,154.98,155.61,86400
2022-05-09 20:00:00-04:00,157.65,157.65,151.25,154.31,77700
2022-05-10 20:00:00-04:00,154.78,157.01,152.67,153.38,54300
2022-05-11 20:00:00-04:00,152.13,155.10,152.13,154.65,66400
2022-05-12 20:00:00-04:00,155.43,156.01,153.22,154.83,68500
2022-05-15 20:00:00-04:00,154.98,155.24,152.88,153.76,49000
2022-05-16 20:00:00-04:00,155.44,156.62,154.21,156.53,57300
2022-05-17 20:00:00-04:00,155.31,156.18,153.55,153.63,39300
2022-05-18 20:00:00-04:00,152.48,155.07,152.26,152.33,73500
2022-05-19 20:00:00-04:00,154.16,154.16,149.74,153.40,102700
2022-05-22 20:00:00-04:00,154.47,154.47,152.23,153.29,59100
2022-05-23 20:00:00-04:00,151.93,152.04,149.56,151.28,58200
2022-05-24 20:00:00-04:00,151.64,155.25,151.23,153.20,99400
2022-05-25 20:00:00-04:00,154.45,154.45,152.68,153.82,43600
2022-05-26 20:00:00-04:00,153.82,156.91,153.82,156.91,50700
2022-05-30 20:00:00-04:00,156.30,158.89,155.44,157.43,232600
2022-05-31 20:00:00-04:00,158.50,158.59,151.86,155.09,72000
2022-06-01 20:00:00-04:00,155.23,161.39,155.05,161.09,71300
2022-06-02 20:00:00-04:00,161.18,161.92,158.86,160.37,45900
2022-06-05 20:00:00-04:00,161.06,163.60,159.55,162.53,68200
2022-06-06 20:00:00-04:00,162.41,166.88,162.23,166.88,63800
2022-06-07 20:00:00-04:00,166.37,167.48,165.33,166.85,51400
2022-06-08 20:00:00-04:00,166.00,169.27,166.00,166.52,62400
2022-06-09 20:00:00-04:00,164.75,166.53,162.36,164.07,53400
2022-06-12 20:00:00-04:00,161.39,162.68,160.39,161.16,74800
2022-06-13 20:00:00-04:00,161.66,164.69,161.66,162.40,83000
2022-06-14 20:00:00-04:00,162.76,166.64,162.76,164.09,59100
2022-06-15 20:00:00-04:00,162.88,162.88,159.42,159.81,76300
2022-06-16 20:00:00-04:00,159.31,164.27,159.31,162.28,97700
2022-06-20 20:00:00-04:00,163.09,167.10,162.36,166.74,66500
2022-06-21 20:00:00-04:00,164.99,168.52,164.99,168.21,77200
2022-06-22 20:00:00-04:00,169.12,172.42,168.27,172.05,97100
2022-06-23 20:00:00-04:00,173.68,179.81,173.68,179.21,145300
2022-06-26 20:00:00-04:00,180.14,180.14,176.75,178.53,56200
2022-06-27 20:00:00-04:00,179.42,181.32,178.37,178.78,54400
2022-06-28 20:00:00-04:00,178.26,181.07,174.88,175.74,81100
2022-06-29 20:00:00-04:00,175.09,181.62,175.09,180.37,102700
2022-06-30 20:00:00-04:00,180.85,183.90,180.38,183.17,70900
2022-07-04 20:00:00-04:00,182.58,183.24,178.56,182.86,80100
2022-07-05 20:00:00-04:00,182.85,186.42,182.33,182.72,116000
2022-07-06 20:00:00-04:00,183.17,187.59,183.17,187.59,64500
2022-07-07 20:00:00-04:00,186.75,187.72,184.77,184.77,41200
2022-07-10 20:00:00-04:00,184.25,185.70,183.11,183.82,42100
2022-07-11 20:00:00-04:00,183.73,186.00,180.75,181.17,86800
2022-07-12 20:00:00-04:00,179.85,183.36,179.54,182.88,53600
2022-07-13 20:00:00-04:00,181.43,182.70,179.71,180.23,46500
2022-07-14 20:00:00-04:00,182.07,183.05,180.37,181.90,57300
2022-07-17 20:00:00-04:00,183.16,183.16,178.10,179.11,89900
2022-07-18 20:00:00-04:00,180.60,181.74,179.87,180.62,57900
2022-07-19 20:00:00-04:00,181.11,182.64,179.82,181.90,44900
2022-07-20 20:00:00-04:00,182.11,183.28,181.93,182.40,50100
2022-07-21 20:00:00-04:00,181.97,182.64,180.02,181.04,48900
2022-07-24 20:00:00-04:00,181.92,183.66,180.79,181.65,39100
2022-07-25 20:00:00-04:00,180.37,180.90,178.32,180.54,55700
2022-07-26 20:00:00-04:00,181.64,184.36,181.52,183.49,72400
2022-07-27 20:00:00-04:00,184.35,185.74,182.04,184.23,58900
2022-07-28 20:00:00-04:00,182.85,193.15,182.85,191.94,101200
2022-07-31 20:00:00-04:00,191.70,195.05,190.66,192.71,69200
2022-08-01 20:00:00-04:00,191.52,197.76,191.19,196.97,71100
2022-08-02 20:00:00-04:00,197.34,202.38,197.05,200.68,66900
2022-08-03 20:00:00-04:00,200.43,203.60,198.95,199.62,56500
2022-08-04 20:00:00-04:00,199.07,202.64,198.21,202.64,52700
2022-08-07 20:00:00-04:00,203.86,206.42,203.42,205.34,52300
2022-08-08 20:00:00-04:00,205.63,207.25,201.59,204.05,50800
2022-08-09 20:00:00-04:00,206.23,207.39,203.21,205.68,40400
2022-08-10 20:00:00-04:00,206.09,206.63,202.78,203.28,70800
2022-08-11 20:00:00-04:00,203.71,206.50,202.82,205.74,38500
2022-08-14 20:00:00-04:00,204.05,207.32,201.56,207.08,52200
2022-08-15 20:00:00-04:00,207.48,208.25,205.39,207.01,43600
2022-08-16 20:00:00-04:00,205.09,207.80,204.67,207.80,51500
