Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,185.46,185.46,178.18,179.62,2597000
2022-04-06 20:00:00-04:00,178.50,180.35,174.56,180.13,3065600
2022-04-07 20:00:00-04:00,179.01,182.24,176.85,177.96,2543400
2022-04-10 20:00:00-04:00,175.70,180.15,174.31,175.50,1795000
2022-04-11 20:00:00-04:00,179.29,179.91,175.23,176.80,2372500
2022-04-12 20:00:00-04:00,179.16,185.84,179.03,185.43,2472400
2022-04-13 20:00:00-04:00,186.18,191.59,185.65,189.60,3118900
2022-04-17 20:00:00-04:00,187.96,189.73,182.75,183.95,2383200
2022-04-18 20:00:00-04:00,184.36,186.77,182.13,184.45,1495600
2022-04-19 20:00:00-04:00,185.54,188.24,182.20,183.98,1475900
2022-04-20 20:00:00-04:00,191.34,194.78,180.67,181.53,2899400
2022-04-21 20:00:00-04:00,180.91,183.37,178.73,179.81,1916300
2022-04-24 20:00:00-04:00,178.88,185.92,177.75,184.87,2074100
2022-04-25 20:00:00-04:00,182.31,184.36,176.76,176.77,1982400
2022-04-26 20:00:00-04:00,178.86,184.72,178.17,180.67,2413500
2022-04-27 20:00:00-04:00,180.79,184.68,178.39,181.54,2154100
2022-04-28 20:00:00-04:00,179.92,181.44,171.85,172.98,2616700
2022-05-01 20:00:00-04:00,173.10,176.21,167.54,173.03,5434400
2022-05-02 20:00:00-04:00,166.69,167.45,144.32,148.78,6053400
2022-05-03 20:00:00-04:00,147.48,149.14,141.36,148.04,6053400
2022-05-04 20:00:00-04:00,145.97,146.03,133.63,138.08,6053400
2022-05-05 20:00:00-04:00,138.46,138.46,130.10,130.99,5206800
2022-05-08 20:00:00-04:00,127.86,131.74,125.56,126.49,5827700
2022-05-09 20:00:00-04:00,129.81,133.96,125.89,131.00,5410100
2022-05-10 20:00:00-04:00,130.88,135.97,128.36,131.87,4301800
2022-05-11 20:00:00-04:00,131.33,133.79,124.76,127.04,4107400
2022-05-12 20:00:00-04:00,130.25,131.88,128.59,130.44,3071700
2022-05-15 20:00:00-04:00,128.62,128.88,121.61,122.59,4755700
2022-05-16 20:00:00-04:00,125.63,126.87,120.27,121.58,6053400
2022-05-17 20:00:00-04:00,121.67,123.55,118.45,118.93,4452700
2022-05-18 20:00:00-04:00,119.81,127.22,117.84,125.28,5656000
2022-05-19 20:00:00-04:00,125.88,127.09,120.10,123.32,3620700
2022-05-22 20:00:00-04:00,125.09,125.09,119.29,120.39,3098300
2022-05-23 20:00:00-04:00,120.70,120.70,114.74,115.57,2744600
2022-05-24 20:00:00-04:00,115.43,123.23,114.58,122.47,3507700
2022-05-25 20:00:00-04:00,122.82,131.08,122.66,128.97,3387900
2022-05-26 20:00:00-04:00,129.57,131.49,128.19,129.64,2680200
2022-05-30 20:00:00-04:00,128.06,128.94,125.56,128.02,3030200
2022-05-31 20:00:00-04:00,128.45,129.20,123.43,124.95,3400600
2022-06-01 20:00:00-04:00,125.76,133.72,125.47,132.83,3194200
2022-06-02 20:00:00-04:00,129.47,134.04,129.47,130.32,2523800
2022-06-05 20:00:00-04:00,131.96,133.54,130.52,132.00,1834000
2022-06-06 20:00:00-04:00,130.13,132.14,128.56,129.82,2448900
2022-06-07 20:00:00-04:00,129.95,130.46,127.48,128.16,1908100
2022-06-08 20:00:00-04:00,127.99,128.38,120.75,120.75,3221600
