Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,173.37,179.83,172.50,179.43,804500
2022-04-06 20:00:00-04:00,178.53,181.46,177.30,180.27,659000
2022-04-07 20:00:00-04:00,181.44,181.58,179.57,180.56,447500
2022-04-10 20:00:00-04:00,180.56,181.27,176.60,177.94,406600
2022-04-11 20:00:00-04:00,177.73,181.21,177.60,179.84,435100
2022-04-12 20:00:00-04:00,180.31,180.80,177.94,179.63,366100
2022-04-13 20:00:00-04:00,180.41,181.57,178.43,179.58,373800
2022-04-17 20:00:00-04:00,179.12,180.85,178.80,179.49,372500
2022-04-18 20:00:00-04:00,179.86,185.63,179.82,184.46,947000
2022-04-19 20:00:00-04:00,184.70,187.87,184.70,185.84,612100
2022-04-20 20:00:00-04:00,186.35,187.05,183.28,183.35,543600
2022-04-21 20:00:00-04:00,183.20,183.20,179.48,179.59,674200
2022-04-24 20:00:00-04:00,178.64,178.71,173.65,176.20,801200
2022-04-25 20:00:00-04:00,175.91,177.26,172.62,172.76,476300
2022-04-26 20:00:00-04:00,173.14,176.23,172.08,172.34,514600
2022-04-27 20:00:00-04:00,173.02,176.46,171.98,175.77,455400
2022-04-28 20:00:00-04:00,174.65,175.01,159.73,160.53,1320900
2022-05-01 20:00:00-04:00,161.63,162.34,150.38,154.57,1436300
2022-05-02 20:00:00-04:00,154.85,155.72,152.01,154.69,923700
2022-05-03 20:00:00-04:00,160.84,166.01,156.31,165.24,1594000
2022-05-04 20:00:00-04:00,165.54,166.67,159.33,160.28,928800
2022-05-05 20:00:00-04:00,158.35,159.53,152.34,153.48,984300
2022-05-08 20:00:00-04:00,151.33,151.33,142.24,143.15,1333700
2022-05-09 20:00:00-04:00,145.56,150.16,145.56,148.09,1279500
2022-05-10 20:00:00-04:00,147.96,152.12,147.66,147.82,886200
2022-05-11 20:00:00-04:00,148.10,148.25,144.90,147.62,885800
2022-05-12 20:00:00-04:00,149.32,151.29,147.47,151.20,567900
2022-05-15 20:00:00-04:00,150.92,152.32,150.11,150.97,536800
2022-05-16 20:00:00-04:00,152.46,152.46,149.09,151.10,868200
2022-05-17 20:00:00-04:00,150.54,151.04,144.03,144.61,659900
2022-05-18 20:00:00-04:00,143.57,145.20,142.41,143.34,647400
2022-05-19 20:00:00-04:00,145.21,145.69,141.89,144.80,583400
2022-05-22 20:00:00-04:00,146.99,148.04,144.34,147.30,541800
2022-05-23 20:00:00-04:00,147.11,148.32,145.01,148.00,679800
2022-05-24 20:00:00-04:00,146.54,146.60,144.29,145.70,927800
2022-05-25 20:00:00-04:00,146.70,148.49,146.05,147.58,530200
2022-05-26 20:00:00-04:00,148.93,152.89,148.93,152.11,612000
2022-05-30 20:00:00-04:00,150.93,151.59,148.95,150.56,1359700
2022-05-31 20:00:00-04:00,151.12,152.43,148.81,150.94,589500
2022-06-01 20:00:00-04:00,150.69,152.06,147.75,151.94,584500
2022-06-02 20:00:00-04:00,150.43,152.73,149.18,150.65,483500
2022-06-05 20:00:00-04:00,151.85,152.06,147.85,147.93,640600
2022-06-06 20:00:00-04:00,147.37,152.42,146.19,152.12,999300
2022-06-07 20:00:00-04:00,151.20,152.13,144.64,145.42,854400
2022-06-08 20:00:00-04:00,144.87,147.46,142.98,143.07,590200
2022-06-09 20:00:00-04:00,141.51,143.91,140.43,141.03,855900
2022-06-12 20:00:00-04:00,137.45,139.76,134.06,134.74,769100
2022-06-13 20:00:00-04:00,135.29,137.12,133.65,135.39,795700
2022-06-14 20:00:00-04:00,136.75,139.98,136.22,137.75,1061000
2022-06-15 20:00:00-04:00,134.51,138.15,134.42,136.42,688200
2022-06-16 20:00:00-04:00,137.65,139.03,135.33,136.02,1287900
2022-06-20 20:00:00-04:00,136.40,139.83,136.08,138.02,607900
2022-06-21 20:00:00-04:00,138.41,142.55,137.43,140.44,843800
2022-06-22 20:00:00-04:00,141.27,144.32,141.27,143.19,711200
2022-06-23 20:00:00-04:00,144.80,147.20,142.93,147.02,781100
2022-06-26 20:00:00-04:00,146.83,148.36,145.47,146.68,556500
2022-06-27 20:00:00-04:00,147.65,149.76,145.50,145.87,468000
2022-06-28 20:00:00-04:00,145.05,146.42,144.60,145.81,423200
2022-06-29 20:00:00-04:00,144.94,148.01,143.84,145.10,738500
2022-06-30 20:00:00-04:00,145.86,149.38,145.60,148.73,497400
2022-07-04 20:00:00-04:00,147.48,147.48,143.02,146.59,380100
2022-07-05 20:00:00-04:00,147.37,149.82,146.32,148.63,473400
2022-07-06 20:00:00-04:00,149.24,150.11,146.96,147.61,347400
2022-07-07 20:00:00-04:00,147.35,148.64,146.54,147.63,252000
2022-07-10 20:00:00-04:00,146.58,149.05,146.29,146.74,360400
2022-07-11 20:00:00-04:00,145.46,146.91,141.09,142.44,504500
2022-07-12 20:00:00-04:00,141.13,144.26,140.48,142.97,332700
2022-07-13 20:00:00-04:00,140.01,143.91,139.10,142.84,358800
2022-07-14 20:00:00-04:00,144.79,146.19,143.00,144.63,403600
2022-07-17 20:00:00-04:00,145.56,146.21,143.09,143.80,408200
2022-07-18 20:00:00-04:00,144.95,147.32,144.35,146.81,408300
2022-07-19 20:00:00-04:00,146.90,149.24,146.32,147.38,263400
2022-07-20 20:00:00-04:00,147.65,149.66,146.62,149.63,436100
2022-07-21 20:00:00-04:00,150.55,152.78,149.90,151.74,543400
2022-07-24 20:00:00-04:00,151.43,152.38,150.59,151.85,496800
2022-07-25 20:00:00-04:00,152.11,153.25,151.11,152.78,324000
2022-07-26 20:00:00-04:00,152.69,154.52,151.54,154.39,410800
2022-07-27 20:00:00-04:00,155.52,160.78,155.41,160.47,561600
2022-07-28 20:00:00-04:00,160.50,162.41,159.50,161.65,711600
2022-07-31 20:00:00-04:00,160.41,161.47,158.64,161.21,619100
2022-08-01 20:00:00-04:00,161.23,162.03,159.04,159.50,863100
2022-08-02 20:00:00-04:00,162.06,168.85,161.64,165.76,1233600
2022-08-03 20:00:00-04:00,165.89,167.57,164.01,166.53,645800
2022-08-04 20:00:00-04:00,165.21,168.51,164.19,168.21,567100
2022-08-07 20:00:00-04:00,169.18,171.11,168.44,170.89,562800
2022-08-08 20:00:00-04:00,171.41,173.54,169.59,173.49,690000
2022-08-09 20:00:00-04:00,175.67,176.56,174.06,176.42,735900
2022-08-10 20:00:00-04:00,177.22,178.67,175.81,176.94,589600
2022-08-11 20:00:00-04:00,177.92,181.01,177.47,180.79,696700
2022-08-14 20:00:00-04:00,180.33,182.39,179.96,182.35,707700
2022-08-15 20:00:00-04:00,181.25,182.60,180.21,181.45,566400
2022-08-16 20:00:00-04:00,180.33,184.50,180.00,183.42,746400
2022-08-17 20:00:00-04:00,184.37,184.68,181.07,181.77,596100
2022-08-18 20:00:00-04:00,181.67,181.67,179.77,180.52,553000
2022-08-21 20:00:00-04:00,179.19,180.00,177.48,178.28,572900
2022-08-22 20:00:00-04:00,177.67,177.76,174.02,175.40,737600
2022-08-23 20:00:00-04:00,175.86,179.11,175.73,177.14,552200
2022-08-24 20:00:00-04:00,177.37,179.94,176.85,179.75,635000
2022-08-25 20:00:00-04:00,179.75,180.47,175.78,176.67,516200
2022-08-28 20:00:00-04:00,175.29,175.95,174.05,175.13,623000
2022-08-29 20:00:00-04:00,175.13,175.50,170.29,171.50,649400
2022-08-30 20:00:00-04:00,172.38,172.75,168.76,169.50,1000900
2022-08-31 20:00:00-04:00,168.48,171.46,168.03,171.39,499800
2022-09-01 20:00:00-04:00,172.49,173.91,169.43,170.24,454500
2022-09-05 20:00:00-04:00,170.75,173.62,169.94,172.69,537500
2022-09-06 20:00:00-04:00,172.56,175.33,172.54,174.95,690600
2022-09-07 20:00:00-04:00,174.96,175.95,171.25,173.54,691900
2022-09-08 20:00:00-04:00,173.72,174.41,171.92,172.16,718300
2022-09-11 20:00:00-04:00,172.16,172.53,170.25,170.62,786100
2022-09-12 20:00:00-04:00,168.39,168.55,164.55,165.89,940100
2022-09-13 20:00:00-04:00,164.22,165.46,162.87,164.73,1155600
2022-09-14 20:00:00-04:00,164.38,164.38,159.98,160.44,859100
2022-09-15 20:00:00-04:00,159.87,160.32,156.28,158.32,1532100
2022-09-18 20:00:00-04:00,156.73,157.72,154.57,156.71,838300
2022-09-19 20:00:00-04:00,155.29,156.14,152.96,153.93,917800
2022-09-20 20:00:00-04:00,155.24,156.59,151.98,152.36,872600
2022-09-21 20:00:00-04:00,151.75,151.83,148.62,149.99,1136600
2022-09-22 20:00:00-04:00,148.54,150.55,146.77,148.47,948300
2022-09-25 20:00:00-04:00,147.92,148.04,144.01,145.94,969800
2022-09-26 20:00:00-04:00,147.27,147.85,142.65,143.52,932600
2022-09-27 20:00:00-04:00,144.86,147.43,143.38,146.70,942000
2022-09-28 20:00:00-04:00,145.26,145.59,142.41,145.12,742300
2022-09-29 20:00:00-04:00,146.86,149.06,145.81,148.45,1128900
2022-10-02 20:00:00-04:00,150.37,150.46,147.00,149.22,816500
2022-10-03 20:00:00-04:00,150.62,154.44,150.18,154.26,1294800
2022-10-04 20:00:00-04:00,152.33,153.68,148.97,153.10,961800
2022-10-05 20:00:00-04:00,152.98,153.28,147.74,147.94,769100
2022-10-06 20:00:00-04:00,146.47,147.70,140.98,141.97,981300
2022-10-09 20:00:00-04:00,142.38,143.51,141.24,142.36,523400
2022-10-10 20:00:00-04:00,142.08,144.92,141.82,144.59,848600
2022-10-11 20:00:00-04:00,144.77,145.77,142.97,143.37,766800
2022-10-12 20:00:00-04:00,140.14,144.12,139.45,143.37,727800
2022-10-13 20:00:00-04:00,144.76,145.16,138.04,138.22,658300
2022-10-16 20:00:00-04:00,141.10,144.79,140.79,144.33,584100
2022-10-17 20:00:00-04:00,146.52,148.81,144.98,146.88,547100
2022-10-18 20:00:00-04:00,144.98,145.68,141.89,142.62,635800
2022-10-19 20:00:00-04:00,143.18,144.24,141.60,142.50,440500
2022-10-20 20:00:00-04:00,142.68,142.70,139.80,142.65,699200
2022-10-23 20:00:00-04:00,144.26,144.53,141.58,141.84,796100
2022-10-24 20:00:00-04:00,142.62,149.15,142.62,149.02,863200
2022-10-25 20:00:00-04:00,148.64,150.64,147.04,147.36,945000
2022-10-26 20:00:00-04:00,148.42,148.89,146.62,147.73,720400
2022-10-27 20:00:00-04:00,147.22,154.57,147.22,153.61,881300
2022-10-30 20:00:00-04:00,152.98,155.37,152.49,152.52,786000
2022-10-31 20:00:00-04:00,154.11,154.47,152.05,152.91,676700
2022-11-01 20:00:00-04:00,144.41,144.56,134.70,136.20,2983200
2022-11-02 20:00:00-04:00,134.09,134.24,130.82,132.59,1470500
2022-11-03 20:00:00-04:00,134.06,134.34,130.93,132.26,1197500
,132.85,134.15,128.74,130.65,1330000
,131.05,133.60,130.57,132.17,1168300
,131.19,133.22,130.33,130.33,1724500
,136.20,140.74,135.53,140.18,1371500
,140.18,141.26,135.23,136.09,1264900
,135.69,136.06,132.64,132.66,993300
,134.77,135.17,131.19,133.10,997900
,133.37,137.06,133.24,134.89,1045100
,133.14,134.98,132.18,133.49,534300
,135.57,135.95,133.79,135.93,722100
,134.80,136.76,134.62,135.46,819200
,136.13,136.53,134.40,134.73,1243300
,134.94,135.24,133.47,134.51,1120100
,135.23,136.11,133.02,133.76,362400
,133.05,133.91,130.96,131.12,1495700
,131.58,132.41,131.11,131.96,1212000
