Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,9.69,9.84,9.68,9.77,14638800
2018-07-02 20:00:00-04:00,9.79,9.84,9.66,9.71,10716800
2018-07-04 20:00:00-04:00,9.77,9.81,9.64,9.79,14764000
2018-07-05 20:00:00-04:00,9.78,9.91,9.74,9.81,15960000
2018-07-08 20:00:00-04:00,9.83,10.16,9.79,10.10,16423200
2018-07-09 20:00:00-04:00,10.10,10.17,10.00,10.08,18730000
2018-07-10 20:00:00-04:00,10.65,11.48,10.34,11.09,19000450
2018-07-11 20:00:00-04:00,11.12,11.28,11.07,11.26,19000450
2018-07-12 20:00:00-04:00,11.30,11.44,11.16,11.24,19000450
2018-07-15 20:00:00-04:00,11.25,11.30,11.14,11.28,11186800
2018-07-16 20:00:00-04:00,11.27,11.40,11.21,11.39,8660800
2018-07-17 20:00:00-04:00,11.46,11.56,11.31,11.49,11827200
2018-07-18 20:00:00-04:00,11.44,11.67,11.38,11.57,14354400
2018-07-19 20:00:00-04:00,11.54,11.74,11.45,11.70,10838400
2018-07-22 20:00:00-04:00,11.70,11.90,11.68,11.78,10370800
2018-07-23 20:00:00-04:00,11.70,11.90,11.57,11.60,11440400
2018-07-24 20:00:00-04:00,11.60,11.81,11.58,11.79,9876800
2018-07-25 20:00:00-04:00,11.83,11.91,11.61,11.63,9674400
2018-07-26 20:00:00-04:00,11.63,11.71,11.52,11.58,6983200
2018-07-29 20:00:00-04:00,11.59,11.66,11.45,11.49,8986000
2018-07-30 20:00:00-04:00,11.55,11.71,11.50,11.67,8441200
2018-07-31 20:00:00-04:00,11.66,11.69,11.32,11.41,12623200
2018-08-01 20:00:00-04:00,11.34,11.65,11.30,11.56,8467600
2018-08-02 20:00:00-04:00,11.34,11.66,11.34,11.53,4949600
2018-08-05 20:00:00-04:00,11.47,11.69,11.42,11.63,8564000
2018-08-06 20:00:00-04:00,11.65,11.79,11.59,11.74,5834000
2018-08-07 20:00:00-04:00,11.74,11.87,11.64,11.84,5545600
2018-08-08 20:00:00-04:00,11.88,12.00,11.77,11.79,5422400
2018-08-09 20:00:00-04:00,11.75,11.86,11.67,11.83,5745200
2018-08-12 20:00:00-04:00,11.87,11.91,11.74,11.75,6332800
