Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,46.11,46.22,44.72,45.31,13635800
2022-04-06 20:00:00-04:00,45.73,46.13,44.76,45.70,11154300
2022-04-07 20:00:00-04:00,46.11,46.52,45.47,46.17,9620300
2022-04-10 20:00:00-04:00,45.93,46.08,44.88,44.99,9370600
2022-04-11 20:00:00-04:00,45.85,46.50,45.11,45.25,11646600
2022-04-12 20:00:00-04:00,45.86,46.77,45.51,46.75,11976500
2022-04-13 20:00:00-04:00,47.00,47.68,46.47,46.52,12110200
2022-04-17 20:00:00-04:00,46.97,48.55,46.74,48.01,14267000
2022-04-18 20:00:00-04:00,47.35,48.15,47.02,47.89,10278500
2022-04-19 20:00:00-04:00,47.11,47.78,46.23,47.19,13101800
2022-04-20 20:00:00-04:00,45.86,46.14,42.06,42.51,31430900
2022-04-21 20:00:00-04:00,42.06,42.18,38.90,39.63,32547600
2022-04-24 20:00:00-04:00,37.85,39.79,37.41,39.39,31955300
2022-04-25 20:00:00-04:00,39.24,39.56,37.90,38.00,18707700
2022-04-26 20:00:00-04:00,39.81,40.58,39.27,39.43,22816500
2022-04-27 20:00:00-04:00,39.62,40.15,38.34,39.57,15184900
2022-04-28 20:00:00-04:00,40.17,41.14,38.19,38.35,17202000
2022-05-01 20:00:00-04:00,37.77,38.44,36.90,38.00,21723800
2022-05-02 20:00:00-04:00,38.15,38.67,37.66,37.97,16184300
2022-05-03 20:00:00-04:00,38.09,39.16,37.11,39.06,17667500
2022-05-04 20:00:00-04:00,38.78,38.85,36.76,37.49,22061300
2022-05-05 20:00:00-04:00,37.04,37.08,35.56,35.82,22379500
2022-05-08 20:00:00-04:00,34.14,34.94,33.43,33.59,30392800
2022-05-09 20:00:00-04:00,34.64,34.64,33.09,34.11,26543200
2022-05-10 20:00:00-04:00,35.23,35.77,33.87,33.96,22542800
2022-05-11 20:00:00-04:00,32.45,33.59,31.61,32.48,27193400
2022-05-12 20:00:00-04:00,32.88,33.86,32.71,33.14,18988000
2022-05-15 20:00:00-04:00,33.25,34.17,33.04,33.24,17882500
2022-05-16 20:00:00-04:00,35.08,35.77,34.57,35.60,22673600
2022-05-17 20:00:00-04:00,35.14,35.56,33.21,33.42,18276000
2022-05-18 20:00:00-04:00,33.70,35.55,33.70,34.73,18860200
2022-05-19 20:00:00-04:00,35.28,35.46,33.57,34.34,21630900
2022-05-22 20:00:00-04:00,35.56,36.54,35.06,36.27,19211900
2022-05-23 20:00:00-04:00,35.86,35.88,34.72,35.44,15922900
2022-05-24 20:00:00-04:00,35.06,35.99,34.92,35.78,12859800
2022-05-25 20:00:00-04:00,35.59,36.61,34.97,36.40,10011800
2022-05-26 20:00:00-04:00,36.97,37.54,36.60,37.50,11914400
2022-05-30 20:00:00-04:00,37.88,38.77,36.59,36.96,16890100
2022-05-31 20:00:00-04:00,37.18,37.81,36.74,37.49,12817600
2022-06-01 20:00:00-04:00,39.51,39.97,39.02,39.45,19239100
2022-06-02 20:00:00-04:00,38.80,39.66,38.77,39.09,13459900
2022-06-05 20:00:00-04:00,39.58,40.64,39.42,40.46,15137400
2022-06-06 20:00:00-04:00,39.96,41.25,39.86,41.03,12694800
2022-06-07 20:00:00-04:00,40.60,40.80,39.76,39.91,12373400
2022-06-08 20:00:00-04:00,39.89,39.97,38.30,38.32,13547900
2022-06-09 20:00:00-04:00,37.07,38.21,36.84,38.03,23307200
2022-06-12 20:00:00-04:00,36.12,36.43,34.33,35.15,30274600
2022-06-13 20:00:00-04:00,35.44,35.61,34.47,34.82,16368800
2022-06-14 20:00:00-04:00,35.46,35.53,33.94,34.90,17094500
2022-06-15 20:00:00-04:00,33.55,34.07,32.63,32.98,20474600
2022-06-16 20:00:00-04:00,32.66,33.10,31.61,31.98,30089700
2022-06-20 20:00:00-04:00,32.39,32.88,32.07,32.18,13634400
2022-06-21 20:00:00-04:00,30.50,30.50,29.48,29.62,31329200
2022-06-22 20:00:00-04:00,28.81,29.19,27.30,27.96,38019200
2022-06-23 20:00:00-04:00,28.14,29.31,27.57,29.31,35347200
2022-06-26 20:00:00-04:00,29.87,29.89,29.05,29.34,17053700
2022-06-27 20:00:00-04:00,29.83,30.55,29.01,29.11,22635000
2022-06-28 20:00:00-04:00,29.58,29.60,28.36,28.65,15424300
2022-06-29 20:00:00-04:00,28.11,28.43,27.42,27.67,21029200
2022-06-30 20:00:00-04:00,27.32,27.68,26.40,27.61,22967500
2022-07-04 20:00:00-04:00,26.33,26.45,25.16,25.78,35842200
2022-07-05 20:00:00-04:00,25.65,26.09,24.79,25.89,35581200
2022-07-06 20:00:00-04:00,27.72,27.94,27.22,27.63,24755700
2022-07-07 20:00:00-04:00,27.62,27.63,26.47,26.48,17509200
2022-07-10 20:00:00-04:00,25.58,25.83,25.30,25.45,22219500
2022-07-11 20:00:00-04:00,24.92,25.64,24.61,24.87,25721900
2022-07-12 20:00:00-04:00,24.36,25.49,23.99,25.00,26774600
2022-07-13 20:00:00-04:00,24.06,24.16,23.59,23.86,31890900
2022-07-14 20:00:00-04:00,24.15,24.85,23.66,24.56,29197400
2022-07-17 20:00:00-04:00,25.72,26.74,25.69,26.08,29351200
2022-07-18 20:00:00-04:00,25.96,27.21,25.93,27.11,22850400
2022-07-19 20:00:00-04:00,27.13,27.81,26.84,27.17,25186600
2022-07-20 20:00:00-04:00,27.10,27.63,26.05,27.50,27566100
2022-07-21 20:00:00-04:00,28.18,28.49,26.34,26.40,20926700
2022-07-24 20:00:00-04:00,27.14,27.22,26.61,26.91,16260800
2022-07-25 20:00:00-04:00,26.84,27.28,26.42,26.56,14626600
2022-07-26 20:00:00-04:00,26.61,27.97,26.40,27.86,17466300
2022-07-27 20:00:00-04:00,28.48,28.90,27.74,28.37,18827100
2022-07-28 20:00:00-04:00,28.58,30.18,28.31,30.01,26279200
2022-07-31 20:00:00-04:00,29.34,29.50,28.24,28.51,17320500
2022-08-01 20:00:00-04:00,28.18,28.52,27.13,27.90,17031900
2022-08-02 20:00:00-04:00,28.15,28.15,27.11,27.29,17600000
2022-08-03 20:00:00-04:00,27.41,28.00,27.13,27.35,12475300
2022-08-04 20:00:00-04:00,27.22,29.01,27.11,28.79,17881000
2022-08-07 20:00:00-04:00,29.43,30.11,28.92,29.12,15915700
2022-08-08 20:00:00-04:00,29.19,29.25,28.29,28.58,12976800
2022-08-09 20:00:00-04:00,29.45,30.04,29.09,29.86,17104900
2022-08-10 20:00:00-04:00,30.52,31.22,30.00,30.12,14663700
2022-08-11 20:00:00-04:00,29.71,30.14,29.54,30.07,10878800
2022-08-14 20:00:00-04:00,28.75,29.25,28.30,29.01,16050600
2022-08-15 20:00:00-04:00,29.44,29.93,29.23,29.85,11931700
2022-08-16 20:00:00-04:00,29.19,29.20,28.54,28.77,12467000
2022-08-17 20:00:00-04:00,29.20,29.86,29.06,29.70,12556200
2022-08-18 20:00:00-04:00,29.39,29.50,28.57,28.96,13799000
2022-08-21 20:00:00-04:00,28.44,28.45,27.86,28.40,14027500
2022-08-22 20:00:00-04:00,28.99,30.47,28.90,30.24,18021900
2022-08-23 20:00:00-04:00,29.55,30.10,29.39,29.79,10531400
2022-08-24 20:00:00-04:00,30.34,31.62,30.34,31.60,18058800
2022-08-25 20:00:00-04:00,32.17,32.23,30.47,30.62,15736100
2022-08-28 20:00:00-04:00,29.93,30.46,29.59,29.96,12645500
2022-08-29 20:00:00-04:00,29.62,29.67,27.99,28.30,19734800
2022-08-30 20:00:00-04:00,28.25,28.45,27.69,28.15,19624100
2022-08-31 20:00:00-04:00,27.10,27.14,26.23,26.72,19731900
2022-09-01 20:00:00-04:00,27.47,27.71,26.77,26.92,13699900
2022-09-05 20:00:00-04:00,27.17,27.51,26.49,26.74,14929200
2022-09-06 20:00:00-04:00,26.29,27.09,25.96,26.99,13627400
2022-09-07 20:00:00-04:00,27.18,29.14,27.06,29.12,21393900
2022-09-08 20:00:00-04:00,29.77,30.70,29.61,30.60,17883000
2022-09-11 20:00:00-04:00,31.05,31.18,30.34,30.60,12635900
2022-09-12 20:00:00-04:00,29.25,30.16,29.15,29.53,17693700
2022-09-13 20:00:00-04:00,29.03,29.20,28.09,28.56,20529700
2022-09-14 20:00:00-04:00,28.39,29.35,28.06,28.32,13837400
2022-09-15 20:00:00-04:00,27.84,28.19,27.29,27.90,27657400
2022-09-18 20:00:00-04:00,27.09,29.12,27.09,29.00,18022100
2022-09-19 20:00:00-04:00,28.46,28.48,27.92,28.27,14182100
2022-09-20 20:00:00-04:00,28.47,28.51,26.71,26.73,18878100
2022-09-21 20:00:00-04:00,27.35,27.63,26.77,26.96,16103400
2022-09-22 20:00:00-04:00,25.77,25.92,24.76,25.38,26058200
2022-09-25 20:00:00-04:00,24.90,25.93,24.84,25.20,17105500
2022-09-26 20:00:00-04:00,25.77,25.99,25.12,25.56,15322300
2022-09-27 20:00:00-04:00,25.65,26.62,25.50,26.50,14899300
2022-09-28 20:00:00-04:00,26.61,26.82,25.54,26.79,17580400
2022-09-29 20:00:00-04:00,26.49,27.03,25.96,25.99,16108400
2022-10-02 20:00:00-04:00,26.68,28.03,26.53,27.91,16515200
2022-10-03 20:00:00-04:00,28.58,29.47,28.49,29.27,17325900
2022-10-04 20:00:00-04:00,28.53,29.27,28.14,29.02,13118100
2022-10-05 20:00:00-04:00,28.25,28.61,27.80,28.36,18258700
2022-10-06 20:00:00-04:00,27.96,28.39,27.35,27.53,12667300
2022-10-09 20:00:00-04:00,27.89,28.64,27.70,27.83,11617700
2022-10-10 20:00:00-04:00,27.27,28.40,26.85,27.75,13833900
2022-10-11 20:00:00-04:00,27.49,27.55,26.74,27.43,15818400
2022-10-12 20:00:00-04:00,26.47,28.50,26.29,28.07,16285500
2022-10-13 20:00:00-04:00,28.14,28.18,26.36,26.43,13972100
2022-10-16 20:00:00-04:00,27.29,28.08,27.23,27.55,13874400
2022-10-17 20:00:00-04:00,28.17,28.27,26.61,27.24,14492100
2022-10-18 20:00:00-04:00,26.87,27.47,26.65,27.11,12703600
2022-10-19 20:00:00-04:00,27.11,29.26,26.92,27.84,26954400
2022-10-20 20:00:00-04:00,27.86,30.72,27.53,30.62,27259400
2022-10-23 20:00:00-04:00,29.75,30.39,29.28,29.69,19179500
2022-10-24 20:00:00-04:00,29.22,30.60,29.21,30.28,15134000
2022-10-25 20:00:00-04:00,31.06,32.29,30.92,31.88,19799800
2022-10-26 20:00:00-04:00,31.85,31.88,30.97,31.30,14606700
2022-10-27 20:00:00-04:00,30.76,30.99,30.07,30.79,13156900
2022-10-30 20:00:00-04:00,30.35,30.95,30.01,30.30,13138500
2022-10-31 20:00:00-04:00,32.21,32.26,31.25,31.45,16684600
2022-11-01 20:00:00-04:00,31.23,31.92,29.60,29.65,20061600
2022-11-02 20:00:00-04:00,29.21,30.28,28.95,30.17,15062200
2022-11-03 20:00:00-04:00,33.18,34.20,32.62,33.64,30363400
,33.43,33.68,32.62,32.94,12396400
,33.27,34.62,32.82,33.90,18453300
,33.36,34.19,32.19,32.53,14161900
,34.29,35.34,34.14,35.14,21126200
,36.08,37.54,36.08,36.37,22053500
,35.83,36.85,35.64,36.23,14006700
,36.57,36.75,35.92,36.42,15132100
,35.70,36.02,35.36,35.74,12620100
,34.23,34.82,33.76,34.76,13618400
,34.85,35.06,34.26,34.74,9136200
,34.44,34.76,33.60,34.54,10425300
,35.36,36.23,35.19,36.20,11848000
,35.52,36.51,35.47,36.37,8632400
,36.22,36.37,35.46,35.52,5219800
,34.93,35.27,34.53,34.60,10420000
,35.44,36.01,35.29,35.86,8912700
,36.65,38.05,36.12,38.05,23334200
,38.14,38.33,37.01,37.83,12098000
,36.99,38.52,36.75,38.45,15008700
,38.53,38.82,37.01,37.15,12200500
,37.34,38.11,36.52,36.77,14971800
,36.67,37.47,36.57,36.86,12273600
,37.93,38.29,37.55,38.11,12677600
,38.31,38.78,36.85,36.89,10601800
,36.44,37.23,36.21,37.17,9557200
,39.28,39.35,37.07,37.54,12513200
,37.32,38.14,37.15,37.70,11163700
,36.72,37.20,36.08,36.47,11046700
,36.49,37.33,36.19,36.67,29060700
,36.86,37.03,35.46,35.72,9245700
,36.00,36.70,36.00,36.14,7608100
,36.68,37.14,36.45,36.76,7266700
,36.37,36.37,35.23,36.01,11351300
,36.21,36.45,35.68,36.43,6598000
,36.97,37.54,36.72,37.17,10559300
,37.18,37.27,35.93,36.22,8305500
,36.45,36.88,36.39,36.63,6455800
,36.33,36.53,35.81,36.33,6820100
,36.28,37.35,35.94,36.25,8576100
,36.33,37.43,36.06,37.29,10415600
,37.19,38.50,36.96,38.09,12341000
,38.92,40.73,38.76,40.42,16483800
,41.30,42.24,40.95,40.95,17009500
,41.34,42.85,41.12,42.75,16052500
,43.04,43.38,42.29,43.33,18910300
,43.67,43.98,42.44,43.26,12834900
,42.94,43.58,42.67,43.21,11109600
,42.86,43.35,42.24,42.35,12644000
,43.43,44.49,42.10,42.13,19797400
,41.31,42.66,41.23,42.34,13731200
,42.06,43.59,41.60,43.56,12365100
,43.40,43.69,42.33,43.12,11735800
,40.96,43.65,40.96,42.77,9720800
,42.43,44.83,42.18,44.74,18821700
,44.38,44.59,42.46,43.60,15945700
,43.16,43.68,42.86,42.99,10871300
,42.56,43.18,42.16,42.19,8850300
