Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,25.91,26.22,25.86,26.15,3946800
2018-07-02 20:00:00-04:00,26.13,26.53,26.02,26.30,2398100
2018-07-04 20:00:00-04:00,26.32,26.49,26.19,26.47,2864300
2018-07-05 20:00:00-04:00,26.47,26.72,26.45,26.55,2687000
2018-07-08 20:00:00-04:00,26.56,26.57,25.36,25.50,5805200
2018-07-09 20:00:00-04:00,25.35,25.85,25.25,25.55,4601100
2018-07-10 20:00:00-04:00,25.65,26.07,25.65,25.92,3570200
2018-07-11 20:00:00-04:00,25.97,26.02,25.50,25.74,3940700
2018-07-12 20:00:00-04:00,25.74,25.90,25.60,25.88,2202800
2018-07-15 20:00:00-04:00,25.81,26.23,25.73,26.10,3791000
2018-07-16 20:00:00-04:00,26.15,26.39,26.07,26.18,3499200
2018-07-17 20:00:00-04:00,26.19,26.20,25.68,25.75,3604500
2018-07-18 20:00:00-04:00,25.79,26.04,25.65,25.73,7858300
2018-07-19 20:00:00-04:00,25.65,25.71,25.19,25.50,3220600
2018-07-22 20:00:00-04:00,25.55,25.61,25.15,25.15,5019000
2018-07-23 20:00:00-04:00,25.15,25.17,24.77,24.95,5055600
2018-07-24 20:00:00-04:00,24.90,25.36,24.90,25.07,4046900
2018-07-25 20:00:00-04:00,25.24,25.43,25.21,25.42,2472400
2018-07-26 20:00:00-04:00,25.45,25.57,25.17,25.28,2088100
2018-07-29 20:00:00-04:00,25.13,25.27,25.08,25.20,4592900
2018-07-30 20:00:00-04:00,25.32,25.65,25.26,25.58,5607400
2018-07-31 20:00:00-04:00,25.92,26.40,25.54,26.33,7429900
2018-08-01 20:00:00-04:00,26.28,26.56,25.83,26.30,4375800
2018-08-02 20:00:00-04:00,26.26,26.49,26.06,26.39,3798800
2018-08-05 20:00:00-04:00,26.46,26.62,26.35,26.43,2791600
2018-08-06 20:00:00-04:00,26.38,26.45,26.17,26.36,2984300
2018-08-07 20:00:00-04:00,26.31,26.41,26.17,26.25,2427500
2018-08-08 20:00:00-04:00,26.26,26.50,26.20,26.47,2387800
2018-08-09 20:00:00-04:00,26.52,26.73,26.35,26.43,1848900
2018-08-12 20:00:00-04:00,26.44,26.54,26.30,26.52,2144300
2018-08-13 20:00:00-04:00,26.47,26.67,26.46,26.53,3823300
2018-08-14 20:00:00-04:00,26.61,26.91,26.50,26.73,2175000
2018-08-15 20:00:00-04:00,26.68,27.04,26.62,27.03,2413100
2018-08-16 20:00:00-04:00,27.01,27.36,26.92,27.20,3163900
2018-08-19 20:00:00-04:00,27.20,27.30,27.01,27.04,3865800
2018-08-20 20:00:00-04:00,26.97,27.00,26.74,26.83,1653300
2018-08-21 20:00:00-04:00,26.92,26.92,26.54,26.65,1679100
2018-08-22 20:00:00-04:00,26.69,26.95,26.63,26.82,2139000
2018-08-23 20:00:00-04:00,26.84,27.05,26.72,27.02,1473600
2018-08-26 20:00:00-04:00,27.05,27.07,26.65,26.87,1907400
