Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,102.20,103.65,101.43,102.67,2373500
2022-04-06 20:00:00-04:00,101.90,102.43,99.50,100.79,2215800
2022-04-07 20:00:00-04:00,101.01,101.92,99.06,100.55,2787800
2022-04-10 20:00:00-04:00,100.00,102.13,99.93,100.60,2319700
2022-04-11 20:00:00-04:00,99.87,100.53,98.91,98.97,2900400
2022-04-12 20:00:00-04:00,98.57,99.36,98.19,99.08,2206700
2022-04-13 20:00:00-04:00,99.21,100.62,99.19,99.67,2251400
2022-04-17 20:00:00-04:00,99.15,100.86,99.03,99.89,2060500
2022-04-18 20:00:00-04:00,99.96,102.79,99.72,102.45,2685400
2022-04-19 20:00:00-04:00,103.00,104.03,101.29,101.49,3063000
2022-04-20 20:00:00-04:00,102.12,102.95,100.97,101.44,2440300
2022-04-21 20:00:00-04:00,101.04,101.04,97.22,97.36,3029800
2022-04-24 20:00:00-04:00,97.05,98.27,95.23,97.95,3158300
2022-04-25 20:00:00-04:00,97.37,97.64,95.97,96.10,3574900
2022-04-26 20:00:00-04:00,98.76,101.88,95.49,100.93,5784900
2022-04-27 20:00:00-04:00,102.04,105.26,101.77,104.74,4790800
2022-04-28 20:00:00-04:00,104.16,104.52,97.78,97.92,4687200
2022-05-01 20:00:00-04:00,97.56,98.03,94.57,97.13,4296800
2022-05-02 20:00:00-04:00,97.94,100.71,97.41,99.44,4239300
2022-05-03 20:00:00-04:00,99.57,102.72,98.50,102.54,3351800
2022-05-04 20:00:00-04:00,101.74,101.82,98.64,99.55,3763500
2022-05-05 20:00:00-04:00,98.70,98.79,94.83,95.71,3347700
2022-05-08 20:00:00-04:00,94.51,95.46,93.30,93.63,4202400
2022-05-09 20:00:00-04:00,95.05,95.62,91.86,92.78,3250300
2022-05-10 20:00:00-04:00,92.58,94.66,91.83,92.58,3993500
2022-05-11 20:00:00-04:00,91.66,93.63,91.33,93.55,3302300
2022-05-12 20:00:00-04:00,94.72,97.15,94.43,96.17,3136600
2022-05-15 20:00:00-04:00,95.64,96.58,94.87,96.25,3024900
2022-05-16 20:00:00-04:00,97.76,98.10,96.38,97.71,2298700
2022-05-17 20:00:00-04:00,96.32,97.39,93.94,94.17,3273100
2022-05-18 20:00:00-04:00,93.56,95.68,92.58,94.39,2736400
2022-05-19 20:00:00-04:00,95.35,95.73,93.37,95.59,2859900
2022-05-22 20:00:00-04:00,96.60,99.06,96.33,98.83,2586000
2022-05-23 20:00:00-04:00,98.16,98.31,95.71,96.90,2251100
2022-05-24 20:00:00-04:00,96.39,98.03,96.18,97.47,2235300
2022-05-25 20:00:00-04:00,98.25,99.86,98.01,99.29,2306200
2022-05-26 20:00:00-04:00,99.83,101.37,99.40,101.37,2734800
2022-05-30 20:00:00-04:00,100.88,101.39,99.76,100.18,4046000
2022-05-31 20:00:00-04:00,100.73,100.83,98.67,99.16,2397400
2022-06-01 20:00:00-04:00,99.24,100.92,97.92,100.85,2447900
2022-06-02 20:00:00-04:00,100.28,100.43,99.28,99.67,1854600
2022-06-05 20:00:00-04:00,100.80,102.17,99.87,100.29,1805100
2022-06-06 20:00:00-04:00,99.62,101.51,99.28,101.24,2050500
2022-06-07 20:00:00-04:00,101.04,101.48,99.75,100.13,1702700
2022-06-08 20:00:00-04:00,99.40,99.40,95.78,95.82,2637400
2022-06-09 20:00:00-04:00,94.01,95.23,93.05,94.34,3782600
2022-06-12 20:00:00-04:00,91.88,92.26,89.24,89.62,4766800
2022-06-13 20:00:00-04:00,90.36,91.21,88.97,89.89,3103600
2022-06-14 20:00:00-04:00,91.04,93.13,90.11,91.47,3244600
2022-06-15 20:00:00-04:00,89.87,89.87,87.03,88.38,4243600
2022-06-16 20:00:00-04:00,88.46,89.70,87.78,89.15,6498700
