Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,34.99,35.23,34.65,34.93,7166500
2022-04-06 20:00:00-04:00,34.80,34.99,33.80,34.47,6715800
2022-04-07 20:00:00-04:00,34.59,34.84,34.29,34.56,4278500
2022-04-10 20:00:00-04:00,34.59,35.35,34.25,34.51,3801800
2022-04-11 20:00:00-04:00,34.56,35.05,33.59,33.78,5726000
2022-04-12 20:00:00-04:00,33.51,33.89,33.28,33.67,5103800
2022-04-13 20:00:00-04:00,33.70,33.95,33.14,33.25,5266700
2022-04-17 20:00:00-04:00,33.21,33.57,32.99,33.30,8621700
2022-04-18 20:00:00-04:00,33.31,35.19,33.31,34.76,9287400
2022-04-19 20:00:00-04:00,34.87,35.69,34.60,34.66,8147400
2022-04-20 20:00:00-04:00,35.11,35.27,33.55,33.78,6927300
2022-04-21 20:00:00-04:00,33.80,33.80,32.70,32.75,8275900
2022-04-24 20:00:00-04:00,32.60,33.14,32.01,33.07,8095700
2022-04-25 20:00:00-04:00,32.61,33.12,32.17,32.17,5977500
2022-04-26 20:00:00-04:00,32.17,32.81,32.11,32.55,7068400
2022-04-27 20:00:00-04:00,33.12,33.26,32.47,33.20,6919500
2022-04-28 20:00:00-04:00,33.20,33.45,31.91,31.99,5642500
2022-05-01 20:00:00-04:00,32.23,32.41,31.51,32.17,7723300
2022-05-02 20:00:00-04:00,32.34,32.83,32.17,32.65,5813500
2022-05-03 20:00:00-04:00,32.60,33.72,32.33,33.66,7213500
2022-05-04 20:00:00-04:00,33.27,33.33,31.74,32.37,6292900
2022-05-05 20:00:00-04:00,32.31,32.40,31.35,31.97,6481300
2022-05-08 20:00:00-04:00,31.63,31.74,30.95,31.36,6376600
2022-05-09 20:00:00-04:00,31.65,31.88,30.35,31.18,6269500
2022-05-10 20:00:00-04:00,31.02,31.99,30.49,30.56,7171100
2022-05-11 20:00:00-04:00,30.35,30.66,29.80,30.49,6472600
2022-05-12 20:00:00-04:00,30.76,31.02,30.34,30.66,5414800
2022-05-15 20:00:00-04:00,30.62,30.84,30.12,30.42,5365900
2022-05-16 20:00:00-04:00,31.18,31.76,31.12,31.69,4715300
2022-05-17 20:00:00-04:00,31.40,31.52,30.49,30.72,5689600
2022-05-18 20:00:00-04:00,30.40,30.88,30.11,30.38,5594000
2022-05-19 20:00:00-04:00,30.66,30.87,29.62,30.38,4521300
2022-05-22 20:00:00-04:00,31.15,31.69,30.77,31.37,4424600
2022-05-23 20:00:00-04:00,31.36,31.42,30.53,31.20,4677200
2022-05-24 20:00:00-04:00,31.17,32.11,31.06,31.91,4552600
2022-05-25 20:00:00-04:00,32.19,33.08,32.10,32.91,5313300
2022-05-26 20:00:00-04:00,32.92,33.42,32.79,33.33,3118700
2022-05-30 20:00:00-04:00,32.89,33.82,32.76,33.61,5320700
2022-05-31 20:00:00-04:00,33.78,33.78,32.49,33.02,3594800
2022-06-01 20:00:00-04:00,33.20,33.53,32.74,33.51,2771500
2022-06-02 20:00:00-04:00,33.23,33.52,33.10,33.17,3746800
2022-06-05 20:00:00-04:00,33.57,34.15,33.26,33.62,3475300
2022-06-06 20:00:00-04:00,33.36,33.75,33.08,33.72,3927500
2022-06-07 20:00:00-04:00,33.39,33.44,32.94,33.14,2829500
2022-06-08 20:00:00-04:00,33.15,33.19,31.99,32.01,3314300
2022-06-09 20:00:00-04:00,30.97,31.43,30.32,30.41,4238400
2022-06-12 20:00:00-04:00,29.60,29.85,29.14,29.35,6436400
2022-06-13 20:00:00-04:00,29.61,30.09,29.10,29.47,5553700
2022-06-14 20:00:00-04:00,29.75,30.17,29.07,29.60,6986700
2022-06-15 20:00:00-04:00,28.94,29.03,28.13,28.34,6182600
2022-06-16 20:00:00-04:00,28.66,29.33,28.51,28.98,9221700
2022-06-20 20:00:00-04:00,29.73,29.86,29.11,29.29,4126900
2022-06-21 20:00:00-04:00,29.08,29.55,28.79,29.37,4922400
2022-06-22 20:00:00-04:00,29.23,29.34,28.14,28.56,4241300
2022-06-23 20:00:00-04:00,28.65,30.09,28.65,30.02,5409300
2022-06-26 20:00:00-04:00,30.21,30.24,29.54,29.72,5084800
2022-06-27 20:00:00-04:00,30.26,30.67,29.67,29.69,3515700
2022-06-28 20:00:00-04:00,29.81,29.88,29.26,29.41,3219200
2022-06-29 20:00:00-04:00,28.82,29.24,27.98,28.89,5312900
2022-06-30 20:00:00-04:00,28.80,29.25,28.21,29.09,4771300
2022-07-04 20:00:00-04:00,28.52,28.99,27.93,28.97,5053600
2022-07-05 20:00:00-04:00,28.72,29.12,28.30,28.61,3821800
2022-07-06 20:00:00-04:00,28.95,29.34,28.83,29.16,3189100
2022-07-07 20:00:00-04:00,29.44,29.47,28.90,29.11,3606000
2022-07-10 20:00:00-04:00,28.85,29.09,28.49,28.83,3249500
2022-07-11 20:00:00-04:00,28.65,29.50,28.52,28.83,3232500
2022-07-12 20:00:00-04:00,28.55,28.64,27.92,28.40,5211900
2022-07-13 20:00:00-04:00,27.78,27.83,27.34,27.69,5845000
2022-07-14 20:00:00-04:00,28.18,29.15,27.97,29.01,5960900
2022-07-17 20:00:00-04:00,29.37,29.87,28.88,29.03,4925700
2022-07-18 20:00:00-04:00,29.51,30.05,29.49,29.81,9633500
2022-07-19 20:00:00-04:00,29.66,30.06,29.36,29.82,9594700
2022-07-20 20:00:00-04:00,29.33,29.92,28.95,29.44,6766200
2022-07-21 20:00:00-04:00,29.52,29.70,28.66,28.91,5103500
2022-07-24 20:00:00-04:00,29.03,29.60,29.02,29.41,5155100
2022-07-25 20:00:00-04:00,29.06,29.33,28.46,28.50,3934400
2022-07-26 20:00:00-04:00,28.67,29.19,28.46,29.01,4459400
2022-07-27 20:00:00-04:00,28.98,29.13,28.31,28.74,4132800
2022-07-28 20:00:00-04:00,28.79,29.44,28.79,29.33,3934100
2022-07-31 20:00:00-04:00,29.11,29.44,28.72,29.34,3348100
2022-08-01 20:00:00-04:00,29.16,29.37,28.78,28.96,3603000
2022-08-02 20:00:00-04:00,29.26,29.68,29.07,29.50,3323900
2022-08-03 20:00:00-04:00,29.46,29.56,29.03,29.05,2591100
2022-08-04 20:00:00-04:00,29.05,29.96,28.95,29.81,3256000
2022-08-07 20:00:00-04:00,29.92,30.09,29.35,29.65,3738800
2022-08-08 20:00:00-04:00,29.75,29.87,29.45,29.85,3078900
2022-08-09 20:00:00-04:00,30.33,31.32,30.29,31.09,7120500
2022-08-10 20:00:00-04:00,31.34,31.97,31.34,31.88,4745200
2022-08-11 20:00:00-04:00,32.24,32.24,31.76,32.23,3421100
2022-08-14 20:00:00-04:00,31.86,32.17,31.68,32.01,3066900
2022-08-15 20:00:00-04:00,31.96,32.55,31.86,32.34,3431100
2022-08-16 20:00:00-04:00,32.14,32.20,31.65,32.01,2439300
2022-08-17 20:00:00-04:00,32.04,32.13,31.82,32.07,2342800
2022-08-18 20:00:00-04:00,31.62,31.79,31.09,31.41,3580300
2022-08-21 20:00:00-04:00,30.80,30.84,30.30,30.52,2880800
2022-08-22 20:00:00-04:00,30.72,30.93,30.57,30.62,2663800
2022-08-23 20:00:00-04:00,30.54,30.73,30.26,30.62,2138000
2022-08-24 20:00:00-04:00,30.66,31.19,30.55,31.16,2081300
2022-08-25 20:00:00-04:00,31.33,31.39,30.05,30.05,2578900
2022-08-28 20:00:00-04:00,29.84,30.11,29.44,29.60,3234600
2022-08-29 20:00:00-04:00,29.72,29.87,29.22,29.55,3297300
2022-08-30 20:00:00-04:00,29.60,29.74,29.25,29.36,4954600
2022-08-31 20:00:00-04:00,29.32,29.35,28.64,29.09,3911200
2022-09-01 20:00:00-04:00,29.46,29.79,28.79,28.95,4021200
2022-09-05 20:00:00-04:00,29.13,29.18,28.24,28.60,3162700
2022-09-06 20:00:00-04:00,28.52,29.40,28.34,29.26,2663500
2022-09-07 20:00:00-04:00,29.03,30.37,28.88,30.36,3540800
2022-09-08 20:00:00-04:00,30.60,30.91,30.49,30.73,4265100
2022-09-11 20:00:00-04:00,30.95,31.46,30.81,31.40,3725400
2022-09-12 20:00:00-04:00,30.61,31.00,29.93,30.07,4095500
2022-09-13 20:00:00-04:00,30.07,30.42,29.52,30.07,5347900
2022-09-14 20:00:00-04:00,30.12,31.24,30.11,30.76,3548700
2022-09-15 20:00:00-04:00,30.53,30.53,29.80,30.11,8215000
2022-09-18 20:00:00-04:00,29.67,30.58,29.67,30.47,3564400
2022-09-19 20:00:00-04:00,30.19,30.36,29.88,30.21,3833600
2022-09-20 20:00:00-04:00,30.36,30.71,29.44,29.45,4903800
2022-09-21 20:00:00-04:00,29.53,29.65,28.38,28.55,4041800
2022-09-22 20:00:00-04:00,28.19,28.32,27.65,28.20,4188500
2022-09-25 20:00:00-04:00,27.83,28.33,27.48,27.59,5717300
2022-09-26 20:00:00-04:00,27.77,28.02,26.87,27.14,5274000
2022-09-27 20:00:00-04:00,27.30,28.13,27.12,27.97,4095600
2022-09-28 20:00:00-04:00,27.57,28.04,27.08,27.84,5304400
2022-09-29 20:00:00-04:00,27.79,28.50,27.65,27.76,6166600
2022-10-02 20:00:00-04:00,28.23,28.77,27.61,28.51,4744900
2022-10-03 20:00:00-04:00,28.92,29.80,28.90,29.79,4368300
2022-10-04 20:00:00-04:00,29.18,29.74,29.08,29.62,2853500
2022-10-05 20:00:00-04:00,29.36,29.67,28.95,29.12,6097900
2022-10-06 20:00:00-04:00,28.84,28.89,28.10,28.75,3891100
2022-10-09 20:00:00-04:00,28.98,29.29,28.44,28.64,3537900
2022-10-10 20:00:00-04:00,28.48,28.56,27.95,28.16,3732300
2022-10-11 20:00:00-04:00,28.08,28.42,27.83,27.98,3804800
2022-10-12 20:00:00-04:00,27.61,30.09,27.25,29.83,7989000
2022-10-13 20:00:00-04:00,30.15,30.78,29.39,29.49,5503700
2022-10-16 20:00:00-04:00,30.21,30.61,29.91,30.16,5595300
2022-10-17 20:00:00-04:00,30.84,31.29,29.95,30.28,5393000
2022-10-18 20:00:00-04:00,30.04,30.31,28.59,28.89,10514800
2022-10-19 20:00:00-04:00,28.56,28.67,26.91,27.05,9696700
2022-10-20 20:00:00-04:00,27.04,28.69,26.85,28.68,8258000
2022-10-23 20:00:00-04:00,28.86,29.99,28.70,29.85,4774700
2022-10-24 20:00:00-04:00,29.73,30.76,29.59,30.70,4477500
2022-10-25 20:00:00-04:00,30.71,31.06,30.48,30.84,3485800
2022-10-26 20:00:00-04:00,31.25,31.41,30.63,30.70,3984900
2022-10-27 20:00:00-04:00,31.00,31.27,30.70,31.25,2990900
2022-10-30 20:00:00-04:00,31.10,31.27,30.92,31.00,3583500
2022-10-31 20:00:00-04:00,31.21,31.37,30.96,31.09,2581300
2022-11-01 20:00:00-04:00,31.04,31.35,30.10,30.15,4689600
2022-11-02 20:00:00-04:00,29.79,29.82,29.05,29.48,4584500
2022-11-03 20:00:00-04:00,29.88,30.59,29.76,30.51,5836700
,30.66,30.84,30.16,30.43,3281700
,30.39,30.69,30.16,30.49,4372000
,30.05,30.31,29.75,29.95,3824000
,30.95,31.64,30.95,31.52,7301800
,31.60,32.31,31.60,32.00,7378200
,31.93,32.12,31.30,31.31,5523300
,31.97,32.26,31.22,31.66,5360700
,31.66,31.76,30.93,31.08,3825700
,30.59,30.71,30.26,30.68,3456200
,31.26,31.34,30.50,30.94,3217900
,30.87,31.20,30.84,31.10,2095700
,31.33,31.58,31.25,31.55,3016900
,31.35,31.62,31.26,31.55,2837600
,31.73,31.85,31.60,31.68,1016400
,31.40,31.47,30.84,30.91,3193300
,30.99,31.38,30.81,31.27,2764700
,31.07,31.66,30.29,31.58,5602200
,31.58,31.72,30.60,31.07,4550900
,30.58,30.88,30.47,30.61,4718600
,30.42,30.42,28.43,28.62,5829500
,28.56,28.76,27.91,28.00,6216400
,28.12,28.97,27.92,28.63,6659000
,28.76,28.86,28.28,28.50,4510800
,28.69,28.78,28.33,28.56,4616800
,28.56,29.00,28.17,28.89,6366900
,29.49,29.68,28.48,28.61,8321500
,28.69,28.80,27.80,28.04,5738600
,27.61,27.94,27.29,27.73,6405200
,27.41,27.79,27.16,27.44,7307700
,27.44,27.86,27.17,27.49,4009900
,27.54,27.77,27.44,27.52,3743700
,27.84,28.05,27.74,27.78,3454100
,27.50,27.91,27.23,27.90,3871500
,28.08,28.23,27.88,28.15,3294400
,28.19,28.50,28.00,28.49,3656800
,28.61,28.68,28.25,28.42,4185600
,28.66,28.88,28.43,28.79,3012300
,28.65,28.94,28.54,28.79,4620700
,29.12,29.31,28.51,28.64,5347800
,28.99,29.48,28.88,29.36,5727800
,29.25,29.33,28.80,29.07,5021300
,29.34,30.35,29.15,30.24,7190500
,30.38,30.46,29.96,30.02,3607400
,30.08,30.23,29.73,30.23,2802900
,30.48,30.48,30.09,30.11,5001400
,30.23,30.79,30.12,30.62,4210200
,30.12,30.46,29.48,30.39,4618800
,30.37,30.40,29.85,29.93,4747800
,29.64,29.65,28.68,28.71,8835100
,28.39,29.79,27.93,29.51,10245300
,29.51,30.44,29.51,30.36,6921500
,30.49,31.28,30.43,31.15,5919600
,31.15,31.35,30.84,30.84,6585800
,30.65,31.44,30.58,31.37,5329500
,31.58,31.82,31.28,31.60,5715200
,31.57,31.86,31.46,31.67,3644200
,31.40,31.72,31.36,31.41,3918700
,31.48,31.87,31.29,31.84,11324700
,31.41,32.51,31.35,32.27,5609300
,32.51,33.39,32.33,33.21,6805900
,32.83,33.37,32.83,33.02,4966600
,32.77,32.89,32.47,32.67,3962400
,32.67,33.26,32.44,33.16,5427500
,32.80,33.11,32.63,33.06,4917000
,33.18,33.31,32.60,32.69,3458200
,32.54,32.70,32.36,32.61,3994500
,32.46,32.91,32.38,32.86,2689100
,32.83,32.88,32.33,32.63,3047100
,32.35,32.81,32.22,32.55,2656800
,32.17,32.45,31.89,32.16,3508900
,32.09,32.51,31.95,32.42,3003300
,32.05,32.15,31.44,31.64,4290800
,31.73,31.76,31.30,31.52,3799600
,31.72,31.94,31.24,31.63,4656900
,31.29,31.89,31.15,31.86,3728300
,32.22,32.27,31.56,31.65,4663100
,31.93,32.14,31.75,31.85,5627400
,31.76,31.97,31.53,31.75,3807600
,31.54,31.55,30.82,31.25,4992500
,31.44,31.83,31.27,31.79,4431900
,31.88,32.17,31.72,31.72,4273000
,31.88,31.88,30.00,30.08,5971500
,30.13,30.26,29.44,29.56,6381500
,29.27,29.29,27.74,27.80,6313800
,26.96,27.66,25.88,26.64,15418600
2023-03-12 20:00:00-04:00,23.43,24.41,19.40,23.03,15418600
2023-03-13 20:00:00-04:00,25.57,25.97,21.87,23.14,15418600
2023-03-14 20:00:00-04:00,21.92,22.43,21.34,22.29,15418600
2023-03-15 20:00:00-04:00,22.14,23.58,20.91,23.21,15418600
2023-03-16 20:00:00-04:00,22.65,22.76,21.64,21.89,15418600
2023-03-19 20:00:00-04:00,22.54,23.89,22.46,23.00,15418600
2023-03-20 20:00:00-04:00,24.00,24.22,23.14,24.03,15418600
2023-03-21 20:00:00-04:00,24.00,24.07,22.67,22.72,10570600
2023-03-22 20:00:00-04:00,23.12,23.21,22.02,22.23,10006700
2023-03-23 20:00:00-04:00,21.88,22.50,21.68,22.35,11000000
2023-03-26 20:00:00-04:00,23.26,23.75,22.73,23.04,9563400
