Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,219.71,222.48,219.45,221.30,1399800
2022-04-06 20:00:00-04:00,221.20,226.13,219.76,225.09,1266200
2022-04-07 20:00:00-04:00,226.31,227.42,223.24,223.64,1081400
2022-04-10 20:00:00-04:00,225.74,228.14,223.38,225.04,1390400
2022-04-11 20:00:00-04:00,224.82,227.32,223.70,225.29,754600
2022-04-12 20:00:00-04:00,226.34,227.90,224.11,225.19,751500
2022-04-13 20:00:00-04:00,226.19,227.28,224.53,225.21,957500
2022-04-17 20:00:00-04:00,224.92,229.83,224.81,225.33,1022400
2022-04-18 20:00:00-04:00,225.54,228.36,224.60,227.85,1182700
2022-04-19 20:00:00-04:00,228.50,230.71,227.38,228.86,862400
2022-04-20 20:00:00-04:00,229.15,229.38,223.39,223.66,1265000
2022-04-21 20:00:00-04:00,222.83,224.00,220.42,220.64,1076400
2022-04-24 20:00:00-04:00,220.85,221.55,217.00,221.00,1525100
2022-04-25 20:00:00-04:00,220.49,223.26,218.92,218.92,1297000
2022-04-26 20:00:00-04:00,219.60,228.23,219.09,221.74,2282000
2022-04-27 20:00:00-04:00,224.00,224.79,221.16,222.87,1443600
2022-04-28 20:00:00-04:00,222.68,223.61,218.05,218.55,1839600
2022-05-01 20:00:00-04:00,218.55,220.43,212.92,215.52,1776700
2022-05-02 20:00:00-04:00,216.76,218.71,214.73,215.64,1829800
2022-05-03 20:00:00-04:00,216.21,224.86,214.47,224.46,1914600
2022-05-04 20:00:00-04:00,224.03,225.59,219.91,221.06,2174300
2022-05-05 20:00:00-04:00,220.28,222.61,218.06,221.39,1329700
2022-05-08 20:00:00-04:00,219.89,220.18,211.11,211.94,1915600
2022-05-09 20:00:00-04:00,212.52,216.07,209.53,211.87,1748800
2022-05-10 20:00:00-04:00,211.91,214.81,208.91,209.69,1830800
2022-05-11 20:00:00-04:00,208.84,210.66,202.75,206.50,2121700
2022-05-12 20:00:00-04:00,207.94,210.02,205.92,209.11,1557800
2022-05-15 20:00:00-04:00,209.48,210.99,208.14,210.49,1237300
2022-05-16 20:00:00-04:00,211.83,214.75,209.59,214.02,1084700
2022-05-17 20:00:00-04:00,213.00,214.60,208.31,208.80,1929200
2022-05-18 20:00:00-04:00,206.88,207.34,200.19,201.23,2108500
2022-05-19 20:00:00-04:00,201.78,201.97,194.21,197.27,1985800
2022-05-22 20:00:00-04:00,198.83,201.23,198.47,200.23,1812500
2022-05-23 20:00:00-04:00,199.76,204.19,199.36,203.11,1480500
2022-05-24 20:00:00-04:00,203.08,204.30,201.06,203.33,1498700
2022-05-25 20:00:00-04:00,204.88,207.02,203.94,204.44,1477300
2022-05-26 20:00:00-04:00,205.73,209.41,205.25,209.29,1403900
2022-05-30 20:00:00-04:00,207.20,209.06,206.42,207.82,1637300
2022-05-31 20:00:00-04:00,209.83,210.67,207.18,209.03,1204000
2022-06-01 20:00:00-04:00,211.29,213.20,206.83,212.00,1101700
2022-06-02 20:00:00-04:00,211.03,214.22,211.03,212.64,1410400
2022-06-05 20:00:00-04:00,213.75,214.75,212.04,212.43,956900
2022-06-06 20:00:00-04:00,211.47,217.90,210.81,217.67,1341400
2022-06-07 20:00:00-04:00,215.75,216.52,213.23,213.78,1024600
2022-06-08 20:00:00-04:00,213.19,214.00,209.53,209.65,823200
2022-06-09 20:00:00-04:00,207.39,209.85,205.96,207.56,1351900
2022-06-12 20:00:00-04:00,204.12,204.80,200.19,201.00,1288500
2022-06-13 20:00:00-04:00,201.76,202.23,198.07,199.49,1182400
2022-06-14 20:00:00-04:00,200.69,203.94,198.95,201.36,1276500
2022-06-15 20:00:00-04:00,198.39,199.29,195.24,195.79,1338600
2022-06-16 20:00:00-04:00,196.08,197.17,192.30,193.84,3063800
2022-06-20 20:00:00-04:00,195.48,201.87,195.48,200.09,1233400
2022-06-21 20:00:00-04:00,197.14,202.27,196.69,199.59,1129400
2022-06-22 20:00:00-04:00,199.81,201.29,197.69,200.14,1181200
2022-06-23 20:00:00-04:00,200.90,205.80,200.42,205.43,1675600
2022-06-26 20:00:00-04:00,206.12,209.05,205.20,206.51,1277100
2022-06-27 20:00:00-04:00,207.70,210.67,203.33,203.73,1616900
2022-06-28 20:00:00-04:00,204.82,205.12,202.32,202.61,1235600
2022-06-29 20:00:00-04:00,201.52,206.67,200.41,205.62,1343300
2022-06-30 20:00:00-04:00,205.61,208.62,204.21,208.04,705800
2022-07-04 20:00:00-04:00,204.65,205.42,195.01,199.37,1613100
2022-07-05 20:00:00-04:00,198.94,205.11,198.94,204.04,1095400
2022-07-06 20:00:00-04:00,204.97,206.26,203.80,204.99,951100
2022-07-07 20:00:00-04:00,205.64,206.45,203.16,205.49,1118600
2022-07-10 20:00:00-04:00,204.16,206.18,203.34,204.22,652200
2022-07-11 20:00:00-04:00,204.38,205.38,200.87,201.32,744600
2022-07-12 20:00:00-04:00,198.53,201.03,198.17,198.31,850100
2022-07-13 20:00:00-04:00,195.10,196.01,192.76,195.58,1044400
2022-07-14 20:00:00-04:00,198.05,198.05,195.17,197.73,857600
2022-07-17 20:00:00-04:00,198.85,199.81,194.03,194.97,1040100
2022-07-18 20:00:00-04:00,194.88,200.09,194.23,199.51,906000
