Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,75.73,76.66,75.62,76.57,557000
2018-07-02 20:00:00-04:00,76.98,77.46,76.79,76.88,371900
2018-07-04 20:00:00-04:00,77.17,77.22,76.64,77.07,685000
2018-07-05 20:00:00-04:00,76.83,77.77,76.63,77.54,441300
2018-07-08 20:00:00-04:00,78.02,79.56,78.01,79.48,634000
2018-07-09 20:00:00-04:00,79.52,79.53,78.74,79.40,512800
2018-07-10 20:00:00-04:00,78.88,79.17,78.27,78.48,448600
2018-07-11 20:00:00-04:00,79.04,79.04,77.48,78.11,353700
2018-07-12 20:00:00-04:00,77.79,78.52,77.66,78.14,612700
2018-07-15 20:00:00-04:00,78.28,79.15,78.28,79.11,483900
2018-07-16 20:00:00-04:00,79.13,79.43,78.81,79.20,336800
2018-07-17 20:00:00-04:00,79.35,80.00,79.23,79.88,445700
2018-07-18 20:00:00-04:00,79.71,79.72,78.50,78.65,530600
2018-07-19 20:00:00-04:00,78.36,78.46,77.85,78.18,346500
2018-07-22 20:00:00-04:00,78.19,79.09,77.91,79.00,389200
2018-07-23 20:00:00-04:00,78.86,79.63,78.67,79.16,461800
2018-07-24 20:00:00-04:00,79.10,79.10,77.80,78.55,353700
2018-07-25 20:00:00-04:00,80.66,82.32,79.49,81.28,963400
2018-07-26 20:00:00-04:00,81.51,82.36,81.40,82.17,459000
2018-07-29 20:00:00-04:00,82.27,83.08,82.16,82.58,525000
2018-07-30 20:00:00-04:00,82.94,83.10,82.28,82.49,493800
2018-07-31 20:00:00-04:00,82.88,83.31,81.51,81.68,406300
2018-08-01 20:00:00-04:00,81.36,81.38,80.61,80.91,538800
2018-08-02 20:00:00-04:00,80.82,81.38,80.29,81.36,344900
2018-08-05 20:00:00-04:00,81.38,82.01,81.16,81.74,362800
2018-08-06 20:00:00-04:00,81.38,82.60,81.38,81.98,246900
2018-08-07 20:00:00-04:00,81.97,82.50,81.69,82.44,218000
2018-08-08 20:00:00-04:00,82.40,82.59,81.88,81.98,243500
2018-08-09 20:00:00-04:00,81.25,81.68,80.60,81.12,436500
2018-08-12 20:00:00-04:00,81.05,81.43,80.65,80.84,253200
2018-08-13 20:00:00-04:00,81.04,81.85,80.94,81.58,294100
2018-08-14 20:00:00-04:00,81.06,81.52,80.97,81.32,305500
2018-08-15 20:00:00-04:00,81.74,82.61,81.64,82.39,330900
2018-08-16 20:00:00-04:00,82.22,82.74,82.08,82.59,505500
2018-08-19 20:00:00-04:00,82.80,83.02,82.55,82.75,324600
2018-08-20 20:00:00-04:00,82.93,83.91,82.77,83.54,368300
2018-08-21 20:00:00-04:00,83.34,83.62,82.86,83.14,438300
2018-08-22 20:00:00-04:00,83.09,83.09,82.00,82.19,276900
2018-08-23 20:00:00-04:00,82.46,82.84,82.31,82.82,216200
2018-08-26 20:00:00-04:00,82.89,83.69,82.89,83.08,554800
2018-08-27 20:00:00-04:00,83.28,83.39,82.30,82.66,513700
2018-08-28 20:00:00-04:00,82.70,82.81,81.78,82.54,366700
2018-08-29 20:00:00-04:00,82.47,82.52,82.05,82.15,270900
2018-08-30 20:00:00-04:00,82.09,82.39,81.69,82.35,395200
2018-09-03 20:00:00-04:00,82.25,82.78,81.99,82.64,338600
2018-09-04 20:00:00-04:00,82.60,83.73,82.60,83.45,406900
2018-09-05 20:00:00-04:00,83.40,83.79,82.88,82.99,334500
2018-09-06 20:00:00-04:00,83.03,83.10,82.50,82.79,411600
2018-09-09 20:00:00-04:00,79.98,79.98,76.62,79.11,1298700
2018-09-10 20:00:00-04:00,78.79,79.85,78.27,79.48,763000
2018-09-11 20:00:00-04:00,79.35,79.46,78.69,78.95,379000
2018-09-12 20:00:00-04:00,79.29,79.88,79.08,79.73,390700
2018-09-13 20:00:00-04:00,80.01,81.57,79.88,81.34,419400
2018-09-16 20:00:00-04:00,81.58,81.58,80.24,80.33,615300
2018-09-17 20:00:00-04:00,80.43,80.76,80.03,80.52,930200
2018-09-18 20:00:00-04:00,80.70,81.94,80.66,81.65,447600
2018-09-19 20:00:00-04:00,82.18,82.99,82.01,82.73,524600
2018-09-20 20:00:00-04:00,83.13,83.33,82.36,83.26,1098800
2018-09-23 20:00:00-04:00,83.25,83.32,82.47,82.51,525500
2018-09-24 20:00:00-04:00,82.76,83.01,81.80,82.02,487400
2018-09-25 20:00:00-04:00,82.18,82.28,80.93,81.07,446500
2018-09-26 20:00:00-04:00,80.78,81.34,80.47,80.80,406100
2018-09-27 20:00:00-04:00,80.63,81.47,80.17,81.20,456900
2018-09-30 20:00:00-04:00,81.69,81.99,80.67,81.04,388400
2018-10-01 20:00:00-04:00,81.03,81.41,80.19,81.29,297800
2018-10-02 20:00:00-04:00,81.91,82.34,81.42,81.69,628600
2018-10-03 20:00:00-04:00,81.94,82.80,81.94,82.55,506400
2018-10-04 20:00:00-04:00,82.67,83.08,81.88,82.03,575100
2018-10-07 20:00:00-04:00,81.77,83.64,81.35,83.23,706700
2018-10-08 20:00:00-04:00,83.02,83.78,82.57,83.37,421000
2018-10-09 20:00:00-04:00,83.48,84.09,81.92,81.97,634100
2018-10-10 20:00:00-04:00,81.78,81.82,78.42,78.43,884400
2018-10-11 20:00:00-04:00,79.16,79.43,77.22,78.80,809000
2018-10-14 20:00:00-04:00,78.62,79.44,78.40,78.62,628000
2018-10-15 20:00:00-04:00,79.03,79.53,78.15,79.52,1011400
2018-10-16 20:00:00-04:00,79.61,81.16,79.42,80.54,735400
2018-10-17 20:00:00-04:00,80.52,81.07,79.13,79.68,675400
2018-10-18 20:00:00-04:00,79.26,81.21,78.92,80.73,572200
2018-10-21 20:00:00-04:00,80.74,81.19,79.39,79.44,522600
2018-10-22 20:00:00-04:00,78.39,79.41,77.74,78.96,616900
2018-10-23 20:00:00-04:00,78.60,78.66,75.74,75.94,723400
2018-10-24 20:00:00-04:00,77.15,78.79,75.39,77.95,856400
2018-10-25 20:00:00-04:00,77.88,78.39,77.04,77.59,906000
2018-10-28 20:00:00-04:00,78.29,79.25,77.31,77.92,627600
2018-10-29 20:00:00-04:00,78.37,79.67,78.06,79.55,621700
2018-10-30 20:00:00-04:00,80.31,81.08,79.38,79.44,723700
2018-10-31 20:00:00-04:00,79.89,80.19,79.35,80.08,533400
2018-11-01 20:00:00-04:00,80.86,81.69,79.21,79.51,475800
2018-11-04 19:00:00-05:00,79.62,80.64,79.62,80.58,403300
2018-11-05 19:00:00-05:00,80.31,81.40,80.25,81.35,385900
2018-11-06 19:00:00-05:00,81.95,82.44,80.93,82.29,495600
2018-11-07 19:00:00-05:00,81.61,82.48,81.57,82.10,533400
2018-11-08 19:00:00-05:00,81.88,82.49,81.22,81.56,567900
2018-11-11 19:00:00-05:00,81.56,82.11,80.48,80.59,331200
2018-11-12 19:00:00-05:00,80.68,82.09,80.59,81.45,519200
2018-11-13 19:00:00-05:00,82.08,82.75,80.23,81.12,505300
2018-11-14 19:00:00-05:00,80.44,81.41,79.71,81.19,650100
2018-11-15 19:00:00-05:00,80.56,81.35,79.64,81.07,952700
2018-11-18 19:00:00-05:00,81.09,81.86,80.68,81.63,440300
2018-11-19 19:00:00-05:00,81.09,81.60,80.11,80.39,664000
2018-11-20 19:00:00-05:00,80.46,82.17,80.22,80.79,428300
2018-11-22 19:00:00-05:00,80.14,81.62,79.83,80.75,223900
2018-11-25 19:00:00-05:00,81.78,82.28,80.85,81.47,477000
2018-11-26 19:00:00-05:00,81.10,81.60,79.76,79.87,709800
2018-11-27 19:00:00-05:00,79.73,82.48,79.58,82.47,810100
2018-11-28 19:00:00-05:00,81.75,82.58,81.69,81.94,540900
2018-11-29 19:00:00-05:00,81.94,82.30,81.05,81.08,813600
2018-12-02 19:00:00-05:00,81.72,83.74,80.81,81.21,538300
2018-12-03 19:00:00-05:00,81.01,81.01,77.05,77.15,780900
2018-12-05 19:00:00-05:00,76.06,76.49,74.48,76.01,1093600
2018-12-06 19:00:00-05:00,75.91,77.23,75.00,75.30,782800
2018-12-09 19:00:00-05:00,75.21,75.33,72.60,74.05,629000
2018-12-10 19:00:00-05:00,74.93,75.26,73.04,73.24,861400
2018-12-11 19:00:00-05:00,74.48,74.70,73.36,73.71,907300
2018-12-12 19:00:00-05:00,73.87,74.33,72.79,73.21,1047300
2018-12-13 19:00:00-05:00,72.64,72.96,72.15,72.38,847700
2018-12-16 19:00:00-05:00,72.15,72.94,70.96,71.21,1111300
2018-12-17 19:00:00-05:00,71.37,72.43,70.95,71.15,685100
2018-12-18 19:00:00-05:00,71.07,72.20,69.54,69.85,839900
2018-12-19 19:00:00-05:00,69.38,70.11,68.54,69.27,716600
2018-12-20 19:00:00-05:00,68.98,70.47,67.92,68.06,1127800
2018-12-23 19:00:00-05:00,67.54,68.00,66.25,66.26,262100
2018-12-25 19:00:00-05:00,66.39,68.95,65.38,68.91,553000
2018-12-26 19:00:00-05:00,67.96,69.72,67.49,69.72,527200
2018-12-27 19:00:00-05:00,69.89,70.34,69.10,69.30,447700
2018-12-30 19:00:00-05:00,69.53,70.15,69.21,69.93,455600
2019-01-01 19:00:00-05:00,69.17,71.78,68.99,71.66,939100
2019-01-02 19:00:00-05:00,71.35,72.01,70.47,70.53,677600
2019-01-03 19:00:00-05:00,71.69,73.34,71.29,73.03,784100
2019-01-06 19:00:00-05:00,72.76,73.82,72.05,73.31,642100
2019-01-07 19:00:00-05:00,73.65,74.15,72.84,74.15,651800
2019-01-08 19:00:00-05:00,74.08,75.19,74.08,74.95,525100
2019-01-09 19:00:00-05:00,74.82,75.31,74.60,75.06,354400
2019-01-10 19:00:00-05:00,74.68,75.39,74.28,75.30,383300
2019-01-13 19:00:00-05:00,74.63,75.71,74.63,75.24,431500
2019-01-14 19:00:00-05:00,75.14,75.71,74.87,75.70,341900
2019-01-15 19:00:00-05:00,76.19,76.74,75.68,76.41,610300
2019-01-16 19:00:00-05:00,75.96,76.94,75.70,76.82,554500
2019-01-17 19:00:00-05:00,77.37,77.39,76.61,77.09,752300
2019-01-21 19:00:00-05:00,76.82,77.28,76.00,76.23,670200
2019-01-22 19:00:00-05:00,76.54,76.89,75.85,76.80,535200
2019-01-23 19:00:00-05:00,76.66,77.79,76.64,77.59,406500
2019-01-24 19:00:00-05:00,78.35,78.88,77.79,78.30,427900
2019-01-27 19:00:00-05:00,77.68,78.33,77.20,77.99,426500
2019-01-28 19:00:00-05:00,77.92,78.22,77.38,77.44,338400
2019-01-29 19:00:00-05:00,77.49,78.33,76.52,77.87,423100
2019-01-30 19:00:00-05:00,77.40,78.88,77.15,78.76,469100
2019-01-31 19:00:00-05:00,79.00,79.29,78.51,79.03,422700
2019-02-03 19:00:00-05:00,78.98,79.14,78.13,78.50,582400
2019-02-04 19:00:00-05:00,78.70,78.70,77.79,78.50,585200
2019-02-05 19:00:00-05:00,77.91,79.47,76.67,77.25,740500
2019-02-06 19:00:00-05:00,76.78,77.54,75.89,76.65,695300
2019-02-07 19:00:00-05:00,76.25,76.71,74.94,76.18,474600
2019-02-10 19:00:00-05:00,76.55,76.62,75.38,76.53,347500
2019-02-11 19:00:00-05:00,77.17,78.09,77.12,77.80,525900
2019-02-12 19:00:00-05:00,78.04,78.63,77.54,77.65,398800
2019-02-13 19:00:00-05:00,76.95,77.45,76.50,76.95,463000
2019-02-14 19:00:00-05:00,77.69,78.43,77.52,78.38,642800
2019-02-18 19:00:00-05:00,78.09,78.72,77.69,78.65,431700
2019-02-19 19:00:00-05:00,78.66,79.02,78.22,79.00,386200
2019-02-20 19:00:00-05:00,79.04,79.21,78.06,78.23,462100
2019-02-21 19:00:00-05:00,78.45,78.45,77.81,77.99,486800
2019-02-24 19:00:00-05:00,78.46,78.46,77.56,77.69,423300
2019-02-25 19:00:00-05:00,77.37,78.22,77.37,77.68,326700
2019-02-26 19:00:00-05:00,77.59,78.07,77.51,77.80,345600
2019-02-27 19:00:00-05:00,77.75,78.12,77.47,77.63,503500
2019-02-28 19:00:00-05:00,78.15,78.69,77.83,77.92,591000
2019-03-03 19:00:00-05:00,78.06,78.55,76.82,77.51,516400
2019-03-04 19:00:00-05:00,77.74,78.11,76.89,77.62,405100
2019-03-05 19:00:00-05:00,77.51,77.73,76.90,76.91,307100
2019-03-06 19:00:00-05:00,76.63,76.64,75.65,76.40,545300
2019-03-07 19:00:00-05:00,75.86,76.39,75.70,76.31,517100
2019-03-10 20:00:00-04:00,76.58,77.24,76.42,77.19,578300
2019-03-11 20:00:00-04:00,77.42,77.69,77.25,77.41,495500
2019-03-12 20:00:00-04:00,77.81,78.20,77.26,77.63,571000
2019-03-13 20:00:00-04:00,77.59,77.78,77.12,77.75,521800
2019-03-14 20:00:00-04:00,77.69,78.38,77.49,78.15,932500
2019-03-17 20:00:00-04:00,78.44,79.49,78.38,79.00,592200
2019-03-18 20:00:00-04:00,79.36,79.60,78.32,78.43,509100
2019-03-19 20:00:00-04:00,78.43,78.48,76.92,77.03,686400
2019-03-20 20:00:00-04:00,76.61,77.62,76.09,77.45,464100
2019-03-21 20:00:00-04:00,76.77,76.91,75.46,75.52,772700
2019-03-24 20:00:00-04:00,75.55,76.52,75.36,76.02,438200
2019-03-25 20:00:00-04:00,76.60,77.08,76.34,76.98,361000
2019-03-26 20:00:00-04:00,76.87,77.50,76.81,77.06,395900
2019-03-27 20:00:00-04:00,77.17,77.57,76.17,76.92,477700
2019-03-28 20:00:00-04:00,77.48,77.73,76.85,77.06,603200
2019-03-31 20:00:00-04:00,77.50,79.20,77.50,79.14,685300
2019-04-01 20:00:00-04:00,79.07,79.51,78.58,78.86,633400
2019-04-02 20:00:00-04:00,79.53,79.96,79.33,79.64,548700
2019-04-03 20:00:00-04:00,79.68,80.39,79.44,79.69,294300
2019-04-04 20:00:00-04:00,79.70,80.41,79.36,80.39,606700
2019-04-07 20:00:00-04:00,80.22,80.62,80.17,80.52,408300
2019-04-08 20:00:00-04:00,80.03,80.06,79.24,79.36,376000
2019-04-09 20:00:00-04:00,79.41,80.23,79.24,80.11,350500
2019-04-10 20:00:00-04:00,80.38,81.16,80.05,80.51,423800
2019-04-11 20:00:00-04:00,81.52,82.10,81.09,81.82,370500
2019-04-14 20:00:00-04:00,81.63,82.13,80.99,81.15,351000
2019-04-15 20:00:00-04:00,81.48,82.27,81.40,82.07,397100
2019-04-16 20:00:00-04:00,82.44,82.44,81.23,81.28,703000
2019-04-17 20:00:00-04:00,81.51,86.01,81.51,83.61,1051900
