Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,308.76,308.92,292.17,300.08,1260400
2022-04-06 20:00:00-04:00,297.18,300.59,293.23,296.96,575900
2022-04-07 20:00:00-04:00,296.16,296.16,286.59,287.41,665800
2022-04-10 20:00:00-04:00,285.00,296.00,276.62,277.40,871600
2022-04-11 20:00:00-04:00,275.29,284.57,263.15,264.90,1382900
2022-04-12 20:00:00-04:00,265.01,268.36,261.69,268.09,1066900
2022-04-13 20:00:00-04:00,269.43,269.71,250.06,251.19,1245900
2022-04-17 20:00:00-04:00,250.00,251.00,245.40,249.27,979800
2022-04-18 20:00:00-04:00,248.87,268.94,247.56,267.20,970800
2022-04-19 20:00:00-04:00,270.00,270.88,258.07,259.73,831200
2022-04-20 20:00:00-04:00,261.53,262.72,233.03,241.00,1598900
2022-04-21 20:00:00-04:00,242.23,248.66,236.93,237.98,869700
2022-04-24 20:00:00-04:00,234.03,245.36,232.01,245.34,885000
2022-04-25 20:00:00-04:00,243.78,244.85,228.88,229.95,1198700
2022-04-26 20:00:00-04:00,231.00,238.97,229.94,230.32,850700
2022-04-27 20:00:00-04:00,233.49,235.00,222.34,233.32,910800
2022-04-28 20:00:00-04:00,232.72,237.22,218.93,219.38,819200
2022-05-01 20:00:00-04:00,218.70,226.81,217.11,226.69,1060000
2022-05-02 20:00:00-04:00,225.02,238.35,223.72,234.17,1409700
2022-05-03 20:00:00-04:00,244.55,268.58,237.82,261.78,2392700
2022-05-04 20:00:00-04:00,261.27,267.17,254.20,260.52,1509800
2022-05-05 20:00:00-04:00,257.71,257.71,237.07,241.69,1231500
2022-05-08 20:00:00-04:00,235.40,237.42,223.29,227.44,1216000
2022-05-09 20:00:00-04:00,232.18,233.88,212.10,223.33,1322800
2022-05-10 20:00:00-04:00,220.74,223.14,203.89,204.62,1184800
2022-05-11 20:00:00-04:00,200.00,221.59,197.94,214.03,1567000
2022-05-12 20:00:00-04:00,218.48,228.12,218.48,226.49,878800
2022-05-15 20:00:00-04:00,222.90,229.08,218.96,219.84,510200
2022-05-16 20:00:00-04:00,225.00,227.26,217.58,225.91,885400
2022-05-17 20:00:00-04:00,220.91,226.76,206.74,209.81,1071600
2022-05-18 20:00:00-04:00,208.80,228.71,207.96,223.69,1134300
2022-05-19 20:00:00-04:00,224.59,226.88,208.55,220.84,1062000
2022-05-22 20:00:00-04:00,225.22,231.25,218.00,230.67,1103200
2022-05-23 20:00:00-04:00,225.06,226.50,211.67,215.63,1204100
2022-05-24 20:00:00-04:00,219.05,234.03,216.32,231.22,1256200
2022-05-25 20:00:00-04:00,231.16,244.00,230.44,241.24,1225500
2022-05-26 20:00:00-04:00,250.48,259.22,247.74,256.17,1344600
2022-05-30 20:00:00-04:00,255.00,256.85,243.81,247.08,1917900
2022-05-31 20:00:00-04:00,250.68,255.95,241.01,243.86,745900
2022-06-01 20:00:00-04:00,249.79,271.60,249.16,268.95,1276600
2022-06-02 20:00:00-04:00,260.51,274.86,258.16,268.88,774900
2022-06-05 20:00:00-04:00,275.93,287.72,275.86,284.34,1358300
2022-06-06 20:00:00-04:00,280.00,293.33,278.13,292.78,943100
2022-06-07 20:00:00-04:00,292.05,299.85,287.43,290.18,911900
2022-06-08 20:00:00-04:00,286.99,291.51,277.76,277.87,957200
2022-06-09 20:00:00-04:00,269.79,272.11,256.44,261.50,1232300
2022-06-12 20:00:00-04:00,249.59,251.87,240.01,244.52,1296700
2022-06-13 20:00:00-04:00,245.26,247.21,237.22,240.15,839600
2022-06-14 20:00:00-04:00,242.95,254.07,240.54,248.54,792900
2022-06-15 20:00:00-04:00,239.40,242.77,222.09,223.99,1343900
2022-06-16 20:00:00-04:00,223.01,228.13,217.87,220.25,1616400
2022-06-20 20:00:00-04:00,224.25,235.44,219.84,219.98,1469400
2022-06-21 20:00:00-04:00,203.36,214.63,203.00,212.57,3080500
2022-06-22 20:00:00-04:00,213.56,222.46,206.44,221.91,1243400
2022-06-23 20:00:00-04:00,223.00,224.87,217.12,224.55,1137800
2022-06-26 20:00:00-04:00,228.08,231.94,223.47,223.57,861100
2022-06-27 20:00:00-04:00,225.36,228.91,216.46,217.02,647800
2022-06-28 20:00:00-04:00,218.73,218.73,208.92,214.61,753400
2022-06-29 20:00:00-04:00,209.87,213.96,206.36,210.58,866400
2022-06-30 20:00:00-04:00,213.81,221.90,213.00,217.51,666500
2022-07-04 20:00:00-04:00,212.89,218.57,206.68,216.69,1005300
2022-07-05 20:00:00-04:00,217.21,221.38,212.00,217.18,714100
2022-07-06 20:00:00-04:00,219.98,231.45,219.98,230.29,683300
2022-07-07 20:00:00-04:00,225.93,231.43,222.25,230.56,845500
2022-07-10 20:00:00-04:00,227.06,228.89,220.44,222.83,514700
2022-07-11 20:00:00-04:00,222.58,225.57,219.00,219.32,694600
2022-07-12 20:00:00-04:00,214.05,221.41,211.98,218.54,485000
2022-07-13 20:00:00-04:00,213.80,215.00,207.56,208.60,1084900
2022-07-14 20:00:00-04:00,208.08,215.46,201.85,215.06,833400
2022-07-17 20:00:00-04:00,221.79,227.98,220.03,223.70,1024700
2022-07-18 20:00:00-04:00,226.85,231.85,224.33,230.58,763100
2022-07-19 20:00:00-04:00,233.99,250.38,232.30,249.20,1166800
2022-07-20 20:00:00-04:00,247.26,252.55,243.05,249.88,666800
2022-07-21 20:00:00-04:00,248.99,251.76,236.90,239.93,719500
2022-07-24 20:00:00-04:00,240.50,240.86,234.55,238.54,438500
