Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,71.13,72.47,70.55,72.01,1072100
2022-04-06 20:00:00-04:00,72.01,72.12,70.19,71.37,1529300
2022-04-07 20:00:00-04:00,71.36,71.97,70.76,71.10,793100
2022-04-10 20:00:00-04:00,70.91,72.07,70.37,70.46,925000
2022-04-11 20:00:00-04:00,70.89,71.72,69.66,69.75,769900
2022-04-12 20:00:00-04:00,70.25,70.82,70.12,70.63,715800
2022-04-13 20:00:00-04:00,70.89,71.98,70.89,71.82,1668600
2022-04-17 20:00:00-04:00,71.71,71.85,69.99,70.40,1029600
2022-04-18 20:00:00-04:00,70.36,74.73,70.28,74.03,2246200
2022-04-19 20:00:00-04:00,74.57,75.00,73.44,74.75,1484400
2022-04-20 20:00:00-04:00,75.24,75.77,74.26,74.55,1366800
2022-04-21 20:00:00-04:00,74.58,75.04,73.56,74.11,1318100
2022-04-24 20:00:00-04:00,74.14,75.82,73.37,75.46,1219800
2022-04-25 20:00:00-04:00,74.77,75.43,74.14,74.38,1232800
2022-04-26 20:00:00-04:00,74.79,77.11,74.77,76.36,1938600
2022-04-27 20:00:00-04:00,76.79,77.98,74.48,76.24,1364900
2022-04-28 20:00:00-04:00,76.07,76.65,74.59,74.80,1510300
2022-05-01 20:00:00-04:00,74.64,76.21,74.34,76.16,1066500
2022-05-02 20:00:00-04:00,76.48,78.55,76.47,78.29,1162500
2022-05-03 20:00:00-04:00,78.34,80.03,77.62,79.97,1048500
2022-05-04 20:00:00-04:00,78.97,79.31,77.23,78.21,1062000
2022-05-05 20:00:00-04:00,77.83,78.72,76.91,78.07,1104600
2022-05-08 20:00:00-04:00,77.21,78.25,75.16,75.17,1366900
2022-05-09 20:00:00-04:00,76.17,76.35,74.07,75.27,1409800
2022-05-10 20:00:00-04:00,75.25,76.45,73.89,74.40,1301500
2022-05-11 20:00:00-04:00,73.95,76.08,73.95,76.03,974500
2022-05-12 20:00:00-04:00,76.74,78.46,76.48,78.23,897800
2022-05-15 20:00:00-04:00,77.91,78.40,77.23,77.46,711200
2022-05-16 20:00:00-04:00,77.67,78.62,77.22,78.62,739400
2022-05-17 20:00:00-04:00,77.99,78.29,76.80,77.06,843900
2022-05-18 20:00:00-04:00,76.40,77.17,73.56,73.69,1130300
2022-05-19 20:00:00-04:00,73.98,74.22,68.56,71.94,2960800
2022-05-22 20:00:00-04:00,72.20,72.55,70.84,72.16,1318200
2022-05-23 20:00:00-04:00,71.58,71.77,69.24,69.32,1134800
2022-05-24 20:00:00-04:00,69.05,71.22,68.88,70.98,879000
2022-05-25 20:00:00-04:00,71.38,73.48,71.38,73.04,902000
2022-05-26 20:00:00-04:00,73.37,74.17,73.21,73.96,905400
2022-05-30 20:00:00-04:00,73.95,76.73,72.91,76.23,1995700
2022-05-31 20:00:00-04:00,76.36,77.74,75.71,75.98,1203700
2022-06-01 20:00:00-04:00,76.52,76.72,75.49,76.33,812900
2022-06-02 20:00:00-04:00,76.00,76.25,74.69,75.42,577600
2022-06-05 20:00:00-04:00,75.86,76.06,74.90,75.23,472200
2022-06-06 20:00:00-04:00,74.54,75.57,73.89,75.44,726000
2022-06-07 20:00:00-04:00,75.24,75.81,74.64,75.02,626900
2022-06-08 20:00:00-04:00,74.97,75.70,74.13,74.14,657300
2022-06-09 20:00:00-04:00,73.14,73.23,72.11,72.13,688500
2022-06-12 20:00:00-04:00,70.72,71.22,68.59,69.03,997800
2022-06-13 20:00:00-04:00,68.94,69.10,68.09,68.59,1090400
2022-06-14 20:00:00-04:00,68.64,70.40,68.64,69.44,998800
2022-06-15 20:00:00-04:00,68.13,68.60,66.79,67.11,1125000
2022-06-16 20:00:00-04:00,67.09,68.68,66.52,68.04,1740600
2022-06-20 20:00:00-04:00,68.70,70.42,68.08,70.04,904300
2022-06-21 20:00:00-04:00,69.50,70.79,69.27,69.88,815500
2022-06-22 20:00:00-04:00,70.23,70.83,69.92,70.55,649700
2022-06-23 20:00:00-04:00,71.01,72.98,71.01,72.82,1208400
2022-06-26 20:00:00-04:00,73.05,73.40,72.03,72.75,607000
2022-06-27 20:00:00-04:00,73.09,73.47,71.44,71.51,429200
2022-06-28 20:00:00-04:00,71.36,71.66,70.76,71.25,489200
2022-06-29 20:00:00-04:00,70.50,70.54,69.15,69.55,872200
2022-06-30 20:00:00-04:00,69.22,69.27,67.72,69.10,1199300
2022-07-04 20:00:00-04:00,68.26,69.79,67.44,69.79,793100
2022-07-05 20:00:00-04:00,69.88,70.32,68.60,69.82,829100
2022-07-06 20:00:00-04:00,69.89,72.16,69.71,71.89,988200
2022-07-07 20:00:00-04:00,71.59,71.82,70.63,71.17,805800
2022-07-10 20:00:00-04:00,70.67,71.24,69.83,70.08,917200
2022-07-11 20:00:00-04:00,70.06,70.97,68.47,68.93,868000
2022-07-12 20:00:00-04:00,67.30,69.58,67.30,68.69,936400
2022-07-13 20:00:00-04:00,67.91,68.09,66.82,67.43,1117900
2022-07-14 20:00:00-04:00,67.82,68.03,66.07,67.28,1509000
2022-07-17 20:00:00-04:00,67.91,68.25,67.18,67.46,1579900
2022-07-18 20:00:00-04:00,67.36,69.49,65.49,67.93,2971500
2022-07-19 20:00:00-04:00,67.86,69.50,67.58,69.08,1841800
2022-07-20 20:00:00-04:00,69.31,72.26,68.36,72.03,1676500
2022-07-21 20:00:00-04:00,71.44,71.44,68.42,68.91,1261500
2022-07-24 20:00:00-04:00,68.99,69.04,66.37,66.81,1825200
2022-07-25 20:00:00-04:00,66.01,66.79,65.44,65.86,1719400
2022-07-26 20:00:00-04:00,65.71,66.84,65.35,66.80,1654100
2022-07-27 20:00:00-04:00,66.90,67.93,66.55,67.65,1136700
2022-07-28 20:00:00-04:00,67.78,68.05,67.10,67.45,2917900
2022-07-31 20:00:00-04:00,67.29,68.92,66.69,68.11,1277400
2022-08-01 20:00:00-04:00,68.01,68.10,67.29,67.31,744800
2022-08-02 20:00:00-04:00,67.44,67.99,66.62,67.75,1077200
2022-08-03 20:00:00-04:00,67.57,67.78,67.14,67.62,601000
2022-08-04 20:00:00-04:00,66.95,67.38,66.36,66.76,759900
2022-08-07 20:00:00-04:00,67.10,67.63,66.77,66.92,490400
2022-08-08 20:00:00-04:00,66.80,67.01,66.16,66.80,739600
2022-08-09 20:00:00-04:00,67.57,67.82,66.92,67.22,591900
2022-08-10 20:00:00-04:00,67.96,68.52,67.25,67.39,790800
2022-08-11 20:00:00-04:00,67.87,69.09,67.44,69.05,605700
