Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,65.98,67.26,65.82,66.44,1872100
2022-04-06 20:00:00-04:00,66.35,67.12,65.62,66.92,1720300
2022-04-07 20:00:00-04:00,67.45,68.80,66.85,68.47,1839300
2022-04-10 20:00:00-04:00,68.65,69.55,68.18,68.46,1631300
2022-04-11 20:00:00-04:00,68.82,69.83,68.56,68.73,1948100
2022-04-12 20:00:00-04:00,68.35,69.65,68.28,69.60,1401100
2022-04-13 20:00:00-04:00,69.67,70.20,69.18,69.23,1309300
2022-04-17 20:00:00-04:00,68.88,70.04,68.88,69.32,1300200
2022-04-18 20:00:00-04:00,69.55,70.07,66.71,67.86,2691200
2022-04-19 20:00:00-04:00,67.97,69.26,67.97,68.95,1450300
2022-04-20 20:00:00-04:00,69.90,70.20,67.39,67.53,2497500
2022-04-21 20:00:00-04:00,67.45,67.45,65.98,66.05,2390000
2022-04-24 20:00:00-04:00,65.63,66.03,64.22,65.95,2637300
2022-04-25 20:00:00-04:00,65.30,66.21,64.58,64.60,1379200
2022-04-26 20:00:00-04:00,64.76,65.41,64.37,64.65,2611900
2022-04-27 20:00:00-04:00,65.29,65.98,63.98,65.83,2324800
2022-04-28 20:00:00-04:00,64.89,67.11,63.95,64.59,3152800
2022-05-01 20:00:00-04:00,65.23,65.41,63.40,64.75,2786200
2022-05-02 20:00:00-04:00,65.26,66.44,64.58,65.28,2834000
2022-05-03 20:00:00-04:00,65.53,67.81,65.29,67.67,2090500
2022-05-04 20:00:00-04:00,66.95,67.71,65.85,66.52,1645600
2022-05-05 20:00:00-04:00,66.47,67.00,65.79,66.61,1583400
2022-05-08 20:00:00-04:00,66.11,66.63,65.14,65.40,2209100
2022-05-09 20:00:00-04:00,65.76,66.44,63.98,64.68,1874900
2022-05-10 20:00:00-04:00,64.76,66.04,64.42,64.47,1447100
2022-05-11 20:00:00-04:00,64.53,65.09,63.13,63.83,2233100
2022-05-12 20:00:00-04:00,64.22,64.86,63.68,64.24,2220800
2022-05-15 20:00:00-04:00,64.41,65.09,63.81,63.98,1603600
2022-05-16 20:00:00-04:00,64.77,65.56,64.57,65.56,1834900
2022-05-17 20:00:00-04:00,65.13,65.54,63.32,63.51,2262300
2022-05-18 20:00:00-04:00,62.82,63.78,61.86,62.29,2742900
2022-05-19 20:00:00-04:00,62.53,63.04,60.59,61.69,3690900
2022-05-22 20:00:00-04:00,62.86,63.90,62.16,63.39,2031800
2022-05-23 20:00:00-04:00,63.61,63.85,62.20,63.69,2276100
2022-05-24 20:00:00-04:00,63.61,65.05,63.27,64.52,1948800
2022-05-25 20:00:00-04:00,65.40,65.61,64.91,65.31,2619400
2022-05-26 20:00:00-04:00,65.34,67.19,65.03,67.15,1999200
2022-05-30 20:00:00-04:00,66.72,67.80,66.40,67.33,3083900
2022-05-31 20:00:00-04:00,67.49,67.52,65.48,66.19,2190100
2022-06-01 20:00:00-04:00,66.49,66.84,65.57,66.81,823200
2022-06-02 20:00:00-04:00,66.76,66.84,66.24,66.75,1197200
2022-06-05 20:00:00-04:00,67.26,67.89,66.61,67.58,1694800
2022-06-06 20:00:00-04:00,67.34,68.29,67.00,68.19,1223400
2022-06-07 20:00:00-04:00,67.85,67.85,66.54,66.67,1606900
2022-06-08 20:00:00-04:00,66.55,66.66,64.68,64.80,1748000
2022-06-09 20:00:00-04:00,63.54,64.07,63.00,63.41,1658000
2022-06-12 20:00:00-04:00,62.33,62.53,61.01,61.37,1814000
2022-06-13 20:00:00-04:00,61.66,62.43,61.31,61.85,1349800
2022-06-14 20:00:00-04:00,62.59,63.25,61.66,62.25,1819000
2022-06-15 20:00:00-04:00,60.97,61.06,59.32,59.77,2033000
2022-06-16 20:00:00-04:00,59.67,60.21,59.15,59.76,3690900
2022-06-20 20:00:00-04:00,60.86,60.95,60.01,60.42,1513400
2022-06-21 20:00:00-04:00,59.45,61.36,59.11,60.57,2103400
2022-06-22 20:00:00-04:00,60.69,60.72,57.95,58.33,1813200
2022-06-23 20:00:00-04:00,58.72,61.36,58.56,61.00,2649300
2022-06-26 20:00:00-04:00,61.16,61.43,60.42,61.07,1284200
2022-06-27 20:00:00-04:00,61.91,62.51,60.75,60.79,1238900
2022-06-28 20:00:00-04:00,61.09,61.10,60.19,60.29,1481100
2022-06-29 20:00:00-04:00,59.58,60.97,58.96,60.76,1951900
2022-06-30 20:00:00-04:00,60.81,61.70,59.91,61.51,1746900
2022-07-04 20:00:00-04:00,60.44,60.64,59.22,60.38,1965800
2022-07-05 20:00:00-04:00,60.28,61.14,59.81,60.72,1608800
2022-07-06 20:00:00-04:00,61.30,61.95,61.20,61.44,1555400
2022-07-07 20:00:00-04:00,61.78,62.12,60.94,60.98,1167100
2022-07-10 20:00:00-04:00,60.66,61.14,59.96,60.45,1698600
2022-07-11 20:00:00-04:00,60.02,61.30,59.96,60.29,1825100
2022-07-12 20:00:00-04:00,59.75,60.20,59.17,59.58,1235500
2022-07-13 20:00:00-04:00,58.13,58.37,57.19,57.24,2344300
2022-07-14 20:00:00-04:00,58.08,58.84,57.81,58.49,2009200
2022-07-17 20:00:00-04:00,58.81,59.43,57.19,57.49,1825500
2022-07-18 20:00:00-04:00,58.19,59.12,58.17,58.95,1479000
2022-07-19 20:00:00-04:00,58.80,59.15,58.41,58.77,1987200
2022-07-20 20:00:00-04:00,58.51,58.82,57.55,58.56,1542900
2022-07-21 20:00:00-04:00,58.73,59.51,58.51,59.23,1651500
2022-07-24 20:00:00-04:00,59.65,60.42,59.49,60.16,1366500
2022-07-25 20:00:00-04:00,59.84,60.29,59.53,59.77,1440700
2022-07-26 20:00:00-04:00,60.09,60.36,59.16,59.75,1886100
2022-07-27 20:00:00-04:00,59.64,59.87,57.80,58.36,3616300
2022-07-28 20:00:00-04:00,58.34,60.33,57.77,59.87,3690900
2022-07-31 20:00:00-04:00,59.11,59.46,58.30,58.90,2310800
2022-08-01 20:00:00-04:00,59.00,59.45,58.35,58.47,2666600
2022-08-02 20:00:00-04:00,58.73,59.18,58.10,58.92,1698400
2022-08-03 20:00:00-04:00,58.87,59.45,58.49,58.62,2076900
2022-08-04 20:00:00-04:00,58.63,59.78,58.47,59.58,2244300
2022-08-07 20:00:00-04:00,60.02,60.66,59.97,59.99,1513100
2022-08-08 20:00:00-04:00,60.40,61.20,60.40,61.07,2066200
2022-08-09 20:00:00-04:00,61.87,62.22,61.74,62.05,1217500
2022-08-10 20:00:00-04:00,62.42,63.12,62.42,62.83,1408500
2022-08-11 20:00:00-04:00,63.20,64.08,63.11,64.04,1709300
2022-08-14 20:00:00-04:00,63.34,64.11,63.24,63.96,1105100
2022-08-15 20:00:00-04:00,63.80,65.04,63.62,64.72,1573700
2022-08-16 20:00:00-04:00,64.04,64.67,63.99,64.43,1173500
2022-08-17 20:00:00-04:00,64.57,64.92,64.34,64.82,1211100
2022-08-18 20:00:00-04:00,64.77,64.77,63.58,63.90,1577800
2022-08-21 20:00:00-04:00,63.08,63.16,62.28,62.45,2756800
2022-08-22 20:00:00-04:00,62.56,62.79,62.16,62.38,2233100
2022-08-23 20:00:00-04:00,62.42,62.47,60.55,62.25,1632100
2022-08-24 20:00:00-04:00,62.44,62.90,62.00,62.85,1686600
2022-08-25 20:00:00-04:00,62.82,63.06,61.40,61.47,1233900
2022-08-28 20:00:00-04:00,61.12,61.60,60.29,61.04,1651000
2022-08-29 20:00:00-04:00,61.07,61.20,60.16,60.41,2034900
2022-08-30 20:00:00-04:00,60.64,60.95,60.06,60.07,2276500
2022-08-31 20:00:00-04:00,59.94,60.92,59.93,60.87,1354800
2022-09-01 20:00:00-04:00,61.49,62.16,60.40,60.71,1153200
2022-09-05 20:00:00-04:00,60.80,61.33,60.18,60.72,1793800
2022-09-06 20:00:00-04:00,60.64,61.45,60.35,61.42,1385600
2022-09-07 20:00:00-04:00,61.20,62.25,60.99,62.00,1795000
2022-09-08 20:00:00-04:00,62.27,62.93,62.04,62.61,1334200
2022-09-11 20:00:00-04:00,62.93,63.65,62.87,63.33,1517700
2022-09-12 20:00:00-04:00,62.48,62.82,61.73,61.95,1714600
2022-09-13 20:00:00-04:00,62.03,62.34,60.77,61.34,1561000
2022-09-14 20:00:00-04:00,61.43,62.23,61.08,61.37,1786900
2022-09-15 20:00:00-04:00,61.06,61.20,60.43,61.05,3239600
2022-09-18 20:00:00-04:00,60.50,61.61,60.27,61.49,1072200
2022-09-19 20:00:00-04:00,61.14,61.21,59.88,60.68,1741900
2022-09-20 20:00:00-04:00,61.12,61.18,58.87,58.92,1434200
2022-09-21 20:00:00-04:00,58.92,58.93,57.86,58.28,1585700
2022-09-22 20:00:00-04:00,57.68,58.00,56.88,57.84,1927400
2022-09-25 20:00:00-04:00,57.46,58.07,56.21,56.64,2048000
2022-09-26 20:00:00-04:00,57.01,57.98,56.78,57.89,2244400
2022-09-27 20:00:00-04:00,58.04,59.34,57.85,58.91,1956500
2022-09-28 20:00:00-04:00,58.45,58.71,57.82,58.52,2117800
2022-09-29 20:00:00-04:00,58.52,58.99,57.86,57.86,1791700
