Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,76.52,77.32,75.57,77.31,3065800
2018-07-02 20:00:00-04:00,77.42,77.81,77.02,77.45,1719600
2018-07-04 20:00:00-04:00,77.65,77.93,76.87,77.69,3350600
2018-07-05 20:00:00-04:00,77.53,78.96,77.40,78.54,2278500
2018-07-08 20:00:00-04:00,78.97,79.63,78.54,78.91,2949900
2018-07-09 20:00:00-04:00,78.91,80.22,78.85,79.24,2915100
2018-07-10 20:00:00-04:00,78.48,78.96,78.01,78.58,3803800
2018-07-11 20:00:00-04:00,78.96,79.09,78.33,78.96,3367900
2018-07-12 20:00:00-04:00,78.95,79.12,78.64,78.93,2124700
2018-07-15 20:00:00-04:00,79.14,79.14,77.78,78.07,2285600
2018-07-16 20:00:00-04:00,78.20,79.13,77.79,79.03,3353300
2018-07-17 20:00:00-04:00,79.17,81.16,79.17,80.87,5303800
2018-07-18 20:00:00-04:00,80.91,81.39,79.91,80.08,2773400
2018-07-19 20:00:00-04:00,79.89,80.63,79.53,79.90,2435600
2018-07-22 20:00:00-04:00,79.94,80.19,79.49,79.56,3686800
2018-07-23 20:00:00-04:00,79.60,79.78,77.68,78.47,4260700
2018-07-24 20:00:00-04:00,78.06,78.53,75.69,78.35,5891600
2018-07-25 20:00:00-04:00,77.91,78.66,77.28,77.61,2774500
2018-07-26 20:00:00-04:00,77.90,78.19,76.22,76.48,2683400
2018-07-29 20:00:00-04:00,76.17,76.62,75.13,75.34,3132200
2018-07-30 20:00:00-04:00,75.47,76.85,75.46,76.68,2744000
2018-07-31 20:00:00-04:00,77.21,77.47,76.26,76.57,2667200
2018-08-01 20:00:00-04:00,75.90,76.47,75.18,76.47,3687600
2018-08-02 20:00:00-04:00,76.51,76.61,75.92,76.21,1969100
2018-08-05 20:00:00-04:00,76.10,76.29,75.62,76.17,3835100
2018-08-06 20:00:00-04:00,75.71,76.15,75.01,75.65,3777900
2018-08-07 20:00:00-04:00,75.71,76.14,74.26,74.96,2935100
2018-08-08 20:00:00-04:00,75.06,75.29,74.21,74.38,3906400
2018-08-09 20:00:00-04:00,74.32,74.64,73.64,73.89,3268300
2018-08-12 20:00:00-04:00,73.88,74.31,73.10,73.56,3066500
2018-08-13 20:00:00-04:00,73.86,74.96,73.30,74.76,2763700
2018-08-14 20:00:00-04:00,74.16,74.62,73.74,74.45,2919400
2018-08-15 20:00:00-04:00,75.13,76.11,74.80,75.45,3373600
2018-08-16 20:00:00-04:00,74.75,75.50,74.21,75.41,1964800
2018-08-19 20:00:00-04:00,75.40,75.74,74.35,74.52,2430700
2018-08-20 20:00:00-04:00,74.45,75.46,74.45,74.95,2324900
2018-08-21 20:00:00-04:00,74.76,75.61,74.61,75.41,2540500
2018-08-22 20:00:00-04:00,75.43,75.62,74.72,74.99,3009600
2018-08-23 20:00:00-04:00,74.99,75.80,74.99,75.32,2149200
2018-08-26 20:00:00-04:00,75.84,76.34,75.67,75.95,1865300
2018-08-27 20:00:00-04:00,76.12,76.20,75.38,75.67,1241700
2018-08-28 20:00:00-04:00,75.75,76.54,75.58,76.36,1831600
2018-08-29 20:00:00-04:00,76.36,76.37,75.48,75.78,1398100
2018-08-30 20:00:00-04:00,75.54,76.23,75.54,75.82,2496900
2018-09-03 20:00:00-04:00,75.83,75.90,74.89,75.37,1887000
2018-09-04 20:00:00-04:00,75.06,75.18,73.92,73.96,3076600
2018-09-05 20:00:00-04:00,74.14,74.47,73.41,73.93,4244200
2018-09-06 20:00:00-04:00,73.64,74.84,73.64,74.66,2974000
2018-09-09 20:00:00-04:00,75.01,75.24,74.39,74.81,2029700
2018-09-10 20:00:00-04:00,74.52,75.66,74.47,75.61,2774900
2018-09-11 20:00:00-04:00,75.46,76.26,75.27,76.15,3110900
2018-09-12 20:00:00-04:00,76.61,78.06,76.54,77.11,3745600
2018-09-13 20:00:00-04:00,77.21,78.36,77.20,78.20,3229500
2018-09-16 20:00:00-04:00,78.31,78.39,77.21,77.26,3395000
2018-09-17 20:00:00-04:00,77.36,77.79,77.12,77.55,2703400
2018-09-18 20:00:00-04:00,77.67,78.67,77.67,78.56,2327500
2018-09-19 20:00:00-04:00,78.79,79.45,78.31,79.20,3516900
2018-09-20 20:00:00-04:00,79.66,80.10,78.94,79.08,6034425
2018-09-23 20:00:00-04:00,78.82,78.84,77.70,78.30,2265300
2018-09-24 20:00:00-04:00,78.53,78.64,78.01,78.25,2533300
2018-09-25 20:00:00-04:00,78.42,79.22,78.06,78.79,2168200
2018-09-26 20:00:00-04:00,78.50,80.27,78.46,80.13,2654100
2018-09-27 20:00:00-04:00,79.87,79.91,78.82,78.90,4263000
2018-09-30 20:00:00-04:00,79.45,79.45,76.56,76.57,4116900
2018-10-01 20:00:00-04:00,76.51,77.06,75.26,75.29,4398400
2018-10-02 20:00:00-04:00,75.59,75.77,74.72,74.77,4619600
2018-10-03 20:00:00-04:00,74.79,74.98,72.84,73.66,4779400
2018-10-04 20:00:00-04:00,73.71,74.03,71.81,72.65,3622200
2018-10-07 20:00:00-04:00,72.51,73.29,71.91,73.21,5211700
2018-10-08 20:00:00-04:00,73.26,73.90,73.04,73.48,6034425
2018-10-09 20:00:00-04:00,72.93,73.45,71.60,71.69,6034425
2018-10-10 20:00:00-04:00,71.50,71.83,70.40,71.40,5937600
2018-10-11 20:00:00-04:00,72.52,72.62,71.03,71.91,3676400
2018-10-14 20:00:00-04:00,71.64,71.90,71.27,71.29,2994000
2018-10-15 20:00:00-04:00,71.84,72.95,71.31,72.90,1927400
2018-10-16 20:00:00-04:00,72.75,73.22,71.98,72.79,1777700
2018-10-17 20:00:00-04:00,72.80,72.80,70.27,70.38,3723200
2018-10-18 20:00:00-04:00,70.13,70.34,68.86,69.02,6034425
2018-10-21 20:00:00-04:00,68.98,69.32,68.39,68.53,4126100
2018-10-22 20:00:00-04:00,67.27,67.84,65.32,67.27,6034425
2018-10-23 20:00:00-04:00,67.57,68.99,62.28,62.34,6034425
2018-10-24 20:00:00-04:00,65.20,66.64,64.48,65.98,6034425
2018-10-25 20:00:00-04:00,65.61,67.96,64.82,66.68,5634300
2018-10-28 20:00:00-04:00,67.32,68.39,66.11,67.01,6034425
2018-10-29 20:00:00-04:00,67.01,68.01,66.28,67.10,3200500
2018-10-30 20:00:00-04:00,68.31,70.74,68.07,69.52,5039300
2018-10-31 20:00:00-04:00,69.82,71.27,69.58,70.96,3044300
2018-11-01 20:00:00-04:00,71.46,72.40,70.45,71.13,2982300
2018-11-04 19:00:00-05:00,70.80,70.96,70.09,70.72,2633100
2018-11-05 19:00:00-05:00,69.65,70.08,67.93,68.95,3991600
2018-11-06 19:00:00-05:00,69.48,71.29,69.40,71.27,2263300
2018-11-07 19:00:00-05:00,70.95,71.22,70.02,70.49,2369400
2018-11-08 19:00:00-05:00,70.19,70.61,69.26,69.65,3249400
2018-11-11 19:00:00-05:00,69.65,69.89,68.55,68.70,4186300
2018-11-12 19:00:00-05:00,69.16,70.28,68.73,69.36,2346600
2018-11-13 19:00:00-05:00,70.04,70.75,69.29,69.57,3790700
2018-11-14 19:00:00-05:00,69.03,71.44,68.86,71.34,4069800
2018-11-15 19:00:00-05:00,70.79,71.78,70.67,71.49,4737900
2018-11-18 19:00:00-05:00,71.38,71.63,69.13,69.69,4401500
2018-11-19 19:00:00-05:00,68.68,70.28,68.33,69.97,5740100
2018-11-20 19:00:00-05:00,70.44,71.72,70.05,71.03,2499500
2018-11-22 19:00:00-05:00,70.67,71.89,70.67,71.57,1095300
2018-11-25 19:00:00-05:00,72.29,73.64,72.21,73.50,3508400
2018-11-26 19:00:00-05:00,72.94,74.27,72.94,73.58,5549600
2018-11-27 19:00:00-05:00,73.65,75.44,73.42,75.32,4285900
2018-11-28 19:00:00-05:00,75.20,75.36,74.23,74.84,1970300
2018-11-29 19:00:00-05:00,74.14,74.75,73.11,73.94,4767500
2018-12-02 19:00:00-05:00,75.36,76.51,75.02,76.32,2836500
2018-12-03 19:00:00-05:00,75.93,76.15,73.30,73.56,4194200
2018-12-05 19:00:00-05:00,72.11,74.03,71.75,73.99,2342900
2018-12-06 19:00:00-05:00,73.64,74.33,70.84,71.31,3067700
2018-12-09 19:00:00-05:00,71.46,72.17,69.98,71.13,3278000
2018-12-10 19:00:00-05:00,72.54,72.84,70.46,70.86,3296400
2018-12-11 19:00:00-05:00,71.83,72.98,71.17,71.24,2004500
2018-12-12 19:00:00-05:00,71.68,71.76,70.53,70.69,1785200
2018-12-13 19:00:00-05:00,69.92,71.46,69.92,70.34,2524300
2018-12-16 19:00:00-05:00,70.23,71.44,68.38,68.78,4462400
2018-12-17 19:00:00-05:00,69.29,69.92,68.59,68.99,2402000
2018-12-18 19:00:00-05:00,69.26,70.58,67.48,68.18,4020800
2018-12-19 19:00:00-05:00,67.12,67.61,65.11,66.07,4862900
2018-12-20 19:00:00-05:00,66.45,67.08,64.35,65.06,5417300
2018-12-23 19:00:00-05:00,64.66,66.36,64.25,65.10,2015800
2018-12-25 19:00:00-05:00,65.37,68.10,64.87,68.04,2606200
2018-12-26 19:00:00-05:00,67.16,68.86,66.34,68.84,2203300
2018-12-27 19:00:00-05:00,69.42,70.30,68.89,69.44,2165800
2018-12-30 19:00:00-05:00,69.89,70.51,69.27,70.28,2138700
2019-01-01 19:00:00-05:00,69.19,69.92,68.66,69.43,3629500
2019-01-02 19:00:00-05:00,68.96,69.12,65.75,65.87,5629200
2019-01-03 19:00:00-05:00,66.96,68.56,66.80,68.46,4110700
2019-01-06 19:00:00-05:00,68.22,69.85,67.65,69.24,3171200
2019-01-07 19:00:00-05:00,70.24,70.60,69.33,70.34,6034425
2019-01-08 19:00:00-05:00,70.38,70.81,69.42,69.53,1760900
2019-01-09 19:00:00-05:00,69.00,70.97,68.74,70.54,2409600
2019-01-10 19:00:00-05:00,69.97,70.68,69.74,70.36,2191200
2019-01-13 19:00:00-05:00,69.89,70.24,69.09,69.48,2943300
2019-01-14 19:00:00-05:00,69.68,70.97,69.45,70.96,2376300
2019-01-15 19:00:00-05:00,71.18,71.65,70.48,70.51,3326000
2019-01-16 19:00:00-05:00,70.09,70.90,69.89,70.47,2579300
2019-01-17 19:00:00-05:00,70.97,71.75,70.66,71.53,2561400
2019-01-21 19:00:00-05:00,71.18,71.56,69.24,69.50,3260500
2019-01-22 19:00:00-05:00,69.84,70.34,68.67,69.23,3359500
2019-01-23 19:00:00-05:00,69.35,69.73,68.82,69.55,2560200
2019-01-24 19:00:00-05:00,70.29,70.53,69.39,70.24,3155900
2019-01-27 19:00:00-05:00,69.69,71.44,69.69,70.78,1919500
2019-01-28 19:00:00-05:00,70.77,71.72,70.27,71.60,1766200
2019-01-29 19:00:00-05:00,72.08,73.08,71.78,72.56,3939200
2019-01-30 19:00:00-05:00,72.57,73.59,72.24,72.90,2533900
2019-01-31 19:00:00-05:00,72.83,73.45,72.38,72.84,3478200
2019-02-03 19:00:00-05:00,72.92,73.35,72.57,73.14,3136600
2019-02-04 19:00:00-05:00,73.21,73.57,72.84,73.04,2088800
2019-02-05 19:00:00-05:00,73.05,74.14,73.05,73.97,2061400
2019-02-06 19:00:00-05:00,73.20,73.42,71.94,73.10,2444900
2019-02-07 19:00:00-05:00,72.50,73.13,71.92,72.34,2723500
2019-02-10 19:00:00-05:00,72.54,73.49,72.51,72.82,3526900
2019-02-11 19:00:00-05:00,73.08,73.63,72.36,72.74,3117400
2019-02-12 19:00:00-05:00,75.95,78.02,75.60,77.69,5722900
2019-02-13 19:00:00-05:00,77.99,78.57,76.92,78.46,3729900
2019-02-14 19:00:00-05:00,79.28,80.40,79.04,80.02,3387400
2019-02-18 19:00:00-05:00,79.41,80.44,79.21,79.66,3863800
2019-02-19 19:00:00-05:00,80.12,81.71,79.37,81.57,4124100
2019-02-20 19:00:00-05:00,81.46,82.00,80.64,81.48,2199600
2019-02-21 19:00:00-05:00,81.75,83.56,81.45,83.23,2639200
2019-02-24 19:00:00-05:00,83.83,84.05,81.65,81.78,2244800
2019-02-25 19:00:00-05:00,81.79,83.04,81.57,81.72,2368600
2019-02-26 19:00:00-05:00,81.39,82.05,81.27,81.72,2241400
2019-02-27 19:00:00-05:00,81.32,81.92,81.15,81.48,1796800
2019-02-28 19:00:00-05:00,82.30,82.71,81.59,82.15,1972000
2019-03-03 19:00:00-05:00,82.64,82.76,80.89,81.76,2265100
2019-03-04 19:00:00-05:00,81.98,82.50,81.52,82.38,1773500
2019-03-05 19:00:00-05:00,82.49,82.85,82.05,82.33,1713400
2019-03-06 19:00:00-05:00,82.00,82.14,80.70,81.31,2269500
2019-03-07 19:00:00-05:00,80.67,80.98,80.07,80.85,1970000
2019-03-10 20:00:00-04:00,81.16,81.37,80.51,81.19,2246300
2019-03-11 20:00:00-04:00,81.51,81.97,80.75,81.79,2266900
2019-03-12 20:00:00-04:00,82.19,83.08,81.81,82.04,2345300
2019-03-13 20:00:00-04:00,82.87,83.41,82.13,83.35,2363100
2019-03-14 20:00:00-04:00,83.35,84.41,83.34,84.09,3775200
2019-03-17 20:00:00-04:00,84.45,85.40,84.22,84.53,1983500
2019-03-18 20:00:00-04:00,84.72,85.21,83.91,84.03,1433000
2019-03-19 20:00:00-04:00,84.10,84.10,82.70,83.27,2879700
2019-03-20 20:00:00-04:00,82.85,84.15,82.73,84.12,2076200
2019-03-21 20:00:00-04:00,83.71,83.91,82.59,82.92,3209500
2019-03-24 20:00:00-04:00,83.00,83.07,82.01,82.39,1488500
2019-03-25 20:00:00-04:00,82.52,82.52,81.28,81.88,3342400
2019-03-26 20:00:00-04:00,81.88,82.18,80.13,80.85,3627200
2019-03-27 20:00:00-04:00,80.99,81.76,80.93,81.59,1965800
2019-03-28 20:00:00-04:00,81.31,82.22,81.27,81.49,2857100
2019-03-31 20:00:00-04:00,82.31,83.22,81.90,82.51,3434400
2019-04-01 20:00:00-04:00,82.46,83.56,82.23,83.39,3389100
2019-04-02 20:00:00-04:00,83.95,85.34,83.67,85.10,2853800
2019-04-03 20:00:00-04:00,85.46,85.93,85.13,85.61,2016100
2019-04-04 20:00:00-04:00,85.75,86.38,85.50,85.74,2618400
2019-04-07 20:00:00-04:00,86.02,86.53,85.40,86.46,1561400
2019-04-08 20:00:00-04:00,86.15,86.42,85.24,85.41,2480400
2019-04-09 20:00:00-04:00,85.49,86.38,85.36,86.28,1039600
2019-04-10 20:00:00-04:00,86.56,86.96,86.25,86.81,1696600
2019-04-11 20:00:00-04:00,87.17,87.60,86.52,87.00,1337400
2019-04-14 20:00:00-04:00,87.20,87.28,86.03,86.45,1371900
2019-04-15 20:00:00-04:00,86.67,86.90,86.38,86.43,1619400
2019-04-16 20:00:00-04:00,86.79,87.02,85.99,86.05,2058900
2019-04-17 20:00:00-04:00,85.97,86.01,84.34,85.53,1717600
2019-04-21 20:00:00-04:00,85.06,86.33,84.66,86.20,2225000
2019-04-22 20:00:00-04:00,86.16,86.81,85.84,86.20,2799300
2019-04-23 20:00:00-04:00,85.42,86.29,85.16,85.80,3268700
2019-04-24 20:00:00-04:00,85.63,86.34,85.52,85.93,1156000
2019-04-25 20:00:00-04:00,86.23,86.79,85.74,86.30,2292300
2019-04-28 20:00:00-04:00,86.74,86.74,85.43,85.55,3069400
2019-04-29 20:00:00-04:00,85.81,86.21,84.92,85.30,4313400
2019-04-30 20:00:00-04:00,89.09,91.90,88.47,90.80,5930600
2019-05-01 20:00:00-04:00,90.65,90.93,88.72,89.46,2553900
2019-05-02 20:00:00-04:00,89.84,91.64,89.65,91.51,2559100
2019-05-05 20:00:00-04:00,89.51,90.88,89.25,90.50,2378800
2019-05-06 20:00:00-04:00,89.56,90.24,88.19,88.73,1894000
2019-05-07 20:00:00-04:00,88.43,89.30,88.19,88.94,2273000
2019-05-08 20:00:00-04:00,88.29,89.66,88.01,89.37,1773700
2019-05-09 20:00:00-04:00,88.62,90.09,87.97,89.75,1782300
2019-05-12 20:00:00-04:00,88.24,88.47,87.17,87.63,1929200
2019-05-13 20:00:00-04:00,88.19,90.57,88.19,89.96,2260200
2019-05-14 20:00:00-04:00,89.72,92.17,89.32,91.83,2264700
2019-05-15 20:00:00-04:00,92.14,92.95,91.99,92.37,1600700
2019-05-16 20:00:00-04:00,91.12,91.77,90.96,91.27,1710200
2019-05-19 20:00:00-04:00,90.47,90.65,89.47,89.83,2462800
