Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,77.31,78.51,76.96,78.34,1559400
2022-04-06 20:00:00-04:00,77.94,79.99,77.64,79.47,2080700
2022-04-07 20:00:00-04:00,79.75,80.49,78.88,79.99,1659100
2022-04-10 20:00:00-04:00,79.76,79.91,76.36,76.52,1424300
2022-04-11 20:00:00-04:00,76.48,78.27,76.30,76.50,2089100
2022-04-12 20:00:00-04:00,76.03,77.04,75.46,76.89,1942900
2022-04-13 20:00:00-04:00,77.18,78.14,75.60,76.33,4911800
2022-04-17 20:00:00-04:00,76.11,76.40,74.37,75.18,1205400
2022-04-18 20:00:00-04:00,75.15,76.79,74.79,76.28,1447300
2022-04-19 20:00:00-04:00,76.46,78.21,76.03,78.18,1505400
2022-04-20 20:00:00-04:00,78.07,79.00,76.81,77.07,1756200
2022-04-21 20:00:00-04:00,76.56,76.58,73.83,73.93,2075900
2022-04-24 20:00:00-04:00,72.97,73.25,71.87,72.73,1827900
2022-04-25 20:00:00-04:00,72.06,72.23,70.36,70.54,1918200
2022-04-26 20:00:00-04:00,70.49,71.28,70.02,70.84,2329300
2022-04-27 20:00:00-04:00,68.03,71.87,67.61,71.40,4400400
2022-04-28 20:00:00-04:00,71.33,73.77,70.82,71.99,3171500
2022-05-01 20:00:00-04:00,72.03,73.66,71.69,72.91,2797200
2022-05-02 20:00:00-04:00,73.15,74.72,72.87,73.13,1971500
2022-05-03 20:00:00-04:00,73.31,75.90,73.22,75.70,1737300
2022-05-04 20:00:00-04:00,75.02,75.89,73.79,74.77,2220700
2022-05-05 20:00:00-04:00,74.56,74.95,73.23,74.11,1889900
2022-05-08 20:00:00-04:00,73.44,73.77,72.22,72.76,1799000
2022-05-09 20:00:00-04:00,73.08,73.75,72.14,73.32,1665200
2022-05-10 20:00:00-04:00,73.28,75.14,72.70,73.49,2230000
2022-05-11 20:00:00-04:00,73.38,74.59,73.25,74.27,1939900
2022-05-12 20:00:00-04:00,74.55,76.64,74.08,76.28,1700400
2022-05-15 20:00:00-04:00,76.34,78.00,75.63,77.22,2106200
2022-05-16 20:00:00-04:00,78.08,79.68,77.99,79.08,2709000
2022-05-17 20:00:00-04:00,78.94,79.02,77.25,77.55,2246500
2022-05-18 20:00:00-04:00,77.36,78.53,76.97,78.12,2117500
2022-05-19 20:00:00-04:00,78.78,78.86,76.58,77.75,1729500
2022-05-22 20:00:00-04:00,78.24,79.14,77.93,78.81,1565500
2022-05-23 20:00:00-04:00,78.72,79.45,77.77,78.39,1666700
2022-05-24 20:00:00-04:00,78.42,78.44,75.46,76.00,3025100
2022-05-25 20:00:00-04:00,76.53,76.73,75.80,76.19,3896900
2022-05-26 20:00:00-04:00,76.92,78.00,76.83,77.46,3294100
2022-05-30 20:00:00-04:00,77.32,77.32,75.06,75.27,5043100
2022-05-31 20:00:00-04:00,75.57,76.01,73.33,74.65,2019100
2022-06-01 20:00:00-04:00,74.72,76.11,74.03,75.99,1493200
2022-06-02 20:00:00-04:00,75.61,75.78,74.65,75.30,1348600
2022-06-05 20:00:00-04:00,75.84,76.00,75.07,75.13,921400
2022-06-06 20:00:00-04:00,74.99,76.72,74.99,76.62,1564000
2022-06-07 20:00:00-04:00,76.51,76.68,75.57,75.65,1159400
2022-06-08 20:00:00-04:00,75.23,75.44,73.66,73.68,1622900
2022-06-09 20:00:00-04:00,72.79,73.17,71.71,71.73,1468600
2022-06-12 20:00:00-04:00,70.06,70.75,68.43,68.55,2194300
2022-06-13 20:00:00-04:00,68.55,68.88,67.22,67.87,2118000
2022-06-14 20:00:00-04:00,68.61,69.22,67.38,68.32,1867000
2022-06-15 20:00:00-04:00,67.01,67.97,66.58,67.12,2126100
2022-06-16 20:00:00-04:00,67.37,68.28,67.29,67.88,3339100
2022-06-20 20:00:00-04:00,69.03,69.34,68.10,68.20,1419400
2022-06-21 20:00:00-04:00,67.94,68.83,67.78,68.08,1515100
2022-06-22 20:00:00-04:00,68.67,70.80,68.52,70.55,1697800
2022-06-23 20:00:00-04:00,71.00,71.59,70.78,70.93,2753700
2022-06-26 20:00:00-04:00,71.02,71.57,70.49,71.46,1438400
2022-06-27 20:00:00-04:00,71.99,72.27,69.70,69.78,1279800
2022-06-28 20:00:00-04:00,69.78,70.60,68.57,70.35,1051900
2022-06-29 20:00:00-04:00,69.90,70.32,68.99,69.30,1713300
2022-06-30 20:00:00-04:00,69.56,70.15,68.61,70.14,1349200
2022-07-04 20:00:00-04:00,69.62,70.35,68.09,70.19,1387500
2022-07-05 20:00:00-04:00,70.38,71.11,69.64,70.88,1808800
2022-07-06 20:00:00-04:00,70.88,72.20,70.48,71.78,1563800
2022-07-07 20:00:00-04:00,71.71,72.17,71.07,71.38,1092200
2022-07-10 20:00:00-04:00,70.79,71.67,70.64,71.42,696600
2022-07-11 20:00:00-04:00,71.66,72.88,70.14,70.68,1154700
2022-07-12 20:00:00-04:00,70.17,71.37,69.94,70.35,1169400
2022-07-13 20:00:00-04:00,69.95,70.02,68.26,69.39,1598400
2022-07-14 20:00:00-04:00,69.84,70.96,69.55,70.59,1671500
2022-07-17 20:00:00-04:00,68.75,69.28,67.58,68.47,2401800
2022-07-18 20:00:00-04:00,69.31,70.99,69.07,70.49,1721700
2022-07-19 20:00:00-04:00,69.36,70.42,69.34,70.11,1415500
