Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,13.99,14.03,13.79,13.88,9878100
2022-04-06 20:00:00-04:00,14.25,14.34,13.91,14.26,14207800
2022-04-07 20:00:00-04:00,14.28,14.52,14.12,14.35,8942200
2022-04-10 20:00:00-04:00,14.28,14.46,14.08,14.09,6340600
2022-04-11 20:00:00-04:00,13.81,14.13,13.65,13.73,10502100
2022-04-12 20:00:00-04:00,13.76,13.86,13.65,13.80,10134300
2022-04-13 20:00:00-04:00,13.83,13.92,13.68,13.71,7197400
2022-04-17 20:00:00-04:00,13.76,14.04,13.73,14.00,8378800
2022-04-18 20:00:00-04:00,14.18,14.41,14.10,14.36,8929400
2022-04-19 20:00:00-04:00,14.45,14.85,14.45,14.72,9380700
2022-04-20 20:00:00-04:00,14.81,14.92,14.50,14.55,9459500
2022-04-21 20:00:00-04:00,14.48,14.48,14.02,14.04,7175600
2022-04-24 20:00:00-04:00,13.89,13.93,13.57,13.90,8561800
2022-04-25 20:00:00-04:00,13.79,13.90,13.59,13.61,6586000
2022-04-26 20:00:00-04:00,13.60,13.80,13.41,13.71,10787200
2022-04-27 20:00:00-04:00,13.96,14.10,13.84,13.99,10054600
2022-04-28 20:00:00-04:00,13.95,14.20,13.72,13.73,10581000
2022-05-01 20:00:00-04:00,13.73,13.87,13.36,13.71,7912100
2022-05-02 20:00:00-04:00,13.74,13.97,13.69,13.81,7605300
2022-05-03 20:00:00-04:00,13.87,14.36,13.82,14.34,9560000
2022-05-04 20:00:00-04:00,14.21,14.38,14.04,14.22,16828700
2022-05-05 20:00:00-04:00,14.18,14.22,13.88,13.98,11665700
2022-05-08 20:00:00-04:00,13.80,14.25,13.78,14.12,17107000
2022-05-09 20:00:00-04:00,14.26,14.65,14.15,14.46,20076800
2022-05-10 20:00:00-04:00,14.45,14.64,13.87,13.89,8743800
2022-05-11 20:00:00-04:00,13.88,13.97,13.62,13.92,13933100
2022-05-12 20:00:00-04:00,14.05,14.29,13.96,14.22,7308400
2022-05-15 20:00:00-04:00,14.13,14.33,14.04,14.23,6482600
2022-05-16 20:00:00-04:00,14.48,14.97,14.44,14.93,10950300
2022-05-17 20:00:00-04:00,14.75,14.82,13.95,14.05,13338700
2022-05-18 20:00:00-04:00,13.70,13.71,12.99,13.41,21103000
2022-05-19 20:00:00-04:00,13.19,13.19,12.06,12.62,24256000
2022-05-22 20:00:00-04:00,12.66,12.99,12.62,12.93,11306900
2022-05-23 20:00:00-04:00,12.80,13.03,12.49,12.98,13173400
2022-05-24 20:00:00-04:00,12.83,13.41,12.83,13.29,10757000
2022-05-25 20:00:00-04:00,13.33,13.52,13.26,13.45,12225600
2022-05-26 20:00:00-04:00,13.91,14.24,13.86,14.07,11996300
2022-05-30 20:00:00-04:00,13.97,14.12,13.71,13.90,19470600
2022-05-31 20:00:00-04:00,14.09,14.29,13.89,14.06,12804600
2022-06-01 20:00:00-04:00,13.22,13.38,12.68,13.33,23221200
2022-06-02 20:00:00-04:00,13.18,13.53,13.15,13.44,9442500
2022-06-05 20:00:00-04:00,13.59,13.75,13.45,13.57,9342400
2022-06-06 20:00:00-04:00,13.43,13.72,13.24,13.67,9358700
2022-06-07 20:00:00-04:00,13.63,13.63,13.34,13.34,6808000
2022-06-08 20:00:00-04:00,13.29,13.41,13.06,13.08,6899000
2022-06-09 20:00:00-04:00,12.92,13.03,12.72,12.79,8798800
2022-06-12 20:00:00-04:00,12.47,12.59,12.26,12.31,12877100
2022-06-13 20:00:00-04:00,12.28,12.45,12.18,12.28,10104800
2022-06-14 20:00:00-04:00,12.37,12.81,12.32,12.64,13743300
2022-06-15 20:00:00-04:00,12.34,12.37,11.89,12.00,11242200
2022-06-16 20:00:00-04:00,12.07,12.21,11.84,12.06,18452900
2022-06-20 20:00:00-04:00,12.46,12.60,12.34,12.49,10029000
2022-06-21 20:00:00-04:00,12.28,12.46,12.24,12.34,8189600
2022-06-22 20:00:00-04:00,12.36,12.46,12.06,12.24,8189100
2022-06-23 20:00:00-04:00,12.35,12.71,12.27,12.63,12053500
2022-06-26 20:00:00-04:00,12.72,12.80,12.60,12.70,6200800
2022-06-27 20:00:00-04:00,12.76,12.84,12.35,12.36,9494300
2022-06-28 20:00:00-04:00,12.42,12.42,11.96,12.01,8272800
2022-06-29 20:00:00-04:00,11.81,12.00,11.74,11.92,13551500
2022-06-30 20:00:00-04:00,11.88,11.95,11.44,11.65,12884700
2022-07-04 20:00:00-04:00,11.41,11.54,11.14,11.53,13734700
2022-07-05 20:00:00-04:00,11.48,11.58,11.29,11.48,10532500
2022-07-06 20:00:00-04:00,11.72,11.84,11.64,11.72,11056600
2022-07-07 20:00:00-04:00,11.77,11.95,11.65,11.85,8138400
2022-07-10 20:00:00-04:00,11.69,11.86,11.68,11.74,7588900
2022-07-11 20:00:00-04:00,11.81,12.04,11.70,11.79,10452200
2022-07-12 20:00:00-04:00,11.60,11.75,11.53,11.68,7631100
2022-07-13 20:00:00-04:00,11.46,11.74,11.38,11.69,8154800
2022-07-14 20:00:00-04:00,11.84,11.93,11.65,11.92,7955800
2022-07-17 20:00:00-04:00,12.02,12.11,11.80,11.83,6544700
2022-07-18 20:00:00-04:00,11.99,12.39,11.97,12.38,7146200
2022-07-19 20:00:00-04:00,12.36,12.63,12.30,12.50,8719100
2022-07-20 20:00:00-04:00,12.42,12.64,12.34,12.63,8386300
2022-07-21 20:00:00-04:00,12.56,12.64,12.30,12.37,8985400
2022-07-24 20:00:00-04:00,12.48,12.51,12.33,12.47,9531900
2022-07-25 20:00:00-04:00,12.46,12.63,12.35,12.38,6587300
2022-07-26 20:00:00-04:00,12.43,12.63,12.33,12.57,8790700
2022-07-27 20:00:00-04:00,12.55,12.72,12.47,12.65,6780700
2022-07-28 20:00:00-04:00,12.67,12.88,12.57,12.80,9064700
2022-07-31 20:00:00-04:00,12.68,12.98,12.67,12.96,7503600
2022-08-01 20:00:00-04:00,12.86,12.92,12.67,12.73,6823900
2022-08-02 20:00:00-04:00,12.80,12.93,12.66,12.82,7380000
2022-08-03 20:00:00-04:00,12.79,12.86,12.72,12.84,7153700
2022-08-04 20:00:00-04:00,12.69,12.98,12.63,12.90,9264600
2022-08-07 20:00:00-04:00,13.05,13.16,12.87,12.94,6772700
2022-08-08 20:00:00-04:00,12.90,12.93,12.54,12.66,10262900
2022-08-09 20:00:00-04:00,12.84,13.10,12.80,13.04,9706000
2022-08-10 20:00:00-04:00,13.16,13.34,13.12,13.18,8397900
2022-08-11 20:00:00-04:00,13.25,13.34,13.23,13.30,11828800
2022-08-14 20:00:00-04:00,13.19,13.40,13.14,13.35,7899100
2022-08-15 20:00:00-04:00,13.34,13.54,13.33,13.43,8315600
2022-08-16 20:00:00-04:00,13.39,13.53,13.27,13.42,11520600
2022-08-17 20:00:00-04:00,13.50,13.66,13.48,13.63,10958200
2022-08-18 20:00:00-04:00,13.51,13.56,13.30,13.35,11403200
2022-08-21 20:00:00-04:00,13.20,13.20,12.92,12.95,10733700
2022-08-22 20:00:00-04:00,13.00,13.15,12.94,12.95,11379300
2022-08-23 20:00:00-04:00,12.94,13.01,12.80,12.90,13000500
2022-08-24 20:00:00-04:00,13.03,13.34,13.03,13.33,9603100
2022-08-25 20:00:00-04:00,13.15,13.17,12.35,12.37,16798200
2022-08-28 20:00:00-04:00,12.24,12.54,12.17,12.33,13678800
2022-08-29 20:00:00-04:00,12.37,12.44,12.19,12.27,12077000
2022-08-30 20:00:00-04:00,12.32,12.41,12.16,12.22,25985300
2022-08-31 20:00:00-04:00,12.13,12.16,11.80,12.01,16665000
2022-09-01 20:00:00-04:00,12.20,12.24,11.84,11.90,16069500
2022-09-05 20:00:00-04:00,11.92,12.00,11.73,11.82,14080800
2022-09-06 20:00:00-04:00,11.78,11.98,11.70,11.94,9868000
2022-09-07 20:00:00-04:00,11.84,12.01,11.75,12.01,17411800
2022-09-08 20:00:00-04:00,12.08,12.23,12.05,12.18,12016700
2022-09-11 20:00:00-04:00,12.31,12.53,12.28,12.48,12058800
2022-09-12 20:00:00-04:00,12.21,12.29,11.87,11.95,12455800
2022-09-13 20:00:00-04:00,11.99,12.02,11.72,11.82,12622900
2022-09-14 20:00:00-04:00,11.82,12.05,11.75,11.85,12627200
2022-09-15 20:00:00-04:00,11.71,11.90,11.61,11.84,16887100
2022-09-18 20:00:00-04:00,11.69,11.89,11.62,11.77,7887400
2022-09-19 20:00:00-04:00,11.65,11.66,11.49,11.57,7748300
2022-09-20 20:00:00-04:00,11.66,11.77,11.41,11.43,8679600
2022-09-21 20:00:00-04:00,11.43,11.44,11.19,11.24,12333300
2022-09-22 20:00:00-04:00,11.09,11.13,10.79,11.03,13636000
2022-09-25 20:00:00-04:00,10.95,11.10,10.81,10.89,14779600
2022-09-26 20:00:00-04:00,11.04,11.09,10.82,10.92,14029300
2022-09-27 20:00:00-04:00,10.89,11.18,10.88,11.14,14349100
2022-09-28 20:00:00-04:00,11.04,11.04,10.85,10.99,17697700
2022-09-29 20:00:00-04:00,10.99,11.17,10.85,10.86,13870500
2022-10-02 20:00:00-04:00,11.04,11.31,10.90,11.22,14231900
2022-10-03 20:00:00-04:00,11.41,11.65,11.39,11.65,11791300
2022-10-04 20:00:00-04:00,11.48,11.80,11.41,11.74,11658700
2022-10-05 20:00:00-04:00,11.67,11.78,11.62,11.71,12361200
2022-10-06 20:00:00-04:00,11.48,11.54,11.23,11.30,12885200
2022-10-09 20:00:00-04:00,11.38,11.40,11.01,11.15,11474300
2022-10-10 20:00:00-04:00,11.09,11.24,10.98,11.07,18397200
2022-10-11 20:00:00-04:00,11.10,11.35,11.01,11.20,14517800
2022-10-12 20:00:00-04:00,11.04,11.72,10.94,11.63,18163200
2022-10-13 20:00:00-04:00,11.72,11.72,11.40,11.42,16266300
2022-10-16 20:00:00-04:00,11.70,11.80,11.45,11.59,19641200
2022-10-17 20:00:00-04:00,11.73,11.85,11.52,11.67,14721800
2022-10-18 20:00:00-04:00,11.65,11.82,11.53,11.62,12362700
2022-10-19 20:00:00-04:00,11.58,11.97,11.55,11.62,17132400
2022-10-20 20:00:00-04:00,11.66,12.23,11.62,12.21,20455900
2022-10-23 20:00:00-04:00,12.27,12.43,12.16,12.39,17275100
2022-10-24 20:00:00-04:00,12.33,12.63,12.26,12.56,16719900
2022-10-25 20:00:00-04:00,12.50,12.84,12.47,12.68,14151600
2022-10-26 20:00:00-04:00,12.76,12.92,12.72,12.76,15153000
2022-10-27 20:00:00-04:00,12.84,13.12,12.84,13.05,12289200
2022-10-30 20:00:00-04:00,12.96,13.05,12.87,12.94,13517000
2022-10-31 20:00:00-04:00,13.06,13.10,12.91,13.02,15357800
2022-11-01 20:00:00-04:00,12.96,13.10,12.69,12.69,14840900
2022-11-02 20:00:00-04:00,12.51,12.59,12.31,12.51,11064100
2022-11-03 20:00:00-04:00,12.79,12.98,12.64,12.92,12930100
,12.92,13.14,12.86,13.08,11777000
,13.20,13.29,12.97,13.08,11080900
,12.95,13.06,12.81,12.83,11909200
,13.32,13.49,13.18,13.48,13869900
,13.57,13.91,13.51,13.86,13755900
,13.77,14.15,13.72,13.89,11924900
,14.08,14.18,13.90,14.06,14101200
,13.98,14.06,13.71,13.81,15051100
,13.61,14.10,13.55,14.09,14944800
,14.18,14.33,14.06,14.30,14069000
,14.14,14.16,13.98,14.10,14910900
,14.12,14.29,14.02,14.17,16074500
,14.15,14.36,14.12,14.33,11307200
,14.33,14.50,14.26,14.35,5567600
,14.24,14.29,14.05,14.10,13433100
,14.16,14.24,14.01,14.02,14778700
,14.29,15.29,14.10,15.22,35362300
,14.86,15.35,14.73,15.25,17179300
,15.07,15.27,14.99,15.13,13167100
,15.04,15.10,14.62,14.70,12746500
,14.72,14.80,14.62,14.75,14153400
,14.63,14.63,14.40,14.56,14176600
,14.68,14.83,14.65,14.77,9297600
,14.78,14.86,14.64,14.64,10018200
,14.53,14.87,14.51,14.83,11246500
,14.93,15.07,14.69,14.84,18007900
,14.71,15.00,14.64,14.80,14978300
,14.58,14.64,14.30,14.40,16562900
,14.20,14.38,14.10,14.29,31670500
,14.34,14.41,14.04,14.14,9138500
,14.17,14.32,14.13,14.31,13188200
,14.41,14.57,14.38,14.41,14255200
,14.30,14.36,14.10,14.35,13616800
,14.36,14.41,14.15,14.39,8328800
,14.44,14.56,14.38,14.51,6066800
,14.52,14.56,14.21,14.22,6480100
,14.31,14.64,14.31,14.54,8469100
,14.45,14.58,14.40,14.58,9396400
,14.70,14.74,14.46,14.67,18233900
,14.75,15.10,14.73,15.00,15865500
,14.88,15.07,14.78,15.03,13099500
,15.24,15.72,15.23,15.63,15242500
,15.62,15.76,15.43,15.49,19294700
,15.35,15.66,15.24,15.58,16777600
,15.52,15.57,15.33,15.45,16002800
,15.17,15.27,14.90,14.91,22445800
,14.77,15.04,14.73,15.03,12392100
,14.98,15.03,14.66,14.84,14189500
,14.84,14.94,14.68,14.69,13629400
,14.56,14.59,14.38,14.44,12533300
,14.47,14.58,14.29,14.57,12713700
,14.64,14.88,14.61,14.77,10009600
,14.64,14.86,14.55,14.77,9550900
,14.64,14.77,14.41,14.73,10570700
,14.84,14.88,14.61,14.82,11148700
,14.78,14.88,14.71,14.74,9423100
,14.61,14.78,14.56,14.62,10476500
,14.62,14.75,14.52,14.73,24130400
,14.73,14.78,14.53,14.72,18695100
,14.80,15.09,14.78,14.99,13329200
,14.84,15.11,14.83,14.92,9682000
,14.86,14.87,14.65,14.72,24139200
,14.73,14.89,14.61,14.83,17657500
,14.70,14.71,14.52,14.62,18148900
,14.80,14.89,14.75,14.83,18403500
,14.84,15.06,14.78,15.02,14023300
,14.99,15.26,14.97,15.22,9301900
,15.22,15.28,15.05,15.11,8792600
,15.02,15.16,14.97,15.14,7088300
,15.04,15.15,14.87,15.04,10146600
,14.98,15.03,14.89,14.94,7933100
,14.87,14.87,14.60,14.60,8755900
,14.59,14.65,14.30,14.39,8902700
,14.50,14.52,14.19,14.38,10233800
,14.18,14.31,14.12,14.25,9897100
,14.39,14.47,14.24,14.29,8099900
,14.27,14.38,14.23,14.26,15279800
,14.31,14.38,14.12,14.20,9208000
,14.10,14.19,13.98,14.16,11956800
,14.51,14.66,13.90,13.96,22209000
,13.97,14.09,13.78,13.84,17630200
,13.84,13.99,13.68,13.71,12305400
,13.79,13.86,13.72,13.79,11283700
,13.83,13.83,13.40,13.44,10485600
,13.42,13.43,13.03,13.09,17290600
2023-03-12 20:00:00-04:00,12.90,12.99,12.71,12.80,15212400
2023-03-13 20:00:00-04:00,12.96,13.06,12.77,12.92,16631000
2023-03-14 20:00:00-04:00,12.66,12.82,12.56,12.71,16778500
2023-03-15 20:00:00-04:00,12.62,13.20,12.59,13.19,15241000
2023-03-16 20:00:00-04:00,13.11,13.19,12.97,12.99,22302400
2023-03-19 20:00:00-04:00,13.08,13.34,13.07,13.31,13576800
2023-03-20 20:00:00-04:00,13.49,13.61,13.47,13.59,10513800
2023-03-21 20:00:00-04:00,13.63,13.68,13.28,13.30,12263100
2023-03-22 20:00:00-04:00,13.35,13.43,13.07,13.15,11543300
