Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,17.02,17.26,16.90,17.26,5855900
2018-07-02 20:00:00-04:00,17.30,17.31,17.03,17.06,3619200
2018-07-04 20:00:00-04:00,17.23,17.36,16.95,17.18,7158600
2018-07-05 20:00:00-04:00,17.20,17.53,17.06,17.37,5375100
2018-07-08 20:00:00-04:00,17.47,17.70,17.37,17.64,7057100
2018-07-09 20:00:00-04:00,17.64,18.10,17.64,18.02,10481600
2018-07-10 20:00:00-04:00,17.86,17.90,17.40,17.41,6833500
2018-07-11 20:00:00-04:00,17.58,17.83,17.53,17.77,6345400
2018-07-12 20:00:00-04:00,17.60,17.95,17.59,17.90,5150200
2018-07-15 20:00:00-04:00,17.89,17.92,17.75,17.80,3791500
2018-07-16 20:00:00-04:00,17.65,17.91,17.65,17.81,4094700
2018-07-17 20:00:00-04:00,17.82,17.88,17.61,17.77,6467400
2018-07-18 20:00:00-04:00,17.67,17.77,17.49,17.51,6056000
2018-07-19 20:00:00-04:00,17.51,17.52,17.28,17.32,6919000
2018-07-22 20:00:00-04:00,17.27,17.48,17.11,17.40,5596300
2018-07-23 20:00:00-04:00,17.55,17.70,17.29,17.36,7192200
2018-07-24 20:00:00-04:00,17.30,17.60,17.30,17.58,5854100
2018-07-25 20:00:00-04:00,17.53,17.86,17.53,17.70,6452300
2018-07-26 20:00:00-04:00,17.70,17.78,17.45,17.54,4729700
2018-07-29 20:00:00-04:00,17.55,17.66,17.34,17.44,4268300
2018-07-30 20:00:00-04:00,17.46,17.53,17.40,17.43,6092600
2018-07-31 20:00:00-04:00,17.47,17.59,17.33,17.37,4344500
2018-08-01 20:00:00-04:00,17.28,17.56,17.28,17.52,5254300
2018-08-02 20:00:00-04:00,17.56,17.73,17.53,17.62,5092800
2018-08-05 20:00:00-04:00,17.58,17.99,17.58,17.92,5649700
2018-08-06 20:00:00-04:00,17.99,18.18,17.97,18.11,6311700
2018-08-07 20:00:00-04:00,18.10,18.31,18.07,18.23,5567800
2018-08-08 20:00:00-04:00,18.22,18.36,18.16,18.18,4837000
2018-08-09 20:00:00-04:00,18.05,18.19,18.05,18.11,5335900
2018-08-12 20:00:00-04:00,18.16,18.24,17.96,17.97,4631500
2018-08-13 20:00:00-04:00,18.07,18.31,18.07,18.23,5071400
2018-08-14 20:00:00-04:00,18.05,18.19,18.03,18.14,6318700
2018-08-15 20:00:00-04:00,18.26,18.34,18.17,18.23,6125700
2018-08-16 20:00:00-04:00,18.18,18.59,18.17,18.53,7524400
2018-08-19 20:00:00-04:00,18.53,18.72,18.46,18.53,6085600
2018-08-20 20:00:00-04:00,18.57,18.67,18.38,18.49,8179200
2018-08-21 20:00:00-04:00,18.47,18.60,18.31,18.49,5273800
2018-08-22 20:00:00-04:00,18.50,18.66,18.48,18.60,8162100
2018-08-23 20:00:00-04:00,18.12,18.41,17.88,18.23,12857900
2018-08-26 20:00:00-04:00,18.41,18.54,18.32,18.37,6600000
2018-08-27 20:00:00-04:00,18.45,18.57,18.35,18.49,5619700
2018-08-28 20:00:00-04:00,18.54,19.09,18.51,18.94,11216200
2018-08-29 20:00:00-04:00,18.91,19.07,18.64,18.67,9607900
2018-08-30 20:00:00-04:00,18.54,18.67,18.44,18.61,8939200
2018-09-03 20:00:00-04:00,18.52,18.78,18.41,18.73,8906600
2018-09-04 20:00:00-04:00,18.75,18.82,18.48,18.63,12746000
2018-09-05 20:00:00-04:00,18.66,18.81,18.60,18.63,7686500
2018-09-06 20:00:00-04:00,18.69,18.84,18.62,18.66,14398300
2018-09-09 20:00:00-04:00,18.71,18.79,18.55,18.61,11585700
2018-09-10 20:00:00-04:00,18.56,18.84,18.49,18.74,13718300
2018-09-11 20:00:00-04:00,18.68,18.75,18.54,18.68,6950600
2018-09-12 20:00:00-04:00,18.76,19.05,18.73,18.99,6814900
2018-09-13 20:00:00-04:00,18.99,19.10,18.95,19.01,5509800
2018-09-16 20:00:00-04:00,19.01,19.17,18.97,18.99,5937400
2018-09-17 20:00:00-04:00,18.97,19.19,18.95,19.10,7597400
2018-09-18 20:00:00-04:00,19.10,19.23,19.02,19.18,7133900
2018-09-19 20:00:00-04:00,19.32,19.57,19.29,19.51,10136200
2018-09-20 20:00:00-04:00,19.58,19.85,19.54,19.61,21915800
2018-09-23 20:00:00-04:00,19.54,19.70,19.53,19.64,9643700
2018-09-24 20:00:00-04:00,19.64,19.70,19.38,19.41,6308800
2018-09-25 20:00:00-04:00,19.52,19.91,19.52,19.72,10367800
2018-09-26 20:00:00-04:00,19.75,19.76,19.42,19.46,7933500
2018-09-27 20:00:00-04:00,19.39,19.66,19.35,19.57,9174500
2018-09-30 20:00:00-04:00,19.59,19.73,19.38,19.44,8571800
2018-10-01 20:00:00-04:00,19.44,19.86,19.44,19.80,14379900
2018-10-02 20:00:00-04:00,19.89,20.00,19.72,19.79,8714400
2018-10-03 20:00:00-04:00,20.42,20.56,19.91,20.06,12955500
2018-10-04 20:00:00-04:00,19.95,20.07,19.15,19.24,15682400
2018-10-07 20:00:00-04:00,19.13,19.25,18.94,18.99,11520200
2018-10-08 20:00:00-04:00,18.88,19.07,18.79,18.96,9625500
2018-10-09 20:00:00-04:00,18.84,18.98,18.39,18.42,14230000
2018-10-10 20:00:00-04:00,18.28,18.33,17.34,17.47,18005500
2018-10-11 20:00:00-04:00,17.81,18.04,17.67,17.97,12284500
2018-10-14 20:00:00-04:00,17.93,18.11,17.87,17.89,9107900
2018-10-15 20:00:00-04:00,18.05,18.21,17.89,18.19,8101400
2018-10-16 20:00:00-04:00,18.25,18.32,17.92,18.12,7839200
2018-10-17 20:00:00-04:00,18.08,18.29,17.87,18.05,7205500
2018-10-18 20:00:00-04:00,18.12,18.41,17.96,18.10,11827000
2018-10-21 20:00:00-04:00,18.22,18.55,18.18,18.31,10434900
2018-10-22 20:00:00-04:00,17.93,18.32,17.66,18.18,9621900
2018-10-23 20:00:00-04:00,18.20,18.25,17.48,17.51,11420600
2018-10-24 20:00:00-04:00,17.68,18.27,17.67,18.06,11226200
2018-10-25 20:00:00-04:00,17.70,17.94,17.35,17.56,12369400
2018-10-28 20:00:00-04:00,17.83,18.01,17.24,17.48,9897300
2018-10-29 20:00:00-04:00,17.52,17.99,17.45,17.97,9440800
2018-10-30 20:00:00-04:00,18.10,18.50,18.06,18.33,9992200
2018-10-31 20:00:00-04:00,18.40,18.60,18.21,18.59,7361500
2018-11-01 20:00:00-04:00,18.50,18.85,18.45,18.70,11792200
2018-11-04 19:00:00-05:00,18.70,18.81,18.54,18.71,7039000
2018-11-05 19:00:00-05:00,18.67,18.89,18.63,18.89,6444500
2018-11-06 19:00:00-05:00,19.04,19.37,18.72,19.34,8228400
2018-11-07 19:00:00-05:00,19.30,19.53,19.26,19.36,7545700
2018-11-08 19:00:00-05:00,19.26,19.35,18.80,18.98,7125800
2018-11-11 19:00:00-05:00,18.81,18.88,18.18,18.22,7794700
2018-11-12 19:00:00-05:00,18.22,18.47,18.06,18.18,7820600
2018-11-13 19:00:00-05:00,18.42,18.54,17.99,18.02,9949500
2018-11-14 19:00:00-05:00,17.88,18.55,17.78,18.35,10585800
2018-11-15 19:00:00-05:00,18.22,18.50,18.19,18.34,8672100
2018-11-18 19:00:00-05:00,18.29,18.35,17.70,17.88,10002900
2018-11-19 19:00:00-05:00,17.52,17.55,17.06,17.17,10786900
2018-11-20 19:00:00-05:00,17.29,17.52,17.21,17.21,8218100
2018-11-22 19:00:00-05:00,17.00,17.28,16.91,17.09,3909000
2018-11-25 19:00:00-05:00,17.35,17.40,17.07,17.32,10845700
2018-11-26 19:00:00-05:00,17.18,17.29,17.06,17.26,10173900
2018-11-27 19:00:00-05:00,17.31,17.80,17.17,17.79,9003500
2018-11-28 19:00:00-05:00,17.68,17.68,17.21,17.36,17342500
2018-11-29 19:00:00-05:00,17.63,17.65,17.02,17.46,19163100
2018-12-02 19:00:00-05:00,17.77,18.24,17.77,18.18,13177200
2018-12-03 19:00:00-05:00,18.14,18.35,17.49,17.65,15220600
2018-12-05 19:00:00-05:00,17.28,18.29,17.24,18.24,19873600
2018-12-06 19:00:00-05:00,18.15,18.15,17.18,17.41,17395300
2018-12-09 19:00:00-05:00,17.31,17.51,16.94,17.41,13111500
2018-12-10 19:00:00-05:00,17.54,17.77,17.00,17.12,13064900
2018-12-11 19:00:00-05:00,17.36,17.58,17.22,17.24,10202000
2018-12-12 19:00:00-05:00,17.31,17.52,17.02,17.05,11356800
2018-12-13 19:00:00-05:00,16.88,17.16,16.78,16.83,11959500
2018-12-16 19:00:00-05:00,16.75,17.04,16.28,16.38,11680600
2018-12-17 19:00:00-05:00,16.52,16.76,16.34,16.37,11889400
2018-12-18 19:00:00-05:00,16.41,16.54,15.55,15.71,18164000
2018-12-19 19:00:00-05:00,15.68,15.78,15.16,15.35,16294900
2018-12-20 19:00:00-05:00,15.28,15.58,15.01,15.03,21153900
2018-12-23 19:00:00-05:00,14.84,15.21,14.77,14.82,6326300
2018-12-25 19:00:00-05:00,14.93,15.56,14.70,15.55,14093800
2018-12-26 19:00:00-05:00,15.31,15.59,15.03,15.58,11942900
2018-12-27 19:00:00-05:00,15.72,15.91,15.51,15.55,9753900
2018-12-30 19:00:00-05:00,15.67,15.79,15.48,15.65,8510300
2019-01-01 19:00:00-05:00,15.32,15.89,15.29,15.78,9467400
2019-01-02 19:00:00-05:00,15.56,15.60,15.06,15.24,13459000
2019-01-03 19:00:00-05:00,15.58,15.97,15.50,15.84,9220400
2019-01-06 19:00:00-05:00,15.87,16.18,15.86,16.02,8167600
2019-01-07 19:00:00-05:00,16.23,16.38,15.94,16.22,6355900
2019-01-08 19:00:00-05:00,16.32,16.41,16.07,16.22,8326700
2019-01-09 19:00:00-05:00,16.15,16.46,16.10,16.42,8015000
2019-01-10 19:00:00-05:00,16.24,16.28,15.91,16.19,12524900
2019-01-13 19:00:00-05:00,16.01,16.13,15.81,15.90,9626100
2019-01-14 19:00:00-05:00,15.91,16.11,15.79,16.07,8839400
2019-01-15 19:00:00-05:00,16.02,16.20,15.84,16.10,8633200
2019-01-16 19:00:00-05:00,16.02,16.40,16.00,16.23,11295400
2019-01-17 19:00:00-05:00,16.33,16.66,16.28,16.63,10827100
2019-01-21 19:00:00-05:00,16.53,16.56,16.20,16.30,15246600
2019-01-22 19:00:00-05:00,16.37,16.50,16.20,16.40,10037100
2019-01-23 19:00:00-05:00,16.48,16.79,16.45,16.65,5623200
2019-01-24 19:00:00-05:00,16.78,16.92,16.70,16.90,7290600
