Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,56.87,57.58,56.54,57.52,1573223
2018-07-02 20:00:00-04:00,57.80,58.46,57.65,58.05,765255
2018-07-04 20:00:00-04:00,58.35,58.86,58.03,58.82,1714237
2018-07-05 20:00:00-04:00,58.93,59.89,58.90,59.45,1256003
2018-07-08 20:00:00-04:00,59.67,61.14,59.38,59.85,3686250
2018-07-09 20:00:00-04:00,59.93,60.37,58.97,59.50,1278060
2018-07-10 20:00:00-04:00,57.87,59.41,57.87,58.50,1589160
2018-07-11 20:00:00-04:00,58.68,59.16,58.17,58.65,1136663
2018-07-12 20:00:00-04:00,58.85,59.16,58.64,58.71,872992
2018-07-15 20:00:00-04:00,58.85,58.85,57.92,58.10,881662
2018-07-16 20:00:00-04:00,57.84,58.63,57.76,58.56,837420
2018-07-17 20:00:00-04:00,58.51,58.78,57.56,57.84,1176443
2018-07-18 20:00:00-04:00,58.04,59.18,57.43,58.65,1873995
2018-07-19 20:00:00-04:00,58.63,59.10,58.12,59.07,919275
2018-07-22 20:00:00-04:00,59.15,60.51,59.03,60.09,1262505
2018-07-23 20:00:00-04:00,60.11,60.89,59.87,60.25,1096500
2018-07-24 20:00:00-04:00,60.24,60.65,59.71,60.50,889185
2018-07-25 20:00:00-04:00,60.65,61.10,60.13,60.49,880770
2018-07-26 20:00:00-04:00,60.25,61.28,59.98,60.85,1071383
2018-07-29 20:00:00-04:00,60.79,62.23,60.60,62.04,1880752
2018-07-30 20:00:00-04:00,62.09,62.63,61.52,62.28,1867875
2018-07-31 20:00:00-04:00,62.05,62.55,61.51,61.65,1325363
2018-08-01 20:00:00-04:00,61.65,61.95,60.42,61.81,857947
2018-08-02 20:00:00-04:00,61.80,63.27,61.64,62.93,3092768
2018-08-05 20:00:00-04:00,64.29,67.07,63.44,64.45,3686250
2018-08-06 20:00:00-04:00,63.25,63.25,61.19,62.59,2586720
2018-08-07 20:00:00-04:00,62.55,62.89,61.50,61.80,1373685
2018-08-08 20:00:00-04:00,62.10,62.27,61.22,61.59,1421115
2018-08-09 20:00:00-04:00,61.34,61.37,60.49,60.68,1312868
