Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,197.95,200.50,197.52,200.45,1203300
2022-04-06 20:00:00-04:00,200.63,201.99,200.14,201.32,1101500
2022-04-07 20:00:00-04:00,201.71,203.16,199.65,202.23,1073300
2022-04-10 20:00:00-04:00,203.32,204.70,201.30,202.42,746600
2022-04-11 20:00:00-04:00,202.52,205.81,201.15,204.31,1258500
2022-04-12 20:00:00-04:00,204.04,205.64,201.62,203.91,873900
2022-04-13 20:00:00-04:00,204.57,206.51,203.40,204.27,850600
2022-04-17 20:00:00-04:00,203.84,205.39,202.30,202.85,658400
2022-04-18 20:00:00-04:00,202.63,205.55,202.50,205.18,880200
2022-04-19 20:00:00-04:00,205.13,208.81,205.13,207.62,890100
2022-04-20 20:00:00-04:00,207.41,209.35,206.16,206.81,861200
2022-04-21 20:00:00-04:00,206.80,207.73,202.45,202.61,1163000
2022-04-24 20:00:00-04:00,202.61,204.03,199.83,203.37,1308100
2022-04-25 20:00:00-04:00,203.12,204.50,198.85,198.98,1187100
2022-04-26 20:00:00-04:00,200.06,202.92,198.35,200.89,1386900
2022-04-27 20:00:00-04:00,206.32,206.63,201.34,206.08,1376300
2022-04-28 20:00:00-04:00,205.35,207.19,203.87,204.08,1366000
2022-05-01 20:00:00-04:00,204.95,206.10,195.03,196.63,1635000
2022-05-02 20:00:00-04:00,197.11,200.49,197.11,198.93,1466400
2022-05-03 20:00:00-04:00,199.00,203.82,199.00,203.68,1287000
2022-05-04 20:00:00-04:00,202.93,205.36,201.31,202.34,1419600
2022-05-05 20:00:00-04:00,201.60,205.09,201.60,204.34,1445900
2022-05-08 20:00:00-04:00,203.16,205.01,200.95,201.76,1269100
2022-05-09 20:00:00-04:00,202.24,204.17,200.54,201.71,1426900
2022-05-10 20:00:00-04:00,200.88,205.50,200.79,203.05,1003600
2022-05-11 20:00:00-04:00,202.48,204.15,199.78,201.15,1397900
2022-05-12 20:00:00-04:00,201.90,204.53,200.08,204.21,1842100
2022-05-15 20:00:00-04:00,205.32,207.58,203.91,207.29,1061800
2022-05-16 20:00:00-04:00,206.85,207.00,200.90,203.76,1247100
2022-05-17 20:00:00-04:00,203.13,203.47,187.24,187.74,1749200
2022-05-18 20:00:00-04:00,185.62,187.74,182.86,186.22,1635400
2022-05-19 20:00:00-04:00,187.45,188.53,184.19,187.91,1320100
2022-05-22 20:00:00-04:00,190.26,191.39,188.44,189.97,976300
2022-05-23 20:00:00-04:00,190.95,194.09,190.43,193.79,859700
2022-05-24 20:00:00-04:00,193.79,194.07,191.01,191.95,1174300
2022-05-25 20:00:00-04:00,192.13,193.70,190.00,190.24,1161100
2022-05-26 20:00:00-04:00,190.29,193.02,190.10,193.02,917000
2022-05-30 20:00:00-04:00,192.57,193.41,189.08,192.21,1493100
2022-05-31 20:00:00-04:00,192.47,192.74,188.66,190.37,1035300
2022-06-01 20:00:00-04:00,190.63,190.72,185.66,189.96,1005000
2022-06-02 20:00:00-04:00,189.16,190.60,188.19,189.91,722900
2022-06-05 20:00:00-04:00,190.71,192.45,190.24,191.93,753200
2022-06-06 20:00:00-04:00,189.88,192.34,189.88,192.26,825500
2022-06-07 20:00:00-04:00,191.46,192.58,190.44,191.15,597100
2022-06-08 20:00:00-04:00,191.53,193.15,190.07,190.16,769800
2022-06-09 20:00:00-04:00,188.52,194.81,187.74,193.70,1447500
2022-06-12 20:00:00-04:00,191.70,193.36,190.11,190.71,1468500
2022-06-13 20:00:00-04:00,192.04,192.42,186.20,187.74,1185600
2022-06-14 20:00:00-04:00,188.55,190.85,185.92,187.20,955900
2022-06-15 20:00:00-04:00,185.21,187.38,183.06,183.63,1022000
2022-06-16 20:00:00-04:00,184.20,187.47,183.80,187.05,2002100
2022-06-20 20:00:00-04:00,188.87,195.99,188.87,195.26,1187100
2022-06-21 20:00:00-04:00,194.26,196.86,192.43,195.10,991800
2022-06-22 20:00:00-04:00,196.13,198.93,195.22,198.02,804300
2022-06-23 20:00:00-04:00,197.92,200.64,197.21,200.60,1154300
2022-06-26 20:00:00-04:00,200.55,202.14,199.30,200.60,1050200
2022-06-27 20:00:00-04:00,200.80,201.99,197.69,198.30,1058900
2022-06-28 20:00:00-04:00,198.86,200.12,198.04,198.74,1699900
2022-06-29 20:00:00-04:00,197.92,198.81,194.49,195.34,2047000
2022-06-30 20:00:00-04:00,195.55,200.79,194.92,200.64,1107500
2022-07-04 20:00:00-04:00,199.91,200.89,195.62,198.23,822200
2022-07-05 20:00:00-04:00,198.82,201.38,198.69,200.31,1279400
2022-07-06 20:00:00-04:00,200.18,200.77,197.86,199.67,963100
2022-07-07 20:00:00-04:00,200.58,201.41,198.95,199.54,670600
2022-07-10 20:00:00-04:00,199.49,201.83,199.49,200.19,582500
2022-07-11 20:00:00-04:00,200.19,202.02,198.90,199.85,769900
2022-07-12 20:00:00-04:00,199.25,201.34,199.09,199.53,886700
2022-07-13 20:00:00-04:00,195.84,198.06,195.59,197.80,596400
2022-07-14 20:00:00-04:00,199.01,199.01,196.12,196.83,703000
2022-07-17 20:00:00-04:00,196.24,196.96,194.62,195.25,973000
2022-07-18 20:00:00-04:00,196.27,196.83,195.43,196.20,643800
2022-07-19 20:00:00-04:00,196.33,197.02,194.37,195.54,707800
2022-07-20 20:00:00-04:00,195.61,196.94,194.91,196.02,720300
2022-07-21 20:00:00-04:00,196.61,196.85,195.06,196.03,837300
2022-07-24 20:00:00-04:00,196.52,197.84,195.83,196.88,910200
2022-07-25 20:00:00-04:00,196.08,198.17,195.29,197.93,1116000
2022-07-26 20:00:00-04:00,197.85,198.40,194.68,198.13,1116000
2022-07-27 20:00:00-04:00,199.89,203.91,199.34,203.61,1227800
2022-07-28 20:00:00-04:00,204.20,210.23,204.10,206.96,1532700
2022-07-31 20:00:00-04:00,206.58,209.68,206.40,208.61,873400
2022-08-01 20:00:00-04:00,209.57,210.59,207.71,208.05,1282000
2022-08-02 20:00:00-04:00,207.16,207.54,205.03,207.11,931800
2022-08-03 20:00:00-04:00,206.79,207.32,204.32,204.49,648600
2022-08-04 20:00:00-04:00,204.45,206.29,202.41,206.19,670100
2022-08-07 20:00:00-04:00,206.42,206.99,204.82,205.49,523700
2022-08-08 20:00:00-04:00,206.12,207.84,205.82,207.26,562100
2022-08-09 20:00:00-04:00,207.90,208.03,204.43,205.60,629900
2022-08-10 20:00:00-04:00,206.09,206.77,204.19,204.44,767100
2022-08-11 20:00:00-04:00,204.87,205.45,203.27,204.96,690700
2022-08-14 20:00:00-04:00,204.33,209.47,204.33,209.10,1131200
2022-08-15 20:00:00-04:00,208.37,210.57,208.37,209.47,603900
2022-08-16 20:00:00-04:00,209.45,210.21,208.90,209.25,445400
2022-08-17 20:00:00-04:00,209.38,210.86,208.86,210.35,568500
2022-08-18 20:00:00-04:00,210.90,213.66,210.22,212.66,916800
2022-08-21 20:00:00-04:00,212.00,213.05,210.06,211.05,607700
2022-08-22 20:00:00-04:00,210.76,212.33,210.26,212.09,1010800
2022-08-23 20:00:00-04:00,212.79,213.91,211.88,212.84,741300
2022-08-24 20:00:00-04:00,213.05,213.11,210.91,212.82,543100
2022-08-25 20:00:00-04:00,212.28,212.70,208.24,208.54,512400
2022-08-28 20:00:00-04:00,207.16,208.96,205.66,207.83,757700
2022-08-29 20:00:00-04:00,207.13,208.20,205.86,206.30,549400
2022-08-30 20:00:00-04:00,205.82,208.66,204.88,204.89,850500
2022-08-31 20:00:00-04:00,204.25,207.56,202.61,207.53,877100
2022-09-01 20:00:00-04:00,208.29,209.51,203.74,204.33,720500
2022-09-05 20:00:00-04:00,206.13,206.90,202.77,203.14,994400
2022-09-06 20:00:00-04:00,203.05,208.51,203.05,208.16,858500
2022-09-07 20:00:00-04:00,206.23,207.15,203.53,205.63,748500
2022-09-08 20:00:00-04:00,205.90,208.01,204.81,206.34,714000
2022-09-11 20:00:00-04:00,206.76,207.88,205.90,207.18,650600
2022-09-12 20:00:00-04:00,205.46,206.80,202.55,203.28,958500
2022-09-13 20:00:00-04:00,202.70,203.58,201.46,202.23,735100
2022-09-14 20:00:00-04:00,202.09,202.09,198.52,200.29,1127100
2022-09-15 20:00:00-04:00,199.47,201.24,199.45,200.53,1306200
2022-09-18 20:00:00-04:00,200.08,203.54,199.39,203.25,673900
2022-09-19 20:00:00-04:00,201.98,203.43,201.02,202.89,850100
2022-09-20 20:00:00-04:00,203.54,206.70,203.54,203.75,755200
2022-09-21 20:00:00-04:00,203.66,206.91,203.20,205.67,760500
2022-09-22 20:00:00-04:00,204.51,205.27,202.06,204.23,723700
2022-09-25 20:00:00-04:00,203.55,206.85,202.59,204.08,955700
2022-09-26 20:00:00-04:00,205.03,206.52,200.82,201.94,789800
2022-09-27 20:00:00-04:00,203.09,207.51,201.05,206.38,839600
2022-09-28 20:00:00-04:00,206.10,206.96,202.82,204.10,846300
2022-09-29 20:00:00-04:00,204.40,204.89,200.74,201.06,1252800
2022-10-02 20:00:00-04:00,202.52,205.44,200.88,204.79,1183200
2022-10-03 20:00:00-04:00,205.49,208.13,204.57,205.81,949800
2022-10-04 20:00:00-04:00,205.50,206.72,202.39,205.28,835600
2022-10-05 20:00:00-04:00,205.04,206.54,200.42,201.23,755500
2022-10-06 20:00:00-04:00,201.26,202.06,199.88,201.11,947300
2022-10-09 20:00:00-04:00,202.02,204.50,201.74,203.87,594500
2022-10-10 20:00:00-04:00,203.84,206.78,203.66,205.61,839400
2022-10-11 20:00:00-04:00,206.04,207.37,204.72,204.77,943700
2022-10-12 20:00:00-04:00,202.67,208.59,201.58,207.75,807700
2022-10-13 20:00:00-04:00,208.22,208.22,202.25,203.11,854500
2022-10-16 20:00:00-04:00,204.43,206.08,204.26,205.85,754800
2022-10-17 20:00:00-04:00,207.56,208.37,205.74,207.30,1013900
2022-10-18 20:00:00-04:00,207.46,208.35,204.34,206.34,913300
2022-10-19 20:00:00-04:00,206.87,207.12,204.15,204.96,626100
2022-10-20 20:00:00-04:00,204.87,208.34,203.85,208.13,705200
2022-10-23 20:00:00-04:00,209.75,212.45,209.65,211.54,653200
2022-10-24 20:00:00-04:00,212.48,213.71,211.52,213.51,1069800
2022-10-25 20:00:00-04:00,214.32,215.23,211.39,212.30,875900
2022-10-26 20:00:00-04:00,213.02,215.54,212.49,213.80,972100
2022-10-27 20:00:00-04:00,214.19,219.37,213.95,218.84,862900
2022-10-30 20:00:00-04:00,218.89,220.20,217.38,217.75,958500
2022-10-31 20:00:00-04:00,217.40,219.34,216.08,216.83,847100
2022-11-01 20:00:00-04:00,217.01,218.60,214.26,214.42,1155700
2022-11-02 20:00:00-04:00,213.72,214.48,211.24,211.66,1412800
2022-11-03 20:00:00-04:00,213.77,214.01,204.77,208.87,1833700
,209.64,211.83,207.53,209.12,904900
,209.13,212.83,209.06,210.73,959700
,210.34,212.34,209.63,210.41,808500
,213.99,214.02,201.81,206.38,1828300
,205.26,206.30,192.87,199.61,2677700
,200.87,203.31,198.91,198.92,1371600
,199.73,200.31,196.44,198.18,1249700
,199.52,205.62,199.52,203.51,1214800
,202.80,205.35,202.28,203.06,889500
,203.65,206.90,203.65,206.34,1219900
,207.17,213.06,206.34,212.68,1373300
,213.73,215.16,211.92,212.74,858800
,213.22,213.70,211.32,212.72,859700
,213.68,214.33,212.51,214.18,281800
,214.25,215.08,212.65,213.14,706300
,212.57,213.11,209.40,211.18,755400
,210.93,215.50,209.35,215.47,1638800
,215.86,215.93,211.65,212.46,913800
,212.15,215.21,211.99,215.07,741300
,212.70,213.92,212.19,213.71,539700
,213.77,215.31,211.20,213.08,709900
,214.75,217.07,214.58,216.86,1018600
,217.65,222.15,217.28,221.10,1334300
,220.98,222.31,216.83,216.94,1013900
,217.37,219.25,216.08,219.25,894300
,219.27,219.37,215.59,216.53,1357600
,216.94,219.28,215.53,216.24,681900
,215.20,215.96,213.03,214.53,790800
,213.49,216.50,212.94,215.31,1569000
,215.31,217.83,214.14,215.21,698300
,214.83,215.55,212.68,214.08,653700
,215.08,217.03,214.33,215.30,430800
,215.20,216.14,213.24,215.25,432100
,215.20,216.20,214.23,216.12,354000
,216.58,217.25,215.67,215.98,497300
,216.62,216.67,213.25,213.36,416800
,214.12,214.36,212.41,213.71,570300
,213.55,213.87,210.58,212.17,441400
,211.14,211.19,206.02,207.92,1160800
,207.84,207.84,202.92,204.57,1394300
,204.80,205.56,203.27,204.39,939300
,204.30,207.70,204.30,206.75,945800
,206.17,208.84,205.33,206.51,884000
,207.04,208.57,205.66,205.95,750700
,206.54,207.67,205.14,207.61,1054000
,207.66,207.80,204.93,205.41,794600
,205.68,207.70,205.14,207.63,622200
,208.89,211.48,206.89,207.21,1114500
,207.13,207.22,198.57,198.61,1092100
,198.25,199.65,197.17,198.02,1226200
,198.23,198.57,195.20,196.55,1298300
,196.92,201.36,196.69,198.86,1219500
,198.20,202.10,197.18,201.84,1131600
,201.29,202.54,199.54,202.48,906200
,202.00,202.23,199.18,201.58,823400
,201.57,201.61,199.53,200.43,806500
,201.80,204.90,201.80,204.49,998600
,205.25,205.79,203.45,205.79,1378300
,203.71,207.34,203.71,206.43,1477700
,207.56,215.68,207.02,214.78,2072500
,215.46,216.68,211.51,216.49,1504000
,217.15,221.97,216.70,220.38,2165600
,218.19,218.53,215.86,217.25,1630400
,217.24,217.26,213.93,215.17,1002600
,215.16,216.29,213.74,215.45,1050400
,216.18,219.60,215.42,219.07,922400
,219.25,220.30,218.77,219.81,931400
,220.35,221.62,218.76,218.89,757500
,218.80,218.84,216.45,217.58,932100
,216.47,217.56,214.62,216.46,954400
,216.99,221.50,216.18,221.49,1404800
,222.07,223.52,219.35,221.69,1646800
,222.23,224.89,220.10,220.73,940700
,220.73,222.56,219.54,221.29,766100
,220.85,220.86,218.75,219.96,749600
,220.74,221.62,219.50,220.14,711600
,219.53,221.80,218.86,219.31,1194700
,217.47,218.74,215.35,217.78,743900
,218.06,220.08,217.42,219.39,704000
,219.48,219.78,217.46,219.39,881000
,219.02,221.70,218.17,220.75,925000
,220.86,221.84,219.10,219.34,670600
,220.24,221.14,218.96,219.92,668300
,221.18,221.98,218.56,219.59,774900
,219.70,221.64,217.78,218.78,789100
2023-03-12 20:00:00-04:00,218.50,223.38,217.72,221.38,1511400
2023-03-13 20:00:00-04:00,222.39,222.85,220.49,222.70,846000
2023-03-14 20:00:00-04:00,222.59,225.85,222.27,224.93,1271500
2023-03-15 20:00:00-04:00,225.00,225.64,223.11,225.46,1021100
2023-03-16 20:00:00-04:00,226.85,227.48,223.17,223.76,2097400
2023-03-19 20:00:00-04:00,224.35,225.29,222.92,225.04,1586500
2023-03-20 20:00:00-04:00,224.71,225.41,222.32,223.79,1047500
2023-03-21 20:00:00-04:00,223.77,225.68,222.89,223.38,823700
2023-03-22 20:00:00-04:00,223.83,225.88,223.37,224.52,856300
2023-03-23 20:00:00-04:00,225.86,228.52,224.93,228.09,1587300
2023-03-26 20:00:00-04:00,228.98,231.10,228.85,230.89,1232700
2023-03-27 20:00:00-04:00,231.29,233.72,231.29,232.73,977800
2023-03-28 20:00:00-04:00,233.68,234.52,231.83,232.45,984300
2023-03-29 20:00:00-04:00,231.62,233.42,231.32,233.09,641200
2023-03-30 20:00:00-04:00,233.89,234.71,233.13,234.12,764800
2023-04-02 20:00:00-04:00,233.74,237.21,232.64,236.65,817900
2023-04-03 20:00:00-04:00,236.36,237.90,236.14,237.49,1001200
