Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,16.00,16.14,15.65,15.75,2872800
2022-04-06 20:00:00-04:00,15.75,15.76,15.26,15.64,2146400
2022-04-07 20:00:00-04:00,15.66,16.00,15.62,15.87,2137200
2022-04-10 20:00:00-04:00,15.81,16.04,15.69,15.87,1542000
2022-04-11 20:00:00-04:00,15.93,16.13,15.79,15.91,2358000
2022-04-12 20:00:00-04:00,15.81,16.15,15.81,16.06,2007200
2022-04-13 20:00:00-04:00,16.02,16.16,15.90,15.97,1752000
2022-04-17 20:00:00-04:00,15.67,15.84,15.45,15.64,3672800
2022-04-18 20:00:00-04:00,15.64,16.05,15.53,16.01,5318000
2022-04-19 20:00:00-04:00,15.90,16.54,15.79,16.25,5380800
2022-04-20 20:00:00-04:00,16.35,16.53,15.43,15.60,5013200
2022-04-21 20:00:00-04:00,15.47,15.58,14.88,14.92,3752400
2022-04-24 20:00:00-04:00,14.81,15.32,14.59,15.31,2658800
2022-04-25 20:00:00-04:00,15.41,15.76,14.90,15.01,4558000
2022-04-26 20:00:00-04:00,14.90,15.27,14.90,14.96,2486000
2022-04-27 20:00:00-04:00,15.12,15.26,14.68,15.13,2477200
2022-04-28 20:00:00-04:00,15.02,15.22,14.53,14.57,2596400
2022-05-01 20:00:00-04:00,14.62,14.93,14.38,14.65,5178000
2022-05-02 20:00:00-04:00,14.68,14.73,14.29,14.36,3680800
2022-05-03 20:00:00-04:00,14.34,14.66,14.06,14.64,4178800
2022-05-04 20:00:00-04:00,14.43,14.43,13.83,14.04,7172400
2022-05-05 20:00:00-04:00,13.89,13.98,13.27,13.44,4967600
2022-05-08 20:00:00-04:00,13.23,13.27,12.77,12.87,4568000
2022-05-09 20:00:00-04:00,13.27,13.41,12.88,13.28,4434800
2022-05-10 20:00:00-04:00,13.20,13.79,13.11,13.19,3882000
2022-05-11 20:00:00-04:00,13.04,13.14,12.76,13.07,3778400
