Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,66.14,66.57,65.76,66.52,2067700
2018-07-02 20:00:00-04:00,66.77,67.07,65.29,65.50,1148900
2018-07-04 20:00:00-04:00,65.72,65.87,65.15,65.59,1475900
2018-07-05 20:00:00-04:00,65.64,66.41,65.36,65.96,1648100
2018-07-08 20:00:00-04:00,66.21,67.45,66.17,67.29,1900100
2018-07-09 20:00:00-04:00,67.29,67.60,66.82,67.16,1821900
2018-07-10 20:00:00-04:00,66.71,67.63,66.71,67.34,1339800
2018-07-11 20:00:00-04:00,67.87,68.01,67.03,67.45,1588500
2018-07-12 20:00:00-04:00,67.50,67.50,66.59,67.40,1242600
2018-07-15 20:00:00-04:00,67.56,67.99,67.41,67.84,1185900
2018-07-16 20:00:00-04:00,67.65,68.38,67.51,68.22,1452200
2018-07-17 20:00:00-04:00,68.28,69.36,67.98,69.27,1647000
2018-07-18 20:00:00-04:00,69.17,69.45,68.29,68.36,1595600
2018-07-19 20:00:00-04:00,68.07,68.46,67.76,68.40,1840100
2018-07-22 20:00:00-04:00,68.35,69.12,68.26,69.10,2191900
2018-07-23 20:00:00-04:00,69.19,69.41,68.79,68.97,3911300
2018-07-24 20:00:00-04:00,68.79,69.34,68.50,69.28,2197600
2018-07-25 20:00:00-04:00,69.32,69.67,69.07,69.52,2155700
2018-07-26 20:00:00-04:00,69.27,69.65,68.72,68.84,1722600
2018-07-29 20:00:00-04:00,68.75,69.03,66.91,67.03,2239000
2018-07-30 20:00:00-04:00,67.46,67.63,66.05,66.69,3340800
2018-07-31 20:00:00-04:00,66.81,67.68,66.34,66.47,1954900
2018-08-01 20:00:00-04:00,65.60,66.45,65.02,65.77,4277400
2018-08-02 20:00:00-04:00,65.81,65.81,65.29,65.69,2829100
2018-08-05 20:00:00-04:00,65.65,65.77,65.32,65.49,2445100
2018-08-06 20:00:00-04:00,65.68,66.67,65.56,66.51,1504100
2018-08-07 20:00:00-04:00,66.53,66.78,66.04,66.06,1502800
2018-08-08 20:00:00-04:00,66.05,66.21,65.89,66.07,1335300
2018-08-09 20:00:00-04:00,65.83,66.33,65.40,66.11,1940600
2018-08-12 20:00:00-04:00,66.16,66.77,65.82,65.84,2269300
