Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,114.74,115.26,111.14,112.30,2720700
2022-04-06 20:00:00-04:00,111.28,113.63,109.67,112.65,2443500
2022-04-07 20:00:00-04:00,112.63,113.55,109.67,111.20,2496900
2022-04-10 20:00:00-04:00,110.69,113.99,110.62,112.45,1814000
2022-04-11 20:00:00-04:00,112.78,113.43,110.92,111.34,852800
2022-04-12 20:00:00-04:00,111.16,114.37,111.11,114.18,1209800
2022-04-13 20:00:00-04:00,114.88,115.43,112.00,112.23,1745500
2022-04-17 20:00:00-04:00,111.95,112.48,109.45,109.82,1342200
2022-04-18 20:00:00-04:00,109.97,112.36,109.56,111.44,1309600
2022-04-19 20:00:00-04:00,111.37,112.73,111.36,111.98,1115900
2022-04-20 20:00:00-04:00,113.50,114.31,111.50,111.71,1477600
2022-04-21 20:00:00-04:00,111.01,112.54,111.01,111.50,1917500
2022-04-24 20:00:00-04:00,111.20,111.20,107.97,110.12,1188300
2022-04-25 20:00:00-04:00,110.54,111.00,107.05,107.21,1316100
2022-04-26 20:00:00-04:00,107.96,111.64,107.96,110.28,1516100
2022-04-27 20:00:00-04:00,110.95,112.50,109.35,112.00,1380400
2022-04-28 20:00:00-04:00,111.97,112.64,108.18,108.54,837200
2022-05-01 20:00:00-04:00,108.88,109.97,107.20,108.78,1282000
2022-05-02 20:00:00-04:00,109.60,110.87,108.58,109.07,867800
2022-05-03 20:00:00-04:00,109.33,113.39,109.09,113.18,947900
2022-05-04 20:00:00-04:00,111.45,112.91,108.92,109.84,999900
2022-05-05 20:00:00-04:00,109.36,109.83,107.11,109.30,1427800
2022-05-08 20:00:00-04:00,107.58,109.03,106.55,106.92,1874900
2022-05-09 20:00:00-04:00,111.02,115.83,108.31,112.30,2900000
2022-05-10 20:00:00-04:00,111.69,117.41,111.69,114.53,2964000
2022-05-11 20:00:00-04:00,113.92,116.09,112.99,115.01,2730200
2022-05-12 20:00:00-04:00,115.70,118.48,115.70,118.26,2067300
2022-05-15 20:00:00-04:00,117.47,118.09,113.55,114.50,1165500
2022-05-16 20:00:00-04:00,116.59,116.59,112.89,116.17,1527000
2022-05-17 20:00:00-04:00,114.81,115.74,113.25,113.59,1416200
2022-05-18 20:00:00-04:00,112.98,116.80,112.75,115.44,1057500
2022-05-19 20:00:00-04:00,116.17,116.68,112.56,115.37,826500
2022-05-22 20:00:00-04:00,116.79,116.79,114.08,115.53,777000
2022-05-23 20:00:00-04:00,115.16,115.29,112.68,115.02,840900
2022-05-24 20:00:00-04:00,115.15,116.56,114.92,116.05,579300
2022-05-25 20:00:00-04:00,117.27,118.45,116.66,117.22,584400
2022-05-26 20:00:00-04:00,117.78,119.00,117.33,118.97,950000
2022-05-30 20:00:00-04:00,117.66,118.77,116.11,118.26,1408900
2022-05-31 20:00:00-04:00,118.64,119.46,116.39,118.26,712200
2022-06-01 20:00:00-04:00,119.06,120.00,118.17,119.73,943400
2022-06-02 20:00:00-04:00,118.43,119.67,118.17,118.62,504000
2022-06-05 20:00:00-04:00,119.01,120.51,118.03,118.64,430800
2022-06-06 20:00:00-04:00,117.77,120.53,117.69,120.37,822200
2022-06-07 20:00:00-04:00,119.31,120.95,118.89,118.94,733800
2022-06-08 20:00:00-04:00,117.97,119.21,117.02,117.04,561500
2022-06-09 20:00:00-04:00,115.20,115.60,111.21,111.76,1335700
2022-06-12 20:00:00-04:00,109.62,109.62,106.49,106.98,1133600
2022-06-13 20:00:00-04:00,107.13,107.47,104.19,104.84,1300500
2022-06-14 20:00:00-04:00,106.72,107.07,102.35,104.18,1287000
2022-06-15 20:00:00-04:00,100.41,101.75,97.46,98.03,2788100
2022-06-16 20:00:00-04:00,97.30,97.98,94.29,96.91,3948300
2022-06-20 20:00:00-04:00,98.89,101.67,98.44,101.07,2139300
2022-06-21 20:00:00-04:00,100.38,105.37,100.38,103.54,2233900
2022-06-22 20:00:00-04:00,104.22,105.37,103.43,104.84,1683700
2022-06-23 20:00:00-04:00,105.53,109.43,105.53,109.38,1453200
2022-06-26 20:00:00-04:00,109.98,110.33,107.19,107.34,1188400
2022-06-27 20:00:00-04:00,108.39,108.97,105.09,105.13,979800
2022-06-28 20:00:00-04:00,105.52,105.85,103.13,105.75,910500
2022-06-29 20:00:00-04:00,104.63,107.58,104.45,107.32,1308500
2022-06-30 20:00:00-04:00,106.94,108.58,104.49,107.45,1420600
2022-07-04 20:00:00-04:00,105.55,107.16,103.36,107.12,1097700
2022-07-05 20:00:00-04:00,107.39,108.02,105.91,107.60,890900
2022-07-06 20:00:00-04:00,108.45,108.72,105.67,105.94,1249400
2022-07-07 20:00:00-04:00,106.08,106.08,104.63,105.03,803700
2022-07-10 20:00:00-04:00,103.53,105.64,103.53,104.71,495100
2022-07-11 20:00:00-04:00,104.22,106.88,104.22,105.44,583200
2022-07-12 20:00:00-04:00,102.24,104.67,102.24,103.57,688800
2022-07-13 20:00:00-04:00,102.53,102.53,100.91,101.95,1681800
2022-07-14 20:00:00-04:00,103.76,104.73,101.94,104.49,784100
2022-07-17 20:00:00-04:00,105.18,105.59,102.66,103.10,703700
2022-07-18 20:00:00-04:00,104.36,106.62,104.11,106.04,992400
2022-07-19 20:00:00-04:00,106.31,107.83,105.93,107.53,775100
2022-07-20 20:00:00-04:00,107.38,110.29,107.26,110.21,921700
2022-07-21 20:00:00-04:00,110.91,111.67,109.37,110.15,771600
2022-07-24 20:00:00-04:00,110.28,111.70,110.02,110.87,775600
2022-07-25 20:00:00-04:00,110.74,111.03,108.36,109.00,859600
2022-07-26 20:00:00-04:00,108.03,109.55,105.62,109.25,1432300
2022-07-27 20:00:00-04:00,110.10,112.15,109.18,112.00,1206000
