Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,113.62,114.78,113.23,114.73,1080400
2018-07-02 20:00:00-04:00,114.96,116.46,114.96,115.25,790100
2018-07-04 20:00:00-04:00,116.07,116.83,115.08,116.61,1153300
2018-07-05 20:00:00-04:00,116.51,116.70,115.39,115.59,1738400
2018-07-08 20:00:00-04:00,115.88,119.33,115.80,118.95,1276300
2018-07-09 20:00:00-04:00,118.95,119.71,118.18,119.24,1150500
2018-07-10 20:00:00-04:00,118.02,119.02,117.03,117.22,1142800
2018-07-11 20:00:00-04:00,117.77,119.79,116.79,117.93,1251700
2018-07-12 20:00:00-04:00,117.74,119.38,117.74,118.99,1028700
2018-07-15 20:00:00-04:00,119.01,119.30,117.26,117.39,1028300
2018-07-16 20:00:00-04:00,117.26,119.07,117.19,118.53,1545500
2018-07-17 20:00:00-04:00,118.86,119.48,118.47,118.86,1714500
2018-07-18 20:00:00-04:00,118.52,120.74,118.27,120.40,1763100
2018-07-19 20:00:00-04:00,119.79,122.53,119.57,121.56,2432600
2018-07-22 20:00:00-04:00,113.27,114.91,111.46,112.79,2841950
2018-07-23 20:00:00-04:00,111.74,115.93,111.54,114.39,2841950
2018-07-24 20:00:00-04:00,113.52,114.67,112.24,114.28,2648500
2018-07-25 20:00:00-04:00,114.77,117.24,114.44,116.92,2291300
2018-07-26 20:00:00-04:00,116.98,117.47,115.69,116.06,1118100
2018-07-29 20:00:00-04:00,116.18,117.43,115.59,115.66,1457700
2018-07-30 20:00:00-04:00,116.37,119.35,116.04,118.64,2158300
2018-07-31 20:00:00-04:00,117.95,118.63,114.87,115.20,1575000
2018-08-01 20:00:00-04:00,113.98,115.97,113.28,115.08,1283700
2018-08-02 20:00:00-04:00,115.44,115.79,114.36,115.51,1156600
2018-08-05 20:00:00-04:00,115.88,116.66,115.59,116.36,1155000
2018-08-06 20:00:00-04:00,116.36,117.97,116.10,116.17,1512900
2018-08-07 20:00:00-04:00,116.03,116.50,115.40,116.21,1051500
2018-08-08 20:00:00-04:00,116.24,116.38,114.56,114.65,1386200
2018-08-09 20:00:00-04:00,114.23,114.44,112.23,112.96,1451700
2018-08-12 20:00:00-04:00,113.19,113.75,112.38,112.48,1605500
2018-08-13 20:00:00-04:00,112.56,114.36,112.56,113.65,1289000
2018-08-14 20:00:00-04:00,112.93,115.10,112.02,114.72,2084700
2018-08-15 20:00:00-04:00,115.40,116.10,114.34,115.01,1427000
2018-08-16 20:00:00-04:00,114.75,115.76,114.47,115.41,1290000
2018-08-19 20:00:00-04:00,115.68,116.19,114.16,114.47,1711200
2018-08-20 20:00:00-04:00,114.43,114.85,113.69,114.28,1647800
2018-08-21 20:00:00-04:00,113.90,114.42,112.45,112.71,1478800
2018-08-22 20:00:00-04:00,112.72,112.99,111.63,111.86,1925300
2018-08-23 20:00:00-04:00,112.16,112.57,111.29,112.20,1722600
2018-08-26 20:00:00-04:00,113.14,114.73,112.59,114.34,1490800
2018-08-27 20:00:00-04:00,114.61,115.18,114.32,114.50,796200
2018-08-28 20:00:00-04:00,114.48,116.38,113.92,114.81,1164800
2018-08-29 20:00:00-04:00,114.67,115.76,114.35,114.69,1432400
2018-08-30 20:00:00-04:00,114.49,115.59,114.25,114.96,1523300
2018-09-03 20:00:00-04:00,114.80,115.21,113.97,115.01,1410500
2018-09-04 20:00:00-04:00,114.64,117.13,114.48,117.01,1861200
2018-09-05 20:00:00-04:00,116.98,117.80,116.26,116.77,1458800
2018-09-06 20:00:00-04:00,116.30,116.55,114.86,116.41,1319100
2018-09-09 20:00:00-04:00,117.00,119.25,117.00,117.91,1422400
2018-09-10 20:00:00-04:00,117.31,117.60,116.63,117.15,1489400
2018-09-11 20:00:00-04:00,116.96,118.78,116.94,117.27,1887900
2018-09-12 20:00:00-04:00,117.94,118.43,117.15,118.20,932000
2018-09-13 20:00:00-04:00,118.52,120.03,118.52,119.93,1282000
2018-09-16 20:00:00-04:00,120.04,121.07,119.54,121.02,1614600
2018-09-17 20:00:00-04:00,121.02,121.78,119.62,121.17,1204600
2018-09-18 20:00:00-04:00,121.31,122.41,120.96,121.46,987400
2018-09-19 20:00:00-04:00,122.40,122.83,121.33,122.50,915900
2018-09-20 20:00:00-04:00,122.89,123.47,122.36,122.87,2265600
2018-09-23 20:00:00-04:00,122.80,122.84,120.61,120.87,822800
2018-09-24 20:00:00-04:00,120.98,121.09,118.62,118.79,1674700
2018-09-25 20:00:00-04:00,118.83,119.24,118.14,118.31,1672400
2018-09-26 20:00:00-04:00,118.52,119.20,117.88,118.35,856700
2018-09-27 20:00:00-04:00,118.23,118.62,117.17,117.63,925400
2018-09-30 20:00:00-04:00,118.55,119.48,118.02,119.32,2037500
2018-10-01 20:00:00-04:00,119.58,120.72,119.20,120.63,1039900
2018-10-02 20:00:00-04:00,120.82,120.90,119.43,119.78,1365400
2018-10-03 20:00:00-04:00,119.71,120.26,118.70,119.63,1196900
2018-10-04 20:00:00-04:00,119.56,119.73,116.63,117.54,1551300
2018-10-07 20:00:00-04:00,117.05,117.53,116.14,117.26,1661300
2018-10-08 20:00:00-04:00,116.69,116.84,114.03,114.09,1663900
2018-10-09 20:00:00-04:00,113.87,113.97,110.77,110.87,2841950
2018-10-10 20:00:00-04:00,110.90,111.47,107.32,107.82,2231100
2018-10-11 20:00:00-04:00,109.71,110.06,107.40,108.92,2055200
2018-10-14 20:00:00-04:00,108.67,110.16,108.61,109.40,1301100
2018-10-15 20:00:00-04:00,109.99,111.12,109.08,110.94,1611000
2018-10-16 20:00:00-04:00,110.38,110.85,108.90,110.04,1346500
2018-10-17 20:00:00-04:00,105.60,108.72,105.60,107.06,2841950
2018-10-18 20:00:00-04:00,107.01,107.18,105.14,105.89,1873400
2018-10-21 20:00:00-04:00,106.33,106.82,105.41,106.13,1744900
2018-10-22 20:00:00-04:00,103.84,106.42,101.67,105.51,2841950
