Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,117.91,118.70,117.65,118.56,320000
2018-07-02 20:00:00-04:00,119.09,120.06,118.25,119.62,199400
2018-07-04 20:00:00-04:00,119.86,120.46,118.64,120.39,304700
2018-07-05 20:00:00-04:00,120.32,121.47,120.28,121.34,239400
2018-07-08 20:00:00-04:00,121.71,122.30,121.59,122.21,271000
2018-07-09 20:00:00-04:00,122.52,122.54,121.30,121.88,232500
2018-07-10 20:00:00-04:00,121.89,123.12,121.72,122.83,243900
2018-07-11 20:00:00-04:00,123.46,124.47,123.46,124.33,359800
2018-07-12 20:00:00-04:00,124.44,124.44,122.77,122.90,325900
2018-07-15 20:00:00-04:00,123.12,123.36,122.37,122.71,179300
2018-07-16 20:00:00-04:00,122.62,123.90,122.33,123.71,255700
2018-07-17 20:00:00-04:00,124.01,124.28,122.70,123.28,510800
2018-07-18 20:00:00-04:00,123.29,123.76,121.97,123.28,350100
2018-07-19 20:00:00-04:00,123.33,123.80,122.98,123.38,234100
2018-07-22 20:00:00-04:00,123.39,124.39,123.07,124.27,219600
2018-07-23 20:00:00-04:00,124.57,124.86,123.13,124.77,260700
2018-07-24 20:00:00-04:00,125.44,125.97,124.78,125.61,383300
2018-07-25 20:00:00-04:00,125.61,126.28,123.67,125.93,200600
2018-07-26 20:00:00-04:00,126.07,126.86,123.48,124.73,289600
2018-07-29 20:00:00-04:00,124.72,124.72,122.59,122.66,275000
2018-07-30 20:00:00-04:00,123.26,123.55,121.71,122.28,430200
2018-07-31 20:00:00-04:00,122.28,123.63,121.84,123.51,296800
2018-08-01 20:00:00-04:00,122.74,126.17,122.74,125.44,292000
2018-08-02 20:00:00-04:00,125.42,125.94,124.33,125.85,141000
2018-08-05 20:00:00-04:00,125.86,127.03,125.79,126.90,208700
2018-08-06 20:00:00-04:00,127.10,127.96,126.46,127.53,209900
2018-08-07 20:00:00-04:00,127.52,127.90,127.31,127.54,213900
2018-08-08 20:00:00-04:00,127.79,128.57,127.48,128.01,314100
2018-08-09 20:00:00-04:00,127.67,129.17,127.67,127.75,213100
2018-08-12 20:00:00-04:00,128.26,129.98,127.09,128.61,265200
2018-08-13 20:00:00-04:00,128.61,130.42,128.24,129.88,378300
2018-08-14 20:00:00-04:00,129.68,129.77,128.26,129.72,232800
2018-08-15 20:00:00-04:00,130.27,130.50,129.09,129.37,277800
2018-08-16 20:00:00-04:00,129.27,130.36,128.82,130.04,255200
2018-08-19 20:00:00-04:00,130.34,131.28,129.74,131.17,372400
2018-08-20 20:00:00-04:00,130.84,132.12,129.92,130.82,834100
2018-08-21 20:00:00-04:00,134.19,141.43,131.84,140.98,1222900
2018-08-22 20:00:00-04:00,141.10,144.73,141.10,142.17,937300
2018-08-23 20:00:00-04:00,142.48,144.70,142.19,143.86,479800
2018-08-26 20:00:00-04:00,144.35,145.24,142.15,142.72,773100
2018-08-27 20:00:00-04:00,143.12,144.76,141.87,142.54,688000
2018-08-28 20:00:00-04:00,142.54,143.96,142.54,143.10,724800
2018-08-29 20:00:00-04:00,142.90,144.08,142.65,143.58,394700
2018-08-30 20:00:00-04:00,143.35,143.93,142.51,143.84,497800
2018-09-03 20:00:00-04:00,144.07,144.90,142.92,144.60,382200
2018-09-04 20:00:00-04:00,144.97,145.04,142.93,143.42,496600
2018-09-05 20:00:00-04:00,143.72,145.13,143.21,144.86,454000
2018-09-06 20:00:00-04:00,144.44,146.13,144.43,145.25,453200
2018-09-09 20:00:00-04:00,145.65,147.66,144.94,145.41,438200
2018-09-10 20:00:00-04:00,145.23,146.33,144.70,146.05,323200
2018-09-11 20:00:00-04:00,145.64,147.21,144.69,146.99,370400
2018-09-12 20:00:00-04:00,147.12,148.18,146.51,147.25,357100
2018-09-13 20:00:00-04:00,147.34,148.78,147.34,148.19,614500
2018-09-16 20:00:00-04:00,148.20,148.94,145.50,145.53,678500
2018-09-17 20:00:00-04:00,145.59,146.86,144.69,146.72,341000
