Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,48.62,49.56,48.55,49.49,1215619
2018-07-02 20:00:00-04:00,49.78,50.02,48.64,48.72,580547
2018-07-04 20:00:00-04:00,49.14,50.03,48.90,49.85,1900380
2018-07-05 20:00:00-04:00,49.69,50.55,49.61,50.29,1500694
2018-07-08 20:00:00-04:00,50.59,51.09,50.53,51.04,1312337
2018-07-09 20:00:00-04:00,50.98,51.48,50.80,51.43,1451006
2018-07-10 20:00:00-04:00,50.80,51.14,50.54,50.57,1115033
2018-07-11 20:00:00-04:00,50.82,50.97,50.33,50.72,1038143
2018-07-12 20:00:00-04:00,50.72,51.42,50.53,51.28,683310
2018-07-15 20:00:00-04:00,51.18,51.31,50.37,50.61,785468
2018-07-16 20:00:00-04:00,50.32,51.18,50.30,51.04,915916
2018-07-17 20:00:00-04:00,50.97,51.83,50.94,51.72,1293356
2018-07-18 20:00:00-04:00,51.45,51.86,51.02,51.69,512845
2018-07-19 20:00:00-04:00,51.46,51.48,51.05,51.11,559632
2018-07-22 20:00:00-04:00,50.92,51.47,50.75,51.13,1144532
2018-07-23 20:00:00-04:00,51.50,51.97,51.29,51.87,1149247
2018-07-24 20:00:00-04:00,51.72,51.93,50.77,51.89,1200024
2018-07-25 20:00:00-04:00,51.84,52.60,51.64,52.30,698059
2018-07-26 20:00:00-04:00,52.46,52.58,51.85,52.01,734691
2018-07-29 20:00:00-04:00,52.27,52.61,51.76,51.79,1075258
2018-07-30 20:00:00-04:00,52.10,52.51,51.52,52.30,833585
2018-07-31 20:00:00-04:00,51.76,52.22,51.51,51.85,676298
2018-08-01 20:00:00-04:00,51.36,52.08,51.12,51.86,753793
2018-08-02 20:00:00-04:00,51.36,52.41,51.36,52.00,1409538
2018-08-05 20:00:00-04:00,54.25,56.68,52.86,56.04,2752622
2018-08-06 20:00:00-04:00,57.10,57.27,55.44,55.92,2164056
2018-08-07 20:00:00-04:00,55.98,56.69,55.61,56.48,1683007
2018-08-08 20:00:00-04:00,56.48,56.81,56.16,56.23,1710693
2018-08-09 20:00:00-04:00,55.86,56.04,55.35,55.71,1128453
2018-08-12 20:00:00-04:00,55.65,55.82,55.03,55.10,1252251
2018-08-13 20:00:00-04:00,55.27,55.89,55.08,55.50,1174635
2018-08-14 20:00:00-04:00,55.02,55.20,54.56,54.92,953273
2018-08-15 20:00:00-04:00,55.13,55.41,54.75,55.10,789699
2018-08-16 20:00:00-04:00,55.17,55.86,55.02,55.69,881218
2018-08-19 20:00:00-04:00,55.80,56.50,55.60,56.44,1117451
2018-08-20 20:00:00-04:00,56.58,56.96,56.34,56.63,783654
2018-08-21 20:00:00-04:00,56.66,56.83,56.30,56.55,595539
2018-08-22 20:00:00-04:00,56.46,56.62,56.27,56.38,850631
2018-08-23 20:00:00-04:00,56.45,56.49,55.92,56.40,879284
2018-08-26 20:00:00-04:00,56.61,56.85,56.37,56.43,1199903
2018-08-27 20:00:00-04:00,56.58,56.66,56.09,56.23,1312458
2018-08-28 20:00:00-04:00,56.44,57.21,56.23,57.07,1226984
2018-08-29 20:00:00-04:00,56.90,57.09,56.33,56.56,594451
2018-08-30 20:00:00-04:00,56.30,56.54,56.09,56.34,993290
2018-09-03 20:00:00-04:00,56.11,56.41,55.63,55.84,1099921
2018-09-04 20:00:00-04:00,55.68,56.40,55.57,56.33,926917
2018-09-05 20:00:00-04:00,56.57,57.35,56.40,57.23,1488967
2018-09-06 20:00:00-04:00,56.89,57.54,56.64,57.06,1242096
2018-09-09 20:00:00-04:00,57.35,57.70,57.03,57.28,1479296
2018-09-10 20:00:00-04:00,57.00,57.88,57.00,57.50,1045034
2018-09-11 20:00:00-04:00,57.37,58.22,57.06,58.15,1103185
2018-09-12 20:00:00-04:00,58.51,58.87,57.99,58.30,1158193
2018-09-13 20:00:00-04:00,58.29,58.99,58.16,58.73,1146224
2018-09-16 20:00:00-04:00,58.71,59.41,58.62,58.88,2278667
2018-09-17 20:00:00-04:00,58.99,59.37,58.71,59.02,2535210
2018-09-18 20:00:00-04:00,59.02,59.88,58.98,59.53,979387
2018-09-19 20:00:00-04:00,59.89,60.38,59.16,59.47,2350721
2018-09-20 20:00:00-04:00,59.71,60.30,59.52,60.15,2143504
2018-09-23 20:00:00-04:00,60.04,60.15,59.78,59.88,969352
2018-09-24 20:00:00-04:00,59.97,60.26,59.78,59.99,1082391
2018-09-25 20:00:00-04:00,59.90,60.15,59.33,59.66,857160
2018-09-26 20:00:00-04:00,59.66,60.09,59.34,59.38,1130871
2018-09-27 20:00:00-04:00,59.44,59.78,59.18,59.40,1771383
2018-09-30 20:00:00-04:00,59.67,59.94,59.22,59.84,1941606
2018-10-01 20:00:00-04:00,59.84,60.25,59.67,59.95,2635313
2018-10-02 20:00:00-04:00,60.16,60.56,59.85,60.27,861633
2018-10-03 20:00:00-04:00,60.23,60.82,60.06,60.46,1362509
2018-10-04 20:00:00-04:00,60.36,60.45,59.32,59.43,1153720
2018-10-07 20:00:00-04:00,59.16,59.98,59.02,59.85,801910
2018-10-08 20:00:00-04:00,59.60,60.22,59.33,59.53,961373
2018-10-09 20:00:00-04:00,59.54,59.54,57.59,57.67,1278607
2018-10-10 20:00:00-04:00,56.18,57.61,54.78,56.06,1915734
2018-10-11 20:00:00-04:00,56.95,57.04,54.84,55.91,1469866
2018-10-14 20:00:00-04:00,56.06,56.96,55.93,56.65,1027383
2018-10-15 20:00:00-04:00,57.04,57.80,56.40,57.72,783533
2018-10-16 20:00:00-04:00,57.69,57.84,56.64,57.35,993411
2018-10-17 20:00:00-04:00,57.10,57.68,56.43,56.76,835761
2018-10-18 20:00:00-04:00,56.88,57.05,56.01,56.13,721876
2018-10-21 20:00:00-04:00,59.89,60.37,58.74,59.96,2752622
2018-10-22 20:00:00-04:00,58.84,59.31,58.30,58.88,2006769
2018-10-23 20:00:00-04:00,59.14,59.14,56.24,56.32,1696064
2018-10-24 20:00:00-04:00,56.90,58.77,56.88,58.42,1186604
2018-10-25 20:00:00-04:00,57.48,58.16,56.79,57.39,1468415
2018-10-28 20:00:00-04:00,58.24,58.24,55.21,56.22,1667895
2018-10-29 20:00:00-04:00,56.12,57.67,56.03,57.57,1151423
2018-10-30 20:00:00-04:00,58.39,60.09,58.25,58.31,1414374
2018-10-31 20:00:00-04:00,58.59,59.25,58.13,58.65,1314634
2018-11-01 20:00:00-04:00,59.13,59.64,58.08,58.35,2659130
2018-11-04 19:00:00-05:00,58.40,59.92,58.17,59.64,1470591
2018-11-05 19:00:00-05:00,59.33,61.83,59.33,61.76,2498578
2018-11-06 19:00:00-05:00,62.12,62.87,61.55,62.84,1555219
2018-11-07 19:00:00-05:00,62.97,63.86,61.48,61.68,1503717
2018-11-08 19:00:00-05:00,60.96,61.31,59.62,59.99,1672731
2018-11-11 19:00:00-05:00,59.96,60.03,58.20,58.32,1514960
2018-11-12 19:00:00-05:00,58.58,59.51,57.77,57.97,1071147
2018-11-13 19:00:00-05:00,58.43,58.55,56.48,56.93,2082814
2018-11-14 19:00:00-05:00,56.84,58.53,56.48,58.24,1186846
2018-11-15 19:00:00-05:00,57.95,58.43,57.37,57.60,2137338
2018-11-18 19:00:00-05:00,57.58,57.88,55.92,56.63,2752622
2018-11-19 19:00:00-05:00,55.23,55.28,48.04,50.51,2752622
2018-11-20 19:00:00-05:00,50.92,51.91,50.33,50.64,2752622
2018-11-22 19:00:00-05:00,50.18,50.90,49.70,50.23,1542404
2018-11-25 19:00:00-05:00,50.63,50.86,49.53,50.68,2159462
2018-11-26 19:00:00-05:00,50.33,50.85,49.83,50.23,2004230
2018-11-27 19:00:00-05:00,50.18,51.51,49.24,51.39,2131051
2018-11-28 19:00:00-05:00,51.13,51.98,50.34,50.55,1937254
2018-11-29 19:00:00-05:00,50.46,51.23,50.25,50.99,2349754
2018-12-02 19:00:00-05:00,51.77,53.14,51.16,51.23,2411774
2018-12-03 19:00:00-05:00,50.94,50.96,48.25,48.74,2752622
2018-12-05 19:00:00-05:00,47.88,48.43,46.63,47.31,2752622
2018-12-06 19:00:00-05:00,47.54,48.33,46.16,46.42,1795441
2018-12-09 19:00:00-05:00,45.90,46.64,45.04,45.71,1569243
2018-12-10 19:00:00-05:00,46.76,47.48,46.19,46.51,2752622
2018-12-11 19:00:00-05:00,47.55,48.25,47.20,47.24,2036510
2018-12-12 19:00:00-05:00,47.47,47.48,46.12,46.51,1298796
2018-12-13 19:00:00-05:00,45.78,46.15,45.39,45.58,1189264
2018-12-16 19:00:00-05:00,45.35,46.19,44.68,44.93,2390255
2018-12-17 19:00:00-05:00,45.37,45.96,44.63,44.81,1956476
2018-12-18 19:00:00-05:00,44.87,46.20,44.25,44.61,1832799
2018-12-19 19:00:00-05:00,44.47,45.13,43.73,44.35,1771987
2018-12-20 19:00:00-05:00,44.32,44.94,43.14,43.42,2752622
2018-12-23 19:00:00-05:00,43.26,43.90,42.89,42.89,1044066
2018-12-25 19:00:00-05:00,43.32,44.98,42.84,44.93,1164722
2018-12-26 19:00:00-05:00,43.88,45.30,43.48,45.30,1115275
2018-12-27 19:00:00-05:00,45.44,45.62,44.55,44.71,1242458
2018-12-30 19:00:00-05:00,44.79,45.40,44.71,45.40,817385
2019-01-01 19:00:00-05:00,44.67,45.72,44.49,45.41,971649
2019-01-02 19:00:00-05:00,45.30,45.41,44.21,44.49,1350178
