Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,58.55,59.78,58.51,59.68,648000
2018-07-02 20:00:00-04:00,59.92,59.92,59.21,59.45,461800
2018-07-04 20:00:00-04:00,59.64,59.68,58.93,59.50,774100
2018-07-05 20:00:00-04:00,59.50,60.02,59.48,59.83,686000
2018-07-08 20:00:00-04:00,60.00,60.36,59.73,60.14,982200
2018-07-09 20:00:00-04:00,60.39,60.82,60.19,60.42,606900
2018-07-10 20:00:00-04:00,60.19,60.41,59.64,59.74,1123400
2018-07-11 20:00:00-04:00,59.95,60.31,59.83,60.08,792000
2018-07-12 20:00:00-04:00,60.17,60.51,59.77,59.97,489100
2018-07-15 20:00:00-04:00,60.00,60.16,59.44,59.62,446500
2018-07-16 20:00:00-04:00,59.58,60.47,59.21,60.30,290500
2018-07-17 20:00:00-04:00,60.54,61.25,60.14,60.71,454600
2018-07-18 20:00:00-04:00,60.80,61.18,60.65,60.92,679900
2018-07-19 20:00:00-04:00,61.02,61.17,60.45,60.59,424600
2018-07-22 20:00:00-04:00,60.40,60.40,59.42,59.61,768800
2018-07-23 20:00:00-04:00,60.15,60.39,58.78,59.16,525900
2018-07-24 20:00:00-04:00,59.21,59.93,59.17,59.63,913200
2018-07-25 20:00:00-04:00,59.63,60.49,59.57,60.41,898500
2018-07-26 20:00:00-04:00,60.56,60.87,58.95,59.16,559400
2018-07-29 20:00:00-04:00,59.12,59.47,57.38,57.46,846800
2018-07-30 20:00:00-04:00,57.73,58.66,57.01,58.00,830000
2018-07-31 20:00:00-04:00,58.00,58.87,58.00,58.74,657800
2018-08-01 20:00:00-04:00,58.40,59.90,58.24,59.69,624800
2018-08-02 20:00:00-04:00,59.66,59.83,58.72,59.31,664700
2018-08-05 20:00:00-04:00,59.43,60.35,59.43,60.13,685400
2018-08-06 20:00:00-04:00,60.17,60.58,60.15,60.39,591700
2018-08-07 20:00:00-04:00,60.53,60.57,59.88,60.46,489000
2018-08-08 20:00:00-04:00,60.45,61.20,60.15,60.25,884800
2018-08-09 20:00:00-04:00,60.00,60.22,59.66,59.93,543800
2018-08-12 20:00:00-04:00,59.90,60.64,59.71,59.79,996600
2018-08-13 20:00:00-04:00,60.00,61.07,59.45,60.49,1262000
2018-08-14 20:00:00-04:00,60.24,60.44,58.89,58.93,1462200
2018-08-15 20:00:00-04:00,59.15,60.36,59.12,59.64,1152700
2018-08-16 20:00:00-04:00,59.69,59.90,59.05,59.82,830600
2018-08-19 20:00:00-04:00,59.95,60.51,59.83,60.19,1299200
2018-08-20 20:00:00-04:00,60.30,60.70,60.00,60.44,1393400
2018-08-21 20:00:00-04:00,69.51,70.40,63.86,64.17,3352925
2018-08-22 20:00:00-04:00,64.35,65.04,62.89,62.97,1743100
2018-08-23 20:00:00-04:00,62.99,63.50,62.59,62.89,1719900
2018-08-26 20:00:00-04:00,63.23,64.54,63.23,64.52,1002400
2018-08-27 20:00:00-04:00,64.53,64.80,63.66,64.11,906300
2018-08-28 20:00:00-04:00,64.33,64.72,64.04,64.45,608800
2018-08-29 20:00:00-04:00,64.40,64.96,64.14,64.32,800500
2018-08-30 20:00:00-04:00,64.39,65.01,64.34,64.89,761100
2018-09-03 20:00:00-04:00,64.90,65.63,64.35,65.48,1160100
2018-09-04 20:00:00-04:00,65.52,65.78,64.75,65.55,1376300
2018-09-05 20:00:00-04:00,65.60,66.33,65.35,65.74,960700
2018-09-06 20:00:00-04:00,65.54,66.08,65.33,65.65,852300
2018-09-09 20:00:00-04:00,66.00,66.30,65.67,66.09,753300
2018-09-10 20:00:00-04:00,65.92,66.57,65.85,66.50,665500
2018-09-11 20:00:00-04:00,66.55,66.62,65.11,66.13,1051600
2018-09-12 20:00:00-04:00,66.49,67.08,66.18,66.40,1091200
2018-09-13 20:00:00-04:00,66.40,66.67,65.37,65.80,1171200
2018-09-16 20:00:00-04:00,65.80,65.95,64.09,64.14,893300
2018-09-17 20:00:00-04:00,64.22,65.43,64.22,65.20,1405700
2018-09-18 20:00:00-04:00,65.39,65.68,64.56,64.93,1388400
2018-09-19 20:00:00-04:00,65.40,65.44,64.81,64.86,1479900
2018-09-20 20:00:00-04:00,64.96,65.90,64.59,64.63,1815500
2018-09-23 20:00:00-04:00,64.39,64.92,63.90,64.91,1855100
2018-09-24 20:00:00-04:00,64.95,65.80,64.88,65.51,1289100
2018-09-25 20:00:00-04:00,65.89,66.37,64.80,64.95,696800
2018-09-26 20:00:00-04:00,65.05,65.71,65.05,65.65,817000
2018-09-27 20:00:00-04:00,65.69,66.83,65.69,66.28,1161900
2018-09-30 20:00:00-04:00,66.70,67.00,65.82,66.11,920700
2018-10-01 20:00:00-04:00,65.95,66.29,65.33,65.79,798500
2018-10-02 20:00:00-04:00,66.11,66.28,65.70,66.11,549300
2018-10-03 20:00:00-04:00,66.01,66.02,64.75,65.49,1332700
2018-10-04 20:00:00-04:00,65.49,66.50,64.68,65.20,1233700
2018-10-07 20:00:00-04:00,64.87,64.87,62.82,63.97,587300
2018-10-08 20:00:00-04:00,63.77,64.64,63.44,64.46,767500
2018-10-09 20:00:00-04:00,64.46,64.49,61.31,61.39,1211700
2018-10-10 20:00:00-04:00,60.63,61.88,60.20,60.44,1047200
2018-10-11 20:00:00-04:00,61.83,62.33,60.59,62.02,1418800
2018-10-14 20:00:00-04:00,62.00,62.04,61.13,61.47,787800
2018-10-15 20:00:00-04:00,62.00,63.12,61.49,63.08,1670800
2018-10-16 20:00:00-04:00,63.13,63.42,61.35,63.23,1657300
2018-10-17 20:00:00-04:00,64.50,65.04,62.64,63.07,1051700
2018-10-18 20:00:00-04:00,63.44,63.68,61.66,61.78,888300
