Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,13.42,13.70,13.37,13.70,7420500
2018-07-02 20:00:00-04:00,13.72,13.80,13.55,13.57,4066100
2018-07-04 20:00:00-04:00,13.63,13.68,13.44,13.49,7059600
2018-07-05 20:00:00-04:00,13.47,13.64,13.36,13.58,5608900
2018-07-08 20:00:00-04:00,13.62,14.01,13.61,13.99,11707600
2018-07-09 20:00:00-04:00,14.03,14.09,13.75,13.87,9452400
2018-07-10 20:00:00-04:00,13.74,13.88,13.72,13.72,6665000
2018-07-11 20:00:00-04:00,13.85,13.86,13.57,13.61,9327000
2018-07-12 20:00:00-04:00,13.54,13.61,13.37,13.48,8151100
2018-07-15 20:00:00-04:00,13.54,13.75,13.52,13.73,5360700
2018-07-16 20:00:00-04:00,13.75,13.90,13.64,13.83,7540700
2018-07-17 20:00:00-04:00,13.81,14.03,13.81,13.99,9153000
2018-07-18 20:00:00-04:00,14.19,14.31,13.87,14.22,14906800
2018-07-19 20:00:00-04:00,14.23,14.28,14.12,14.14,12437500
2018-07-22 20:00:00-04:00,14.16,14.38,14.16,14.37,11366500
2018-07-23 20:00:00-04:00,14.39,14.55,14.34,14.44,11783500
2018-07-24 20:00:00-04:00,14.39,14.50,14.26,14.38,10291900
2018-07-25 20:00:00-04:00,14.46,14.60,14.40,14.57,9319600
2018-07-26 20:00:00-04:00,14.57,14.68,14.49,14.66,10989400
2018-07-29 20:00:00-04:00,14.65,14.76,14.57,14.58,10013400
2018-07-30 20:00:00-04:00,14.62,14.69,14.38,14.39,12636000
2018-07-31 20:00:00-04:00,14.49,14.74,14.47,14.54,9241900
2018-08-01 20:00:00-04:00,14.48,14.74,14.40,14.70,6948200
2018-08-02 20:00:00-04:00,14.69,14.76,14.61,14.72,9125700
2018-08-05 20:00:00-04:00,14.76,14.76,14.59,14.68,9531600
2018-08-06 20:00:00-04:00,14.72,14.89,14.72,14.79,8606800
2018-08-07 20:00:00-04:00,14.80,14.97,14.77,14.90,6563600
2018-08-08 20:00:00-04:00,14.88,14.99,14.83,14.87,5114900
2018-08-09 20:00:00-04:00,14.67,14.84,14.63,14.74,7941300
2018-08-12 20:00:00-04:00,14.72,14.83,14.59,14.60,7466900
2018-08-13 20:00:00-04:00,14.71,14.83,14.68,14.79,12176900
2018-08-14 20:00:00-04:00,14.70,14.78,14.54,14.57,9884100
2018-08-15 20:00:00-04:00,14.65,14.97,14.65,14.90,9573900
2018-08-16 20:00:00-04:00,14.88,14.93,14.76,14.88,7419200
2018-08-19 20:00:00-04:00,14.87,15.00,14.83,14.99,5264200
2018-08-20 20:00:00-04:00,14.96,15.10,14.90,14.92,11716600
2018-08-21 20:00:00-04:00,14.88,14.94,14.81,14.84,7803100
2018-08-22 20:00:00-04:00,14.83,14.86,14.66,14.71,7550300
2018-08-23 20:00:00-04:00,14.76,14.79,14.66,14.69,7607300
2018-08-26 20:00:00-04:00,14.76,14.90,14.72,14.78,6924200
2018-08-27 20:00:00-04:00,14.80,14.81,14.66,14.75,5955500
2018-08-28 20:00:00-04:00,14.77,14.77,14.59,14.70,5248400
2018-08-29 20:00:00-04:00,14.69,14.72,14.55,14.58,5499400
2018-08-30 20:00:00-04:00,14.54,14.65,14.49,14.64,4379700
2018-09-03 20:00:00-04:00,14.64,14.77,14.59,14.74,7655300
2018-09-04 20:00:00-04:00,14.77,14.94,14.75,14.82,6455700
2018-09-05 20:00:00-04:00,14.83,14.85,14.70,14.72,4988800
2018-09-06 20:00:00-04:00,14.78,14.80,14.64,14.67,11533400
2018-09-09 20:00:00-04:00,14.72,14.77,14.53,14.53,8249300
2018-09-10 20:00:00-04:00,14.52,14.85,14.50,14.70,9629700
2018-09-11 20:00:00-04:00,14.68,14.75,14.38,14.40,8729600
2018-09-12 20:00:00-04:00,14.40,14.43,13.78,13.85,18723000
2018-09-13 20:00:00-04:00,13.90,13.93,13.77,13.86,22428400
2018-09-16 20:00:00-04:00,13.88,13.93,13.76,13.80,10228200
2018-09-17 20:00:00-04:00,13.81,13.83,13.66,13.72,10906500
2018-09-18 20:00:00-04:00,13.72,14.07,13.72,14.02,18112000
2018-09-19 20:00:00-04:00,14.08,14.50,14.08,14.42,23372300
2018-09-20 20:00:00-04:00,14.47,14.50,14.36,14.44,16440000
2018-09-23 20:00:00-04:00,14.45,14.56,14.29,14.31,15076500
2018-09-24 20:00:00-04:00,14.40,14.43,14.27,14.28,6755800
2018-09-25 20:00:00-04:00,14.31,14.36,14.03,14.06,9679000
2018-09-26 20:00:00-04:00,14.06,14.07,13.87,13.91,7004400
2018-09-27 20:00:00-04:00,13.82,13.93,13.77,13.82,9283000
2018-09-30 20:00:00-04:00,13.91,13.99,13.77,13.81,7510400
2018-10-01 20:00:00-04:00,13.83,13.89,13.70,13.73,9871200
2018-10-02 20:00:00-04:00,13.83,14.06,13.77,13.99,8583600
2018-10-03 20:00:00-04:00,14.08,14.41,14.07,14.20,12865000
2018-10-04 20:00:00-04:00,14.28,14.32,14.03,14.10,9878500
2018-10-07 20:00:00-04:00,14.05,14.32,14.05,14.26,10601500
2018-10-08 20:00:00-04:00,14.22,14.31,14.11,14.20,9165500
2018-10-09 20:00:00-04:00,14.24,14.34,13.83,13.84,12279100
2018-10-10 20:00:00-04:00,13.79,13.84,13.36,13.37,12541000
2018-10-11 20:00:00-04:00,13.62,13.62,12.74,12.96,19927800
2018-10-14 20:00:00-04:00,12.94,13.04,12.81,12.83,16551300
2018-10-15 20:00:00-04:00,12.90,12.92,12.67,12.91,15342400
2018-10-16 20:00:00-04:00,12.93,13.10,12.74,13.02,16048700
2018-10-17 20:00:00-04:00,12.23,12.76,12.23,12.58,28606900
2018-10-18 20:00:00-04:00,12.53,12.71,12.38,12.40,20214800
2018-10-21 20:00:00-04:00,12.43,12.45,11.95,11.99,21731300
2018-10-22 20:00:00-04:00,11.74,12.16,11.69,12.05,21045100
2018-10-23 20:00:00-04:00,12.01,12.02,11.45,11.48,14335700
2018-10-24 20:00:00-04:00,11.60,12.02,11.54,11.91,15442400
2018-10-25 20:00:00-04:00,11.76,12.01,11.67,11.85,15385500
2018-10-28 20:00:00-04:00,12.08,12.30,11.98,12.15,16011100
2018-10-29 20:00:00-04:00,12.22,12.42,12.10,12.38,15856900
2018-10-30 20:00:00-04:00,12.55,12.89,12.51,12.62,13950600
2018-10-31 20:00:00-04:00,12.71,12.82,12.60,12.78,12096400
2018-11-01 20:00:00-04:00,12.90,13.05,12.69,12.81,10643200
2018-11-04 19:00:00-05:00,12.80,12.93,12.65,12.85,11368800
2018-11-05 19:00:00-05:00,12.83,12.97,12.68,12.92,9807000
2018-11-06 19:00:00-05:00,12.92,13.06,12.75,12.99,11005000
2018-11-07 19:00:00-05:00,12.92,13.12,12.92,13.02,10284900
2018-11-08 19:00:00-05:00,13.01,13.16,12.99,13.13,13575700
2018-11-11 19:00:00-05:00,13.08,13.17,12.81,12.83,9408900
2018-11-12 19:00:00-05:00,12.69,12.99,12.69,12.80,11753200
2018-11-13 19:00:00-05:00,12.90,12.95,12.45,12.66,14790700
2018-11-14 19:00:00-05:00,12.51,12.86,12.38,12.83,10694200
2018-11-15 19:00:00-05:00,12.74,12.87,12.66,12.71,10142800
2018-11-18 19:00:00-05:00,12.71,12.88,12.58,12.69,10179000
2018-11-19 19:00:00-05:00,12.56,12.61,12.34,12.39,10806200
2018-11-20 19:00:00-05:00,12.45,12.73,12.26,12.54,15389600
2018-11-22 19:00:00-05:00,12.45,12.60,12.32,12.47,4678200
2018-11-25 19:00:00-05:00,12.66,13.00,12.65,12.84,10862000
2018-11-26 19:00:00-05:00,12.76,12.91,12.68,12.72,7701500
2018-11-27 19:00:00-05:00,12.74,12.93,12.55,12.88,7261000
2018-11-28 19:00:00-05:00,12.75,12.87,12.68,12.73,7564600
2018-11-29 19:00:00-05:00,12.68,12.89,12.68,12.87,11216300
2018-12-02 19:00:00-05:00,13.08,13.16,12.75,12.94,9637500
2018-12-03 19:00:00-05:00,12.85,12.90,12.14,12.24,13063800
2018-12-05 19:00:00-05:00,11.96,12.07,11.71,12.00,12624000
2018-12-06 19:00:00-05:00,12.00,12.18,11.67,11.74,12243900
2018-12-09 19:00:00-05:00,11.52,11.69,11.11,11.22,15489400
2018-12-10 19:00:00-05:00,11.35,11.46,11.11,11.17,14318200
2018-12-11 19:00:00-05:00,11.36,11.39,11.11,11.23,14673800
2018-12-12 19:00:00-05:00,11.28,11.30,10.82,10.87,12764300
2018-12-13 19:00:00-05:00,10.73,11.03,10.59,10.61,19489900
2018-12-16 19:00:00-05:00,10.56,10.78,10.44,10.51,12471700
2018-12-17 19:00:00-05:00,10.56,10.70,10.29,10.37,14481200
2018-12-18 19:00:00-05:00,10.38,10.50,9.99,10.10,17657500
2018-12-19 19:00:00-05:00,10.02,10.25,9.93,10.06,14038300
2018-12-20 19:00:00-05:00,10.04,10.22,9.98,10.03,23957700
2018-12-23 19:00:00-05:00,9.93,10.04,9.69,9.69,6926100
2018-12-25 19:00:00-05:00,9.76,10.32,9.58,10.32,11627600
2018-12-26 19:00:00-05:00,10.09,10.26,9.87,10.26,12227600
2018-12-27 19:00:00-05:00,10.30,10.40,10.20,10.25,8691100
2018-12-30 19:00:00-05:00,10.31,10.42,10.18,10.37,9140600
2019-01-01 19:00:00-05:00,10.19,10.57,10.17,10.54,7710700
2019-01-02 19:00:00-05:00,10.49,10.78,10.45,10.57,12083300
2019-01-03 19:00:00-05:00,10.79,10.99,10.75,10.93,8759400
2019-01-06 19:00:00-05:00,10.89,11.20,10.82,11.04,9167100
2019-01-07 19:00:00-05:00,11.10,11.15,10.82,11.03,12223400
2019-01-08 19:00:00-05:00,11.03,11.17,10.92,11.12,8926300
2019-01-09 19:00:00-05:00,11.13,11.16,10.95,11.08,7017700
2019-01-10 19:00:00-05:00,11.10,11.29,11.00,11.20,8383600
2019-01-13 19:00:00-05:00,11.08,11.47,11.06,11.39,13519600
2019-01-14 19:00:00-05:00,11.39,11.45,11.17,11.44,9411500
2019-01-15 19:00:00-05:00,11.64,11.88,11.52,11.75,15318900
2019-01-16 19:00:00-05:00,11.58,11.64,11.16,11.46,23946200
2019-01-17 19:00:00-05:00,11.55,11.83,11.39,11.82,20623600
2019-01-21 19:00:00-05:00,11.74,11.95,11.73,11.86,16662700
2019-01-22 19:00:00-05:00,11.93,11.97,11.75,11.85,11093300
2019-01-23 19:00:00-05:00,11.75,11.86,11.66,11.84,9803600
2019-01-24 19:00:00-05:00,11.93,11.97,11.78,11.79,14462200
2019-01-27 19:00:00-05:00,11.71,11.83,11.67,11.82,11707800
2019-01-28 19:00:00-05:00,11.82,11.87,11.74,11.74,11894100
2019-01-29 19:00:00-05:00,11.77,11.83,11.66,11.67,12567500
2019-01-30 19:00:00-05:00,11.60,11.67,11.38,11.55,15285800
2019-01-31 19:00:00-05:00,11.61,11.72,11.58,11.67,11962500
2019-02-03 19:00:00-05:00,11.61,11.71,11.50,11.64,12454900
2019-02-04 19:00:00-05:00,11.67,11.67,11.42,11.48,14158800
2019-02-05 19:00:00-05:00,11.45,11.62,11.41,11.57,16249100
2019-02-06 19:00:00-05:00,11.90,12.28,11.79,11.97,37227800
2019-02-07 19:00:00-05:00,11.93,11.95,11.73,11.90,17675200
2019-02-10 19:00:00-05:00,11.96,11.99,11.87,11.94,9699500
2019-02-11 19:00:00-05:00,12.04,12.19,12.04,12.09,7322900
2019-02-12 19:00:00-05:00,12.14,12.16,11.97,12.05,8973700
2019-02-13 19:00:00-05:00,11.93,12.00,11.79,11.94,6431800
2019-02-14 19:00:00-05:00,12.07,12.29,12.04,12.28,8026900
2019-02-18 19:00:00-05:00,12.19,12.49,12.14,12.44,12376700
2019-02-19 19:00:00-05:00,12.42,12.59,12.35,12.59,9664500
2019-02-20 19:00:00-05:00,12.60,12.61,12.34,12.42,8141600
2019-02-21 19:00:00-05:00,12.42,12.44,12.24,12.38,7615900
2019-02-24 19:00:00-05:00,12.45,12.51,12.33,12.35,7164300
2019-02-25 19:00:00-05:00,12.30,12.39,12.20,12.21,9870500
2019-02-26 19:00:00-05:00,12.29,12.39,12.19,12.37,10583200
2019-02-27 19:00:00-05:00,12.39,12.45,12.33,12.39,6940000
2019-02-28 19:00:00-05:00,12.47,12.55,12.21,12.28,13865000
2019-03-03 19:00:00-05:00,12.33,12.50,12.08,12.22,16135500
2019-03-04 19:00:00-05:00,12.17,12.26,11.94,12.19,9662600
2019-03-05 19:00:00-05:00,12.17,12.23,11.96,11.99,8563900
2019-03-06 19:00:00-05:00,11.94,11.94,11.74,11.83,9605100
2019-03-07 19:00:00-05:00,11.69,11.89,11.67,11.88,7735400
2019-03-10 20:00:00-04:00,11.93,12.16,11.89,12.01,15705200
2019-03-11 20:00:00-04:00,12.06,12.18,12.04,12.09,11026300
2019-03-12 20:00:00-04:00,12.14,12.31,12.11,12.27,11030900
