Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,42.02,42.08,41.37,41.75,3666600
2018-07-02 20:00:00-04:00,41.91,42.45,41.91,42.12,1674000
2018-07-04 20:00:00-04:00,42.55,43.03,42.12,43.00,2834300
2018-07-05 20:00:00-04:00,43.03,43.45,42.81,43.32,3330000
2018-07-08 20:00:00-04:00,43.47,43.54,42.78,43.01,3079900
2018-07-09 20:00:00-04:00,43.26,43.26,42.58,43.03,3112900
2018-07-10 20:00:00-04:00,42.97,43.22,42.70,42.86,2520900
2018-07-11 20:00:00-04:00,42.99,43.07,42.56,42.79,2659900
2018-07-12 20:00:00-04:00,42.79,43.43,42.70,42.93,3997900
2018-07-15 20:00:00-04:00,42.96,43.03,42.08,42.12,4164900
2018-07-16 20:00:00-04:00,42.12,42.62,42.06,42.39,5032300
2018-07-17 20:00:00-04:00,42.39,42.48,41.38,41.41,5196400
2018-07-18 20:00:00-04:00,41.22,41.69,40.93,41.24,6839500
2018-07-19 20:00:00-04:00,41.20,41.27,40.71,40.81,5809500
2018-07-22 20:00:00-04:00,40.61,40.94,40.44,40.54,4857500
2018-07-23 20:00:00-04:00,40.54,40.66,39.77,40.12,6374000
2018-07-24 20:00:00-04:00,40.15,40.45,39.63,40.24,3713900
2018-07-25 20:00:00-04:00,40.83,41.49,40.50,40.67,4082200
2018-07-26 20:00:00-04:00,40.75,41.05,40.27,40.52,3771100
2018-07-29 20:00:00-04:00,40.41,40.76,40.22,40.53,3743100
2018-07-30 20:00:00-04:00,40.75,41.13,40.35,40.51,6484800
2018-07-31 20:00:00-04:00,40.34,40.41,39.84,39.86,4013200
2018-08-01 20:00:00-04:00,39.74,40.11,39.16,39.94,6445100
2018-08-02 20:00:00-04:00,41.02,43.70,40.60,43.36,16199700
2018-08-05 20:00:00-04:00,42.93,43.11,41.79,41.89,7453200
2018-08-06 20:00:00-04:00,42.02,42.05,41.07,41.23,6542400
2018-08-07 20:00:00-04:00,40.40,40.91,40.01,40.53,11053800
2018-08-08 20:00:00-04:00,40.63,40.76,40.13,40.34,6568700
2018-08-09 20:00:00-04:00,40.18,40.34,39.74,40.11,5118000
2018-08-12 20:00:00-04:00,39.99,40.15,39.56,39.86,5790400
2018-08-13 20:00:00-04:00,40.01,40.38,39.96,40.02,4439900
2018-08-14 20:00:00-04:00,40.05,40.06,39.66,39.73,5299600
2018-08-15 20:00:00-04:00,40.07,40.88,39.98,40.79,6261800
2018-08-16 20:00:00-04:00,40.98,41.66,40.62,41.47,6417000
2018-08-19 20:00:00-04:00,41.47,41.92,41.19,41.21,4647000
2018-08-20 20:00:00-04:00,41.28,41.28,40.50,40.67,4849800
2018-08-21 20:00:00-04:00,40.76,40.84,40.33,40.47,3224800
2018-08-22 20:00:00-04:00,40.27,40.43,39.92,39.96,5179800
2018-08-23 20:00:00-04:00,40.04,40.38,39.93,40.12,4513200
2018-08-26 20:00:00-04:00,40.33,40.69,40.22,40.48,3496800
