Date,Open,High,Low,Close,Volume
2022-04-05 20:00:00-04:00,247.80,248.73,245.36,247.15,239100
2022-04-06 20:00:00-04:00,245.37,246.79,241.55,245.73,359900
2022-04-07 20:00:00-04:00,244.87,248.15,241.84,242.97,358400
2022-04-10 20:00:00-04:00,241.29,243.38,235.33,235.66,614900
2022-04-11 20:00:00-04:00,237.66,241.68,230.84,231.27,408900
2022-04-12 20:00:00-04:00,231.75,236.34,231.74,235.51,349200
2022-04-13 20:00:00-04:00,235.36,235.36,228.34,228.73,250100
2022-04-17 20:00:00-04:00,228.76,231.14,225.70,226.69,312600
2022-04-18 20:00:00-04:00,227.83,235.31,227.83,234.94,296500
2022-04-19 20:00:00-04:00,237.87,241.13,236.99,239.04,232500
2022-04-20 20:00:00-04:00,242.77,246.43,238.53,240.48,286500
2022-04-21 20:00:00-04:00,238.76,238.76,233.85,235.29,358200
2022-04-24 20:00:00-04:00,229.66,235.92,221.15,227.76,422900
2022-04-25 20:00:00-04:00,223.67,224.96,213.16,213.59,547300
2022-04-26 20:00:00-04:00,213.88,218.03,212.75,213.23,318900
2022-04-27 20:00:00-04:00,212.11,214.15,206.69,212.56,332000
2022-04-28 20:00:00-04:00,210.02,211.56,202.65,203.22,340000
2022-05-01 20:00:00-04:00,203.77,209.05,201.04,206.46,233100
2022-05-02 20:00:00-04:00,207.38,208.29,204.10,205.65,275300
2022-05-03 20:00:00-04:00,203.54,211.89,200.45,211.47,356100
2022-05-04 20:00:00-04:00,208.99,209.66,201.75,203.53,317600
2022-05-05 20:00:00-04:00,202.40,203.43,196.91,202.79,253100
2022-05-08 20:00:00-04:00,199.85,208.56,199.75,205.73,363300
2022-05-09 20:00:00-04:00,208.16,210.31,202.82,206.13,524400
2022-05-10 20:00:00-04:00,205.84,208.58,199.03,199.71,294100
2022-05-11 20:00:00-04:00,197.83,208.30,197.39,207.63,411500
2022-05-12 20:00:00-04:00,206.82,212.52,206.82,211.26,485500
2022-05-15 20:00:00-04:00,209.97,210.17,204.45,205.15,283700
2022-05-16 20:00:00-04:00,207.10,208.45,200.65,205.49,668700
2022-05-17 20:00:00-04:00,202.42,202.42,192.38,193.08,426600
2022-05-18 20:00:00-04:00,191.89,198.91,190.33,196.90,430900
2022-05-19 20:00:00-04:00,200.42,200.60,194.08,198.03,342600
2022-05-22 20:00:00-04:00,199.49,199.49,194.35,195.38,282100
2022-05-23 20:00:00-04:00,193.49,194.06,189.41,192.28,360400
2022-05-24 20:00:00-04:00,191.90,198.22,190.63,195.69,269800
2022-05-25 20:00:00-04:00,197.22,202.71,195.79,198.73,210800
2022-05-26 20:00:00-04:00,199.46,202.52,198.83,201.61,297900
2022-05-30 20:00:00-04:00,199.52,199.64,195.48,199.13,589700
2022-05-31 20:00:00-04:00,200.02,200.92,195.60,197.12,407600
2022-06-01 20:00:00-04:00,199.26,204.41,197.73,203.84,248200
2022-06-02 20:00:00-04:00,201.28,202.85,199.73,200.89,172300
2022-06-05 20:00:00-04:00,202.42,203.46,200.46,201.70,148500
2022-06-06 20:00:00-04:00,199.59,203.87,197.79,203.71,151700
2022-06-07 20:00:00-04:00,202.90,202.90,199.77,200.14,177200
2022-06-08 20:00:00-04:00,198.83,200.69,196.44,196.61,506400
2022-06-09 20:00:00-04:00,193.51,195.16,190.46,191.98,276800
2022-06-12 20:00:00-04:00,187.54,190.55,186.28,188.22,307400
2022-06-13 20:00:00-04:00,189.00,190.93,183.92,186.34,330000
2022-06-14 20:00:00-04:00,188.31,190.90,186.03,188.14,323100
2022-06-15 20:00:00-04:00,183.46,183.96,176.13,177.56,442900
2022-06-16 20:00:00-04:00,179.27,181.47,174.30,177.73,509800
2022-06-20 20:00:00-04:00,179.05,181.79,176.36,178.15,277500
2022-06-21 20:00:00-04:00,175.65,180.07,175.65,179.48,307900
2022-06-22 20:00:00-04:00,178.47,189.25,178.47,188.89,441900
2022-06-23 20:00:00-04:00,190.36,196.19,190.36,194.11,440000
2022-06-26 20:00:00-04:00,194.93,195.10,192.40,193.81,267800
2022-06-27 20:00:00-04:00,194.18,196.73,192.50,192.99,351800
2022-06-28 20:00:00-04:00,191.92,195.32,189.65,194.13,288700
2022-06-29 20:00:00-04:00,193.40,200.41,192.13,197.96,459600
2022-06-30 20:00:00-04:00,197.23,203.61,197.23,203.12,474000
2022-07-04 20:00:00-04:00,200.63,208.19,199.47,207.80,560100
2022-07-05 20:00:00-04:00,208.99,211.02,205.79,207.83,468200
2022-07-06 20:00:00-04:00,206.64,209.20,204.38,209.04,362500
2022-07-07 20:00:00-04:00,212.23,212.30,204.02,205.53,448800
2022-07-10 20:00:00-04:00,204.32,208.81,202.69,206.96,319200
2022-07-11 20:00:00-04:00,206.73,211.16,206.73,207.20,357700
2022-07-12 20:00:00-04:00,204.78,209.44,202.27,206.83,343200
2022-07-13 20:00:00-04:00,204.98,205.57,200.94,204.32,234500
2022-07-14 20:00:00-04:00,206.90,209.22,202.00,207.19,329800
2022-07-17 20:00:00-04:00,207.06,210.85,202.93,203.37,232000
2022-07-18 20:00:00-04:00,205.86,211.30,204.54,210.65,242100
2022-07-19 20:00:00-04:00,211.08,213.61,210.06,211.73,245600
2022-07-20 20:00:00-04:00,211.21,216.60,209.36,215.98,215700
2022-07-21 20:00:00-04:00,216.72,221.17,215.63,218.15,343300
2022-07-24 20:00:00-04:00,218.35,218.75,212.98,214.98,327900
2022-07-25 20:00:00-04:00,213.77,215.49,209.12,215.06,270900
2022-07-26 20:00:00-04:00,216.05,219.55,213.47,217.58,454200
2022-07-27 20:00:00-04:00,224.10,227.84,211.29,224.77,554200
2022-07-28 20:00:00-04:00,225.54,230.67,221.71,229.53,328000
2022-07-31 20:00:00-04:00,228.94,236.45,227.10,234.16,305000
2022-08-01 20:00:00-04:00,233.12,233.29,228.57,229.31,245800
2022-08-02 20:00:00-04:00,230.34,234.14,228.10,233.87,177800
2022-08-03 20:00:00-04:00,231.13,236.60,231.13,234.29,264500
2022-08-04 20:00:00-04:00,231.95,234.06,228.33,233.88,193400
2022-08-07 20:00:00-04:00,234.75,239.50,234.75,236.28,174500
2022-08-08 20:00:00-04:00,234.89,234.89,230.81,232.97,239700
2022-08-09 20:00:00-04:00,237.90,242.56,236.27,239.09,230100
2022-08-10 20:00:00-04:00,240.67,244.42,239.57,240.83,205400
2022-08-11 20:00:00-04:00,242.31,251.22,241.47,250.87,313300
2022-08-14 20:00:00-04:00,250.74,256.50,248.18,256.15,372600
2022-08-15 20:00:00-04:00,254.26,256.13,252.21,255.81,309300
2022-08-16 20:00:00-04:00,254.11,259.86,253.21,256.32,411300
2022-08-17 20:00:00-04:00,255.12,256.02,251.30,255.94,192000
2022-08-18 20:00:00-04:00,253.87,253.87,246.28,247.88,288500
2022-08-21 20:00:00-04:00,244.70,244.70,239.48,239.84,179800
2022-08-22 20:00:00-04:00,237.95,240.10,235.50,235.94,210900
2022-08-23 20:00:00-04:00,234.65,240.07,234.10,239.60,238600
2022-08-24 20:00:00-04:00,239.15,242.12,238.33,241.92,210400
2022-08-25 20:00:00-04:00,241.84,242.85,232.26,232.51,227600
2022-08-28 20:00:00-04:00,231.23,235.05,229.54,233.16,220800
2022-08-29 20:00:00-04:00,234.45,236.29,230.84,232.21,304200
2022-08-30 20:00:00-04:00,233.38,234.86,230.22,231.10,334800
2022-08-31 20:00:00-04:00,230.98,240.00,230.01,239.50,431300
2022-09-01 20:00:00-04:00,242.97,242.97,235.39,236.66,226000
2022-09-05 20:00:00-04:00,237.90,241.01,233.49,240.59,340800
2022-09-06 20:00:00-04:00,241.38,248.27,239.92,248.21,319800
2022-09-07 20:00:00-04:00,245.52,250.43,244.46,248.20,285500
2022-09-08 20:00:00-04:00,248.66,252.39,247.27,248.51,357000
2022-09-11 20:00:00-04:00,249.27,253.78,247.75,252.93,406000
2022-09-12 20:00:00-04:00,246.36,248.05,243.82,244.49,454600
2022-09-13 20:00:00-04:00,245.37,245.72,237.29,240.89,369200
2022-09-14 20:00:00-04:00,239.61,244.78,238.69,240.64,322200
2022-09-15 20:00:00-04:00,238.44,238.44,231.11,235.25,636400
2022-09-18 20:00:00-04:00,234.17,237.20,232.67,236.36,292800
2022-09-19 20:00:00-04:00,235.08,235.08,223.55,226.47,515900
2022-09-20 20:00:00-04:00,227.88,234.11,223.60,223.72,462400
2022-09-21 20:00:00-04:00,223.08,223.37,214.80,215.35,513800
2022-09-22 20:00:00-04:00,213.74,216.78,211.77,215.79,421600
2022-09-25 20:00:00-04:00,215.49,216.90,211.28,212.03,511100
2022-09-26 20:00:00-04:00,214.97,216.43,209.92,212.97,235300
2022-09-27 20:00:00-04:00,215.82,223.11,212.61,222.69,433100
2022-09-28 20:00:00-04:00,220.39,222.39,211.61,214.15,365400
2022-09-29 20:00:00-04:00,215.42,218.22,211.82,214.30,369400
2022-10-02 20:00:00-04:00,215.14,222.45,208.63,220.16,355500
2022-10-03 20:00:00-04:00,222.94,229.26,222.94,228.36,474100
2022-10-04 20:00:00-04:00,224.30,229.57,224.30,227.16,184900
